Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-07-23,5.35,6.75,4.495,4.75,2374308.0,0.0,1.0,5.35,6.75,4.495,4.75,2374308.0
2020-07-24,4.5,4.6456,4.31,4.46,259461.0,0.0,1.0,4.5,4.6456,4.31,4.46,259461.0
2020-07-27,4.42,4.42,3.81,3.81,310757.0,0.0,1.0,4.42,4.42,3.81,3.81,310757.0
2020-07-28,3.94,4.54,3.82,4.45,206295.0,0.0,1.0,3.94,4.54,3.82,4.45,206295.0
2020-07-29,4.67,4.68,4.199,4.2902,68744.0,0.0,1.0,4.67,4.68,4.199,4.2902,68744.0
2020-07-30,4.15,4.3258,3.83,4.3,202794.0,0.0,1.0,4.15,4.3258,3.83,4.3,202794.0
2020-07-31,4.25,4.25,3.9,4.01,88824.0,0.0,1.0,4.25,4.25,3.9,4.01,88824.0
2020-08-03,4.19,4.24,3.6,3.67,211606.0,0.0,1.0,4.19,4.24,3.6,3.67,211606.0
2020-08-04,3.62,3.82,3.57,3.8101,79003.0,0.0,1.0,3.62,3.82,3.57,3.8101,79003.0
2020-08-05,3.73,4.45,3.7,4.19,287471.0,0.0,1.0,3.73,4.45,3.7,4.19,287471.0
2020-08-06,4.16,4.3,4.02,4.09,106205.0,0.0,1.0,4.16,4.3,4.02,4.09,106205.0
2020-08-07,4.06,4.2,3.97,4.2,60749.0,0.0,1.0,4.06,4.2,3.97,4.2,60749.0
2020-08-10,4.16,4.28,4.01,4.28,83036.0,0.0,1.0,4.16,4.28,4.01,4.28,83036.0
2020-08-11,4.25,4.35,4.15,4.26,113038.0,0.0,1.0,4.25,4.35,4.15,4.26,113038.0
2020-08-12,4.27,4.55,4.27,4.54,151549.0,0.0,1.0,4.27,4.55,4.27,4.54,151549.0
2020-08-13,4.58,4.6,4.34,4.47,95698.0,0.0,1.0,4.58,4.6,4.34,4.47,95698.0
2020-08-14,4.47,4.48,4.25,4.465,66998.0,0.0,1.0,4.47,4.48,4.25,4.465,66998.0
2020-08-17,4.4599,4.5161,4.33,4.5,68021.0,0.0,1.0,4.4599,4.5161,4.33,4.5,68021.0
2020-08-18,4.57,4.65,4.4001,4.47,111991.0,0.0,1.0,4.57,4.65,4.4001,4.47,111991.0
2020-08-19,4.45,4.9,4.45,4.83,478445.0,0.0,1.0,4.45,4.9,4.45,4.83,478445.0
2020-08-20,4.8,4.98,4.53,4.6,124874.0,0.0,1.0,4.8,4.98,4.53,4.6,124874.0
2020-08-21,4.66,4.66,4.48,4.54,22503.0,0.0,1.0,4.66,4.66,4.48,4.54,22503.0
2020-08-24,4.507,4.507,3.98,3.99,123905.0,0.0,1.0,4.507,4.507,3.98,3.99,123905.0
2020-08-25,4.0,4.07,3.85,3.92,89951.0,0.0,1.0,4.0,4.07,3.85,3.92,89951.0
2020-08-26,3.91,4.09,3.87,4.01,14189.0,0.0,1.0,3.91,4.09,3.87,4.01,14189.0
2020-08-27,4.0399,4.1,3.96,4.075,29291.0,0.0,1.0,4.0399,4.1,3.96,4.075,29291.0
2020-08-28,4.08,4.475,4.07,4.28,152022.0,0.0,1.0,4.08,4.475,4.07,4.28,152022.0
2020-08-31,4.25,4.33,3.9,4.02,371483.0,0.0,1.0,4.25,4.33,3.9,4.02,371483.0
