Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.63,3.79,3.63,3.6501,5023.0,0.0,1.0,3.63,3.79,3.63,3.6501,5023.0
2020-01-03,3.65,3.65,3.54,3.565,12353.0,0.0,1.0,3.65,3.65,3.54,3.565,12353.0
2020-01-06,3.49,3.6001,3.41,3.57,16819.0,0.0,1.0,3.49,3.6001,3.41,3.57,16819.0
2020-01-07,3.61,3.6422,3.5307,3.6,9324.0,0.0,1.0,3.61,3.6422,3.5307,3.6,9324.0
2020-01-08,3.59,3.59,3.5,3.53,22262.0,0.0,1.0,3.59,3.59,3.5,3.53,22262.0
2020-01-09,3.95,4.13,3.66,3.8497,636597.0,0.0,1.0,3.95,4.13,3.66,3.8497,636597.0
2020-01-10,3.69,4.0,3.69,3.9,37984.0,0.0,1.0,3.69,4.0,3.69,3.9,37984.0
2020-01-13,4.02,4.0803,3.75,3.75,35040.0,0.0,1.0,4.02,4.0803,3.75,3.75,35040.0
2020-01-14,3.85,3.86,3.72,3.7991,20696.0,0.0,1.0,3.85,3.86,3.72,3.7991,20696.0
2020-01-15,3.875,3.92,3.65,3.7,60705.0,0.0,1.0,3.875,3.92,3.65,3.7,60705.0
2020-01-16,3.65,3.7201,3.62,3.68,35888.0,0.0,1.0,3.65,3.7201,3.62,3.68,35888.0
2020-01-17,3.6733,3.69,3.65,3.66,7662.0,0.0,1.0,3.6733,3.69,3.65,3.66,7662.0
2020-01-21,3.6409,3.72,3.6409,3.72,8611.0,0.0,1.0,3.6409,3.72,3.6409,3.72,8611.0
2020-01-22,3.68,3.75,3.68,3.72,18164.0,0.0,1.0,3.68,3.75,3.68,3.72,18164.0
2020-01-23,3.755,4.04,3.69,3.9559,55745.0,0.0,1.0,3.755,4.04,3.69,3.9559,55745.0
2020-01-24,4.0,4.0,3.85,3.96,38384.0,0.0,1.0,4.0,4.0,3.85,3.96,38384.0
2020-01-27,3.96,4.1,3.6663,4.013,90252.0,0.0,1.0,3.96,4.1,3.6663,4.013,90252.0
2020-01-28,4.06,4.6,4.052,4.51,288566.0,0.0,1.0,4.06,4.6,4.052,4.51,288566.0
2020-01-29,4.55,4.55,3.9,4.08,117701.0,0.0,1.0,4.55,4.55,3.9,4.08,117701.0
2020-01-30,4.06,4.06,3.9,3.9,26040.0,0.0,1.0,4.06,4.06,3.9,3.9,26040.0
2020-01-31,3.91,4.2,3.9,3.95,35986.0,0.0,1.0,3.91,4.2,3.9,3.95,35986.0
2020-02-03,4.02,4.11,3.9697,4.02,20555.0,0.0,1.0,4.02,4.11,3.9697,4.02,20555.0
2020-02-04,4.01,4.3925,4.01,4.16,82329.0,0.0,1.0,4.01,4.3925,4.01,4.16,82329.0
2020-02-05,4.25,4.75,4.11,4.4072,281867.0,0.0,1.0,4.25,4.75,4.11,4.4072,281867.0
2020-02-06,4.43,4.452,4.2,4.31,64697.0,0.0,1.0,4.43,4.452,4.2,4.31,64697.0
2020-02-07,4.25,4.2964,4.2,4.25,22755.0,0.0,1.0,4.25,4.2964,4.2,4.25,22755.0
2020-02-10,4.25,4.6,4.25,4.3,64935.0,0.0,1.0,4.25,4.6,4.25,4.3,64935.0
2020-02-11,4.4085,4.4215,4.2813,4.34,23931.0,0.0,1.0,4.4085,4.4215,4.2813,4.34,23931.0
2020-02-12,4.3,4.3,4.2,4.22,36700.0,0.0,1.0,4.3,4.3,4.2,4.22,36700.0
2020-02-13,4.15,4.27,4.15,4.17,18161.0,0.0,1.0,4.15,4.27,4.15,4.17,18161.0
2020-02-14,4.226,4.226,4.1027,4.16,26885.0,0.0,1.0,4.226,4.226,4.1027,4.16,26885.0
2020-02-18,4.24,4.24,3.9,4.0,54281.0,0.0,1.0,4.24,4.24,3.9,4.0,54281.0
2020-02-19,4.08,4.161,3.96,4.01,11496.0,0.0,1.0,4.08,4.161,3.96,4.01,11496.0
2020-02-20,4.0026,4.1261,4.0026,4.09,18795.0,0.0,1.0,4.0026,4.1261,4.0026,4.09,18795.0
2020-02-21,4.12,4.23,4.0578,4.1,26875.0,0.0,1.0,4.12,4.23,4.0578,4.1,26875.0
2020-02-24,4.15,4.17,3.81,4.0,54167.0,0.0,1.0,4.15,4.17,3.81,4.0,54167.0
2020-02-25,4.06,4.06,3.8601,3.96,21096.0,0.0,1.0,4.06,4.06,3.8601,3.96,21096.0
2020-02-26,3.89,3.941,3.8237,3.88,27728.0,0.0,1.0,3.89,3.941,3.8237,3.88,27728.0
2020-02-27,3.89,3.89,3.66,3.66,40342.0,0.0,1.0,3.89,3.89,3.66,3.66,40342.0
2020-02-28,3.51,3.5175,3.23,3.34,58788.0,0.0,1.0,3.51,3.5175,3.23,3.34,58788.0
2020-03-02,3.53,3.6432,3.3578,3.5,15175.0,0.0,1.0,3.53,3.6432,3.3578,3.5,15175.0
2020-03-03,3.464,3.5844,3.26,3.51,20673.0,0.0,1.0,3.464,3.5844,3.26,3.51,20673.0
2020-03-04,3.4401,3.5166,3.3659,3.47,9429.0,0.0,1.0,3.4401,3.5166,3.3659,3.47,9429.0
2020-03-05,3.5,3.5,3.28,3.3,28241.0,0.0,1.0,3.5,3.5,3.28,3.3,28241.0
2020-03-06,3.27,3.29,3.24,3.28,38443.0,0.0,1.0,3.27,3.29,3.24,3.28,38443.0
2020-03-09,3.21,3.2899,2.6301,2.72,65531.0,0.0,1.0,3.21,3.2899,2.6301,2.72,65531.0
2020-03-10,2.98,2.98,2.73,2.83,17992.0,0.0,1.0,2.98,2.98,2.73,2.83,17992.0
2020-03-11,2.8,3.0588,2.8,2.8,10622.0,0.0,1.0,2.8,3.0588,2.8,2.8,10622.0
2020-03-12,2.7203,2.8435,2.5,2.54,21958.0,0.0,1.0,2.7203,2.8435,2.5,2.54,21958.0
2020-03-13,2.48,2.63,2.48,2.49,13494.0,0.0,1.0,2.48,2.63,2.48,2.49,13494.0
2020-03-16,2.53,2.61,2.33,2.33,36042.0,0.0,1.0,2.53,2.61,2.33,2.33,36042.0
2020-03-17,2.6,2.6,2.28,2.54,30985.0,0.0,1.0,2.6,2.6,2.28,2.54,30985.0
2020-03-18,2.54,2.573,2.48,2.48,38654.0,0.0,1.0,2.54,2.573,2.48,2.48,38654.0
2020-03-19,2.48,3.17,2.45,2.99,102039.0,0.0,1.0,2.48,3.17,2.45,2.99,102039.0
2020-03-20,3.16,3.27,2.8415,2.92,50760.0,0.0,1.0,3.16,3.27,2.8415,2.92,50760.0
2020-03-23,2.88,3.155,2.845,3.05,16049.0,0.0,1.0,2.88,3.155,2.845,3.05,16049.0
2020-03-24,3.2342,3.54,3.09,3.4,32212.0,0.0,1.0,3.2342,3.54,3.09,3.4,32212.0
2020-03-25,3.4232,3.59,3.35,3.47,6090.0,0.0,1.0,3.4232,3.59,3.35,3.47,6090.0
2020-03-26,3.5726,3.64,3.54,3.63,3984.0,0.0,1.0,3.5726,3.64,3.54,3.63,3984.0
2020-03-27,3.56,3.64,3.51,3.6094,9171.0,0.0,1.0,3.56,3.64,3.51,3.6094,9171.0
2020-03-30,3.7,3.815,3.61,3.61,19019.0,0.0,1.0,3.7,3.815,3.61,3.61,19019.0
2020-03-31,3.6096,3.6099,3.485,3.54,13352.0,0.0,1.0,3.6096,3.6099,3.485,3.54,13352.0
2020-04-01,3.51,3.54,3.46,3.47,8065.0,0.0,1.0,3.51,3.54,3.46,3.47,8065.0
2020-04-02,3.5,3.6,3.4777,3.6,3060.0,0.0,1.0,3.5,3.6,3.4777,3.6,3060.0
2020-04-03,3.55,3.5606,3.52,3.52,3128.0,0.0,1.0,3.55,3.5606,3.52,3.52,3128.0
2020-04-06,3.56,3.59,3.56,3.59,4121.0,0.0,1.0,3.56,3.59,3.56,3.59,4121.0
2020-04-07,3.61,3.998,3.592,3.63,39745.0,0.0,1.0,3.61,3.998,3.592,3.63,39745.0
2020-04-08,3.76,3.96,3.76,3.96,21934.0,0.0,1.0,3.76,3.96,3.76,3.96,21934.0
2020-04-09,4.02,4.32,3.911,4.32,81941.0,0.0,1.0,4.02,4.32,3.911,4.32,81941.0
2020-04-13,4.32,4.45,4.17,4.35,39590.0,0.0,1.0,4.32,4.45,4.17,4.35,39590.0
2020-04-14,4.4272,4.4272,4.1,4.23,30171.0,0.0,1.0,4.4272,4.4272,4.1,4.23,30171.0
2020-04-15,4.1435,4.22,3.94,4.14,13784.0,0.0,1.0,4.1435,4.22,3.94,4.14,13784.0
2020-04-16,4.2359,4.29,4.21,4.23,4408.0,0.0,1.0,4.2359,4.29,4.21,4.23,4408.0
2020-04-17,4.35,4.3715,3.9398,3.94,82426.0,0.0,1.0,4.35,4.3715,3.9398,3.94,82426.0
2020-04-20,4.2,4.23,3.47,3.75,47255.0,0.0,1.0,4.2,4.23,3.47,3.75,47255.0
2020-04-21,3.71,3.96,3.6524,3.8,10819.0,0.0,1.0,3.71,3.96,3.6524,3.8,10819.0
2020-04-22,3.8,4.09,3.8,4.07,26302.0,0.0,1.0,3.8,4.09,3.8,4.07,26302.0
2020-04-23,4.2,4.2,3.82,4.0,17067.0,0.0,1.0,4.2,4.2,3.82,4.0,17067.0
2020-04-24,4.12,4.395,4.12,4.23,55146.0,0.0,1.0,4.12,4.395,4.12,4.23,55146.0
2020-04-27,5.24,5.38,4.25,4.34,560583.0,0.0,1.0,5.24,5.38,4.25,4.34,560583.0
2020-04-28,4.16,4.18,3.69,4.01,87306.0,0.0,1.0,4.16,4.18,3.69,4.01,87306.0
2020-04-29,4.0,4.04,3.8,3.81,53910.0,0.0,1.0,4.0,4.04,3.8,3.81,53910.0
2020-04-30,3.8,3.92,3.65,3.92,62196.0,0.0,1.0,3.8,3.92,3.65,3.92,62196.0
2020-05-01,3.92,3.92,3.74,3.7788,14691.0,0.0,1.0,3.92,3.92,3.74,3.7788,14691.0
2020-05-04,3.67,3.88,3.67,3.79,14657.0,0.0,1.0,3.67,3.88,3.67,3.79,14657.0
2020-05-05,3.6985,3.97,3.68,3.8401,27282.0,0.0,1.0,3.6985,3.97,3.68,3.8401,27282.0
2020-05-06,3.87,4.076,3.7,3.75,40345.0,0.0,1.0,3.87,4.076,3.7,3.75,40345.0
2020-05-07,4.0,4.0,3.7996,3.9,5649.0,0.0,1.0,4.0,4.0,3.7996,3.9,5649.0
2020-05-08,4.05,4.05,3.8525,4.03,8576.0,0.0,1.0,4.05,4.05,3.8525,4.03,8576.0
2020-05-11,4.06,4.14,3.9348,4.1295,12374.0,0.0,1.0,4.06,4.14,3.9348,4.1295,12374.0
2020-05-12,4.2,4.2,3.9446,3.9446,8826.0,0.0,1.0,4.2,4.2,3.9446,3.9446,8826.0
2020-05-13,4.07,4.07,3.86,3.9,2169.0,0.0,1.0,4.07,4.07,3.86,3.9,2169.0
2020-05-14,3.86,3.9699,3.79,3.9699,9323.0,0.0,1.0,3.86,3.9699,3.79,3.9699,9323.0
2020-05-15,3.86,3.9709,3.76,3.925,21589.0,0.0,1.0,3.86,3.9709,3.76,3.925,21589.0
2020-05-18,3.77,4.05,3.77,3.978,45232.0,0.0,1.0,3.77,4.05,3.77,3.978,45232.0
2020-05-19,4.07,4.21,3.91,3.9296,49291.0,0.0,1.0,4.07,4.21,3.91,3.9296,49291.0
2020-05-20,4.09,4.15,4.05,4.1,8112.0,0.0,1.0,4.09,4.15,4.05,4.1,8112.0
2020-05-21,4.11,4.13,3.94,4.02,12463.0,0.0,1.0,4.11,4.13,3.94,4.02,12463.0
2020-05-22,4.15,4.19,4.02,4.085,9439.0,0.0,1.0,4.15,4.19,4.02,4.085,9439.0
2020-05-26,4.1891,4.1905,4.13,4.13,10424.0,0.0,1.0,4.1891,4.1905,4.13,4.13,10424.0
2020-05-27,4.21,4.21,4.13,4.19,18929.0,0.0,1.0,4.21,4.21,4.13,4.19,18929.0
2020-05-28,4.19,4.45,4.02,4.27,53591.0,0.0,1.0,4.19,4.45,4.02,4.27,53591.0
2020-05-29,4.35,4.4,4.2637,4.36,25006.0,0.0,1.0,4.35,4.4,4.2637,4.36,25006.0
2020-06-01,4.44,4.79,4.3904,4.58,106672.0,0.0,1.0,4.44,4.79,4.3904,4.58,106672.0
2020-06-02,4.75,4.75,3.98,4.0,232475.0,0.0,1.0,4.75,4.75,3.98,4.0,232475.0
2020-06-03,4.05,4.2,3.9,3.9759,35266.0,0.0,1.0,4.05,4.2,3.9,3.9759,35266.0
2020-06-04,3.88,4.0,3.81,3.88,40661.0,0.0,1.0,3.88,4.0,3.81,3.88,40661.0
2020-06-05,3.82,3.9999,3.77,3.93,52067.0,0.0,1.0,3.82,3.9999,3.77,3.93,52067.0
