Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.66,4.69,4.38,4.5,6076067.0,0.0,1.0,4.66,4.69,4.38,4.5,6076067.0
2020-01-03,4.73,4.85,4.505,4.685,7984280.0,0.0,1.0,4.73,4.85,4.505,4.685,7984280.0
2020-01-06,4.62,4.695,4.5,4.61,4301512.0,0.0,1.0,4.62,4.695,4.5,4.61,4301512.0
2020-01-07,4.59,4.68,4.5,4.6,4175901.0,0.0,1.0,4.59,4.68,4.5,4.6,4175901.0
2020-01-08,4.55,4.58,4.32,4.36,5884244.0,0.0,1.0,4.55,4.58,4.32,4.36,5884244.0
2020-01-09,4.39,4.5,4.34,4.41,5169211.0,0.0,1.0,4.39,4.5,4.34,4.41,5169211.0
2020-01-10,4.4,4.64,4.35,4.55,5976223.0,0.0,1.0,4.4,4.64,4.35,4.55,5976223.0
2020-01-13,4.55,4.765,4.35,4.74,7273364.0,0.0,1.0,4.55,4.765,4.35,4.74,7273364.0
2020-01-14,4.7,5.49,4.64,5.47,11351198.0,0.0,1.0,4.7,5.49,4.64,5.47,11351198.0
2020-01-15,5.45,6.12,5.42,5.87,12727741.0,0.0,1.0,5.45,6.12,5.42,5.87,12727741.0
2020-01-16,5.94,6.33,5.85,6.18,11664921.0,0.0,1.0,5.94,6.33,5.85,6.18,11664921.0
2020-01-17,6.19,6.31,5.92,6.04,7156649.0,0.0,1.0,6.19,6.31,5.92,6.04,7156649.0
2020-01-21,6.05,6.54,5.96,6.38,11742296.0,0.0,1.0,6.05,6.54,5.96,6.38,11742296.0
2020-01-22,6.4,6.52,6.18,6.32,6278565.0,0.0,1.0,6.4,6.52,6.18,6.32,6278565.0
2020-01-23,6.26,6.7281,6.17,6.595,7172898.0,0.0,1.0,6.26,6.7281,6.17,6.595,7172898.0
2020-01-24,6.66,6.66,5.87,5.92,10880094.0,0.0,1.0,6.66,6.66,5.87,5.92,10880094.0
2020-01-27,5.61,5.9698,5.55,5.82,3980316.0,0.0,1.0,5.61,5.9698,5.55,5.82,3980316.0
2020-01-28,5.9,6.01,5.58,5.65,5492480.0,0.0,1.0,5.9,6.01,5.58,5.65,5492480.0
2020-01-29,5.62,6.02,5.62,5.9,4659199.0,0.0,1.0,5.62,6.02,5.62,5.9,4659199.0
2020-01-30,5.88,5.97,5.52,5.64,6573933.0,0.0,1.0,5.88,5.97,5.52,5.64,6573933.0
2020-01-31,5.59,5.7,5.465,5.67,3305914.0,0.0,1.0,5.59,5.7,5.465,5.67,3305914.0
2020-02-03,5.72,5.88,5.66,5.82,3451939.0,0.0,1.0,5.72,5.88,5.66,5.82,3451939.0
2020-02-04,5.8,6.08,5.79,5.93,4610467.0,0.0,1.0,5.8,6.08,5.79,5.93,4610467.0
2020-02-05,5.99,6.35,5.965,6.14,6936586.0,0.0,1.0,5.99,6.35,5.965,6.14,6936586.0
2020-02-06,6.17,6.33,5.9444,6.21,5178048.0,0.0,1.0,6.17,6.33,5.9444,6.21,5178048.0
2020-02-07,6.21,6.51,6.11,6.38,5503676.0,0.0,1.0,6.21,6.51,6.11,6.38,5503676.0
2020-02-10,6.38,6.64,6.3398,6.38,5270962.0,0.0,1.0,6.38,6.64,6.3398,6.38,5270962.0
2020-02-11,6.42,6.52,6.145,6.28,4058895.0,0.0,1.0,6.42,6.52,6.145,6.28,4058895.0
2020-02-12,6.34,6.94,6.329,6.55,9038136.0,0.0,1.0,6.34,6.94,6.329,6.55,9038136.0
2020-02-13,6.55,6.69,6.18,6.2,5213872.0,0.0,1.0,6.55,6.69,6.18,6.2,5213872.0
2020-02-14,6.26,6.51,5.81,6.15,7799121.0,0.0,1.0,6.26,6.51,5.81,6.15,7799121.0
2020-02-18,6.25,6.35,5.835,5.95,4061103.0,0.0,1.0,6.25,6.35,5.835,5.95,4061103.0
2020-02-19,5.94,6.29,5.9,6.26,4466040.0,0.0,1.0,5.94,6.29,5.9,6.26,4466040.0
2020-02-20,6.21,6.21,5.97,6.11,6360824.0,0.0,1.0,6.21,6.21,5.97,6.11,6360824.0
2020-02-21,6.1,6.33,6.05,6.07,3688338.0,0.0,1.0,6.1,6.33,6.05,6.07,3688338.0
2020-02-24,5.98,6.44,5.54,6.0,14945111.0,0.0,1.0,5.98,6.44,5.54,6.0,14945111.0
2020-02-25,7.03,7.1,6.28,6.53,23776264.0,0.0,1.0,7.03,7.1,6.28,6.53,23776264.0
2020-02-26,6.0,6.58,5.85,6.35,9682421.0,0.0,1.0,6.0,6.58,5.85,6.35,9682421.0
2020-02-27,6.13,6.17,5.61,5.63,7054005.0,0.0,1.0,6.13,6.17,5.61,5.63,7054005.0
2020-02-28,5.5,5.61,5.29,5.52,8546059.0,0.0,1.0,5.5,5.61,5.29,5.52,8546059.0
2020-03-02,5.5427,5.72,5.22,5.71,7588373.0,0.0,1.0,5.5427,5.72,5.22,5.71,7588373.0
2020-03-03,5.73,5.7694,5.19,5.4,9059839.0,0.0,1.0,5.73,5.7694,5.19,5.4,9059839.0
2020-03-04,5.5,5.59,5.28,5.34,4416443.0,0.0,1.0,5.5,5.59,5.28,5.34,4416443.0
2020-03-05,5.19,5.255,4.95,4.99,5301274.0,0.0,1.0,5.19,5.255,4.95,4.99,5301274.0
2020-03-06,4.85,5.03,4.5,4.6,7062817.0,0.0,1.0,4.85,5.03,4.5,4.6,7062817.0
2020-03-09,4.24,4.24,3.5,3.65,8995820.0,0.0,1.0,4.24,4.24,3.5,3.65,8995820.0
2020-03-10,4.04,4.04,3.36,3.73,10088205.0,0.0,1.0,4.04,4.04,3.36,3.73,10088205.0
2020-03-11,3.83,4.08,3.4917,3.91,7475715.0,0.0,1.0,3.83,4.08,3.4917,3.91,7475715.0
2020-03-12,3.4,3.72,3.07,3.53,5521817.0,0.0,1.0,3.4,3.72,3.07,3.53,5521817.0
2020-03-13,3.75,3.93,3.46,3.93,5713558.0,0.0,1.0,3.75,3.93,3.46,3.93,5713558.0
2020-03-16,2.9,3.3,2.71,2.74,7110979.0,0.0,1.0,2.9,3.3,2.71,2.74,7110979.0
2020-03-17,2.77,3.0,2.5,2.69,8893156.0,0.0,1.0,2.77,3.0,2.5,2.69,8893156.0
2020-03-18,2.56,2.65,2.08,2.28,10094201.0,0.0,1.0,2.56,2.65,2.08,2.28,10094201.0
