Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.25,2.42,2.2145,2.41,101823.0,0.0,1.0,9.0,9.68,8.858,9.64,25455.75
2020-01-03,2.39,2.49,2.3727,2.43,46331.0,0.0,1.0,9.56,9.96,9.4908,9.72,11582.75
2020-01-06,2.4,2.75,2.4,2.6,215832.0,0.0,1.0,9.6,11.0,9.6,10.4,53958.0
2020-01-07,2.6,2.79,2.5,2.61,200699.0,0.0,1.0,10.4,11.16,10.0,10.44,50174.75
2020-01-08,2.63,2.67,2.4364,2.5085,48308.0,0.0,1.0,10.52,10.68,9.7456,10.034,12077.0
2020-01-09,2.5,2.5099,2.45,2.495,35954.0,0.0,1.0,10.0,10.0396,9.8,9.98,8988.5
2020-01-10,2.49,2.5146,2.36,2.4573,34210.0,0.0,1.0,9.96,10.0584,9.44,9.8292,8552.5
2020-01-13,2.66,2.75,1.67,1.85,847670.0,0.0,1.0,10.64,11.0,6.68,7.4,211917.5
2020-01-14,1.74,1.76,1.6208,1.68,212041.0,0.0,1.0,6.96,7.04,6.4832,6.72,53010.25
2020-01-15,1.69,1.855,1.68,1.77,136226.0,0.0,1.0,6.76,7.42,6.72,7.08,34056.5
2020-01-16,1.84,1.85,1.69,1.76,75329.0,0.0,1.0,7.36,7.4,6.76,7.04,18832.25
2020-01-17,1.75,1.76,1.45,1.59,174668.0,0.0,1.0,7.0,7.04,5.8,6.36,43667.0
2020-01-21,1.55,1.6798,1.33,1.4,201654.0,0.0,1.0,6.2,6.7192,5.32,5.6,50413.5
2020-01-22,1.39,1.47,1.21,1.45,156623.0,0.0,1.0,5.56,5.88,4.84,5.8,39155.75
2020-01-23,1.56,1.56,1.36,1.49,172640.0,0.0,1.0,6.24,6.24,5.44,5.96,43160.0
2020-01-24,1.4,1.495,1.4,1.4301,42173.0,0.0,1.0,5.6,5.98,5.6,5.7204,10543.25
2020-01-27,1.42,1.47,1.39,1.44,59058.0,0.0,1.0,5.68,5.88,5.56,5.76,14764.5
2020-01-28,1.44,1.49,1.39,1.45,23264.0,0.0,1.0,5.76,5.96,5.56,5.8,5816.0
2020-01-29,1.45,1.4873,1.4101,1.42,21997.0,0.0,1.0,5.8,5.9492,5.6404,5.68,5499.25
2020-01-30,1.42,1.43,1.3409,1.41,23539.0,0.0,1.0,5.68,5.72,5.3636,5.64,5884.75
2020-01-31,1.37,1.44,1.279,1.31,37142.0,0.0,1.0,5.48,5.76,5.116,5.24,9285.5
2020-02-03,1.29,1.3,1.24,1.25,44413.0,0.0,1.0,5.16,5.2,4.96,5.0,11103.25
2020-02-04,1.25,1.4,1.2102,1.3,165332.0,0.0,1.0,5.0,5.6,4.8408,5.2,41333.0
2020-02-05,1.3,1.3973,1.2601,1.32,28118.0,0.0,1.0,5.2,5.5892,5.0404,5.28,7029.5
2020-02-06,1.42,1.42,1.3301,1.38,37202.0,0.0,1.0,5.68,5.68,5.3204,5.52,9300.5
2020-02-07,1.37,1.3938,1.33,1.33,13503.0,0.0,1.0,5.48,5.5752,5.32,5.32,3375.75
2020-02-10,1.47,1.47,1.33,1.34,26868.0,0.0,1.0,5.88,5.88,5.32,5.36,6717.0
2020-02-11,1.35,1.36,1.2702,1.3591,41674.0,0.0,1.0,5.4,5.44,5.0808,5.4364,10418.5
2020-02-12,1.2735,1.42,1.2735,1.4,15122.0,0.0,1.0,5.094,5.68,5.094,5.6,3780.5
2020-02-13,1.32,1.39,1.29,1.33,14515.0,0.0,1.0,5.28,5.56,5.16,5.32,3628.75
2020-02-14,1.3,1.35,1.3,1.33,10745.0,0.0,1.0,5.2,5.4,5.2,5.32,2686.25
2020-02-18,1.33,1.354,1.3,1.31,12451.0,0.0,1.0,5.32,5.416,5.2,5.24,3112.75
2020-02-19,1.3,1.3001,1.25,1.27,30589.0,0.0,1.0,5.2,5.2004,5.0,5.08,7647.25
2020-02-20,1.349,1.349,1.22,1.3,19832.0,0.0,1.0,5.396,5.396,4.88,5.2,4958.0
2020-02-21,1.325,1.35,1.2301,1.29,13815.0,0.0,1.0,5.3,5.4,4.9204,5.16,3453.75
2020-02-24,1.34,1.34,1.22,1.29,13020.0,0.0,1.0,5.36,5.36,4.88,5.16,3255.0
2020-02-25,1.29,1.29,1.2,1.226,28565.0,0.0,1.0,5.16,5.16,4.8,4.904,7141.25
2020-02-26,1.26,1.2686,1.209,1.26,18737.0,0.0,1.0,5.04,5.0744,4.836,5.04,4684.25
2020-02-27,1.21,1.215,1.09,1.17,67404.0,0.0,1.0,4.84,4.86,4.36,4.68,16851.0
2020-02-28,1.09,1.16,1.03,1.1474,63668.0,0.0,1.0,4.36,4.64,4.12,4.5896,15917.0
2020-03-02,1.12,1.1744,1.12,1.1403,12974.0,0.0,1.0,4.48,4.6976,4.48,4.5612,3243.5
2020-03-03,1.13,1.13,1.05,1.12,26374.0,0.0,1.0,4.52,4.52,4.2,4.48,6593.5
2020-03-04,1.12,1.1699,1.1177,1.1512,15049.0,0.0,1.0,4.48,4.6796,4.4708,4.6048,3762.25
2020-03-05,1.15,1.1869,1.0501,1.1,22447.0,0.0,1.0,4.6,4.7476,4.2004,4.4,5611.75
2020-03-06,1.0601,1.14,1.06,1.12,20453.0,0.0,1.0,4.2404,4.56,4.24,4.48,5113.25
2020-03-09,1.05,1.09,1.02,1.03,47644.0,0.0,1.0,4.2,4.36,4.08,4.12,11911.0
2020-03-10,1.0375,1.0699,0.9,0.93,43397.0,0.0,1.0,4.15,4.2796,3.6,3.72,10849.25
2020-03-11,0.95,1.07,0.9272,1.05,44046.0,0.0,1.0,3.8,4.28,3.7088,4.2,11011.5
2020-03-12,0.91,0.9955,0.9,0.920999,14107.0,0.0,1.0,3.64,3.982,3.6,3.683996,3526.75
2020-03-13,0.91,0.98,0.9,0.9,26789.0,0.0,1.0,3.64,3.92,3.6,3.6,6697.25
2020-03-16,0.83,0.92,0.82,0.87505,29972.0,0.0,1.0,3.32,3.68,3.28,3.5002,7493.0
2020-03-17,0.85,0.91,0.781,0.7904,63016.0,0.0,1.0,3.4,3.64,3.124,3.1616,15754.0
