Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-17,1.75,1.87,1.57,1.765,166685.0,0.0,1.0,1.75,1.87,1.57,1.765,166685.0
2020-11-18,2.04,3.4899,1.99,3.19,1062904.0,0.0,1.0,2.04,3.4899,1.99,3.19,1062904.0
2020-11-19,3.3,3.84,3.1,3.3498,389058.0,0.0,1.0,3.3,3.84,3.1,3.3498,389058.0
2020-11-20,3.35,4.0,3.28,4.0,285240.0,0.0,1.0,3.35,4.0,3.28,4.0,285240.0
2020-11-23,4.25,4.5,3.95,4.22,478190.0,0.0,1.0,4.25,4.5,3.95,4.22,478190.0
2020-11-24,4.25,4.75,3.24,3.57,356571.0,0.0,1.0,4.25,4.75,3.24,3.57,356571.0
2020-11-25,3.98,4.78,3.6668,4.3,440135.0,0.0,1.0,3.98,4.78,3.6668,4.3,440135.0
2020-11-27,4.5,4.65,4.1,4.25,183865.0,0.0,1.0,4.5,4.65,4.1,4.25,183865.0
2020-11-30,4.5,4.5,3.5802,4.05,227464.0,0.0,1.0,4.5,4.5,3.5802,4.05,227464.0
2020-12-01,4.06,4.07,3.63,3.83,122346.0,0.0,1.0,4.06,4.07,3.63,3.83,122346.0
2020-12-02,3.8,3.94,3.18,3.62,198083.0,0.0,1.0,3.8,3.94,3.18,3.62,198083.0
2020-12-03,3.5918,4.07,3.55,3.83,63276.0,0.0,1.0,3.5918,4.07,3.55,3.83,63276.0
2020-12-04,3.9,4.14,3.635,3.76,91755.0,0.0,1.0,3.9,4.14,3.635,3.76,91755.0
2020-12-07,3.76,4.1,3.6,3.96,455694.0,0.0,1.0,3.76,4.1,3.6,3.96,455694.0
2020-12-08,4.15,4.15,3.55,3.61,139059.0,0.0,1.0,4.15,4.15,3.55,3.61,139059.0
2020-12-09,3.78,4.21,3.61,3.72,286379.0,0.0,1.0,3.78,4.21,3.61,3.72,286379.0
2020-12-10,3.85,4.14,3.52,3.93,301830.0,0.0,1.0,3.85,4.14,3.52,3.93,301830.0
2020-12-11,3.8,4.16,3.5,3.52,333672.0,0.0,1.0,3.8,4.16,3.5,3.52,333672.0
2020-12-14,3.96,3.96,3.39,3.56,173732.0,0.0,1.0,3.96,3.96,3.39,3.56,173732.0
2020-12-15,3.97,3.97,3.56,3.6,138781.0,0.0,1.0,3.97,3.97,3.56,3.6,138781.0
2020-12-16,3.9,3.9,3.58,3.63,113266.0,0.0,1.0,3.9,3.9,3.58,3.63,113266.0
2020-12-17,3.75,3.75,3.5,3.53,161907.0,0.0,1.0,3.75,3.75,3.5,3.53,161907.0
2020-12-18,3.625,3.79,3.45,3.565,77152.0,0.0,1.0,3.625,3.79,3.45,3.565,77152.0
2020-12-21,3.59,3.85,3.48,3.67,156626.0,0.0,1.0,3.59,3.85,3.48,3.67,156626.0
2020-12-22,4.26,4.5,4.01,4.325,308705.0,0.0,1.0,4.26,4.5,4.01,4.325,308705.0
2020-12-23,4.72,8.25,4.3,7.95,1284989.0,0.0,1.0,4.72,8.25,4.3,7.95,1284989.0
2020-12-24,8.1,8.11,6.08,6.685,281279.0,0.0,1.0,8.1,8.11,6.08,6.685,281279.0
2020-12-28,7.3918,8.0999,7.02,7.51,440755.0,0.0,1.0,7.3918,8.0999,7.02,7.51,440755.0
2020-12-29,7.21,8.27,6.73,8.2,235970.0,0.0,1.0,7.21,8.27,6.73,8.2,235970.0
2020-12-30,7.51,8.99,7.51,8.62,163794.0,0.0,1.0,7.51,8.99,7.51,8.62,163794.0
2020-12-31,8.74,9.17,8.01,8.31,72342.0,0.0,1.0,8.74,9.17,8.01,8.31,72342.0
