Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.79,1.79,1.79,1.79,269.0,0.0,1.0,1.79,1.79,1.79,1.79,269.0
2020-01-03,1.641,1.75,1.641,1.75,3800.0,0.0,1.0,1.641,1.75,1.641,1.75,3800.0
2020-01-06,1.75,1.75,1.75,1.75,51.0,0.0,1.0,1.75,1.75,1.75,1.75,51.0
2020-01-07,1.65,1.65,1.65,1.65,683.0,0.0,1.0,1.65,1.65,1.65,1.65,683.0
2020-01-08,1.74,1.77,1.6864,1.74,2151.0,0.0,1.0,1.74,1.77,1.6864,1.74,2151.0
2020-01-09,1.74,1.74,1.74,1.74,0.0,0.0,1.0,1.74,1.74,1.74,1.74,0.0
2020-01-10,1.7571,1.76,1.7206,1.757,2300.0,0.0,1.0,1.7571,1.76,1.7206,1.757,2300.0
2020-01-13,1.757,1.757,1.757,1.757,14.0,0.0,1.0,1.757,1.757,1.757,1.757,14.0
2020-01-14,1.77,1.77,1.73,1.7592,2300.0,0.0,1.0,1.77,1.77,1.73,1.7592,2300.0
2020-01-15,1.73,1.74,1.7,1.73,1715.0,0.0,1.0,1.73,1.74,1.7,1.73,1715.0
2020-01-16,1.6756,1.7466,1.62,1.72,5626.0,0.0,1.0,1.6756,1.7466,1.62,1.72,5626.0
2020-01-17,1.66,1.7,1.66,1.7,8164.0,0.0,1.0,1.66,1.7,1.66,1.7,8164.0
2020-01-21,1.65,1.69,1.65,1.69,341.0,0.0,1.0,1.65,1.69,1.65,1.69,341.0
2020-01-22,1.7,1.7,1.59,1.7,2403.0,0.0,1.0,1.7,1.7,1.59,1.7,2403.0
2020-01-23,1.736,1.736,1.736,1.736,118.0,0.0,1.0,1.736,1.736,1.736,1.736,118.0
2020-01-24,1.736,1.736,1.736,1.736,2.0,0.0,1.0,1.736,1.736,1.736,1.736,2.0
2020-01-27,1.7615,1.7615,1.7615,1.7615,431.0,0.0,1.0,1.7615,1.7615,1.7615,1.7615,431.0
2020-01-28,1.7615,1.7615,1.7615,1.7615,0.0,0.0,1.0,1.7615,1.7615,1.7615,1.7615,0.0
2020-01-29,1.78,1.78,1.74,1.78,1331.0,0.0,1.0,1.78,1.78,1.74,1.78,1331.0
2020-01-30,1.7027,1.78,1.7,1.78,1922.0,0.0,1.0,1.7027,1.78,1.7,1.78,1922.0
2020-01-31,1.78,1.78,1.78,1.78,3.0,0.0,1.0,1.78,1.78,1.78,1.78,3.0
2020-02-03,1.79,1.79,1.71,1.79,1711.0,0.0,1.0,1.79,1.79,1.71,1.79,1711.0
2020-02-04,1.79,1.79,1.718,1.718,1020.0,0.0,1.0,1.79,1.79,1.718,1.718,1020.0
2020-02-05,1.7,1.71,1.655,1.71,13905.0,0.0,1.0,1.7,1.71,1.655,1.71,13905.0
2020-02-06,1.71,1.71,1.71,1.71,9.0,0.0,1.0,1.71,1.71,1.71,1.71,9.0
2020-02-07,1.71,1.71,1.71,1.71,0.0,0.0,1.0,1.71,1.71,1.71,1.71,0.0
2020-02-10,1.71,1.71,1.71,1.71,0.0,0.0,1.0,1.71,1.71,1.71,1.71,0.0
2020-02-11,1.71,1.78,1.71,1.78,8721.0,0.0,1.0,1.71,1.78,1.71,1.78,8721.0
2020-02-12,1.745,1.85,1.745,1.81,5921.0,0.0,1.0,1.745,1.85,1.745,1.81,5921.0
2020-02-13,1.81,1.81,1.81,1.81,4.0,0.0,1.0,1.81,1.81,1.81,1.81,4.0
2020-02-14,1.83,1.85,1.83,1.85,2358.0,0.0,1.0,1.83,1.85,1.83,1.85,2358.0
2020-02-18,1.7752,1.84,1.7752,1.84,600.0,0.0,1.0,1.7752,1.84,1.7752,1.84,600.0
2020-02-19,1.845,1.89,1.8434,1.89,2183.0,0.0,1.0,1.845,1.89,1.8434,1.89,2183.0
2020-02-20,1.89,1.89,1.89,1.89,201.0,0.0,1.0,1.89,1.89,1.89,1.89,201.0
2020-02-21,1.718,1.85,1.718,1.85,1058.0,0.0,1.0,1.718,1.85,1.718,1.85,1058.0
2020-02-24,1.77,1.83,1.77,1.77,1203.0,0.0,1.0,1.77,1.83,1.77,1.77,1203.0
2020-02-25,1.89,1.89,1.79,1.79,1414.0,0.0,1.0,1.89,1.89,1.79,1.79,1414.0
2020-02-26,1.76,1.88,1.76,1.88,926.0,0.0,1.0,1.76,1.88,1.76,1.88,926.0
2020-02-27,1.89,1.89,1.7911,1.7911,10264.0,0.0,1.0,1.89,1.89,1.7911,1.7911,10264.0
2020-02-28,1.88,1.88,1.7397,1.78,3857.0,0.0,1.0,1.88,1.88,1.7397,1.78,3857.0
2020-03-02,1.72,1.72,1.53,1.64,35443.0,0.0,1.0,1.72,1.72,1.53,1.64,35443.0
2020-03-03,1.65,1.65,1.604,1.604,752.0,0.0,1.0,1.65,1.65,1.604,1.604,752.0
2020-03-04,1.56,1.6,1.53,1.6,11810.0,0.0,1.0,1.56,1.6,1.53,1.6,11810.0
2020-03-05,1.5406,1.6198,1.5,1.57,5807.0,0.0,1.0,1.5406,1.6198,1.5,1.57,5807.0
2020-03-06,1.42,1.55,1.42,1.53,5700.0,0.0,1.0,1.42,1.55,1.42,1.53,5700.0
2020-03-09,1.47,1.47,1.01,1.19,26641.0,0.0,1.0,1.47,1.47,1.01,1.19,26641.0
2020-03-10,1.27,1.32,1.08,1.2,34134.0,0.0,1.0,1.27,1.32,1.08,1.2,34134.0
2020-03-11,1.21,1.25,1.15,1.1614,62645.0,0.0,1.0,1.21,1.25,1.15,1.1614,62645.0
2020-03-12,1.26,1.3092,1.26,1.3092,2111.0,0.0,1.0,1.26,1.3092,1.26,1.3092,2111.0
2020-03-13,1.09,1.29,1.053,1.29,6740.0,0.0,1.0,1.09,1.29,1.053,1.29,6740.0
2020-03-16,1.29,1.39,1.01,1.3001,7065.0,0.0,1.0,1.29,1.39,1.01,1.3001,7065.0
2020-03-17,1.1305,1.1305,1.1305,1.1305,103.0,0.0,1.0,1.1305,1.1305,1.1305,1.1305,103.0
2020-03-18,1.1305,1.1305,1.1305,1.1305,3.0,0.0,1.0,1.1305,1.1305,1.1305,1.1305,3.0
2020-03-19,1.13,1.13,1.13,1.13,207.0,0.0,1.0,1.13,1.13,1.13,1.13,207.0
2020-03-20,1.01,1.05,0.89,1.008,21616.0,0.0,1.0,1.01,1.05,0.89,1.008,21616.0
2020-03-23,0.8212,0.99,0.8211,0.99,1626.0,0.0,1.0,0.8212,0.99,0.8211,0.99,1626.0
2020-03-24,1.01,1.01,0.8268,0.96,9240.0,0.0,1.0,1.01,1.01,0.8268,0.96,9240.0
2020-03-25,1.01,1.13,0.985,1.02,9377.0,0.0,1.0,1.01,1.13,0.985,1.02,9377.0
2020-03-26,1.02,1.0451,0.9702,1.043,18003.0,0.0,1.0,1.02,1.0451,0.9702,1.043,18003.0
2020-03-27,0.8509,1.0,0.8509,1.0,301.0,0.0,1.0,0.8509,1.0,0.8509,1.0,301.0
2020-03-30,0.8301,1.01,0.7441,1.01,8251.0,0.0,1.0,0.8301,1.01,0.7441,1.01,8251.0
2020-03-31,1.01,1.01,0.95,0.95,6070.0,0.0,1.0,1.01,1.01,0.95,0.95,6070.0
2020-04-01,0.95,0.95,0.95,0.95,23.0,0.0,1.0,0.95,0.95,0.95,0.95,23.0
2020-04-02,0.99,0.99,0.9899,0.9899,400.0,0.0,1.0,0.99,0.99,0.9899,0.9899,400.0
2020-04-03,0.8744,0.97,0.8744,0.97,320.0,0.0,1.0,0.8744,0.97,0.8744,0.97,320.0
2020-04-06,0.9799,0.99,0.9501,0.99,2711.0,0.0,1.0,0.9799,0.99,0.9501,0.99,2711.0
2020-04-07,0.99,0.99,0.99,0.99,0.0,0.0,1.0,0.99,0.99,0.99,0.99,0.0
2020-04-08,0.94,0.99,0.94,0.99,609.0,0.0,1.0,0.94,0.99,0.94,0.99,609.0
2020-04-09,0.99,1.11,0.9801,1.11,14805.0,0.0,1.0,0.99,1.11,0.9801,1.11,14805.0
2020-04-13,1.1,1.13,1.035,1.07,960.0,0.0,1.0,1.1,1.13,1.035,1.07,960.0
2020-04-14,1.13,1.13,1.02,1.09,4666.0,0.0,1.0,1.13,1.13,1.02,1.09,4666.0
2020-04-15,1.13,1.13,1.13,1.13,100.0,0.0,1.0,1.13,1.13,1.13,1.13,100.0
