Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.39,6.41,6.01,6.18,168137.0,0.0,1.0,6.39,6.41,6.01,6.18,168137.0
2020-01-03,6.23,6.4,6.15,6.31,204580.0,0.0,1.0,6.23,6.4,6.15,6.31,204580.0
2020-01-06,6.42,6.73,6.37,6.61,310654.0,0.0,1.0,6.42,6.73,6.37,6.61,310654.0
2020-01-07,6.7,7.23,6.66,6.95,454454.0,0.0,1.0,6.7,7.23,6.66,6.95,454454.0
2020-01-08,7.13,7.17,6.29,6.48,353117.0,0.0,1.0,7.13,7.17,6.29,6.48,353117.0
2020-01-09,6.48,6.48,6.11,6.29,299517.0,0.0,1.0,6.48,6.48,6.11,6.29,299517.0
2020-01-10,6.31,6.36,5.98,6.05,334805.0,0.0,1.0,6.31,6.36,5.98,6.05,334805.0
2020-01-13,6.08,6.1,5.75,5.78,284431.0,0.0,1.0,6.08,6.1,5.75,5.78,284431.0
2020-01-14,5.75,5.75,5.31,5.45,343851.0,0.0,1.0,5.75,5.75,5.31,5.45,343851.0
2020-01-15,5.45,5.51,5.23,5.36,175046.0,0.0,1.0,5.45,5.51,5.23,5.36,175046.0
2020-01-16,5.38,5.87,5.38,5.56,195427.0,0.0,1.0,5.38,5.87,5.38,5.56,195427.0
2020-01-17,5.63,5.6399,5.34,5.46,210259.0,0.0,1.0,5.63,5.6399,5.34,5.46,210259.0
2020-01-21,5.37,5.43,5.21,5.27,208287.0,0.0,1.0,5.37,5.43,5.21,5.27,208287.0
2020-01-22,5.24,5.28,5.08,5.11,192179.0,0.0,1.0,5.24,5.28,5.08,5.11,192179.0
2020-01-23,5.01,5.05,4.7622,4.9,313223.0,0.0,1.0,5.01,5.05,4.7622,4.9,313223.0
2020-01-24,4.89,4.9497,4.7,4.75,140101.0,0.0,1.0,4.89,4.9497,4.7,4.75,140101.0
2020-01-27,4.62,4.735,4.55,4.57,191164.0,0.0,1.0,4.62,4.735,4.55,4.57,191164.0
2020-01-28,4.61,4.72,4.52,4.7,130068.0,0.0,1.0,4.61,4.72,4.52,4.7,130068.0
2020-01-29,4.74,4.74,4.53,4.62,157670.0,0.0,1.0,4.74,4.74,4.53,4.62,157670.0
2020-01-30,4.53,5.1802,4.53,5.15,221865.0,0.0,1.0,4.53,5.1802,4.53,5.15,221865.0
2020-01-31,5.23,5.23,4.9367,5.0,223144.0,0.0,1.0,5.23,5.23,4.9367,5.0,223144.0
2020-02-03,5.0,5.11,4.56,4.59,343663.0,0.0,1.0,5.0,5.11,4.56,4.59,343663.0
2020-02-04,4.65,4.84,4.65,4.69,226067.0,0.0,1.0,4.65,4.84,4.65,4.69,226067.0
2020-02-05,4.87,5.15,4.865,5.14,362995.0,0.0,1.0,4.87,5.15,4.865,5.14,362995.0
2020-02-06,5.14,5.16,4.85,4.88,207395.0,0.0,1.0,5.14,5.16,4.85,4.88,207395.0
2020-02-07,4.81,4.8777,4.48,4.51,201486.0,0.0,1.0,4.81,4.8777,4.48,4.51,201486.0
2020-02-10,4.57,4.65,4.37,4.45,259760.0,0.0,1.0,4.57,4.65,4.37,4.45,259760.0
2020-02-11,4.52,4.655,4.5,4.52,199297.0,0.0,1.0,4.52,4.655,4.5,4.52,199297.0
2020-02-12,4.63,4.68,4.44,4.58,242314.0,0.0,1.0,4.63,4.68,4.44,4.58,242314.0
2020-02-13,4.59,4.65,4.483,4.53,103249.0,0.0,1.0,4.59,4.65,4.483,4.53,103249.0
2020-02-14,4.55,4.58,4.3599,4.41,155786.0,0.0,1.0,4.55,4.58,4.3599,4.41,155786.0
2020-02-18,4.38,4.42,4.27,4.38,144817.0,0.0,1.0,4.38,4.42,4.27,4.38,144817.0
2020-02-19,4.45,4.75,4.45,4.69,286914.0,0.0,1.0,4.45,4.75,4.45,4.69,286914.0
2020-02-20,4.75,4.97,4.71,4.75,152423.0,0.0,1.0,4.75,4.97,4.71,4.75,152423.0
2020-02-21,4.7,4.79,4.43,4.74,284248.0,0.0,1.0,4.7,4.79,4.43,4.74,284248.0
2020-02-24,4.56,4.56,4.26,4.48,312161.0,0.0,1.0,4.56,4.56,4.26,4.48,312161.0
2020-02-25,4.56,4.61,4.435,4.57,287332.0,0.0,1.0,4.56,4.61,4.435,4.57,287332.0
2020-02-26,4.57,4.5716,4.265,4.31,169166.0,0.0,1.0,4.57,4.5716,4.265,4.31,169166.0
2020-02-27,4.14,4.19,3.78,4.15,284463.0,0.0,1.0,4.14,4.19,3.78,4.15,284463.0
2020-02-28,3.99,4.01,3.79,3.85,299516.0,0.0,1.0,3.99,4.01,3.79,3.85,299516.0
2020-03-02,3.97,4.23,3.81,4.22,199730.0,0.0,1.0,3.97,4.23,3.81,4.22,199730.0
2020-03-03,4.29,4.3,3.91,3.96,136823.0,0.0,1.0,4.29,4.3,3.91,3.96,136823.0
2020-03-04,4.04,4.2,3.9,4.13,163713.0,0.0,1.0,4.04,4.2,3.9,4.13,163713.0
2020-03-05,4.01,4.07,3.79,3.82,232196.0,0.0,1.0,4.01,4.07,3.79,3.82,232196.0
2020-03-06,3.67,3.78,3.4,3.44,387284.0,0.0,1.0,3.67,3.78,3.4,3.44,387284.0
2020-03-09,2.63,2.63,2.01,2.48,1044605.0,0.0,1.0,2.63,2.63,2.01,2.48,1044605.0
2020-03-10,2.71,2.86,2.25,2.79,555258.0,0.0,1.0,2.71,2.86,2.25,2.79,555258.0
2020-03-11,2.68,2.68,2.28,2.37,463118.0,0.0,1.0,2.68,2.68,2.28,2.37,463118.0
2020-03-12,2.21,2.21,1.66,1.85,572480.0,0.0,1.0,2.21,2.21,1.66,1.85,572480.0
2020-03-13,1.99,2.25,1.88,2.25,512360.0,0.0,1.0,1.99,2.25,1.88,2.25,512360.0
2020-03-16,2.07,2.15,1.8,1.87,345903.0,0.0,1.0,2.07,2.15,1.8,1.87,345903.0
2020-03-17,1.95,2.09,1.83,1.92,396626.0,0.0,1.0,1.95,2.09,1.83,1.92,396626.0
2020-03-18,1.77,2.0,1.71,1.99,290993.0,0.0,1.0,1.77,2.0,1.71,1.99,290993.0
2020-03-19,2.02,2.27,2.0,2.23,364530.0,0.0,1.0,2.02,2.27,2.0,2.23,364530.0
2020-03-20,2.34,2.35,1.8,1.81,447141.0,0.0,1.0,2.34,2.35,1.8,1.81,447141.0
2020-03-23,1.91,1.94,1.72,1.74,328630.0,0.0,1.0,1.91,1.94,1.72,1.74,328630.0
2020-03-24,1.85,2.15,1.82,2.15,382931.0,0.0,1.0,1.85,2.15,1.82,2.15,382931.0
2020-03-25,2.32,2.35,2.03,2.22,373152.0,0.0,1.0,2.32,2.35,2.03,2.22,373152.0
2020-03-26,2.27,2.33,1.97,2.32,438378.0,0.0,1.0,2.27,2.33,1.97,2.32,438378.0
2020-03-27,2.2,2.28,1.99,2.01,244457.0,0.0,1.0,2.2,2.28,1.99,2.01,244457.0
2020-03-30,2.0,2.0,1.75,1.77,499353.0,0.0,1.0,2.0,2.0,1.75,1.77,499353.0
2020-03-31,1.86,1.87,1.7,1.76,250126.0,0.0,1.0,1.86,1.87,1.7,1.76,250126.0
2020-04-01,1.63,1.66,1.52,1.56,234254.0,0.0,1.0,1.63,1.66,1.52,1.56,234254.0
2020-04-02,1.71,1.955,1.6001,1.73,542018.0,0.0,1.0,1.71,1.955,1.6001,1.73,542018.0
2020-04-03,1.8,1.8,1.55,1.66,478374.0,0.0,1.0,1.8,1.8,1.55,1.66,478374.0
2020-04-06,1.78,1.78,1.692,1.75,288110.0,0.0,1.0,1.78,1.78,1.692,1.75,288110.0
2020-04-07,1.78,1.9756,1.6,1.65,509483.0,0.0,1.0,1.78,1.9756,1.6,1.65,509483.0
2020-04-08,1.7,1.91,1.67,1.83,296890.0,0.0,1.0,1.7,1.91,1.67,1.83,296890.0
2020-04-09,1.98,2.0674,1.7502,1.82,534512.0,0.0,1.0,1.98,2.0674,1.7502,1.82,534512.0
2020-04-13,1.94,2.0,1.81,1.85,259185.0,0.0,1.0,1.94,2.0,1.81,1.85,259185.0
2020-04-14,1.85,1.93,1.76,1.89,347041.0,0.0,1.0,1.85,1.93,1.76,1.89,347041.0
2020-04-15,1.8,1.815,1.66,1.81,265931.0,0.0,1.0,1.8,1.815,1.66,1.81,265931.0
2020-04-16,1.81,1.81,1.66,1.67,149504.0,0.0,1.0,1.81,1.81,1.66,1.67,149504.0
2020-04-17,1.73,1.73,1.61,1.67,300070.0,0.0,1.0,1.73,1.73,1.61,1.67,300070.0
