Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-09-18,1.34,1.525,1.3,1.3,59806.0,0.0,1.0,1.34,1.525,1.3,1.3,59806.0
2020-09-21,1.4,1.4499,1.26,1.26,494189.0,0.0,1.0,1.4,1.4499,1.26,1.26,494189.0
2020-09-22,1.26,1.4,1.25,1.326,7785.0,0.0,1.0,1.26,1.4,1.25,1.326,7785.0
2020-09-23,1.37,1.37,1.16,1.29,16406.0,0.0,1.0,1.37,1.37,1.16,1.29,16406.0
2020-09-24,1.28,1.28,1.0,1.0,39076.0,0.0,1.0,1.28,1.28,1.0,1.0,39076.0
2020-09-25,1.05,1.05,0.9825,0.99,35860.0,0.0,1.0,1.05,1.05,0.9825,0.99,35860.0
2020-09-28,1.0,1.0,0.91,0.955,55131.0,0.0,1.0,1.0,1.0,0.91,0.955,55131.0
2020-09-29,1.0,1.0,0.9,0.9499,178856.0,0.0,1.0,1.0,1.0,0.9,0.9499,178856.0
2020-09-30,0.95,0.95,0.92,0.9425,136821.0,0.0,1.0,0.95,0.95,0.92,0.9425,136821.0
2020-10-01,0.94,0.95,0.9,0.94,75392.0,0.0,1.0,0.94,0.95,0.9,0.94,75392.0
2020-10-02,0.925,0.94,0.899999,0.9,22870.0,0.0,1.0,0.925,0.94,0.899999,0.9,22870.0
2020-10-05,0.94,0.94,0.87,0.8956,47307.0,0.0,1.0,0.94,0.94,0.87,0.8956,47307.0
2020-10-06,0.9399,1.1,0.9,0.9499,243912.0,0.0,1.0,0.9399,1.1,0.9,0.9499,243912.0
2020-10-07,0.95,0.95,0.855,0.91,53082.0,0.0,1.0,0.95,0.95,0.855,0.91,53082.0
2020-10-08,0.94,0.95,0.91,0.91,79869.0,0.0,1.0,0.94,0.95,0.91,0.91,79869.0
2020-10-09,0.92,0.94,0.91,0.91,8186.0,0.0,1.0,0.92,0.94,0.91,0.91,8186.0
2020-10-12,0.894999,0.909999,0.88,0.89,21049.0,0.0,1.0,0.894999,0.909999,0.88,0.89,21049.0
2020-10-13,0.9099,0.91,0.85,0.89,52177.0,0.0,1.0,0.9099,0.91,0.85,0.89,52177.0
2020-10-14,0.95,0.95,0.895,0.94,83469.0,0.0,1.0,0.95,0.95,0.895,0.94,83469.0
2020-10-15,0.95,1.045,0.93,0.9305,173101.0,0.0,1.0,0.95,1.045,0.93,0.9305,173101.0
2020-10-16,0.949999,0.95,0.9499,0.949984,92788.0,0.0,1.0,0.949999,0.95,0.9499,0.949984,92788.0
2020-10-19,0.95,0.95,0.94,0.945001,26313.0,0.0,1.0,0.95,0.95,0.94,0.945001,26313.0
2020-10-20,0.95,0.95,0.9,0.91,17505.0,0.0,1.0,0.95,0.95,0.9,0.91,17505.0
2020-10-21,0.95,0.95,0.9,0.94,113776.0,0.0,1.0,0.95,0.95,0.9,0.94,113776.0
