Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.01,5.0999,4.83,4.96,6995.0,0.0,1.0,5.01,5.0999,4.83,4.96,6995.0
2020-01-03,4.9963,5.06,4.95,4.95,8221.0,0.0,1.0,4.9963,5.06,4.95,4.95,8221.0
2020-01-06,4.96,5.1299,4.96,5.0,1539.0,0.0,1.0,4.96,5.1299,4.96,5.0,1539.0
2020-01-07,5.0,5.0,5.0,5.0,622.0,0.0,1.0,5.0,5.0,5.0,5.0,622.0
2020-01-08,5.05,5.1757,5.04,5.05,3652.0,0.0,1.0,5.05,5.1757,5.04,5.05,3652.0
2020-01-09,5.079,5.4361,4.9,4.9,72983.0,0.0,1.0,5.079,5.4361,4.9,4.9,72983.0
2020-01-10,4.94,5.03,4.81,5.0,8286.0,0.0,1.0,4.94,5.03,4.81,5.0,8286.0
2020-01-13,4.76,4.9499,4.76,4.89,5034.0,0.0,1.0,4.76,4.9499,4.76,4.89,5034.0
2020-01-14,4.9183,4.9183,4.7846,4.88,3290.0,0.0,1.0,4.9183,4.9183,4.7846,4.88,3290.0
2020-01-15,4.63,4.87,4.24,4.7,10457.0,0.0,1.0,4.63,4.87,4.24,4.7,10457.0
2020-01-16,4.8468,4.8468,4.695,4.77,3628.0,0.0,1.0,4.8468,4.8468,4.695,4.77,3628.0
2020-01-17,4.75,4.8827,4.75,4.8,12704.0,0.0,1.0,4.75,4.8827,4.75,4.8,12704.0
2020-01-21,4.92,4.92,4.7,4.88,8018.0,0.0,1.0,4.92,4.92,4.7,4.88,8018.0
2020-01-22,4.9053,4.91,4.9053,4.9088,1330.0,0.0,1.0,4.9053,4.91,4.9053,4.9088,1330.0
2020-01-23,4.94,5.03,4.94,4.94,4661.0,0.0,1.0,4.94,5.03,4.94,4.94,4661.0
2020-01-24,4.9568,5.21,4.82,4.86,28600.0,0.0,1.0,4.9568,5.21,4.82,4.86,28600.0
2020-01-27,4.8,5.001,4.8,4.8,2621.0,0.0,1.0,4.8,5.001,4.8,4.8,2621.0
2020-01-28,4.86,5.02,4.86,4.916,872.0,0.0,1.0,4.86,5.02,4.86,4.916,872.0
2020-01-29,5.08,5.17,5.0,5.09,7686.0,0.0,1.0,5.08,5.17,5.0,5.09,7686.0
2020-01-30,4.9807,5.15,4.9807,5.0822,2677.0,0.0,1.0,4.9807,5.15,4.9807,5.0822,2677.0
2020-01-31,5.05,5.05,5.0,5.0,581.0,0.0,1.0,5.05,5.05,5.0,5.0,581.0
2020-02-03,5.0001,5.16,4.9684,4.9684,3637.0,0.0,1.0,5.0001,5.16,4.9684,4.9684,3637.0
2020-02-04,5.26,5.26,4.9,5.0931,2037.0,0.0,1.0,5.26,5.26,4.9,5.0931,2037.0
2020-02-05,4.9289,5.13,4.9289,5.13,1729.0,0.0,1.0,4.9289,5.13,4.9289,5.13,1729.0
2020-02-06,5.0,5.075,5.0,5.075,7819.0,0.0,1.0,5.0,5.075,5.0,5.075,7819.0
2020-02-07,5.28,5.28,5.16,5.1616,3245.0,0.0,1.0,5.28,5.28,5.16,5.1616,3245.0
2020-02-10,5.22,5.295,5.1637,5.295,2827.0,0.0,1.0,5.22,5.295,5.1637,5.295,2827.0
2020-02-11,5.02,5.38,5.02,5.38,2999.0,0.0,1.0,5.02,5.38,5.02,5.38,2999.0
2020-02-12,5.265,5.265,5.0,5.0,3411.0,0.0,1.0,5.265,5.265,5.0,5.0,3411.0
2020-02-13,5.123,5.255,5.002,5.255,20278.0,0.0,1.0,5.123,5.255,5.002,5.255,20278.0
2020-02-14,5.1064,5.29,5.1064,5.24,5032.0,0.0,1.0,5.1064,5.29,5.1064,5.24,5032.0
2020-02-18,5.29,5.4,5.29,5.34,3997.0,0.0,1.0,5.29,5.4,5.29,5.34,3997.0
2020-02-19,5.45,5.45,5.05,5.05,22718.0,0.0,1.0,5.45,5.45,5.05,5.05,22718.0
2020-02-20,5.02,5.3039,5.0,5.3,10079.0,0.0,1.0,5.02,5.3039,5.0,5.3,10079.0
2020-02-21,5.3,5.3,5.11,5.1339,2352.0,0.0,1.0,5.3,5.3,5.11,5.1339,2352.0
2020-02-24,5.01,5.22,5.0,5.0322,3660.0,0.0,1.0,5.01,5.22,5.0,5.0322,3660.0
2020-02-25,5.07,5.25,4.94,5.0058,15698.0,0.0,1.0,5.07,5.25,4.94,5.0058,15698.0
2020-02-26,5.1098,5.1098,4.95,5.02,5647.0,0.0,1.0,5.1098,5.1098,4.95,5.02,5647.0
2020-02-27,5.06,5.16,5.06,5.16,886.0,0.0,1.0,5.06,5.16,5.06,5.16,886.0
2020-02-28,5.15,5.28,4.9147,5.27,2278.0,0.0,1.0,5.15,5.28,4.9147,5.27,2278.0
2020-03-02,5.01,5.156,4.9698,5.005,21186.0,0.0,1.0,5.01,5.156,4.9698,5.005,21186.0
2020-03-03,5.0692,5.23,5.035,5.09,4159.0,0.0,1.0,5.0692,5.23,5.035,5.09,4159.0
2020-03-04,5.25,5.448,4.9775,5.1,28210.0,0.0,1.0,5.25,5.448,4.9775,5.1,28210.0
2020-03-05,5.0,5.333,5.0,5.1,6649.0,0.0,1.0,5.0,5.333,5.0,5.1,6649.0
2020-03-06,5.0,5.2,4.97,4.97,11399.0,0.0,1.0,5.0,5.2,4.97,4.97,11399.0
2020-03-09,5.15,5.2,4.9,5.09,7793.0,0.0,1.0,5.15,5.2,4.9,5.09,7793.0
2020-03-10,5.2809,5.2809,4.2,4.21,28044.0,0.0,1.0,5.2809,5.2809,4.2,4.21,28044.0
2020-03-11,4.2,4.57,4.13,4.13,12306.0,0.0,1.0,4.2,4.57,4.13,4.13,12306.0
2020-03-12,2.99,3.25,2.99,3.075,14503.0,0.0,1.0,2.99,3.25,2.99,3.075,14503.0
