Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.8851,0.98,0.86,0.89,5633.0,0.0,1.0,0.8851,0.98,0.86,0.89,5633.0
2020-01-03,0.945,0.95,0.88,0.88,49983.0,0.0,1.0,0.945,0.95,0.88,0.88,49983.0
2020-01-06,0.88,0.9797,0.88,0.92,11070.0,0.0,1.0,0.88,0.9797,0.88,0.92,11070.0
2020-01-07,0.95,0.955,0.9045,0.92,6949.0,0.0,1.0,0.95,0.955,0.9045,0.92,6949.0
2020-01-08,0.93,0.95,0.9246,0.95,6300.0,0.0,1.0,0.93,0.95,0.9246,0.95,6300.0
2020-01-09,0.95,0.96,0.93,0.935,2826.0,0.0,1.0,0.95,0.96,0.93,0.935,2826.0
2020-01-10,0.94,0.97995,0.91,0.9101,21240.0,0.0,1.0,0.94,0.97995,0.91,0.9101,21240.0
2020-01-13,0.92,0.92,0.8901,0.91,13201.0,0.0,1.0,0.92,0.92,0.8901,0.91,13201.0
2020-01-14,0.97,0.97,0.9,0.9174,1713.0,0.0,1.0,0.97,0.97,0.9,0.9174,1713.0
2020-01-15,0.93,0.95,0.88,0.8803,5462.0,0.0,1.0,0.93,0.95,0.88,0.8803,5462.0
2020-01-16,0.89,0.95,0.89,0.925,23092.0,0.0,1.0,0.89,0.95,0.89,0.925,23092.0
2020-01-17,0.9,0.9497,0.9,0.9497,2938.0,0.0,1.0,0.9,0.9497,0.9,0.9497,2938.0
2020-01-21,0.91,0.95,0.9002,0.949,3018.0,0.0,1.0,0.91,0.95,0.9002,0.949,3018.0
2020-01-22,0.91001,0.95,0.91,0.93,1713.0,0.0,1.0,0.91001,0.95,0.91,0.93,1713.0
2020-01-23,0.91,0.9499,0.91,0.91,3955.0,0.0,1.0,0.91,0.9499,0.91,0.91,3955.0
2020-01-24,0.91,0.95,0.91,0.93,9358.0,0.0,1.0,0.91,0.95,0.91,0.93,9358.0
2020-01-27,0.91,0.9699,0.89,0.91,43239.0,0.0,1.0,0.91,0.9699,0.89,0.91,43239.0
2020-01-28,0.8945,0.9,0.8945,0.9,3139.0,0.0,1.0,0.8945,0.9,0.8945,0.9,3139.0
2020-01-29,0.9045,0.9259,0.9,0.9,8998.0,0.0,1.0,0.9045,0.9259,0.9,0.9,8998.0
2020-01-30,0.9,0.945,0.8677,0.9405,19106.0,0.0,1.0,0.9,0.945,0.8677,0.9405,19106.0
2020-01-31,0.8701,0.9198,0.87,0.8701,45231.0,0.0,1.0,0.8701,0.9198,0.87,0.8701,45231.0
2020-02-03,0.8801,0.8999,0.86,0.8601,33493.0,0.0,1.0,0.8801,0.8999,0.86,0.8601,33493.0
2020-02-04,0.863,0.9399,0.86,0.91,27587.0,0.0,1.0,0.863,0.9399,0.86,0.91,27587.0
2020-02-05,0.9,0.9,0.8701,0.8999,582.0,0.0,1.0,0.9,0.9,0.8701,0.8999,582.0
2020-02-06,0.9,0.9,0.85,0.8922,20884.0,0.0,1.0,0.9,0.9,0.85,0.8922,20884.0
2020-02-07,0.8543,0.93,0.8543,0.93,6076.0,0.0,1.0,0.8543,0.93,0.8543,0.93,6076.0
2020-02-10,0.91,0.94,0.90495,0.94,6908.0,0.0,1.0,0.91,0.94,0.90495,0.94,6908.0
2020-02-11,0.94,0.954,0.919001,0.9346,49642.0,0.0,1.0,0.94,0.954,0.919001,0.9346,49642.0
2020-02-12,0.95,0.955,0.9002,0.9312,21065.0,0.0,1.0,0.95,0.955,0.9002,0.9312,21065.0
2020-02-13,0.9018,0.95,0.9018,0.9045,2022.0,0.0,1.0,0.9018,0.95,0.9018,0.9045,2022.0
2020-02-14,0.95,0.95,0.901,0.94,6983.0,0.0,1.0,0.95,0.95,0.901,0.94,6983.0
2020-02-18,0.95,0.95,0.9011,0.93,9378.0,0.0,1.0,0.95,0.95,0.9011,0.93,9378.0
2020-02-19,0.949801,1.1,0.949,1.0151,90829.0,0.0,1.0,0.949801,1.1,0.949,1.0151,90829.0
2020-02-20,1.016,1.1,1.01,1.03,63109.0,0.0,1.0,1.016,1.1,1.01,1.03,63109.0
2020-02-21,1.0,1.09,0.96,1.0205,13887.0,0.0,1.0,1.0,1.09,0.96,1.0205,13887.0
2020-02-24,1.0601,1.0601,0.9511,1.01,7864.0,0.0,1.0,1.0601,1.0601,0.9511,1.01,7864.0
2020-02-25,1.02,1.0299,1.007,1.01,7287.0,0.0,1.0,1.02,1.0299,1.007,1.01,7287.0
2020-02-26,0.9999,0.9999,0.92,0.92,4185.0,0.0,1.0,0.9999,0.9999,0.92,0.92,4185.0
2020-02-27,0.92,0.98,0.841,0.86,38521.0,0.0,1.0,0.92,0.98,0.841,0.86,38521.0
2020-02-28,0.85,0.94,0.85,0.85,67053.0,0.0,1.0,0.85,0.94,0.85,0.85,67053.0
2020-03-02,0.86,0.92,0.85,0.8501,8933.0,0.0,1.0,0.86,0.92,0.85,0.8501,8933.0
2020-03-03,0.85,0.94,0.85,0.94,8219.0,0.0,1.0,0.85,0.94,0.85,0.94,8219.0
2020-03-04,0.902,0.94,0.88,0.9355,1016.0,0.0,1.0,0.902,0.94,0.88,0.9355,1016.0
2020-03-05,0.88,0.9299,0.88,0.88,5904.0,0.0,1.0,0.88,0.9299,0.88,0.88,5904.0
2020-03-06,0.88,0.925467,0.88,0.88,16614.0,0.0,1.0,0.88,0.925467,0.88,0.88,16614.0
2020-03-09,0.8925,0.9156,0.791016,0.81,103690.0,0.0,1.0,0.8925,0.9156,0.791016,0.81,103690.0
2020-03-10,0.8,0.9256,0.79,0.87,49675.0,0.0,1.0,0.8,0.9256,0.79,0.87,49675.0
2020-03-11,0.87,0.900301,0.7901,0.7995,30671.0,0.0,1.0,0.87,0.900301,0.7901,0.7995,30671.0
2020-03-12,0.79,0.82,0.7201,0.76,66553.0,0.0,1.0,0.79,0.82,0.7201,0.76,66553.0
2020-03-13,0.76,0.79357,0.7101,0.78,8052.0,0.0,1.0,0.76,0.79357,0.7101,0.78,8052.0
2020-03-16,0.7901,0.8099,0.7,0.73,23477.0,0.0,1.0,0.7901,0.8099,0.7,0.73,23477.0
2020-03-17,0.691,0.82,0.66,0.68,39105.0,0.0,1.0,0.691,0.82,0.66,0.68,39105.0
2020-03-18,0.6701,0.7102,0.6512,0.71,11809.0,0.0,1.0,0.6701,0.7102,0.6512,0.71,11809.0
2020-03-19,0.81,0.8298,0.6512,0.7,50519.0,0.0,1.0,0.81,0.8298,0.6512,0.7,50519.0
2020-03-20,0.661,0.85,0.601,0.6573,42488.0,0.0,1.0,0.661,0.85,0.601,0.6573,42488.0
2020-03-23,0.73,0.73,0.561,0.6,65238.0,0.0,1.0,0.73,0.73,0.561,0.6,65238.0
2020-03-24,0.6,0.62,0.58,0.62,8837.0,0.0,1.0,0.6,0.62,0.58,0.62,8837.0
2020-03-25,0.6201,0.677,0.6201,0.67,3748.0,0.0,1.0,0.6201,0.677,0.6201,0.67,3748.0
2020-03-26,0.67,0.7999,0.6595,0.71,23666.0,0.0,1.0,0.67,0.7999,0.6595,0.71,23666.0
2020-03-27,0.7,0.7035,0.7,0.7,1241.0,0.0,1.0,0.7,0.7035,0.7,0.7,1241.0
2020-03-30,0.72,0.78,0.72,0.75973,5336.0,0.0,1.0,0.72,0.78,0.72,0.75973,5336.0
2020-03-31,0.77,0.82,0.77,0.78,14658.0,0.0,1.0,0.77,0.82,0.77,0.78,14658.0
2020-04-01,0.7101,0.78,0.7101,0.733414,3260.0,0.0,1.0,0.7101,0.78,0.7101,0.733414,3260.0
2020-04-02,0.71,0.8259,0.71,0.818,16057.0,0.0,1.0,0.71,0.8259,0.71,0.818,16057.0
2020-04-03,0.825,0.825,0.73,0.78,1236.0,0.0,1.0,0.825,0.825,0.73,0.78,1236.0
2020-04-06,0.72,0.808,0.72,0.806,20767.0,0.0,1.0,0.72,0.808,0.72,0.806,20767.0
2020-04-07,0.7737,0.81,0.7737,0.81,340.0,0.0,1.0,0.7737,0.81,0.7737,0.81,340.0
2020-04-08,0.81,0.81,0.7211,0.75,2960.0,0.0,1.0,0.81,0.81,0.7211,0.75,2960.0
2020-04-09,0.8,0.8438,0.7138,0.7473,23388.0,0.0,1.0,0.8,0.8438,0.7138,0.7473,23388.0
2020-04-13,0.73,0.79,0.721,0.78,18584.0,0.0,1.0,0.73,0.79,0.721,0.78,18584.0
