Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.44,2.47,2.38,2.41,2443346.0,0.0,1.0,2.44,2.47,2.38,2.41,2443346.0
2020-01-03,2.43,2.46,2.335,2.37,2871421.0,0.0,1.0,2.43,2.46,2.335,2.37,2871421.0
2020-01-06,2.41,2.42,2.27,2.35,2887404.0,0.0,1.0,2.41,2.42,2.27,2.35,2887404.0
2020-01-07,2.32,2.4,2.31,2.38,1890542.0,0.0,1.0,2.32,2.4,2.31,2.38,1890542.0
2020-01-08,2.34,2.35,2.19,2.19,3850024.0,0.0,1.0,2.34,2.35,2.19,2.19,3850024.0
2020-01-09,2.16,2.18,2.085,2.14,2643654.0,0.0,1.0,2.16,2.18,2.085,2.14,2643654.0
2020-01-10,2.18,2.2,2.14,2.15,2097314.0,0.0,1.0,2.18,2.2,2.14,2.15,2097314.0
2020-01-13,2.1,2.14,2.07,2.1,1875107.0,0.0,1.0,2.1,2.14,2.07,2.1,1875107.0
2020-01-14,2.07,2.12,2.06,2.1,2062926.0,0.0,1.0,2.07,2.12,2.06,2.1,2062926.0
2020-01-15,2.13,2.19,2.08,2.17,2097293.0,0.0,1.0,2.13,2.19,2.08,2.17,2097293.0
2020-01-16,2.16,2.22,2.13,2.22,1997341.0,0.0,1.0,2.16,2.22,2.13,2.22,1997341.0
2020-01-17,2.21,2.22,2.11,2.14,2029904.0,0.0,1.0,2.21,2.22,2.11,2.14,2029904.0
2020-01-21,2.12,2.17,2.09,2.14,1795791.0,0.0,1.0,2.12,2.17,2.09,2.14,1795791.0
2020-01-22,2.12,2.17,2.1,2.11,1281369.0,0.0,1.0,2.12,2.17,2.1,2.11,1281369.0
2020-01-23,2.08,2.17,2.08,2.11,1669489.0,0.0,1.0,2.08,2.17,2.08,2.11,1669489.0
2020-01-24,2.12,2.165,2.1,2.15,1625414.0,0.0,1.0,2.12,2.165,2.1,2.15,1625414.0
2020-01-27,2.22,2.22,2.07,2.09,2447299.0,0.0,1.0,2.22,2.22,2.07,2.09,2447299.0
2020-01-28,2.05,2.08,2.0,2.03,1977353.0,0.0,1.0,2.05,2.08,2.0,2.03,1977353.0
2020-01-29,2.01,2.1,2.01,2.1,1523214.0,0.0,1.0,2.01,2.1,2.01,2.1,1523214.0
2020-01-30,2.1,2.11,2.05,2.08,1987350.0,0.0,1.0,2.1,2.11,2.05,2.08,1987350.0
2020-01-31,2.08,2.15,2.07,2.12,1809118.0,0.0,1.0,2.08,2.15,2.07,2.12,1809118.0
2020-02-03,2.1,2.105,2.03,2.05,1527592.0,0.0,1.0,2.1,2.105,2.03,2.05,1527592.0
2020-02-04,2.02,2.04,1.95,2.03,2523789.0,0.0,1.0,2.02,2.04,1.95,2.03,2523789.0
2020-02-05,2.01,2.06,1.98,2.01,2019368.0,0.0,1.0,2.01,2.06,1.98,2.01,2019368.0
2020-02-06,2.02,2.08,2.02,2.08,1195136.0,0.0,1.0,2.02,2.08,2.02,2.08,1195136.0
2020-02-07,2.07,2.09,2.0,2.0,1365112.0,0.0,1.0,2.07,2.09,2.0,2.0,1365112.0
2020-02-10,2.02,2.04,1.97,2.02,1580461.0,0.0,1.0,2.02,2.04,1.97,2.02,1580461.0
2020-02-11,1.98,2.02,1.95,2.02,2517808.0,0.0,1.0,1.98,2.02,1.95,2.02,2517808.0
2020-02-12,1.98,2.0,1.97,1.99,1219123.0,0.0,1.0,1.98,2.0,1.97,1.99,1219123.0
2020-02-13,2.0,2.01,1.97,2.01,1065958.0,0.0,1.0,2.0,2.01,1.97,2.01,1065958.0
2020-02-14,2.02,2.03,1.96,1.96,1840148.0,0.0,1.0,2.02,2.03,1.96,1.96,1840148.0
2020-02-18,2.02,2.08,1.99,2.08,3080256.0,0.0,1.0,2.02,2.08,1.99,2.08,3080256.0
2020-02-19,2.11,2.12,2.0,2.01,2523130.0,0.0,1.0,2.11,2.12,2.0,2.01,2523130.0
2020-02-20,2.03,2.1,1.99,1.99,2657190.0,0.0,1.0,2.03,2.1,1.99,1.99,2657190.0
2020-02-21,2.05,2.1,2.01,2.03,2734970.0,0.0,1.0,2.05,2.1,2.01,2.03,2734970.0
2020-02-24,2.11,2.12,1.86,1.97,5682566.0,0.0,1.0,2.11,2.12,1.86,1.97,5682566.0
2020-02-25,1.9,1.98,1.84,1.84,3103945.0,0.0,1.0,1.9,1.98,1.84,1.84,3103945.0
2020-02-26,1.82,1.86,1.74,1.78,2815404.0,0.0,1.0,1.82,1.86,1.74,1.78,2815404.0
2020-02-27,1.81,1.82,1.65,1.65,3876758.0,0.0,1.0,1.81,1.82,1.65,1.65,3876758.0
2020-02-28,1.45,1.6,1.44,1.56,4008287.0,0.0,1.0,1.45,1.6,1.44,1.56,4008287.0
2020-03-02,1.61,1.68,1.52,1.68,2019864.0,0.0,1.0,1.61,1.68,1.52,1.68,2019864.0
2020-03-03,1.71,1.835,1.62,1.67,4594778.0,0.0,1.0,1.71,1.835,1.62,1.67,4594778.0
2020-03-04,1.73,1.74,1.64,1.73,1686076.0,0.0,1.0,1.73,1.74,1.64,1.73,1686076.0
2020-03-05,1.78,1.79,1.67,1.71,1432789.0,0.0,1.0,1.78,1.79,1.67,1.71,1432789.0
2020-03-06,1.71,1.85,1.71,1.8,3610005.0,0.0,1.0,1.71,1.85,1.71,1.8,3610005.0
2020-03-09,1.66,1.74,1.6,1.6,2103427.0,0.0,1.0,1.66,1.74,1.6,1.6,2103427.0
2020-03-10,1.64,1.67,1.55,1.64,1585870.0,0.0,1.0,1.64,1.67,1.55,1.64,1585870.0
2020-03-11,1.6,1.6286,1.4,1.43,2088206.0,0.0,1.0,1.6,1.6286,1.4,1.43,2088206.0
2020-03-12,1.25,1.38,1.065,1.15,2821248.0,0.0,1.0,1.25,1.38,1.065,1.15,2821248.0
2020-03-13,1.28,1.33,1.1,1.1,3093079.0,0.0,1.0,1.28,1.33,1.1,1.1,3093079.0
2020-03-16,1.02,1.28,0.99,1.14,3806873.0,0.0,1.0,1.02,1.28,0.99,1.14,3806873.0
2020-03-17,1.11,1.48,1.11,1.45,3758827.0,0.0,1.0,1.11,1.48,1.11,1.45,3758827.0
2020-03-18,1.35,1.52,1.2,1.23,2432307.0,0.0,1.0,1.35,1.52,1.2,1.23,2432307.0
