Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-09-23,3.3,3.3,2.9401,3.0,49971.0,0.0,1.0,3.3,3.3,2.9401,3.0,49971.0
2020-09-24,3.0,3.2,2.91,3.1,46067.0,0.0,1.0,3.0,3.2,2.91,3.1,46067.0
2020-09-25,3.03,3.135,2.96,3.03,23740.0,0.0,1.0,3.03,3.135,2.96,3.03,23740.0
2020-09-28,3.0,3.0,2.47,2.89,73398.0,0.0,1.0,3.0,3.0,2.47,2.89,73398.0
2020-09-29,3.0,3.06,2.86,2.86,23576.0,0.0,1.0,3.0,3.06,2.86,2.86,23576.0
2020-09-30,2.8,2.93,2.72,2.9,72002.0,0.0,1.0,2.8,2.93,2.72,2.9,72002.0
2020-10-01,2.91,3.0201,2.87,3.0201,44730.0,0.0,1.0,2.91,3.0201,2.87,3.0201,44730.0
2020-10-02,2.97,3.0499,2.85,2.87,23466.0,0.0,1.0,2.97,3.0499,2.85,2.87,23466.0
2020-10-05,2.9,2.95,2.79,2.86,26181.0,0.0,1.0,2.9,2.95,2.79,2.86,26181.0
2020-10-06,2.8435,2.8435,2.67,2.67,37698.0,0.0,1.0,2.8435,2.8435,2.67,2.67,37698.0
2020-10-07,2.78,2.78,2.6,2.656,51880.0,0.0,1.0,2.78,2.78,2.6,2.656,51880.0
2020-10-08,2.51,2.92,2.5,2.9171,198913.0,0.0,1.0,2.51,2.92,2.5,2.9171,198913.0
2020-10-09,2.87,2.98,2.87,2.94,109553.0,0.0,1.0,2.87,2.98,2.87,2.94,109553.0
2020-10-12,3.0,3.3379,2.97,3.0141,33030.0,0.0,1.0,3.0,3.3379,2.97,3.0141,33030.0
2020-10-13,3.09,3.09,2.8,2.9,38428.0,0.0,1.0,3.09,3.09,2.8,2.9,38428.0
2020-10-14,2.9125,2.9665,2.895,2.95,33878.0,0.0,1.0,2.9125,2.9665,2.895,2.95,33878.0
2020-10-15,2.92,2.92,2.85,2.88,28454.0,0.0,1.0,2.92,2.92,2.85,2.88,28454.0
2020-10-16,2.88,2.93,2.7701,2.8,61465.0,0.0,1.0,2.88,2.93,2.7701,2.8,61465.0
2020-10-19,2.78,2.9,2.69,2.7,20214.0,0.0,1.0,2.78,2.9,2.69,2.7,20214.0
2020-10-20,2.82,2.82,2.695,2.7127,10822.0,0.0,1.0,2.82,2.82,2.695,2.7127,10822.0
2020-10-21,2.95,2.95,2.7336,2.7599,60755.0,0.0,1.0,2.95,2.95,2.7336,2.7599,60755.0
2020-10-22,2.68,2.7,2.6,2.64,32009.0,0.0,1.0,2.68,2.7,2.6,2.64,32009.0
2020-10-23,2.66,2.71,2.6264,2.7,9401.0,0.0,1.0,2.66,2.71,2.6264,2.7,9401.0
2020-10-26,2.6,2.72,2.46,2.5,44672.0,0.0,1.0,2.6,2.72,2.46,2.5,44672.0
2020-10-27,2.5,2.601,2.5,2.54,22075.0,0.0,1.0,2.5,2.601,2.5,2.54,22075.0
2020-10-28,2.5,2.5,2.32,2.34,61583.0,0.0,1.0,2.5,2.5,2.32,2.34,61583.0
2020-10-29,2.35,2.415,2.31,2.34,34811.0,0.0,1.0,2.35,2.415,2.31,2.34,34811.0
2020-10-30,2.36,2.36,2.26,2.26,47249.0,0.0,1.0,2.36,2.36,2.26,2.26,47249.0
2020-11-02,2.21,2.38,2.195,2.35,62982.0,0.0,1.0,2.21,2.38,2.195,2.35,62982.0
2020-11-03,2.31,2.61,2.31,2.4836,34320.0,0.0,1.0,2.31,2.61,2.31,2.4836,34320.0
2020-11-04,2.49,2.49,2.35,2.38,23517.0,0.0,1.0,2.49,2.49,2.35,2.38,23517.0
2020-11-05,2.5,3.02,2.47,3.01,126842.0,0.0,1.0,2.5,3.02,2.47,3.01,126842.0
2020-11-06,3.25,3.25,2.89,3.09,91402.0,0.0,1.0,3.25,3.25,2.89,3.09,91402.0
2020-11-09,2.66,3.08,2.41,2.9,119817.0,0.0,1.0,2.66,3.08,2.41,2.9,119817.0
2020-11-10,2.9453,2.9453,2.7961,2.81,21384.0,0.0,1.0,2.9453,2.9453,2.7961,2.81,21384.0
2020-11-11,2.85,2.9,2.693,2.82,36009.0,0.0,1.0,2.85,2.9,2.693,2.82,36009.0
2020-11-12,2.75,2.8714,2.71,2.71,24737.0,0.0,1.0,2.75,2.8714,2.71,2.71,24737.0
2020-11-13,2.82,2.88,2.61,2.75,30698.0,0.0,1.0,2.82,2.88,2.61,2.75,30698.0
2020-11-16,2.7,2.935,2.7,2.79,38057.0,0.0,1.0,2.7,2.935,2.7,2.79,38057.0
2020-11-17,2.6,2.781,2.6,2.74,17161.0,0.0,1.0,2.6,2.781,2.6,2.74,17161.0
2020-11-18,2.51,2.77,2.51,2.75,58680.0,0.0,1.0,2.51,2.77,2.51,2.75,58680.0
2020-11-19,2.65,2.77,2.62,2.75,51196.0,0.0,1.0,2.65,2.77,2.62,2.75,51196.0
2020-11-20,2.755,2.82,2.6858,2.73,20628.0,0.0,1.0,2.755,2.82,2.6858,2.73,20628.0
2020-11-23,2.73,2.75,2.6416,2.71,64250.0,0.0,1.0,2.73,2.75,2.6416,2.71,64250.0
2020-11-24,2.91,2.91,2.42,2.51,82103.0,0.0,1.0,2.91,2.91,2.42,2.51,82103.0
2020-11-25,2.5946,2.6,2.51,2.51,18101.0,0.0,1.0,2.5946,2.6,2.51,2.51,18101.0
2020-11-27,2.47,2.54,2.43,2.53,11388.0,0.0,1.0,2.47,2.54,2.43,2.53,11388.0
2020-11-30,2.35,2.67,2.35,2.54,55442.0,0.0,1.0,2.35,2.67,2.35,2.54,55442.0
2020-12-01,2.58,2.76,2.58,2.73,68389.0,0.0,1.0,2.58,2.76,2.58,2.73,68389.0
2020-12-02,3.0,3.0,2.65,2.73,35582.0,0.0,1.0,3.0,3.0,2.65,2.73,35582.0
2020-12-03,2.71,2.77,2.66,2.69,63192.0,0.0,1.0,2.71,2.77,2.66,2.69,63192.0
2020-12-04,2.8,2.8,2.5938,2.63,31217.0,0.0,1.0,2.8,2.8,2.5938,2.63,31217.0
2020-12-07,2.6,2.72,2.57,2.575,62842.0,0.0,1.0,2.6,2.72,2.57,2.575,62842.0
2020-12-08,2.6,2.6,2.48,2.5,54511.0,0.0,1.0,2.6,2.6,2.48,2.5,54511.0
2020-12-09,2.48,2.5,2.22,2.41,103572.0,0.0,1.0,2.48,2.5,2.22,2.41,103572.0
2020-12-10,2.4,2.48,2.31,2.33,44191.0,0.0,1.0,2.4,2.48,2.31,2.33,44191.0
2020-12-11,2.53,2.53,2.3301,2.34,49100.0,0.0,1.0,2.53,2.53,2.3301,2.34,49100.0
2020-12-14,2.35,2.5401,2.27,2.51,104139.0,0.0,1.0,2.35,2.5401,2.27,2.51,104139.0
2020-12-15,2.5171,2.55,2.415,2.55,22480.0,0.0,1.0,2.5171,2.55,2.415,2.55,22480.0
2020-12-16,2.69,2.69,2.52,2.62,40920.0,0.0,1.0,2.69,2.69,2.52,2.62,40920.0
2020-12-17,2.7,3.084,2.7,2.99,96829.0,0.0,1.0,2.7,3.084,2.7,2.99,96829.0
2020-12-18,2.97,3.0,2.7974,2.93,57081.0,0.0,1.0,2.97,3.0,2.7974,2.93,57081.0
2020-12-21,2.93,2.98,2.82,2.92,38404.0,0.0,1.0,2.93,2.98,2.82,2.92,38404.0
2020-12-22,2.92,2.9586,2.755,2.76,25279.0,0.0,1.0,2.92,2.9586,2.755,2.76,25279.0
2020-12-23,2.8389,2.9,2.8241,2.9,25312.0,0.0,1.0,2.8389,2.9,2.8241,2.9,25312.0
2020-12-24,2.82,3.03,2.82,2.995,37353.0,0.0,1.0,2.82,3.03,2.82,2.995,37353.0
2020-12-28,3.0,3.08,2.8,2.89,35767.0,0.0,1.0,3.0,3.08,2.8,2.89,35767.0
2020-12-29,2.91,3.0,2.83,2.87,45457.0,0.0,1.0,2.91,3.0,2.83,2.87,45457.0
2020-12-30,2.88,3.0,2.84,2.98,26223.0,0.0,1.0,2.88,3.0,2.84,2.98,26223.0
2020-12-31,3.0,3.04,2.91,2.94,64807.0,0.0,1.0,3.0,3.04,2.91,2.94,64807.0
