Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.499,5.52,5.45,5.52,24441.0,0.0,1.0,5.499,5.52,5.45,5.52,24441.0
2020-01-03,5.46,5.525,5.46,5.52,1365.0,0.0,1.0,5.46,5.525,5.46,5.52,1365.0
2020-01-06,5.5104,5.5104,5.45,5.48,7169.0,0.0,1.0,5.5104,5.5104,5.45,5.48,7169.0
2020-01-07,5.48,5.48,5.48,5.48,0.0,0.0,1.0,5.48,5.48,5.48,5.48,0.0
2020-01-08,5.52,5.54,5.4935,5.51,11866.0,0.0,1.0,5.52,5.54,5.4935,5.51,11866.0
2020-01-09,5.52,5.52,5.51,5.51,4356.0,0.0,1.0,5.52,5.52,5.51,5.51,4356.0
2020-01-10,5.51,5.51,5.5,5.51,10619.0,0.0,1.0,5.51,5.51,5.5,5.51,10619.0
2020-01-13,5.51,5.51,5.51,5.51,4.0,0.0,1.0,5.51,5.51,5.51,5.51,4.0
2020-01-14,5.4471,5.53,5.4471,5.51,10956.0,0.0,1.0,5.4471,5.53,5.4471,5.51,10956.0
2020-01-15,5.37,5.37,5.37,5.37,1103.0,0.0,1.0,5.37,5.37,5.37,5.37,1103.0
2020-01-16,5.53,5.7367,5.53,5.7367,55805.0,0.0,1.0,5.53,5.7367,5.53,5.7367,55805.0
2020-01-17,5.6291,5.6293,5.62,5.62,2139.0,0.0,1.0,5.6291,5.6293,5.62,5.62,2139.0
2020-01-21,5.52,5.7,5.52,5.7,1260.0,0.0,1.0,5.52,5.7,5.52,5.7,1260.0
2020-01-22,5.7199,5.7199,5.61,5.61,786.0,0.0,1.0,5.7199,5.7199,5.61,5.61,786.0
2020-01-23,5.69,5.72,5.69,5.72,3539.0,0.0,1.0,5.69,5.72,5.69,5.72,3539.0
2020-01-24,5.68,5.92,5.5671,5.5671,6794.0,0.0,1.0,5.68,5.92,5.5671,5.5671,6794.0
2020-01-27,5.6256,5.68,5.6256,5.68,450.0,0.0,1.0,5.6256,5.68,5.6256,5.68,450.0
2020-01-28,5.68,5.68,5.68,5.68,16.0,0.0,1.0,5.68,5.68,5.68,5.68,16.0
2020-01-29,5.68,5.68,5.68,5.68,45.0,0.0,1.0,5.68,5.68,5.68,5.68,45.0
2020-01-30,5.7,5.8793,5.7,5.795,6575.0,0.0,1.0,5.7,5.8793,5.7,5.795,6575.0
2020-01-31,5.81,5.81,5.67,5.685,10908.0,0.0,1.0,5.81,5.81,5.67,5.685,10908.0
2020-02-03,5.5368,5.5368,5.5,5.5,622.0,0.0,1.0,5.5368,5.5368,5.5,5.5,622.0
2020-02-04,5.6583,5.666,5.5451,5.55,8902.0,0.0,1.0,5.6583,5.666,5.5451,5.55,8902.0
2020-02-05,5.6,5.62,5.58,5.6,26322.0,0.0,1.0,5.6,5.62,5.58,5.6,26322.0
2020-02-06,5.6,5.6,5.6,5.6,26.0,0.0,1.0,5.6,5.6,5.6,5.6,26.0
2020-02-07,5.6,5.6,5.6,5.6,9.0,0.0,1.0,5.6,5.6,5.6,5.6,9.0
2020-02-10,5.6193,5.6193,5.565,5.6,35514.0,0.0,1.0,5.6193,5.6193,5.565,5.6,35514.0
2020-02-11,5.6,5.6,5.6,5.6,1604.0,0.0,1.0,5.6,5.6,5.6,5.6,1604.0
2020-02-12,5.6,5.6,5.6,5.6,9.0,0.0,1.0,5.6,5.6,5.6,5.6,9.0
2020-02-13,5.4618,5.57,5.4618,5.515,1011.0,0.0,1.0,5.4618,5.57,5.4618,5.515,1011.0
2020-02-14,5.66,5.66,5.66,5.66,203.0,0.0,1.0,5.66,5.66,5.66,5.66,203.0
2020-02-18,5.65,5.65,5.55,5.65,6000.0,0.0,1.0,5.65,5.65,5.55,5.65,6000.0
2020-02-19,5.6,5.68,5.6,5.68,18321.0,0.0,1.0,5.6,5.68,5.6,5.68,18321.0
2020-02-20,5.5801,5.601,5.5,5.55,54014.0,0.0,1.0,5.5801,5.601,5.5,5.55,54014.0
2020-02-21,5.565,5.6,5.565,5.6,706.0,0.0,1.0,5.565,5.6,5.565,5.6,706.0
2020-02-24,5.5,5.55,5.5,5.55,505.0,0.0,1.0,5.5,5.55,5.5,5.55,505.0
2020-02-25,5.6,5.6,5.44,5.5175,12065.0,0.0,1.0,5.6,5.6,5.44,5.5175,12065.0
2020-02-26,5.46,5.581,5.46,5.52,5887.0,0.0,1.0,5.46,5.581,5.46,5.52,5887.0
2020-02-27,5.31,5.5725,5.31,5.55,5704.0,0.0,1.0,5.31,5.5725,5.31,5.55,5704.0
2020-02-28,5.52,5.55,5.49,5.55,7058.0,0.0,1.0,5.52,5.55,5.49,5.55,7058.0
2020-03-02,5.5571,5.5571,5.5571,5.5571,624.0,0.0,1.0,5.5571,5.5571,5.5571,5.5571,624.0
2020-03-03,5.63,5.65,5.55,5.65,1184.0,0.0,1.0,5.63,5.65,5.55,5.65,1184.0
2020-03-04,5.65,5.65,5.65,5.65,301.0,0.0,1.0,5.65,5.65,5.65,5.65,301.0
2020-03-05,5.55,5.56,5.45,5.45,14760.0,0.0,1.0,5.55,5.56,5.45,5.45,14760.0
2020-03-06,5.16,5.2,5.15,5.2,20830.0,0.0,1.0,5.16,5.2,5.15,5.2,20830.0
2020-03-09,5.12,5.12,5.0,5.03,2504.0,0.0,1.0,5.12,5.12,5.0,5.03,2504.0
2020-03-10,5.2,5.2,4.955,4.955,23438.0,0.0,1.0,5.2,5.2,4.955,4.955,23438.0
2020-03-11,4.955,4.955,4.955,4.955,16.0,0.0,1.0,4.955,4.955,4.955,4.955,16.0
2020-03-12,4.75,4.75,4.75,4.75,1306.0,0.0,1.0,4.75,4.75,4.75,4.75,1306.0
2020-03-13,4.6567,4.6567,4.6567,4.6567,313.0,0.0,1.0,4.6567,4.6567,4.6567,4.6567,313.0
2020-03-16,4.5,4.93,4.46,4.48,3399.0,0.0,1.0,4.5,4.93,4.46,4.48,3399.0
2020-03-17,4.75,4.75,4.21,4.75,475382.0,0.0,1.0,4.75,4.75,4.21,4.75,475382.0
2020-03-18,4.82,4.82,4.6,4.6,1511.0,0.0,1.0,4.82,4.82,4.6,4.6,1511.0
2020-03-19,4.65,4.65,4.65,4.65,339.0,0.0,1.0,4.65,4.65,4.65,4.65,339.0
2020-03-20,4.5,4.7,4.5,4.65,3417.0,0.0,1.0,4.5,4.7,4.5,4.65,3417.0
2020-03-23,4.5,4.7,4.408,4.53,34319.0,0.0,1.0,4.5,4.7,4.408,4.53,34319.0
2020-03-24,4.442,4.65,4.442,4.65,14631.0,0.0,1.0,4.442,4.65,4.442,4.65,14631.0
2020-03-25,4.63,4.7,4.585,4.7,5775.0,0.0,1.0,4.63,4.7,4.585,4.7,5775.0
2020-03-26,4.73,4.8,4.73,4.8,1608.0,0.0,1.0,4.73,4.8,4.73,4.8,1608.0
2020-03-27,4.92,4.92,4.85,4.85,467.0,0.0,1.0,4.92,4.92,4.85,4.85,467.0
2020-03-30,4.85,4.875,4.85,4.864,6710.0,0.0,1.0,4.85,4.875,4.85,4.864,6710.0
2020-03-31,4.88,4.88,4.88,4.88,163.0,0.0,1.0,4.88,4.88,4.88,4.88,163.0
2020-04-01,4.85,4.85,4.85,4.85,222.0,0.0,1.0,4.85,4.85,4.85,4.85,222.0
2020-04-02,4.79,4.79,4.79,4.79,136.0,0.0,1.0,4.79,4.79,4.79,4.79,136.0
2020-04-03,4.75,4.75,4.54,4.7,5576.0,0.0,1.0,4.75,4.75,4.54,4.7,5576.0
2020-04-06,4.68,4.7,4.625,4.625,1045.0,0.0,1.0,4.68,4.7,4.625,4.625,1045.0
2020-04-07,4.86,4.86,4.6099,4.61,966.0,0.0,1.0,4.86,4.86,4.6099,4.61,966.0
2020-04-08,4.6527,4.6527,4.595,4.595,777.0,0.0,1.0,4.6527,4.6527,4.595,4.595,777.0
2020-04-09,4.6,4.65,4.6,4.65,286.0,0.0,1.0,4.6,4.65,4.6,4.65,286.0
2020-04-13,4.72,4.72,4.7193,4.72,1620.0,0.0,1.0,4.72,4.72,4.7193,4.72,1620.0
2020-04-14,4.5,4.625,4.4573,4.625,2793.0,0.0,1.0,4.5,4.625,4.4573,4.625,2793.0
2020-04-15,4.93,4.95,4.815,4.9,3984.0,0.0,1.0,4.93,4.95,4.815,4.9,3984.0
2020-04-16,4.85,4.85,4.57,4.7,60119.0,0.0,1.0,4.85,4.85,4.57,4.7,60119.0
2020-04-17,4.9,4.9139,4.745,4.8,35630.0,0.0,1.0,4.9,4.9139,4.745,4.8,35630.0
2020-04-20,4.84,5.0,4.65,4.9,18810.0,0.0,1.0,4.84,5.0,4.65,4.9,18810.0
2020-04-21,4.89,4.9,4.65,4.85,61483.0,0.0,1.0,4.89,4.9,4.65,4.85,61483.0
2020-04-22,4.8,4.8,4.6796,4.795,6616.0,0.0,1.0,4.8,4.8,4.6796,4.795,6616.0
2020-04-23,4.89,4.89,4.89,4.89,110.0,0.0,1.0,4.89,4.89,4.89,4.89,110.0
2020-04-24,4.72,4.9,4.72,4.85,2524.0,0.0,1.0,4.72,4.9,4.72,4.85,2524.0
2020-04-27,4.79,4.89,4.645,4.85,18723.0,0.0,1.0,4.79,4.89,4.645,4.85,18723.0
2020-04-28,4.775,4.775,4.75,4.75,2001.0,0.0,1.0,4.775,4.775,4.75,4.75,2001.0
2020-04-29,4.85,4.85,4.7966,4.83,6618.0,0.0,1.0,4.85,4.85,4.7966,4.83,6618.0
2020-04-30,4.8,4.85,4.7856,4.7856,525.0,0.0,1.0,4.8,4.85,4.7856,4.7856,525.0
2020-05-01,4.65,4.7957,4.65,4.75,5360.0,0.0,1.0,4.65,4.7957,4.65,4.75,5360.0
2020-05-04,4.65,4.75,4.64,4.7462,8139.0,0.0,1.0,4.65,4.75,4.64,4.7462,8139.0
2020-05-05,4.58,4.6,4.563,4.563,1689.0,0.0,1.0,4.58,4.6,4.563,4.563,1689.0
2020-05-06,4.563,4.563,4.563,4.563,76.0,0.0,1.0,4.563,4.563,4.563,4.563,76.0
2020-05-07,4.69,4.73,4.69,4.73,540.0,0.0,1.0,4.69,4.73,4.69,4.73,540.0
2020-05-08,4.751,4.785,4.7067,4.7501,8690.0,0.0,1.0,4.751,4.785,4.7067,4.7501,8690.0
2020-05-11,4.6,4.8,4.6,4.65,1876.0,0.0,1.0,4.6,4.8,4.6,4.65,1876.0
2020-05-12,4.65,4.65,4.65,4.65,9.0,0.0,1.0,4.65,4.65,4.65,4.65,9.0
2020-05-13,4.54,4.63,4.4,4.63,2021.0,0.0,1.0,4.54,4.63,4.4,4.63,2021.0
2020-05-14,4.64,4.67,4.595,4.645,9943.0,0.0,1.0,4.64,4.67,4.595,4.645,9943.0
2020-05-15,4.67,4.67,4.67,4.67,455.0,0.0,1.0,4.67,4.67,4.67,4.67,455.0
2020-05-18,4.555,4.71,4.493,4.696,7146.0,0.0,1.0,4.555,4.71,4.493,4.696,7146.0
2020-05-19,4.621,4.621,4.48,4.48,1991.0,0.0,1.0,4.621,4.621,4.48,4.48,1991.0
2020-05-20,4.65,4.66,4.5,4.66,20051.0,0.0,1.0,4.65,4.66,4.5,4.66,20051.0
2020-05-21,4.52,4.52,4.52,4.52,238.0,0.0,1.0,4.52,4.52,4.52,4.52,238.0
2020-05-22,4.64,4.67,4.64,4.67,405.0,0.0,1.0,4.64,4.67,4.64,4.67,405.0
2020-05-26,4.577,4.577,4.5762,4.5762,416.0,0.0,1.0,4.577,4.577,4.5762,4.5762,416.0
2020-05-27,4.5307,4.5307,4.5307,4.5307,311.0,0.0,1.0,4.5307,4.5307,4.5307,4.5307,311.0
2020-05-28,4.43,4.67,4.42,4.5,883.0,0.0,1.0,4.43,4.67,4.42,4.5,883.0
2020-05-29,4.65,4.6557,4.65,4.6548,1890.0,0.0,1.0,4.65,4.6557,4.65,4.6548,1890.0
2020-06-01,4.65,4.65,4.65,4.65,1080.0,0.0,1.0,4.65,4.65,4.65,4.65,1080.0
2020-06-02,4.51,4.51,4.41,4.41,1465.0,0.0,1.0,4.51,4.51,4.41,4.41,1465.0
2020-06-03,4.6199,4.6199,4.468,4.555,1760.0,0.0,1.0,4.6199,4.6199,4.468,4.555,1760.0
2020-06-04,4.62,4.62,4.55,4.56,869.0,0.0,1.0,4.62,4.62,4.55,4.56,869.0
2020-06-05,4.59,4.59,4.4372,4.59,16543.0,0.0,1.0,4.59,4.59,4.4372,4.59,16543.0
2020-06-08,4.72,4.85,4.7,4.815,7837.0,0.0,1.0,4.72,4.85,4.7,4.815,7837.0
2020-06-09,4.85,4.85,4.6725,4.82,968.0,0.0,1.0,4.85,4.85,4.6725,4.82,968.0
2020-06-10,4.75,4.8,4.5601,4.6579,1462.0,0.0,1.0,4.75,4.8,4.5601,4.6579,1462.0
2020-06-11,4.65,4.65,4.5001,4.5443,1886.0,0.0,1.0,4.65,4.65,4.5001,4.5443,1886.0
2020-06-12,4.5443,4.5443,4.5443,4.5443,486.0,0.0,1.0,4.5443,4.5443,4.5443,4.5443,486.0
2020-06-15,4.5443,4.5443,4.5443,4.5443,206.0,0.0,1.0,4.5443,4.5443,4.5443,4.5443,206.0
2020-06-16,4.83,4.83,4.46,4.46,210.0,0.0,1.0,4.83,4.83,4.46,4.46,210.0
2020-06-17,4.6,5.23,4.51,4.62,113817.0,0.0,1.0,4.6,5.23,4.51,4.62,113817.0
2020-06-18,4.54,4.831,4.52,4.56,5275.0,0.0,1.0,4.54,4.831,4.52,4.56,5275.0
2020-06-19,4.57,4.7,4.43,4.53,8904.0,0.0,1.0,4.57,4.7,4.43,4.53,8904.0
2020-06-22,4.74,4.74,4.54,4.54,3164.0,0.0,1.0,4.74,4.74,4.54,4.54,3164.0
2020-06-23,4.5116,4.5728,4.43,4.55,3287.0,0.0,1.0,4.5116,4.5728,4.43,4.55,3287.0
2020-06-24,4.63,4.63,4.45,4.52,2437.0,0.0,1.0,4.63,4.63,4.45,4.52,2437.0
2020-06-25,4.5,4.54,4.45,4.51,2761.0,0.0,1.0,4.5,4.54,4.45,4.51,2761.0
2020-06-26,4.475,4.51,4.42,4.4201,5271.0,0.0,1.0,4.475,4.51,4.42,4.4201,5271.0
2020-06-29,4.4656,4.4656,4.42,4.42,604.0,0.0,1.0,4.4656,4.4656,4.42,4.42,604.0
2020-06-30,4.46,4.46,4.46,4.46,1016.0,0.0,1.0,4.46,4.46,4.46,4.46,1016.0
2020-07-01,4.48,4.52,4.48,4.52,686.0,0.0,1.0,4.48,4.52,4.48,4.52,686.0
2020-07-02,4.52,4.52,4.52,4.52,545.0,0.0,1.0,4.52,4.52,4.52,4.52,545.0
2020-07-06,4.5,4.59,4.5,4.59,1980.0,0.0,1.0,4.5,4.59,4.5,4.59,1980.0
2020-07-07,4.45,4.5201,4.44,4.5201,1979.0,0.0,1.0,4.45,4.5201,4.44,4.5201,1979.0
2020-07-08,4.567,4.5993,4.567,4.5993,1269.0,0.0,1.0,4.567,4.5993,4.567,4.5993,1269.0
2020-07-09,4.535,4.535,4.535,4.535,245.0,0.0,1.0,4.535,4.535,4.535,4.535,245.0
2020-07-10,4.535,4.535,4.535,4.535,135.0,0.0,1.0,4.535,4.535,4.535,4.535,135.0
2020-07-13,4.5,4.535,4.46,4.535,3972.0,0.0,1.0,4.5,4.535,4.46,4.535,3972.0
2020-07-14,4.528,4.528,4.528,4.528,221.0,0.0,1.0,4.528,4.528,4.528,4.528,221.0
2020-07-15,4.528,4.528,4.528,4.528,95.0,0.0,1.0,4.528,4.528,4.528,4.528,95.0
2020-07-16,4.57,4.5899,4.57,4.58,2130.0,0.0,1.0,4.57,4.5899,4.57,4.58,2130.0
2020-07-17,4.58,4.58,4.58,4.58,104.0,0.0,1.0,4.58,4.58,4.58,4.58,104.0
2020-07-20,4.4488,4.5373,4.4488,4.5303,16798.0,0.0,1.0,4.4488,4.5373,4.4488,4.5303,16798.0
2020-07-21,4.44,4.46,4.44,4.4409,2044.0,0.0,1.0,4.44,4.46,4.44,4.4409,2044.0
2020-07-22,4.46,4.54,4.46,4.5201,20246.0,0.0,1.0,4.46,4.54,4.46,4.5201,20246.0
2020-07-23,4.5201,4.5201,4.5201,4.5201,255.0,0.0,1.0,4.5201,4.5201,4.5201,4.5201,255.0
2020-07-24,4.5201,4.5201,4.5201,4.5201,135.0,0.0,1.0,4.5201,4.5201,4.5201,4.5201,135.0
2020-07-27,4.5201,4.5201,4.5201,4.5201,168.0,0.0,1.0,4.5201,4.5201,4.5201,4.5201,168.0
2020-07-28,4.42,4.57,4.42,4.455,1320.0,0.0,1.0,4.42,4.57,4.42,4.455,1320.0
2020-07-29,4.59,4.59,4.41,4.41,529.0,0.0,1.0,4.59,4.59,4.41,4.41,529.0
2020-07-30,4.41,4.41,4.41,4.41,173.0,0.0,1.0,4.41,4.41,4.41,4.41,173.0
2020-07-31,4.47,4.47,4.45,4.46,673.0,0.0,1.0,4.47,4.47,4.45,4.46,673.0
2020-08-03,4.48,4.48,4.48,4.48,320.0,0.0,1.0,4.48,4.48,4.48,4.48,320.0
2020-08-04,4.5,4.5899,4.5,4.5899,3086.0,0.0,1.0,4.5,4.5899,4.5,4.5899,3086.0
2020-08-05,4.505,4.505,4.4938,4.4938,569.0,0.0,1.0,4.505,4.505,4.4938,4.4938,569.0
2020-08-06,4.45,4.45,4.41,4.41,3212.0,0.0,1.0,4.45,4.45,4.41,4.41,3212.0
2020-08-07,4.5,4.5561,4.41,4.5561,1965.0,0.0,1.0,4.5,4.5561,4.41,4.5561,1965.0
2020-08-10,4.57,4.59,4.57,4.59,962.0,0.0,1.0,4.57,4.59,4.57,4.59,962.0
2020-08-11,4.59,4.59,4.59,4.59,193.0,0.0,1.0,4.59,4.59,4.59,4.59,193.0
2020-08-12,4.59,4.59,4.59,4.59,13.0,0.0,1.0,4.59,4.59,4.59,4.59,13.0
2020-08-13,4.59,4.59,4.59,4.59,8.0,0.0,1.0,4.59,4.59,4.59,4.59,8.0
2020-08-14,4.59,4.59,4.59,4.59,90.0,0.0,1.0,4.59,4.59,4.59,4.59,90.0
2020-08-17,4.59,4.59,4.59,4.59,295.0,0.0,1.0,4.59,4.59,4.59,4.59,295.0
2020-08-18,4.45,4.45,4.45,4.45,382.0,0.0,1.0,4.45,4.45,4.45,4.45,382.0
2020-08-19,4.45,4.45,4.325,4.3285,5536.0,0.0,1.0,4.45,4.45,4.325,4.3285,5536.0
2020-08-20,4.35,4.35,4.35,4.35,214.0,0.0,1.0,4.35,4.35,4.35,4.35,214.0
2020-08-21,4.44,4.44,4.44,4.44,1165.0,0.0,1.0,4.44,4.44,4.44,4.44,1165.0
2020-08-24,4.5744,4.5744,4.28,4.28,6086.0,0.0,1.0,4.5744,4.5744,4.28,4.28,6086.0
2020-08-25,4.35,4.35,4.3,4.3,761.0,0.0,1.0,4.35,4.35,4.3,4.3,761.0
2020-08-26,4.21,4.425,3.8001,4.0,21507.0,0.0,1.0,4.21,4.425,3.8001,4.0,21507.0
2020-08-27,4.3994,4.3994,4.005,4.005,5233.0,0.0,1.0,4.3994,4.3994,4.005,4.005,5233.0
2020-08-28,3.9,4.3009,3.9,3.96,1040.0,0.0,1.0,3.9,4.3009,3.9,3.96,1040.0
2020-08-31,4.19,4.2,4.05,4.1,1916.0,0.0,1.0,4.19,4.2,4.05,4.1,1916.0
2020-09-01,4.02,4.05,3.975,3.99,7731.0,0.0,1.0,4.02,4.05,3.975,3.99,7731.0
2020-09-02,4.1313,4.2698,4.1313,4.2698,524.0,0.0,1.0,4.1313,4.2698,4.1313,4.2698,524.0
2020-09-03,4.195,4.195,4.195,4.195,565.0,0.0,1.0,4.195,4.195,4.195,4.195,565.0
2020-09-04,4.265,4.27,4.26,4.26,866.0,0.0,1.0,4.265,4.27,4.26,4.26,866.0
2020-09-08,4.15,4.48,4.15,4.21,4541.0,0.0,1.0,4.15,4.48,4.15,4.21,4541.0
2020-09-09,4.05,4.55,3.9798,4.235,5648.0,0.0,1.0,4.05,4.55,3.9798,4.235,5648.0
2020-09-10,4.1,4.53,4.1,4.2,3959.0,0.0,1.0,4.1,4.53,4.1,4.2,3959.0
2020-09-11,4.01,4.41,3.96,4.37,2300.0,0.0,1.0,4.01,4.41,3.96,4.37,2300.0
2020-09-14,4.56,4.56,4.11,4.5,2509.0,0.0,1.0,4.56,4.56,4.11,4.5,2509.0
2020-09-15,4.11,4.59,4.05,4.58,3709.0,0.0,1.0,4.11,4.59,4.05,4.58,3709.0
2020-09-16,4.59,4.59,4.15,4.44,6975.0,0.0,1.0,4.59,4.59,4.15,4.44,6975.0
2020-09-17,4.46,4.46,4.105,4.42,2266.0,0.0,1.0,4.46,4.46,4.105,4.42,2266.0
2020-09-18,4.2,4.41,3.97,3.97,24982.0,0.0,1.0,4.2,4.41,3.97,3.97,24982.0
2020-09-21,3.96,3.96,3.9,3.91,5163.0,0.0,1.0,3.96,3.96,3.9,3.91,5163.0
2020-09-22,3.95,3.95,3.9,3.91,3596.0,0.0,1.0,3.95,3.95,3.9,3.91,3596.0
2020-09-23,3.91,3.91,3.87,3.87,592.0,0.0,1.0,3.91,3.91,3.87,3.87,592.0
2020-09-24,3.87,3.96,3.85,3.85,2523.0,0.0,1.0,3.87,3.96,3.85,3.85,2523.0
2020-09-25,3.87,3.87,3.87,3.87,470.0,0.0,1.0,3.87,3.87,3.87,3.87,470.0
2020-09-28,4.01,4.1536,3.85,3.85,3532.0,0.0,1.0,4.01,4.1536,3.85,3.85,3532.0
2020-09-29,4.045,4.045,3.88,3.9,514.0,0.0,1.0,4.045,4.045,3.88,3.9,514.0
2020-09-30,3.95,4.05,3.85,3.85,605.0,0.0,1.0,3.95,4.05,3.85,3.85,605.0
2020-10-01,3.85,3.85,3.76,3.76,2020.0,0.0,1.0,3.85,3.85,3.76,3.76,2020.0
2020-10-02,3.84,3.84,3.84,3.84,158.0,0.0,1.0,3.84,3.84,3.84,3.84,158.0
2020-10-05,3.83,4.05,3.7834,3.81,1839.0,0.0,1.0,3.83,4.05,3.7834,3.81,1839.0
2020-10-06,3.71,4.04,3.69,3.75,1280.0,0.0,1.0,3.71,4.04,3.69,3.75,1280.0
2020-10-07,3.77,3.77,3.77,3.77,328.0,0.0,1.0,3.77,3.77,3.77,3.77,328.0
2020-10-08,3.77,3.77,3.77,3.77,104.0,0.0,1.0,3.77,3.77,3.77,3.77,104.0
2020-10-09,3.8309,3.89,3.75,3.75,2166.0,0.0,1.0,3.8309,3.89,3.75,3.75,2166.0
2020-10-12,3.76,3.79,3.7503,3.76,1603.0,0.0,1.0,3.76,3.79,3.7503,3.76,1603.0
2020-10-13,3.75,3.75,3.4,3.4,18087.0,0.0,1.0,3.75,3.75,3.4,3.4,18087.0
2020-10-14,3.75,3.75,3.26,3.28,9725.0,0.0,1.0,3.75,3.75,3.26,3.28,9725.0
2020-10-15,3.24,3.4,3.21,3.21,11314.0,0.0,1.0,3.24,3.4,3.21,3.21,11314.0
2020-10-16,3.2,3.2,3.01,3.02,40466.0,0.0,1.0,3.2,3.2,3.01,3.02,40466.0
2020-10-19,3.18,3.18,3.18,3.18,789.0,0.0,1.0,3.18,3.18,3.18,3.18,789.0
2020-10-20,3.1501,3.175,3.14,3.14,4739.0,0.0,1.0,3.1501,3.175,3.14,3.14,4739.0
2020-10-21,3.14,3.1546,3.09,3.09,5189.0,0.0,1.0,3.14,3.1546,3.09,3.09,5189.0
2020-10-22,3.08,3.15,3.08,3.08,1811.0,0.0,1.0,3.08,3.15,3.08,3.08,1811.0
2020-10-23,3.045,3.05,3.045,3.05,525.0,0.0,1.0,3.045,3.05,3.045,3.05,525.0
2020-10-26,3.04,3.04,3.01,3.01,903.0,0.0,1.0,3.04,3.04,3.01,3.01,903.0
2020-10-27,3.01,3.01,3.01,3.01,124.0,0.0,1.0,3.01,3.01,3.01,3.01,124.0
2020-10-28,3.08,3.1,3.01,3.1,702.0,0.0,1.0,3.08,3.1,3.01,3.1,702.0
2020-10-29,3.055,3.1,3.055,3.1,835.0,0.0,1.0,3.055,3.1,3.055,3.1,835.0
2020-10-30,3.01,3.1,3.01,3.1,3048.0,0.0,1.0,3.01,3.1,3.01,3.1,3048.0
2020-11-02,3.0101,3.034,3.0101,3.034,460.0,0.0,1.0,3.0101,3.034,3.0101,3.034,460.0
2020-11-03,3.01,3.02,2.936,2.96,4366.0,0.0,1.0,3.01,3.02,2.936,2.96,4366.0
2020-11-04,3.05,3.05,2.95,2.95,984.0,0.0,1.0,3.05,3.05,2.95,2.95,984.0
2020-11-05,3.02,3.02,3.02,3.02,915.0,0.0,1.0,3.02,3.02,3.02,3.02,915.0
2020-11-06,3.05,3.05,3.05,3.05,816.0,0.0,1.0,3.05,3.05,3.05,3.05,816.0
2020-11-09,2.96,3.26,2.96,3.1401,51651.0,0.0,1.0,2.96,3.26,2.96,3.1401,51651.0
2020-11-10,3.1,3.15,2.9335,3.06,20055.0,0.0,1.0,3.1,3.15,2.9335,3.06,20055.0
2020-11-11,3.05,3.1,3.05,3.1,2274.0,0.0,1.0,3.05,3.1,3.05,3.1,2274.0
2020-11-12,3.05,3.05,2.945,3.03,6065.0,0.0,1.0,3.05,3.05,2.945,3.03,6065.0
2020-11-13,2.93,3.02,2.93,3.0,1792.0,0.0,1.0,2.93,3.02,2.93,3.0,1792.0
2020-11-16,3.12,3.33,3.12,3.12,33571.0,0.0,1.0,3.12,3.33,3.12,3.12,33571.0
2020-11-17,3.1201,3.16,3.01,3.01,7319.0,0.0,1.0,3.1201,3.16,3.01,3.01,7319.0
2020-11-18,3.0804,3.0965,2.98,3.06,5783.0,0.0,1.0,3.0804,3.0965,2.98,3.06,5783.0
2020-11-19,3.05,3.05,3.0,3.01,910.0,0.0,1.0,3.05,3.05,3.0,3.01,910.0
2020-11-20,3.01,3.01,3.01,3.01,151.0,0.0,1.0,3.01,3.01,3.01,3.01,151.0
2020-11-23,3.0,3.0,2.9924,2.9989,1932.0,0.0,1.0,3.0,3.0,2.9924,2.9989,1932.0
2020-11-24,2.9896,4.7,2.975,3.2857,715173.0,0.0,1.0,2.9896,4.7,2.975,3.2857,715173.0
2020-11-25,3.35,3.41,3.039,3.17,40647.0,0.0,1.0,3.35,3.41,3.039,3.17,40647.0
2020-11-27,3.1507,3.22,3.0601,3.15,24165.0,0.0,1.0,3.1507,3.22,3.0601,3.15,24165.0
2020-11-30,3.0801,3.16,3.04,3.1,18312.0,0.0,1.0,3.0801,3.16,3.04,3.1,18312.0
2020-12-01,3.08,3.22,2.8,3.08,44339.0,0.0,1.0,3.08,3.22,2.8,3.08,44339.0
2020-12-02,3.07,3.3191,3.07,3.22,10826.0,0.0,1.0,3.07,3.3191,3.07,3.22,10826.0
2020-12-03,3.09,3.215,3.01,3.06,11670.0,0.0,1.0,3.09,3.215,3.01,3.06,11670.0
2020-12-04,3.19,3.19,3.08,3.1016,7514.0,0.0,1.0,3.19,3.19,3.08,3.1016,7514.0
2020-12-07,3.22,3.22,3.08,3.1,16179.0,0.0,1.0,3.22,3.22,3.08,3.1,16179.0
