Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-20,0.92,0.92,0.5301,0.55,798800.0,0.0,1.0,0.92,0.92,0.5301,0.55,798800.0
2020-11-23,0.57425,0.7905,0.57425,0.72,116679.0,0.0,1.0,0.57425,0.7905,0.57425,0.72,116679.0
2020-11-24,0.8,0.98,0.74,0.87,73423.0,0.0,1.0,0.8,0.98,0.74,0.87,73423.0
2020-11-25,0.91,0.9101,0.85,0.9,129891.0,0.0,1.0,0.91,0.9101,0.85,0.9,129891.0
2020-11-27,0.9,0.92,0.82505,0.87,45349.0,0.0,1.0,0.9,0.92,0.82505,0.87,45349.0
2020-11-30,0.9,1.0,0.8499,0.989899,76099.0,0.0,1.0,0.9,1.0,0.8499,0.989899,76099.0
2020-12-01,1.02,1.02,0.81,0.82,12558.0,0.0,1.0,1.02,1.02,0.81,0.82,12558.0
2020-12-02,0.82,0.82,0.7601,0.7979,133648.0,0.0,1.0,0.82,0.82,0.7601,0.7979,133648.0
2020-12-03,0.84895,0.95,0.791,0.818,44781.0,0.0,1.0,0.84895,0.95,0.791,0.818,44781.0
2020-12-04,0.8243,0.9156,0.8102,0.8415,112332.0,0.0,1.0,0.8243,0.9156,0.8102,0.8415,112332.0
2020-12-07,1.8,1.8,0.85,0.96,92116.0,0.0,1.0,1.8,1.8,0.85,0.96,92116.0
2020-12-08,1.0,1.0999,0.8979,0.9,102966.0,0.0,1.0,1.0,1.0999,0.8979,0.9,102966.0
2020-12-09,0.946,1.01,0.7899,0.8359,131729.0,0.0,1.0,0.946,1.01,0.7899,0.8359,131729.0
2020-12-10,0.8511,0.969899,0.78,0.85,172500.0,0.0,1.0,0.8511,0.969899,0.78,0.85,172500.0
2020-12-11,0.87,1.04,0.86,0.9,60594.0,0.0,1.0,0.87,1.04,0.86,0.9,60594.0
2020-12-14,0.99,1.0,0.9,0.92,169900.0,0.0,1.0,0.99,1.0,0.9,0.92,169900.0
2020-12-15,0.95,0.96,0.75,0.89,367253.0,0.0,1.0,0.95,0.96,0.75,0.89,367253.0
2020-12-16,0.9,0.966466,0.89,0.89,21907.0,0.0,1.0,0.9,0.966466,0.89,0.89,21907.0
2020-12-17,0.95,0.95,0.8955,0.94,27384.0,0.0,1.0,0.95,0.95,0.8955,0.94,27384.0
2020-12-18,0.94,0.975,0.920101,0.97,55169.0,0.0,1.0,0.94,0.975,0.920101,0.97,55169.0
2020-12-21,1.02,1.2072,0.87,1.2072,210866.0,0.0,1.0,1.02,1.2072,0.87,1.2072,210866.0
2020-12-22,1.41,1.525,1.25,1.34,402255.0,0.0,1.0,1.41,1.525,1.25,1.34,402255.0
2020-12-23,1.5,1.5,1.21,1.3,445172.0,0.0,1.0,1.5,1.5,1.21,1.3,445172.0
2020-12-24,1.35,1.4998,1.24,1.335,277637.0,0.0,1.0,1.35,1.4998,1.24,1.335,277637.0
2020-12-28,1.45,1.45,1.2901,1.2955,478423.0,0.0,1.0,1.45,1.45,1.2901,1.2955,478423.0
2020-12-29,1.42,1.42,1.29,1.3602,324584.0,0.0,1.0,1.42,1.42,1.29,1.3602,324584.0
2020-12-30,1.3501,1.4,1.35,1.38,135585.0,0.0,1.0,1.3501,1.4,1.35,1.38,135585.0
2020-12-31,1.5,1.5,1.4,1.4499,157983.0,0.0,1.0,1.5,1.5,1.4,1.4499,157983.0
