Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-27,1.4,2.1,1.4,1.65,5266.0,0.0,1.0,1.4,2.1,1.4,1.65,5266.0
2020-11-30,1.77,1.795,1.75,1.795,4088.0,0.0,1.0,1.77,1.795,1.75,1.795,4088.0
2020-12-01,1.8,1.8,1.8,1.8,3997.0,0.0,1.0,1.8,1.8,1.8,1.8,3997.0
2020-12-02,1.7399,1.7399,1.7,1.7,55627.0,0.0,1.0,1.7399,1.7399,1.7,1.7,55627.0
2020-12-03,1.595,1.595,1.595,1.595,809.0,0.0,1.0,1.595,1.595,1.595,1.595,809.0
2020-12-04,1.6,1.6,1.4,1.55,5274.0,0.0,1.0,1.6,1.6,1.4,1.55,5274.0
2020-12-07,1.6,1.8596,1.6,1.675,37659.0,0.0,1.0,1.6,1.8596,1.6,1.675,37659.0
2020-12-08,1.77,1.77,1.55,1.57,43798.0,0.0,1.0,1.77,1.77,1.55,1.57,43798.0
2020-12-09,1.61,1.8601,1.61,1.63,184799.0,0.0,1.0,1.61,1.8601,1.61,1.63,184799.0
2020-12-10,1.67,1.75,1.54,1.54,183028.0,0.0,1.0,1.67,1.75,1.54,1.54,183028.0
2020-12-11,1.63,1.86,1.6,1.62,137736.0,0.0,1.0,1.63,1.86,1.6,1.62,137736.0
2020-12-14,1.67,1.8,1.66,1.71,31776.0,0.0,1.0,1.67,1.8,1.66,1.71,31776.0
2020-12-15,1.82,1.84,1.65,1.7,87347.0,0.0,1.0,1.82,1.84,1.65,1.7,87347.0
2020-12-16,1.7,1.83,1.67,1.77,25591.0,0.0,1.0,1.7,1.83,1.67,1.77,25591.0
2020-12-17,1.8,1.8,1.7,1.71,35995.0,0.0,1.0,1.8,1.8,1.7,1.71,35995.0
2020-12-18,1.7544,1.94,1.697,1.8,49274.0,0.0,1.0,1.7544,1.94,1.697,1.8,49274.0
2020-12-21,1.82,1.91,1.71,1.8,101559.0,0.0,1.0,1.82,1.91,1.71,1.8,101559.0
2020-12-22,1.81,2.2,1.81,2.05,82183.0,0.0,1.0,1.81,2.2,1.81,2.05,82183.0
2020-12-23,1.96,2.3,1.9,2.249,79734.0,0.0,1.0,1.96,2.3,1.9,2.249,79734.0
2020-12-24,2.4,2.94,2.12,2.8334,160403.0,0.0,1.0,2.4,2.94,2.12,2.8334,160403.0
2020-12-28,3.0,3.15,2.81,2.81,137742.0,0.0,1.0,3.0,3.15,2.81,2.81,137742.0
2020-12-29,2.8,2.8,2.49,2.5,54155.0,0.0,1.0,2.8,2.8,2.49,2.5,54155.0
2020-12-30,2.55,2.84,2.3,2.84,166132.0,0.0,1.0,2.55,2.84,2.3,2.84,166132.0
2020-12-31,2.7,2.7,2.49,2.49,72226.0,0.0,1.0,2.7,2.7,2.49,2.49,72226.0
