Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.18,4.22,4.04,4.1,328426.0,0.0,1.0,4.18,4.22,4.04,4.1,328426.0
2020-01-03,4.07,4.15,4.06,4.13,236222.0,0.0,1.0,4.07,4.15,4.06,4.13,236222.0
2020-01-06,4.09,4.19,4.09,4.11,360771.0,0.0,1.0,4.09,4.19,4.09,4.11,360771.0
2020-01-07,4.09,4.1,3.99,4.03,149316.0,0.0,1.0,4.09,4.1,3.99,4.03,149316.0
2020-01-08,4.01,4.09,3.99,4.08,248374.0,0.0,1.0,4.01,4.09,3.99,4.08,248374.0
2020-01-09,4.08,4.08,3.96,3.975,215369.0,0.0,1.0,4.08,4.08,3.96,3.975,215369.0
2020-01-10,3.97,3.97,3.86,3.9,345179.0,0.0,1.0,3.97,3.97,3.86,3.9,345179.0
2020-01-13,3.92,3.96,3.86,3.91,456012.0,0.0,1.0,3.92,3.96,3.86,3.91,456012.0
2020-01-14,3.9,3.97,3.86,3.89,265502.0,0.0,1.0,3.9,3.97,3.86,3.89,265502.0
2020-01-15,3.88,3.92,3.85,3.87,165218.0,0.0,1.0,3.88,3.92,3.85,3.87,165218.0
2020-01-16,3.89,3.94,3.89,3.89,128015.0,0.0,1.0,3.89,3.94,3.89,3.89,128015.0
2020-01-17,3.93,3.93,3.83,3.84,130207.0,0.0,1.0,3.93,3.93,3.83,3.84,130207.0
2020-01-21,3.84,3.91,3.81,3.89,181281.0,0.0,1.0,3.84,3.91,3.81,3.89,181281.0
2020-01-22,3.9,3.9,3.805,3.84,93178.0,0.0,1.0,3.9,3.9,3.805,3.84,93178.0
2020-01-23,3.82,3.83,3.81,3.82,170594.0,0.0,1.0,3.82,3.83,3.81,3.82,170594.0
2020-01-24,3.84,3.84,3.76,3.76,118315.0,0.0,1.0,3.84,3.84,3.76,3.76,118315.0
2020-01-27,3.72,3.735,3.7,3.7,195276.0,0.0,1.0,3.72,3.735,3.7,3.7,195276.0
2020-01-28,3.58,3.7537,3.58,3.595,326355.0,0.0,1.0,3.58,3.7537,3.58,3.595,326355.0
2020-01-29,3.6,3.6358,3.5,3.51,585619.0,0.0,1.0,3.6,3.6358,3.5,3.51,585619.0
2020-01-30,3.5,3.51,3.43,3.46,324296.0,0.0,1.0,3.5,3.51,3.43,3.46,324296.0
2020-01-31,3.43,3.46,3.0,3.19,5362372.0,0.0,1.0,3.43,3.46,3.0,3.19,5362372.0
2020-02-03,3.2,3.26,3.16,3.2,1007592.0,0.0,1.0,3.2,3.26,3.16,3.2,1007592.0
2020-02-04,3.2,3.27,3.195,3.2,1021806.0,0.0,1.0,3.2,3.27,3.195,3.2,1021806.0
2020-02-05,3.23,3.3401,3.23,3.29,783262.0,0.0,1.0,3.23,3.3401,3.23,3.29,783262.0
2020-02-06,3.32,3.39,3.25,3.26,297997.0,0.0,1.0,3.32,3.39,3.25,3.26,297997.0
2020-02-07,3.25,3.32,3.18,3.19,662662.0,0.0,1.0,3.25,3.32,3.18,3.19,662662.0
2020-02-10,3.19,3.26,3.1673,3.215,418716.0,0.0,1.0,3.19,3.26,3.1673,3.215,418716.0
2020-02-11,3.22,3.28,3.19,3.23,418902.0,0.0,1.0,3.22,3.28,3.19,3.23,418902.0
2020-02-12,3.25,3.33,3.25,3.27,315782.0,0.0,1.0,3.25,3.33,3.25,3.27,315782.0
2020-02-13,3.26,3.3,3.19,3.19,281792.0,0.0,1.0,3.26,3.3,3.19,3.19,281792.0
