Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-30,2.2008,2.73,2.15,2.68,498512.0,0.0,1.0,2.2008,2.73,2.15,2.68,498512.0
2020-11-02,3.09,3.77,2.7702,3.2,1008098.0,0.0,1.0,3.09,3.77,2.7702,3.2,1008098.0
2020-11-03,3.21,3.57,3.2,3.35,327571.0,0.0,1.0,3.21,3.57,3.2,3.35,327571.0
2020-11-04,3.4,3.41,2.9466,3.02,290327.0,0.0,1.0,3.4,3.41,2.9466,3.02,290327.0
2020-11-05,3.08,3.15,2.9,3.0803,198126.0,0.0,1.0,3.08,3.15,2.9,3.0803,198126.0
2020-11-06,3.0,3.02,2.7,2.81,321907.0,0.0,1.0,3.0,3.02,2.7,2.81,321907.0
2020-11-09,3.29,4.19,2.99,4.19,1446898.0,0.0,1.0,3.29,4.19,2.99,4.19,1446898.0
2020-11-10,4.2,4.37,3.66,4.01,468199.0,0.0,1.0,4.2,4.37,3.66,4.01,468199.0
2020-11-11,4.19,4.2913,4.0,4.0,205953.0,0.0,1.0,4.19,4.2913,4.0,4.0,205953.0
2020-11-12,4.2,4.87,4.14,4.495,822641.0,0.0,1.0,4.2,4.87,4.14,4.495,822641.0
2020-11-13,5.39,5.7,4.87,5.37,1835371.0,0.0,1.0,5.39,5.7,4.87,5.37,1835371.0
2020-11-16,5.53,5.8,5.06,5.1601,635896.0,0.0,1.0,5.53,5.8,5.06,5.1601,635896.0
2020-11-17,5.15,5.33,4.71,5.18,477404.0,0.0,1.0,5.15,5.33,4.71,5.18,477404.0
2020-11-18,5.15,5.39,5.05,5.189,402869.0,0.0,1.0,5.15,5.39,5.05,5.189,402869.0
2020-11-19,4.9,5.28,4.9,5.2,403349.0,0.0,1.0,4.9,5.28,4.9,5.2,403349.0
2020-11-20,5.07,5.1133,4.65,4.9398,483967.0,0.0,1.0,5.07,5.1133,4.65,4.9398,483967.0
2020-11-23,4.94,4.97,3.94,4.37,1015381.0,0.0,1.0,4.94,4.97,3.94,4.37,1015381.0
2020-11-24,4.5,4.75,4.08,4.12,458310.0,0.0,1.0,4.5,4.75,4.08,4.12,458310.0
2020-11-25,4.8,5.99,4.63,5.78,2224728.0,0.0,1.0,4.8,5.99,4.63,5.78,2224728.0
2020-11-27,5.74,6.44,5.12,5.18,1250892.0,0.0,1.0,5.74,6.44,5.12,5.18,1250892.0
2020-11-30,5.67,5.67,4.57,5.37,927388.0,0.0,1.0,5.67,5.67,4.57,5.37,927388.0
2020-12-01,5.45,5.45,4.56,4.86,736348.0,0.0,1.0,5.45,5.45,4.56,4.86,736348.0
2020-12-02,4.65,4.99,4.25,4.86,940067.0,0.0,1.0,4.65,4.99,4.25,4.86,940067.0
2020-12-03,5.0,5.16,4.8,4.98,378685.0,0.0,1.0,5.0,5.16,4.8,4.98,378685.0
2020-12-04,4.98,5.04,4.73,5.0,412281.0,0.0,1.0,4.98,5.04,4.73,5.0,412281.0
2020-12-07,5.25,5.4,4.87,5.25,723607.0,0.0,1.0,5.25,5.4,4.87,5.25,723607.0
2020-12-08,5.4,5.6,5.0,5.27,630368.0,0.0,1.0,5.4,5.6,5.0,5.27,630368.0
2020-12-09,5.07,5.52,5.0,5.09,369649.0,0.0,1.0,5.07,5.52,5.0,5.09,369649.0
2020-12-10,4.75,5.0,4.39,4.65,621070.0,0.0,1.0,4.75,5.0,4.39,4.65,621070.0
2020-12-11,4.5,4.75,4.3,4.45,463006.0,0.0,1.0,4.5,4.75,4.3,4.45,463006.0
2020-12-14,4.75,5.25,4.75,4.95,684585.0,0.0,1.0,4.75,5.25,4.75,4.95,684585.0
2020-12-15,4.86,5.15,4.48,4.56,294230.0,0.0,1.0,4.86,5.15,4.48,4.56,294230.0
2020-12-16,4.47,4.93,4.45,4.9,178216.0,0.0,1.0,4.47,4.93,4.45,4.9,178216.0
2020-12-17,5.01,5.86,4.99,5.55,989274.0,0.0,1.0,5.01,5.86,4.99,5.55,989274.0
2020-12-18,5.41,5.63,5.21,5.28,280761.0,0.0,1.0,5.41,5.63,5.21,5.28,280761.0
2020-12-21,5.0,5.37,4.85,5.25,566373.0,0.0,1.0,5.0,5.37,4.85,5.25,566373.0
2020-12-22,5.11,5.39,5.0001,5.29,695608.0,0.0,1.0,5.11,5.39,5.0001,5.29,695608.0
2020-12-23,5.3,6.4,5.28,5.92,609645.0,0.0,1.0,5.3,6.4,5.28,5.92,609645.0
2020-12-24,5.86,6.2,5.6,5.8,89167.0,0.0,1.0,5.86,6.2,5.6,5.8,89167.0
2020-12-28,5.7,6.22,5.35,5.47,225260.0,0.0,1.0,5.7,6.22,5.35,5.47,225260.0
2020-12-29,5.25,5.47,4.77,5.22,328590.0,0.0,1.0,5.25,5.47,4.77,5.22,328590.0
2020-12-30,5.2998,5.445,4.99,5.19,137502.0,0.0,1.0,5.2998,5.445,4.99,5.19,137502.0
2020-12-31,4.86,5.19,4.86,4.92,123014.0,0.0,1.0,4.86,5.19,4.86,4.92,123014.0
