Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.04,2.04,1.96,2.01,173086.0,0.0,1.0,2.04,2.04,1.96,2.01,173086.0
2020-01-03,1.98,2.13,1.98,2.08,467776.0,0.0,1.0,1.98,2.13,1.98,2.08,467776.0
2020-01-06,2.08,2.11,1.84,1.86,706388.0,0.0,1.0,2.08,2.11,1.84,1.86,706388.0
2020-01-07,1.88,1.95,1.855,1.89,221878.0,0.0,1.0,1.88,1.95,1.855,1.89,221878.0
2020-01-08,1.84,1.89,1.75,1.76,574931.0,0.0,1.0,1.84,1.89,1.75,1.76,574931.0
2020-01-09,1.8,1.8,1.66,1.69,540624.0,0.0,1.0,1.8,1.8,1.66,1.69,540624.0
2020-01-10,1.7,1.76,1.63,1.72,575322.0,0.0,1.0,1.7,1.76,1.63,1.72,575322.0
2020-01-13,1.76,1.78,1.68,1.68,420696.0,0.0,1.0,1.76,1.78,1.68,1.68,420696.0
2020-01-14,1.68,1.81,1.68,1.76,365353.0,0.0,1.0,1.68,1.81,1.68,1.76,365353.0
2020-01-15,1.76,1.82,1.73,1.81,341322.0,0.0,1.0,1.76,1.82,1.73,1.81,341322.0
2020-01-16,1.82,1.87,1.8,1.85,227671.0,0.0,1.0,1.82,1.87,1.8,1.85,227671.0
2020-01-17,1.87,1.88,1.8,1.82,214759.0,0.0,1.0,1.87,1.88,1.8,1.82,214759.0
2020-01-21,1.82,1.82,1.76,1.77,288191.0,0.0,1.0,1.82,1.82,1.76,1.77,288191.0
2020-01-22,1.77,1.78,1.7,1.72,287041.0,0.0,1.0,1.77,1.78,1.7,1.72,287041.0
2020-01-23,1.71,1.72,1.65,1.69,360393.0,0.0,1.0,1.71,1.72,1.65,1.69,360393.0
2020-01-24,1.69,1.71,1.61,1.64,346939.0,0.0,1.0,1.69,1.71,1.61,1.64,346939.0
2020-01-27,1.61,1.65,1.55,1.62,550972.0,0.0,1.0,1.61,1.65,1.55,1.62,550972.0
2020-01-28,1.62,1.73,1.615,1.72,517712.0,0.0,1.0,1.62,1.73,1.615,1.72,517712.0
2020-01-29,1.73,1.78,1.63,1.67,296854.0,0.0,1.0,1.73,1.78,1.63,1.67,296854.0
2020-01-30,1.63,1.69,1.63,1.68,289702.0,0.0,1.0,1.63,1.69,1.63,1.68,289702.0
2020-01-31,1.67,1.715,1.65,1.7,383795.0,0.0,1.0,1.67,1.715,1.65,1.7,383795.0
2020-02-03,1.71,1.72,1.65,1.7,484708.0,0.0,1.0,1.71,1.72,1.65,1.7,484708.0
2020-02-04,1.73,1.77,1.71,1.76,224864.0,0.0,1.0,1.73,1.77,1.71,1.76,224864.0
2020-02-05,1.79,1.91,1.77,1.89,662253.0,0.0,1.0,1.79,1.91,1.77,1.89,662253.0
2020-02-06,1.89,1.89,1.84,1.87,289000.0,0.0,1.0,1.89,1.89,1.84,1.87,289000.0
2020-02-07,1.84,1.9,1.78,1.88,422431.0,0.0,1.0,1.84,1.9,1.78,1.88,422431.0
2020-02-10,1.86,1.865,1.785,1.82,433441.0,0.0,1.0,1.86,1.865,1.785,1.82,433441.0
2020-02-11,1.85,1.91,1.82,1.87,346100.0,0.0,1.0,1.85,1.91,1.82,1.87,346100.0
2020-02-12,1.9,1.97,1.88,1.9,692396.0,0.0,1.0,1.9,1.97,1.88,1.9,692396.0
2020-02-13,1.88,1.91,1.83,1.84,306954.0,0.0,1.0,1.88,1.91,1.83,1.84,306954.0
2020-02-14,1.84,1.86,1.8098,1.84,123623.0,0.0,1.0,1.84,1.86,1.8098,1.84,123623.0
2020-02-18,1.79,1.83,1.77,1.81,497634.0,0.0,1.0,1.79,1.83,1.77,1.81,497634.0
2020-02-19,1.81,1.85,1.76,1.82,300599.0,0.0,1.0,1.81,1.85,1.76,1.82,300599.0
2020-02-20,1.8,1.8879,1.8,1.86,222969.0,0.0,1.0,1.8,1.8879,1.8,1.86,222969.0
2020-02-21,1.85,1.85,1.76,1.77,231108.0,0.0,1.0,1.85,1.85,1.76,1.77,231108.0
2020-02-24,1.73,1.77,1.68,1.76,448482.0,0.0,1.0,1.73,1.77,1.68,1.76,448482.0
2020-02-25,1.76,1.76,1.62,1.64,604724.0,0.0,1.0,1.76,1.76,1.62,1.64,604724.0
2020-02-26,1.64,1.71,1.62,1.67,677160.0,0.0,1.0,1.64,1.71,1.62,1.67,677160.0
2020-02-27,1.61,1.66,1.56,1.57,822569.0,0.0,1.0,1.61,1.66,1.56,1.57,822569.0
2020-02-28,1.55,1.6,1.52,1.58,530724.0,0.0,1.0,1.55,1.6,1.52,1.58,530724.0
2020-03-02,1.59,1.615,1.51,1.54,785825.0,0.0,1.0,1.59,1.615,1.51,1.54,785825.0
2020-03-03,1.53,1.58,1.45,1.47,926701.0,0.0,1.0,1.53,1.58,1.45,1.47,926701.0
2020-03-04,1.49,1.49,1.365,1.4,719269.0,0.0,1.0,1.49,1.49,1.365,1.4,719269.0
2020-03-05,1.38,1.4,1.25,1.28,1089826.0,0.0,1.0,1.38,1.4,1.25,1.28,1089826.0
2020-03-06,1.28,1.54,1.27,1.31,910372.0,0.0,1.0,1.28,1.54,1.27,1.31,910372.0
2020-03-09,1.02,1.1,0.99,0.9955,906257.0,0.0,1.0,1.02,1.1,0.99,0.9955,906257.0
2020-03-10,1.08,1.105,0.98,1.07,672097.0,0.0,1.0,1.08,1.105,0.98,1.07,672097.0
2020-03-11,1.02,1.13,0.9003,0.9907,1659665.0,0.0,1.0,1.02,1.13,0.9003,0.9907,1659665.0
2020-03-12,0.9214,0.9899,0.8403,0.8595,1210150.0,0.0,1.0,0.9214,0.9899,0.8403,0.8595,1210150.0
2020-03-13,0.9009,1.1,0.9009,1.1,581905.0,0.0,1.0,0.9009,1.1,0.9009,1.1,581905.0
2020-03-16,1.02,1.03,0.7022,0.7156,1261933.0,0.0,1.0,1.02,1.03,0.7022,0.7156,1261933.0
