Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.15,6.15,6.15,6.15,103.0,0.0,1.0,6.15,6.15,6.15,6.15,103.0
2020-01-03,6.15,6.15,6.15,6.15,3.0,0.0,1.0,6.15,6.15,6.15,6.15,3.0
2020-01-06,6.15,6.15,6.15,6.15,4.0,0.0,1.0,6.15,6.15,6.15,6.15,4.0
2020-01-07,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-01-08,5.825,5.825,5.825,5.825,100.0,0.0,1.0,5.825,5.825,5.825,5.825,100.0
2020-01-09,6.0199,6.0199,6.0199,6.0199,150.0,0.0,1.0,6.0199,6.0199,6.0199,6.0199,150.0
2020-01-10,6.15,6.15,6.15,6.15,200.0,0.0,1.0,6.15,6.15,6.15,6.15,200.0
2020-01-13,6.15,6.15,6.15,6.15,200.0,0.0,1.0,6.15,6.15,6.15,6.15,200.0
2020-01-14,6.15,6.15,6.15,6.15,301.0,0.0,1.0,6.15,6.15,6.15,6.15,301.0
2020-01-15,6.15,6.15,6.15,6.15,101.0,0.0,1.0,6.15,6.15,6.15,6.15,101.0
2020-01-16,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-01-17,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-01-21,6.15,6.15,6.15,6.15,107.0,0.0,1.0,6.15,6.15,6.15,6.15,107.0
2020-01-22,6.15,6.15,6.15,6.15,2.0,0.0,1.0,6.15,6.15,6.15,6.15,2.0
2020-01-23,6.15,6.15,6.15,6.15,25.0,0.0,1.0,6.15,6.15,6.15,6.15,25.0
2020-01-24,6.15,6.15,6.15,6.15,9.0,0.0,1.0,6.15,6.15,6.15,6.15,9.0
2020-01-27,6.15,6.15,6.15,6.15,106.0,0.0,1.0,6.15,6.15,6.15,6.15,106.0
2020-01-28,6.15,6.15,6.15,6.15,1.0,0.0,1.0,6.15,6.15,6.15,6.15,1.0
2020-01-29,6.15,6.15,6.15,6.15,2.0,0.0,1.0,6.15,6.15,6.15,6.15,2.0
2020-01-30,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-01-31,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-02-03,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-02-04,6.15,6.15,6.15,6.15,1.0,0.0,1.0,6.15,6.15,6.15,6.15,1.0
2020-02-05,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-02-06,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-02-07,6.15,6.15,6.15,6.15,2.0,0.0,1.0,6.15,6.15,6.15,6.15,2.0
2020-02-10,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-02-11,6.15,6.15,6.15,6.15,5.0,0.0,1.0,6.15,6.15,6.15,6.15,5.0
2020-02-12,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-02-13,6.15,6.15,6.15,6.15,8.0,0.0,1.0,6.15,6.15,6.15,6.15,8.0
2020-02-14,6.15,6.15,6.15,6.15,0.0,0.0,1.0,6.15,6.15,6.15,6.15,0.0
2020-02-18,6.15,6.15,6.15,6.15,1.0,0.0,1.0,6.15,6.15,6.15,6.15,1.0
2020-02-19,6.15,6.15,6.15,6.15,5.0,0.0,1.0,6.15,6.15,6.15,6.15,5.0
2020-02-20,6.15,6.15,6.15,6.15,1.0,0.0,1.0,6.15,6.15,6.15,6.15,1.0
2020-02-21,5.7281,5.7281,5.7281,5.7281,422.0,0.0,1.0,5.7281,5.7281,5.7281,5.7281,422.0
2020-02-24,5.7281,5.7281,5.7281,5.7281,1.0,0.0,1.0,5.7281,5.7281,5.7281,5.7281,1.0
2020-02-25,5.7281,5.7281,5.7281,5.7281,6.0,0.0,1.0,5.7281,5.7281,5.7281,5.7281,6.0
2020-02-26,5.75,5.93,5.75,5.93,213.0,0.0,1.0,5.75,5.93,5.75,5.93,213.0
2020-02-27,6.11,6.11,5.92,5.92,372.0,0.0,1.0,6.11,6.11,5.92,5.92,372.0
2020-02-28,5.75,5.75,5.5,5.635,352.0,0.0,1.0,5.75,5.75,5.5,5.635,352.0
2020-03-02,5.635,5.635,5.635,5.635,0.0,0.0,1.0,5.635,5.635,5.635,5.635,0.0
2020-03-03,5.635,5.635,5.635,5.635,0.0,0.0,1.0,5.635,5.635,5.635,5.635,0.0
2020-03-04,5.635,5.635,5.635,5.635,1.0,0.0,1.0,5.635,5.635,5.635,5.635,1.0
2020-03-05,5.635,5.635,5.635,5.635,0.0,0.0,1.0,5.635,5.635,5.635,5.635,0.0
2020-03-06,5.8,5.8,5.8,5.8,0.0,0.0,1.0,5.8,5.8,5.8,5.8,0.0
2020-03-09,5.64,5.64,5.64,5.64,1.0,0.0,1.0,5.64,5.64,5.64,5.64,1.0
2020-03-10,5.64,5.64,5.64,5.64,8.0,0.0,1.0,5.64,5.64,5.64,5.64,8.0
2020-03-11,5.64,5.64,5.64,5.64,0.0,0.0,1.0,5.64,5.64,5.64,5.64,0.0
2020-03-12,5.5,5.5737,5.5,5.5737,101.0,0.0,1.0,5.5,5.5737,5.5,5.5737,101.0
2020-03-13,5.5598,5.5598,5.5598,5.5598,4.0,0.0,1.0,5.5598,5.5598,5.5598,5.5598,4.0
2020-03-16,5.5598,5.5598,5.5598,5.5598,9.0,0.0,1.0,5.5598,5.5598,5.5598,5.5598,9.0
