Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.4,3.51,3.4,3.46,25191.0,0.0,1.0,3.4,3.51,3.4,3.46,25191.0
2020-01-03,3.47,3.53,3.4301,3.5,12559.0,0.0,1.0,3.47,3.53,3.4301,3.5,12559.0
2020-01-06,3.47,3.4923,3.4101,3.46,8997.0,0.0,1.0,3.47,3.4923,3.4101,3.46,8997.0
2020-01-07,3.4441,3.48,3.4215,3.47,8436.0,0.0,1.0,3.4441,3.48,3.4215,3.47,8436.0
2020-01-08,3.41,3.54,3.41,3.48,17855.0,0.0,1.0,3.41,3.54,3.41,3.48,17855.0
2020-01-09,3.48,3.5499,3.4773,3.5,42944.0,0.0,1.0,3.48,3.5499,3.4773,3.5,42944.0
2020-01-10,3.5,3.5215,3.49,3.4982,9758.0,0.0,1.0,3.5,3.5215,3.49,3.4982,9758.0
2020-01-13,3.47,3.4839,3.43,3.4601,12317.0,0.0,1.0,3.47,3.4839,3.43,3.4601,12317.0
2020-01-14,3.4514,3.46,3.4498,3.45,7640.0,0.0,1.0,3.4514,3.46,3.4498,3.45,7640.0
2020-01-15,3.479,3.479,3.41,3.42,16257.0,0.0,1.0,3.479,3.479,3.41,3.42,16257.0
2020-01-16,3.42,3.42,3.3742,3.38,20602.0,0.0,1.0,3.42,3.42,3.3742,3.38,20602.0
2020-01-17,3.37,3.4158,3.32,3.33,13484.0,0.0,1.0,3.37,3.4158,3.32,3.33,13484.0
2020-01-21,3.33,3.33,3.25,3.25,28685.0,0.0,1.0,3.33,3.33,3.25,3.25,28685.0
2020-01-22,3.2638,3.29,3.25,3.27,13160.0,0.0,1.0,3.2638,3.29,3.25,3.27,13160.0
2020-01-23,3.2921,3.31,3.25,3.29,7970.0,0.0,1.0,3.2921,3.31,3.25,3.29,7970.0
2020-01-24,3.3073,3.31,3.16,3.2,138038.0,0.0,1.0,3.3073,3.31,3.16,3.2,138038.0
2020-01-27,3.15,3.18,3.13,3.14,43352.0,0.0,1.0,3.15,3.18,3.13,3.14,43352.0
2020-01-28,3.14,3.15,3.11,3.12,34049.0,0.0,1.0,3.14,3.15,3.11,3.12,34049.0
2020-01-29,3.13,3.13,3.12,3.12,21157.0,0.0,1.0,3.13,3.13,3.12,3.12,21157.0
2020-01-30,3.12,3.1216,3.1,3.1,39237.0,0.0,1.0,3.12,3.1216,3.1,3.1,39237.0
2020-01-31,3.12,3.17,2.99,3.0067,68575.0,0.0,1.0,3.12,3.17,2.99,3.0067,68575.0
2020-02-03,3.06,3.06,3.01,3.03,5569.0,0.0,1.0,3.06,3.06,3.01,3.03,5569.0
2020-02-04,3.04,3.04,2.99,2.99,29097.0,0.0,1.0,3.04,3.04,2.99,2.99,29097.0
2020-02-05,3.0,3.024,2.95,2.98,50042.0,0.0,1.0,3.0,3.024,2.95,2.98,50042.0
2020-02-06,2.98,2.985,2.8974,2.9,74520.0,0.0,1.0,2.98,2.985,2.8974,2.9,74520.0
2020-02-07,2.91,2.95,2.91,2.95,9657.0,0.0,1.0,2.91,2.95,2.91,2.95,9657.0
2020-02-10,2.95,3.0,2.95,2.96,20458.0,0.0,1.0,2.95,3.0,2.95,2.96,20458.0
2020-02-11,2.96,3.02,2.96,2.99,32725.0,0.0,1.0,2.96,3.02,2.96,2.99,32725.0
2020-02-12,3.02,3.05,2.98,2.98,10032.0,0.0,1.0,3.02,3.05,2.98,2.98,10032.0
2020-02-13,2.94,2.98,2.9,2.9,28563.0,0.0,1.0,2.94,2.98,2.9,2.9,28563.0
2020-02-14,2.9,2.925,2.89,2.903,28936.0,0.0,1.0,2.9,2.925,2.89,2.903,28936.0
2020-02-18,2.91,2.938,2.905,2.91,15631.0,0.0,1.0,2.91,2.938,2.905,2.91,15631.0
2020-02-19,2.925,2.925,2.88,2.9,16867.0,0.0,1.0,2.925,2.925,2.88,2.9,16867.0
2020-02-20,2.91,2.92,2.88,2.9,23192.0,0.0,1.0,2.91,2.92,2.88,2.9,23192.0
2020-02-21,2.92,2.94,2.88,2.91,57858.0,0.0,1.0,2.92,2.94,2.88,2.91,57858.0
2020-02-24,2.88,2.92,2.88,2.89,34115.0,0.0,1.0,2.88,2.92,2.88,2.89,34115.0
2020-02-25,2.9035,2.91,2.87,2.88,25598.0,0.0,1.0,2.9035,2.91,2.87,2.88,25598.0
2020-02-26,2.88,2.9,2.83,2.83,51511.0,0.0,1.0,2.88,2.9,2.83,2.83,51511.0
2020-02-27,2.83,2.89,2.76,2.77,49046.0,0.0,1.0,2.83,2.89,2.76,2.77,49046.0
2020-02-28,2.74,2.7805,2.73,2.73,38780.0,0.0,1.0,2.74,2.7805,2.73,2.73,38780.0
2020-03-02,2.74,2.79,2.7,2.7699,42213.0,0.0,1.0,2.74,2.79,2.7,2.7699,42213.0
2020-03-03,2.79,2.79,2.54,2.57,80713.0,0.0,1.0,2.79,2.79,2.54,2.57,80713.0
2020-03-04,2.62,2.63,2.57,2.59,45670.0,0.0,1.0,2.62,2.63,2.57,2.59,45670.0
2020-03-05,2.57,2.67,2.48,2.5,79710.0,0.0,1.0,2.57,2.67,2.48,2.5,79710.0
2020-03-06,2.48,2.5372,2.36,2.4,131089.0,0.0,1.0,2.48,2.5372,2.36,2.4,131089.0
2020-03-09,2.36,2.388,2.05,2.05,105868.0,0.0,1.0,2.36,2.388,2.05,2.05,105868.0
2020-03-10,2.15,2.25,2.13,2.25,44860.0,0.0,1.0,2.15,2.25,2.13,2.25,44860.0
2020-03-11,2.36,2.535,2.27,2.45,79593.0,0.0,1.0,2.36,2.535,2.27,2.45,79593.0
2020-03-12,2.45,2.45,2.2,2.4,101859.0,0.0,1.0,2.45,2.45,2.2,2.4,101859.0
2020-03-13,2.36,2.3648,2.11,2.12,57066.0,0.0,1.0,2.36,2.3648,2.11,2.12,57066.0
2020-03-16,2.0,2.0855,1.91,2.02,98738.0,0.0,1.0,2.0,2.0855,1.91,2.02,98738.0
2020-03-17,2.0478,2.0478,1.9,1.96,18710.0,0.0,1.0,2.0478,2.0478,1.9,1.96,18710.0
2020-03-18,1.8718,1.8718,1.51,1.73,54869.0,0.0,1.0,1.8718,1.8718,1.51,1.73,54869.0
2020-03-19,1.71,1.93,1.5536,1.907,57877.0,0.0,1.0,1.71,1.93,1.5536,1.907,57877.0
2020-03-20,1.95,2.04,1.7475,1.86,121732.0,0.0,1.0,1.95,2.04,1.7475,1.86,121732.0
2020-03-23,1.8,2.1,1.745,2.0,75944.0,0.0,1.0,1.8,2.1,1.745,2.0,75944.0
2020-03-24,2.1,2.1,1.9,1.99,53305.0,0.0,1.0,2.1,2.1,1.9,1.99,53305.0
2020-03-25,1.99,2.11,1.97,2.06,35423.0,0.0,1.0,1.99,2.11,1.97,2.06,35423.0
2020-03-26,2.0038,2.08,1.9603,2.01,147623.0,0.0,1.0,2.0038,2.08,1.9603,2.01,147623.0
2020-03-27,1.91,1.99,1.67,1.91,66688.0,0.0,1.0,1.91,1.99,1.67,1.91,66688.0
2020-03-30,1.92,1.99,1.85,1.9,13724.0,0.0,1.0,1.92,1.99,1.85,1.9,13724.0
2020-03-31,2.01,2.04,1.97,1.97,162849.0,0.0,1.0,2.01,2.04,1.97,1.97,162849.0
2020-04-01,2.0,2.02,1.95,2.0,68652.0,0.0,1.0,2.0,2.02,1.95,2.0,68652.0
2020-04-02,2.0,2.06,1.95,1.97,27506.0,0.0,1.0,2.0,2.06,1.95,1.97,27506.0
2020-04-03,1.99,2.0,1.93,1.96,34967.0,0.0,1.0,1.99,2.0,1.93,1.96,34967.0
2020-04-06,1.96,2.01,1.9297,2.0,13276.0,0.0,1.0,1.96,2.01,1.9297,2.0,13276.0
2020-04-07,1.98,1.9955,1.93,1.97,115745.0,0.0,1.0,1.98,1.9955,1.93,1.97,115745.0
2020-04-08,1.99,2.1,1.945,1.9701,124299.0,0.0,1.0,1.99,2.1,1.945,1.9701,124299.0
2020-04-09,2.06,2.06,1.99,1.99,42907.0,0.0,1.0,2.06,2.06,1.99,1.99,42907.0
2020-04-13,2.04,2.09,2.02,2.07,20552.0,0.0,1.0,2.04,2.09,2.02,2.07,20552.0
2020-04-14,2.07,2.09,2.05,2.08,40492.0,0.0,1.0,2.07,2.09,2.05,2.08,40492.0
2020-04-15,2.05,2.09,2.05,2.06,34576.0,0.0,1.0,2.05,2.09,2.05,2.06,34576.0
2020-04-16,2.071,2.09,2.05,2.06,21545.0,0.0,1.0,2.071,2.09,2.05,2.06,21545.0
2020-04-17,2.09,2.09,2.01,2.07,13445.0,0.0,1.0,2.09,2.09,2.01,2.07,13445.0
2020-04-20,2.05,2.09,2.05,2.075,29616.0,0.0,1.0,2.05,2.09,2.05,2.075,29616.0
2020-04-21,2.09,2.09,2.05,2.06,61204.0,0.0,1.0,2.09,2.09,2.05,2.06,61204.0
2020-04-22,2.08,2.245,2.06,2.1,557417.0,0.0,1.0,2.08,2.245,2.06,2.1,557417.0
2020-04-23,2.14,2.14,2.05,2.08,107912.0,0.0,1.0,2.14,2.14,2.05,2.08,107912.0
2020-04-24,2.08,2.1,2.06,2.09,86297.0,0.0,1.0,2.08,2.1,2.06,2.09,86297.0
2020-04-27,2.09,2.11,2.0773,2.09,44468.0,0.0,1.0,2.09,2.11,2.0773,2.09,44468.0
2020-04-28,2.09,2.25,2.09,2.17,61317.0,0.0,1.0,2.09,2.25,2.09,2.17,61317.0
2020-04-29,2.45,2.45,2.27,2.37,124587.0,0.0,1.0,2.45,2.45,2.27,2.37,124587.0
2020-04-30,2.41,2.73,2.4,2.73,125753.0,0.0,1.0,2.41,2.73,2.4,2.73,125753.0
2020-05-01,2.75,2.75,2.2613,2.39,53194.0,0.0,1.0,2.75,2.75,2.2613,2.39,53194.0
2020-05-04,2.35,2.43,2.3,2.43,37689.0,0.0,1.0,2.35,2.43,2.3,2.43,37689.0
2020-05-05,2.4221,2.4302,2.32,2.39,35806.0,0.0,1.0,2.4221,2.4302,2.32,2.39,35806.0
2020-05-06,2.3101,2.4013,2.29,2.35,11767.0,0.0,1.0,2.3101,2.4013,2.29,2.35,11767.0
2020-05-07,2.34,2.51,2.34,2.51,17554.0,0.0,1.0,2.34,2.51,2.34,2.51,17554.0
2020-05-08,2.5,2.53,2.42,2.53,36875.0,0.0,1.0,2.5,2.53,2.42,2.53,36875.0
2020-05-11,2.54,2.6,2.51,2.6,27974.0,0.0,1.0,2.54,2.6,2.51,2.6,27974.0
2020-05-12,2.52,2.56,2.49,2.56,9994.0,0.0,1.0,2.52,2.56,2.49,2.56,9994.0
2020-05-13,2.58,2.6199,2.52,2.6199,83733.0,0.0,1.0,2.58,2.6199,2.52,2.6199,83733.0
2020-05-14,2.62,2.62,2.51,2.53,50102.0,0.0,1.0,2.62,2.62,2.51,2.53,50102.0
2020-05-15,2.5699,2.5699,2.346,2.37,19655.0,0.0,1.0,2.5699,2.5699,2.346,2.37,19655.0
2020-05-18,2.5,2.52,2.3812,2.52,12697.0,0.0,1.0,2.5,2.52,2.3812,2.52,12697.0
2020-05-19,2.58,2.58,2.37,2.44,16051.0,0.0,1.0,2.58,2.58,2.37,2.44,16051.0
2020-05-20,2.5097,2.52,2.45,2.49,4490.0,0.0,1.0,2.5097,2.52,2.45,2.49,4490.0
2020-05-21,2.56,2.56,2.41,2.43,10101.0,0.0,1.0,2.56,2.56,2.41,2.43,10101.0
2020-05-22,2.424,2.54,2.3801,2.54,14666.0,0.0,1.0,2.424,2.54,2.3801,2.54,14666.0
2020-05-26,2.64,2.88,2.51,2.58,49152.0,0.0,1.0,2.64,2.88,2.51,2.58,49152.0
2020-05-27,2.66,2.75,2.5569,2.73,25650.0,0.0,1.0,2.66,2.75,2.5569,2.73,25650.0
2020-05-28,2.79,2.79,2.73,2.75,18904.0,0.0,1.0,2.79,2.79,2.73,2.75,18904.0
2020-05-29,2.72,2.72,2.59,2.63,17525.0,0.0,1.0,2.72,2.72,2.59,2.63,17525.0
2020-06-01,2.63,2.785,2.63,2.785,12774.0,0.0,1.0,2.63,2.785,2.63,2.785,12774.0
2020-06-02,2.81,2.81,2.68,2.77,6953.0,0.0,1.0,2.81,2.81,2.68,2.77,6953.0
2020-06-03,2.745,2.79,2.64,2.79,22041.0,0.0,1.0,2.745,2.79,2.64,2.79,22041.0
2020-06-04,2.72,2.79,2.7,2.7,13034.0,0.0,1.0,2.72,2.79,2.7,2.7,13034.0
2020-06-05,2.8,2.8,2.72,2.735,34275.0,0.0,1.0,2.8,2.8,2.72,2.735,34275.0
2020-06-08,2.9,2.9369,2.71,2.74,70170.0,0.0,1.0,2.9,2.9369,2.71,2.74,70170.0
2020-06-09,2.76,2.89,2.6917,2.86,113541.0,0.0,1.0,2.76,2.89,2.6917,2.86,113541.0
2020-06-10,2.97,3.07,2.9503,2.96,128611.0,0.0,1.0,2.97,3.07,2.9503,2.96,128611.0
2020-06-11,2.96,2.96,2.36,2.48,79387.0,0.0,1.0,2.96,2.96,2.36,2.48,79387.0
2020-06-12,2.98,2.98,2.5766,2.69,46109.0,0.0,1.0,2.98,2.98,2.5766,2.69,46109.0
2020-06-15,2.75,2.8782,2.68,2.83,44696.0,0.0,1.0,2.75,2.8782,2.68,2.83,44696.0
2020-06-16,2.9,2.9,2.64,2.79,43089.0,0.0,1.0,2.9,2.9,2.64,2.79,43089.0
2020-06-17,2.77,2.79,2.68,2.77,21547.0,0.0,1.0,2.77,2.79,2.68,2.77,21547.0
2020-06-18,2.75,2.75,2.59,2.62,38551.0,0.0,1.0,2.75,2.75,2.59,2.62,38551.0
2020-06-19,2.66,2.66,2.591,2.65,29361.0,0.0,1.0,2.66,2.66,2.591,2.65,29361.0
2020-06-22,2.66,2.66,2.6,2.65,13287.0,0.0,1.0,2.66,2.66,2.6,2.65,13287.0
2020-06-23,2.66,2.68,2.59,2.6,26476.0,0.0,1.0,2.66,2.68,2.59,2.6,26476.0
2020-06-24,2.59,2.5983,2.47,2.5,18674.0,0.0,1.0,2.59,2.5983,2.47,2.5,18674.0
2020-06-25,2.5,2.526,2.46,2.5,11728.0,0.0,1.0,2.5,2.526,2.46,2.5,11728.0
2020-06-26,2.46,2.6,2.41,2.58,59688.0,0.0,1.0,2.46,2.6,2.41,2.58,59688.0
2020-06-29,2.63,2.75,2.5402,2.71,49049.0,0.0,1.0,2.63,2.75,2.5402,2.71,49049.0
2020-06-30,2.71,2.81,2.655,2.75,50478.0,0.0,1.0,2.71,2.81,2.655,2.75,50478.0
2020-07-01,2.72,2.93,2.66,2.75,45353.0,0.0,1.0,2.72,2.93,2.66,2.75,45353.0
2020-07-02,2.83,2.83,2.64,2.69,15610.0,0.0,1.0,2.83,2.83,2.64,2.69,15610.0
2020-07-06,2.69,2.8,2.69,2.6901,16663.0,0.0,1.0,2.69,2.8,2.69,2.6901,16663.0
2020-07-07,2.645,2.66,2.56,2.56,12085.0,0.0,1.0,2.645,2.66,2.56,2.56,12085.0
2020-07-08,2.6038,2.87,2.2705,2.29,118707.0,0.0,1.0,2.6038,2.87,2.2705,2.29,118707.0
2020-07-09,2.33,2.6067,2.33,2.5,83291.0,0.0,1.0,2.33,2.6067,2.33,2.5,83291.0
2020-07-10,2.77,2.85,2.62,2.675,125497.0,0.0,1.0,2.77,2.85,2.62,2.675,125497.0
2020-07-13,2.81,2.8381,2.5306,2.5701,61366.0,0.0,1.0,2.81,2.8381,2.5306,2.5701,61366.0
2020-07-14,2.54,2.59,2.49,2.49,35381.0,0.0,1.0,2.54,2.59,2.49,2.49,35381.0
2020-07-15,2.51,2.5575,2.48,2.48,23429.0,0.0,1.0,2.51,2.5575,2.48,2.48,23429.0
2020-07-16,2.45,2.5,2.15,2.46,103068.0,0.0,1.0,2.45,2.5,2.15,2.46,103068.0
2020-07-17,2.36,2.5,2.2905,2.48,14705.0,0.0,1.0,2.36,2.5,2.2905,2.48,14705.0
2020-07-20,2.48,2.58,2.44,2.49,32219.0,0.0,1.0,2.48,2.58,2.44,2.49,32219.0
2020-07-21,2.45,2.6044,2.43,2.48,24196.0,0.0,1.0,2.45,2.6044,2.43,2.48,24196.0
2020-07-22,2.5,2.59,2.47,2.5001,41627.0,0.0,1.0,2.5,2.59,2.47,2.5001,41627.0
2020-07-23,2.53,2.5473,2.505,2.54,10619.0,0.0,1.0,2.53,2.5473,2.505,2.54,10619.0
2020-07-24,2.54,2.54,2.36,2.49,53430.0,0.0,1.0,2.54,2.54,2.36,2.49,53430.0
2020-07-27,2.45,2.525,2.4284,2.47,40077.0,0.0,1.0,2.45,2.525,2.4284,2.47,40077.0
2020-07-28,2.42,2.5199,2.42,2.44,19905.0,0.0,1.0,2.42,2.5199,2.42,2.44,19905.0
2020-07-29,2.44,2.5326,2.4034,2.48,30003.0,0.0,1.0,2.44,2.5326,2.4034,2.48,30003.0
2020-07-30,2.45,2.47,2.44,2.44,14473.0,0.0,1.0,2.45,2.47,2.44,2.44,14473.0
2020-07-31,2.45,2.46,2.41,2.41,18991.0,0.0,1.0,2.45,2.46,2.41,2.41,18991.0
