Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,9.31,9.31,9.25,9.25,11822.0,0.0,1.0,8.807927009160759,8.807927009160759,8.751162710498068,8.751162710498068,11822.0
2020-01-03,9.21,9.31,9.21,9.3,7659.0,0.0,1.0,8.713319844722943,8.807927009160759,8.713319844722943,8.798466292716977,7659.0
2020-01-06,9.25,9.29,9.25,9.272,8894.0,0.0,1.0,8.751162710498068,8.789005576273194,8.751162710498068,8.771976286674388,8894.0
2020-01-07,9.26,9.34,9.26,9.2959,65053.0,0.0,1.0,8.76062342694185,8.836309158492103,8.76062342694185,8.794587398975025,65053.0
2020-01-08,9.32,9.52,9.28,9.4,161711.0,0.0,1.0,8.81738772560454,9.006602054480172,8.779544859829413,8.893073457154793,161711.0
2020-01-09,9.4,9.4,9.31,9.33,104179.0,0.0,1.0,8.893073457154793,8.893073457154793,8.807927009160759,8.826848442048322,104179.0
2020-01-10,9.3,9.4035,9.3,9.35,38509.0,0.0,1.0,8.798466292716977,8.896384707910116,8.798466292716977,8.845769874935884,38509.0
2020-01-13,9.38,9.4,9.3537,9.37,25230.0,0.0,1.0,8.87415202426723,8.893073457154793,8.849270340020084,8.864691307823447,25230.0
2020-01-14,9.4,9.41,9.35,9.38,27795.0,0.0,1.0,8.893073457154793,8.902534173598575,8.845769874935884,8.87415202426723,27795.0
2020-01-15,9.33,9.5,9.33,9.5,54004.0,0.0,1.0,8.826848442048322,8.98768062159261,8.826848442048322,8.98768062159261,54004.0
2020-01-16,9.47,9.4801,9.39,9.41,54617.0,0.0,1.0,8.959298472261265,8.968853795869485,8.883612740711012,8.902534173598575,54617.0
2020-01-17,9.48,9.48,9.39,9.39,47504.0,0.0,1.0,8.968759188705047,8.968759188705047,8.883612740711012,8.883612740711012,47504.0
2020-01-21,9.41,9.45,9.38,9.38,46182.0,0.0,1.0,8.902534173598575,8.9403770393737,8.87415202426723,8.87415202426723,46182.0
2020-01-22,9.36,9.4013,9.36,9.39,32080.0,0.0,1.0,8.855230591379666,8.894303350292486,8.855230591379666,8.883612740711012,32080.0
2020-01-23,9.42,9.42,9.37,9.38,21828.0,0.0,1.0,8.911994890042356,8.911994890042356,8.864691307823447,8.87415202426723,21828.0
2020-01-24,9.44,9.44,9.35,9.35,10689.0,0.0,1.0,8.930916322929919,8.930916322929919,8.845769874935884,8.845769874935884,10689.0
2020-01-27,9.3,9.38,9.25,9.29,26652.0,0.0,1.0,8.798466292716977,8.87415202426723,8.751162710498068,8.789005576273194,26652.0
2020-01-28,9.3352,9.3643,9.3178,9.34,5513.0,0.0,1.0,8.831768014599088,8.859298699450493,8.815306367986908,8.836309158492103,5513.0
2020-01-29,9.42,9.42,9.32,9.32,25592.0,0.0,1.0,8.911994890042356,8.911994890042356,8.81738772560454,8.81738772560454,25592.0
2020-01-30,9.33,9.3727,9.29,9.37,14522.0,0.0,1.0,8.826848442048322,8.867245701263268,8.789005576273194,8.864691307823447,14522.0
2020-01-31,9.4,9.4,9.32,9.32,35765.0,0.0,1.0,8.893073457154793,8.893073457154793,8.81738772560454,8.81738772560454,35765.0
2020-02-03,9.35,9.36,9.3,9.3,29729.0,0.0,1.0,8.845769874935884,8.855230591379666,8.798466292716977,8.798466292716977,29729.0
2020-02-04,9.43,9.43,9.33,9.36,19309.0,0.0,1.0,8.921455606486138,8.921455606486138,8.826848442048322,8.855230591379666,19309.0
2020-02-05,9.48,9.48,9.36,9.3956,22081.0,0.0,1.0,8.968759188705047,8.968759188705047,8.855230591379666,8.88891074191953,22081.0
2020-02-06,9.3929,9.3929,9.3,9.3,46972.0,0.0,1.0,8.886356348479707,8.886356348479707,8.798466292716977,8.798466292716977,46972.0
2020-02-07,9.3,9.38,9.3,9.37,9705.0,0.0,1.0,8.798466292716977,8.87415202426723,8.798466292716977,8.864691307823447,9705.0
2020-02-10,9.4,9.4168,9.36,9.36,41281.0,0.0,1.0,8.893073457154793,8.908967460780346,8.855230591379666,8.855230591379666,41281.0
2020-02-11,9.408,9.4122,9.32,9.33,64252.0,0.0,1.0,8.900642030309818,8.904615531216207,8.81738772560454,8.826848442048322,64252.0
2020-02-12,9.35,9.4,9.35,9.36,26653.0,0.0,1.0,8.845769874935884,8.893073457154793,8.845769874935884,8.855230591379666,26653.0
2020-02-13,9.32,9.3707,9.32,9.33,30535.0,0.0,1.0,8.81738772560454,8.865353557974512,8.81738772560454,8.826848442048322,30535.0
2020-02-14,9.375,9.39,9.34,9.34,11888.0,0.0,1.0,8.869421666045339,8.883612740711012,8.836309158492103,8.836309158492103,11888.0
2020-02-18,9.36,9.3999,9.32,9.33,23643.0,0.0,1.0,8.855230591379666,8.892978849990357,8.81738772560454,8.826848442048322,23643.0
2020-02-19,9.3627,9.4,9.33,9.34,30616.0,0.0,1.0,8.857784984819487,8.893073457154793,8.826848442048322,8.836309158492103,30616.0
2020-02-20,9.36,9.3756,9.33,9.35,60761.0,0.0,1.0,8.855230591379666,8.869989309031967,8.826848442048322,8.845769874935884,60761.0
2020-02-21,9.39,9.41,9.33,9.33,36276.0,0.0,1.0,8.883612740711012,8.902534173598575,8.826848442048322,8.826848442048322,36276.0
2020-02-24,9.27,9.33,9.27,9.31,10129.0,0.0,1.0,8.770084143385631,8.826848442048322,8.770084143385631,8.807927009160759,10129.0
2020-02-25,9.35,9.3575,9.2337,9.27,24147.0,0.0,1.0,8.845769874935884,8.85286541226872,8.735741742694705,8.770084143385631,24147.0
2020-02-26,9.27,9.3,9.2,9.27,18018.0,0.0,1.0,8.770084143385631,8.798466292716977,8.70385912827916,8.770084143385631,18018.0
2020-02-27,9.23,9.23,9.1203,9.15,44406.0,0.0,1.0,8.732241277610505,8.732241277610505,8.62845721822222,8.65655554606025,44406.0
2020-02-28,9.08,9.1,9.0004,9.05,39795.0,0.0,1.0,8.590330530953779,8.609251963841341,8.515023228061278,8.561948381622434,39795.0
2020-03-02,9.02,9.1267,9.02,9.092,47593.0,0.0,1.0,8.533566232291088,8.634512076746239,8.533566232291088,8.601683390686317,47593.0
2020-03-03,9.0813,9.14,9.0,9.04,46155.0,0.0,1.0,8.59156042409147,8.647094829616469,8.514644799403525,8.552487665178651,46155.0
2020-03-04,9.03,9.17,9.03,9.09,34288.0,0.0,1.0,8.54302694873487,8.675476978947815,8.54302694873487,8.59979124739756,34288.0
2020-03-05,9.09,9.09,8.85,8.93,44490.0,0.0,1.0,8.59979124739756,8.59979124739756,8.3727340527468,8.448419784297053,44490.0
2020-03-06,8.85,8.93,8.85,8.9,33094.0,0.0,1.0,8.3727340527468,8.448419784297053,8.3727340527468,8.42003763496571,33094.0
2020-03-09,8.55,8.69,8.11,8.62,40326.0,0.0,1.0,8.08891255943335,8.221362589646292,7.672641035906954,8.15513757453982,40326.0
2020-03-10,8.59,8.75,8.59,8.7179,76171.0,0.0,1.0,8.126755425208476,8.278126888308982,8.126755425208476,8.247757988524445,76171.0
2020-03-11,8.87,8.91,8.12,8.15,117783.0,0.0,1.0,8.391655485634363,8.42949835140949,7.682101752350736,7.710483901682082,117783.0
2020-03-12,7.98,8.1,7.6201,7.9,38623.0,0.0,1.0,7.549651722137793,7.663180319463173,7.209160537326089,7.473965990587539,38623.0
