Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-04-08,1.0,1.0,1.0,1.0,5000.0,0.0,1.0,1.0,1.0,1.0,1.0,5000.0
2020-04-09,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2020-04-13,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2020-04-14,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2020-04-15,1.5,1.5,1.5,1.5,1300.0,0.0,1.0,1.5,1.5,1.5,1.5,1300.0
2020-04-16,1.5,1.5,1.5,1.5,41.0,0.0,1.0,1.5,1.5,1.5,1.5,41.0
2020-04-17,1.5,1.5,1.5,1.5,190.0,0.0,1.0,1.5,1.5,1.5,1.5,190.0
2020-04-20,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
2020-04-21,1.275,1.48,1.275,1.48,12600.0,0.0,1.0,1.275,1.48,1.275,1.48,12600.0
2020-04-22,1.48,1.48,1.48,1.48,0.0,0.0,1.0,1.48,1.48,1.48,1.48,0.0
2020-04-23,1.48,1.48,1.48,1.48,0.0,0.0,1.0,1.48,1.48,1.48,1.48,0.0
2020-04-24,1.48,1.48,1.48,1.48,0.0,0.0,1.0,1.48,1.48,1.48,1.48,0.0
2020-04-27,1.35,1.5,1.35,1.5,200.0,0.0,1.0,1.35,1.5,1.35,1.5,200.0
2020-04-28,1.5,1.5,1.5,1.5,4799.0,0.0,1.0,1.5,1.5,1.5,1.5,4799.0
2020-04-29,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
2020-04-30,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
2020-05-01,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
2020-05-04,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
2020-05-05,1.5,1.5,1.5,1.5,2601.0,0.0,1.0,1.5,1.5,1.5,1.5,2601.0
2020-05-06,1.5,1.5,1.5,1.5,1328.0,0.0,1.0,1.5,1.5,1.5,1.5,1328.0
2020-05-07,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
2020-05-08,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
2020-05-11,1.45,1.45,1.45,1.45,4009.0,0.0,1.0,1.45,1.45,1.45,1.45,4009.0
2020-05-12,1.45,1.45,1.45,1.45,0.0,0.0,1.0,1.45,1.45,1.45,1.45,0.0
2020-05-13,1.45,1.45,1.45,1.45,0.0,0.0,1.0,1.45,1.45,1.45,1.45,0.0
