Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.51,1.53,1.41,1.43,161874.0,0.0,1.0,1.51,1.53,1.41,1.43,161874.0
2020-01-03,1.43,1.5,1.23,1.28,253899.0,0.0,1.0,1.43,1.5,1.23,1.28,253899.0
2020-01-06,1.31,1.4,1.31,1.39,53053.0,0.0,1.0,1.31,1.4,1.31,1.39,53053.0
2020-01-07,1.39,1.64,1.385,1.6,119619.0,0.0,1.0,1.39,1.64,1.385,1.6,119619.0
2020-01-08,1.6,1.67,1.5226,1.6431,78661.0,0.0,1.0,1.6,1.67,1.5226,1.6431,78661.0
2020-01-09,1.67,1.73,1.67,1.73,55986.0,0.0,1.0,1.67,1.73,1.67,1.73,55986.0
2020-01-10,1.7,1.78,1.65,1.65,135101.0,0.0,1.0,1.7,1.78,1.65,1.65,135101.0
2020-01-13,1.65,1.7399,1.65,1.664,61712.0,0.0,1.0,1.65,1.7399,1.65,1.664,61712.0
2020-01-14,1.67,1.675,1.56,1.5727,71618.0,0.0,1.0,1.67,1.675,1.56,1.5727,71618.0
2020-01-15,1.69,1.7,1.51,1.5393,112624.0,0.0,1.0,1.69,1.7,1.51,1.5393,112624.0
2020-01-16,1.58,1.62,1.46,1.49,94354.0,0.0,1.0,1.58,1.62,1.46,1.49,94354.0
2020-01-17,1.46,1.64,1.46,1.62,85799.0,0.0,1.0,1.46,1.64,1.46,1.62,85799.0
2020-01-21,1.675,1.8,1.65,1.72,64318.0,0.0,1.0,1.675,1.8,1.65,1.72,64318.0
2020-01-22,1.72,1.78,1.52,1.52,138360.0,0.0,1.0,1.72,1.78,1.52,1.52,138360.0
2020-01-23,1.5,1.87,1.5,1.8613,386383.0,0.0,1.0,1.5,1.87,1.5,1.8613,386383.0
2020-01-24,1.89,1.95,1.66,1.7811,113646.0,0.0,1.0,1.89,1.95,1.66,1.7811,113646.0
2020-01-27,1.65,1.77,1.64,1.76,28346.0,0.0,1.0,1.65,1.77,1.64,1.76,28346.0
2020-01-28,1.78,1.85,1.71,1.71,36392.0,0.0,1.0,1.78,1.85,1.71,1.71,36392.0
2020-01-29,1.67,1.83,1.67,1.67,81466.0,0.0,1.0,1.67,1.83,1.67,1.67,81466.0
2020-01-30,1.64,1.67,1.6,1.63,75551.0,0.0,1.0,1.64,1.67,1.6,1.63,75551.0
2020-01-31,1.63,1.65,1.6,1.61,53874.0,0.0,1.0,1.63,1.65,1.6,1.61,53874.0
2020-02-03,1.65,1.73,1.6,1.62,26892.0,0.0,1.0,1.65,1.73,1.6,1.62,26892.0
2020-02-04,1.6,1.71,1.6,1.655,39566.0,0.0,1.0,1.6,1.71,1.6,1.655,39566.0
2020-02-05,1.63,1.6673,1.63,1.65,121693.0,0.0,1.0,1.63,1.6673,1.63,1.65,121693.0
2020-02-06,1.63,1.65,1.57,1.63,56195.0,0.0,1.0,1.63,1.65,1.57,1.63,56195.0
2020-02-07,1.63,1.65,1.6101,1.65,16812.0,0.0,1.0,1.63,1.65,1.6101,1.65,16812.0
2020-02-10,1.63,1.7,1.6001,1.7,60051.0,0.0,1.0,1.63,1.7,1.6001,1.7,60051.0
2020-02-11,1.71,1.71,1.555,1.6,53645.0,0.0,1.0,1.71,1.71,1.555,1.6,53645.0
2020-02-12,1.6,1.64,1.6,1.625,8440.0,0.0,1.0,1.6,1.64,1.6,1.625,8440.0
2020-02-13,1.63,1.67,1.62,1.62,13918.0,0.0,1.0,1.63,1.67,1.62,1.62,13918.0
2020-02-14,1.63,1.64,1.61,1.61,17179.0,0.0,1.0,1.63,1.64,1.61,1.61,17179.0
2020-02-18,1.66,1.66,1.61,1.63,26535.0,0.0,1.0,1.66,1.66,1.61,1.63,26535.0
2020-02-19,1.62,1.62,1.59,1.6,44725.0,0.0,1.0,1.62,1.62,1.59,1.6,44725.0
2020-02-20,1.6,1.62,1.59,1.61,15825.0,0.0,1.0,1.6,1.62,1.59,1.61,15825.0
2020-02-21,1.6073,1.63,1.59,1.61,8718.0,0.0,1.0,1.6073,1.63,1.59,1.61,8718.0
2020-02-24,1.62,1.63,1.56,1.56,32579.0,0.0,1.0,1.62,1.63,1.56,1.56,32579.0
2020-02-25,1.55,1.6,1.55,1.58,37795.0,0.0,1.0,1.55,1.6,1.55,1.58,37795.0
2020-02-26,1.51,1.58,1.4373,1.45,74874.0,0.0,1.0,1.51,1.58,1.4373,1.45,74874.0
2020-02-27,1.48,1.5,1.47,1.49,17524.0,0.0,1.0,1.48,1.5,1.47,1.49,17524.0
2020-02-28,1.3813,1.44,1.36,1.435,11846.0,0.0,1.0,1.3813,1.44,1.36,1.435,11846.0
2020-03-02,1.4,1.65,1.4,1.62,48972.0,0.0,1.0,1.4,1.65,1.4,1.62,48972.0
2020-03-03,1.6489,1.6489,1.52,1.59,6534.0,0.0,1.0,1.6489,1.6489,1.52,1.59,6534.0
2020-03-04,1.5435,1.62,1.5435,1.55,18374.0,0.0,1.0,1.5435,1.62,1.5435,1.55,18374.0
2020-03-05,1.46,1.56,1.45,1.56,15268.0,0.0,1.0,1.46,1.56,1.45,1.56,15268.0
2020-03-06,1.46,1.522,1.45,1.5189,9607.0,0.0,1.0,1.46,1.522,1.45,1.5189,9607.0
2020-03-09,1.5401,1.5401,1.39,1.4,31954.0,0.0,1.0,1.5401,1.5401,1.39,1.4,31954.0
2020-03-10,1.4293,1.4293,1.34,1.38,17247.0,0.0,1.0,1.4293,1.4293,1.34,1.38,17247.0
2020-03-11,1.36,1.4,1.32,1.38,16885.0,0.0,1.0,1.36,1.4,1.32,1.38,16885.0
2020-03-12,1.38,1.4289,1.2,1.42,50383.0,0.0,1.0,1.38,1.4289,1.2,1.42,50383.0
2020-03-13,1.42,1.56,1.385,1.56,95238.0,0.0,1.0,1.42,1.56,1.385,1.56,95238.0
2020-03-16,1.4,1.55,1.4,1.55,163903.0,0.0,1.0,1.4,1.55,1.4,1.55,163903.0
2020-03-17,1.5,1.56,1.49,1.55,49688.0,0.0,1.0,1.5,1.56,1.49,1.55,49688.0
2020-03-18,1.51,1.55,1.465,1.55,25325.0,0.0,1.0,1.51,1.55,1.465,1.55,25325.0
2020-03-19,1.2701,1.75,1.2701,1.7,153774.0,0.0,1.0,1.2701,1.75,1.2701,1.7,153774.0
2020-03-20,1.7,1.86,1.66,1.81,108409.0,0.0,1.0,1.7,1.86,1.66,1.81,108409.0
2020-03-23,1.79,1.8,1.66,1.74,70949.0,0.0,1.0,1.79,1.8,1.66,1.74,70949.0
2020-03-24,1.7,1.75,1.6,1.74,17337.0,0.0,1.0,1.7,1.75,1.6,1.74,17337.0
2020-03-25,1.73,1.73,1.63,1.7,87014.0,0.0,1.0,1.73,1.73,1.63,1.7,87014.0
2020-03-26,1.65,1.68,1.61,1.65,79142.0,0.0,1.0,1.65,1.68,1.61,1.65,79142.0
2020-03-27,1.6,1.67,1.6,1.64,44361.0,0.0,1.0,1.6,1.67,1.6,1.64,44361.0
2020-03-30,1.6,1.68,1.6,1.68,44423.0,0.0,1.0,1.6,1.68,1.6,1.68,44423.0
2020-03-31,1.67,1.88,1.67,1.8397,164129.0,0.0,1.0,1.67,1.88,1.67,1.8397,164129.0
2020-04-01,1.81,1.85,1.8,1.83,44369.0,0.0,1.0,1.81,1.85,1.8,1.83,44369.0
2020-04-02,1.81,1.95,1.81,1.88,66159.0,0.0,1.0,1.81,1.95,1.81,1.88,66159.0
2020-04-03,1.84,1.88,1.81,1.86,36412.0,0.0,1.0,1.84,1.88,1.81,1.86,36412.0
2020-04-06,1.82,1.87,1.67,1.81,87439.0,0.0,1.0,1.82,1.87,1.67,1.81,87439.0
2020-04-07,1.78,1.85,1.6965,1.73,99490.0,0.0,1.0,1.78,1.85,1.6965,1.73,99490.0
2020-04-08,1.8,1.8,1.6438,1.7373,23595.0,0.0,1.0,1.8,1.8,1.6438,1.7373,23595.0
2020-04-09,1.71,1.8,1.65,1.8,98139.0,0.0,1.0,1.71,1.8,1.65,1.8,98139.0
2020-04-13,1.76,1.82,1.7101,1.78,16252.0,0.0,1.0,1.76,1.82,1.7101,1.78,16252.0
2020-04-14,1.73,1.79,1.72,1.79,44572.0,0.0,1.0,1.73,1.79,1.72,1.79,44572.0
2020-04-15,1.78,1.79,1.72,1.77,39835.0,0.0,1.0,1.78,1.79,1.72,1.77,39835.0
2020-04-16,1.74,1.8,1.7,1.8,30072.0,0.0,1.0,1.74,1.8,1.7,1.8,30072.0
2020-04-17,1.75,1.83,1.7301,1.83,106982.0,0.0,1.0,1.75,1.83,1.7301,1.83,106982.0
2020-04-20,1.8,1.83,1.739,1.83,83938.0,0.0,1.0,1.8,1.83,1.739,1.83,83938.0
2020-04-21,1.83,1.83,1.76,1.81,7348.0,0.0,1.0,1.83,1.83,1.76,1.81,7348.0
2020-04-22,1.81,1.81,1.7034,1.8,15419.0,0.0,1.0,1.81,1.81,1.7034,1.8,15419.0
2020-04-23,1.79,1.79,1.71,1.79,33210.0,0.0,1.0,1.79,1.79,1.71,1.79,33210.0
2020-04-24,1.78,1.79,1.74,1.79,18460.0,0.0,1.0,1.78,1.79,1.74,1.79,18460.0
2020-04-27,1.62,1.78,1.62,1.75,36926.0,0.0,1.0,1.62,1.78,1.62,1.75,36926.0
2020-04-28,1.71,1.7887,1.7073,1.7887,36118.0,0.0,1.0,1.71,1.7887,1.7073,1.7887,36118.0
2020-04-29,1.73,1.76,1.7001,1.75,38567.0,0.0,1.0,1.73,1.76,1.7001,1.75,38567.0
2020-04-30,1.72,1.75,1.7055,1.75,12687.0,0.0,1.0,1.72,1.75,1.7055,1.75,12687.0
2020-05-01,1.7,1.75,1.69,1.73,4228.0,0.0,1.0,1.7,1.75,1.69,1.73,4228.0
2020-05-04,1.66,1.7,1.63,1.65,53781.0,0.0,1.0,1.66,1.7,1.63,1.65,53781.0
2020-05-05,1.65,1.66,1.63,1.64,4382.0,0.0,1.0,1.65,1.66,1.63,1.64,4382.0
2020-05-06,1.64,1.66,1.6,1.65,18323.0,0.0,1.0,1.64,1.66,1.6,1.65,18323.0
2020-05-07,1.64,1.645,1.53,1.6,103535.0,0.0,1.0,1.64,1.645,1.53,1.6,103535.0
2020-05-08,1.53,1.59,1.47,1.52,82987.0,0.0,1.0,1.53,1.59,1.47,1.52,82987.0
2020-05-11,1.49,1.51,1.39,1.51,139790.0,0.0,1.0,1.49,1.51,1.39,1.51,139790.0
2020-05-12,1.49,1.51,1.47,1.5,44011.0,0.0,1.0,1.49,1.51,1.47,1.5,44011.0
2020-05-13,1.5,1.6,1.47,1.54,63786.0,0.0,1.0,1.5,1.6,1.47,1.54,63786.0
2020-05-14,1.55,1.55,1.47,1.55,86586.0,0.0,1.0,1.55,1.55,1.47,1.55,86586.0
2020-05-15,1.5,1.55,1.485,1.5365,18106.0,0.0,1.0,1.5,1.55,1.485,1.5365,18106.0
2020-05-18,1.53,1.56,1.48,1.54,14352.0,0.0,1.0,1.53,1.56,1.48,1.54,14352.0
2020-05-19,1.51,1.63,1.46,1.61,102017.0,0.0,1.0,1.51,1.63,1.46,1.61,102017.0
2020-05-20,1.57,1.63,1.57,1.62,33603.0,0.0,1.0,1.57,1.63,1.57,1.62,33603.0
2020-05-21,1.64,1.64,1.58,1.63,32097.0,0.0,1.0,1.64,1.64,1.58,1.63,32097.0
2020-05-22,1.6,1.6,1.53,1.6,81959.0,0.0,1.0,1.6,1.6,1.53,1.6,81959.0
2020-05-26,1.6,1.61,1.55,1.6,33270.0,0.0,1.0,1.6,1.61,1.55,1.6,33270.0
2020-05-27,1.59,1.6,1.56,1.6,35714.0,0.0,1.0,1.59,1.6,1.56,1.6,35714.0
2020-05-28,1.58,1.6,1.57,1.58,15924.0,0.0,1.0,1.58,1.6,1.57,1.58,15924.0
2020-05-29,1.58,1.6,1.56,1.59,22198.0,0.0,1.0,1.58,1.6,1.56,1.59,22198.0
2020-06-01,1.59,1.6,1.59,1.6,98648.0,0.0,1.0,1.59,1.6,1.59,1.6,98648.0
2020-06-02,1.6,1.63,1.59,1.63,84112.0,0.0,1.0,1.6,1.63,1.59,1.63,84112.0
2020-06-03,1.62,1.63,1.59,1.63,40150.0,0.0,1.0,1.62,1.63,1.59,1.63,40150.0
2020-06-04,1.64,1.6473,1.53,1.63,103316.0,0.0,1.0,1.64,1.6473,1.53,1.63,103316.0
2020-06-05,1.65,1.74,1.6001,1.69,93064.0,0.0,1.0,1.65,1.74,1.6001,1.69,93064.0
2020-06-08,1.74,1.74,1.66,1.73,73850.0,0.0,1.0,1.74,1.74,1.66,1.73,73850.0
2020-06-09,1.7199,1.73,1.68,1.73,46038.0,0.0,1.0,1.7199,1.73,1.68,1.73,46038.0
2020-06-10,1.71,1.73,1.66,1.73,55109.0,0.0,1.0,1.71,1.73,1.66,1.73,55109.0
