Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.56,7.0482,6.56,6.8059,812.0,0.0,1.0,6.56,7.0482,6.56,6.8059,812.0
2020-01-03,6.83,7.18,6.75,7.1799,5341.0,0.0,1.0,6.83,7.18,6.75,7.1799,5341.0
2020-01-06,7.0,7.11,7.0,7.0,1828.0,0.0,1.0,7.0,7.11,7.0,7.0,1828.0
2020-01-07,6.75,6.88,6.75,6.85,3100.0,0.0,1.0,6.75,6.88,6.75,6.85,3100.0
2020-01-08,6.75,7.01,6.75,7.0,4360.0,0.0,1.0,6.75,7.01,6.75,7.0,4360.0
2020-01-09,7.19,7.2,7.19,7.2,550.0,0.0,1.0,7.19,7.2,7.19,7.2,550.0
2020-01-10,7.3,7.3,7.15,7.15,7308.0,0.0,1.0,7.3,7.3,7.15,7.15,7308.0
2020-01-13,6.8,6.86,6.405,6.8501,13595.0,0.0,1.0,6.8,6.86,6.405,6.8501,13595.0
2020-01-14,6.8501,6.8501,6.8501,6.8501,0.0,0.0,1.0,6.8501,6.8501,6.8501,6.8501,0.0
2020-01-15,6.8501,6.8501,6.8501,6.8501,0.0,0.0,1.0,6.8501,6.8501,6.8501,6.8501,0.0
2020-01-16,6.7,6.8534,6.55,6.8534,3882.0,0.0,1.0,6.7,6.8534,6.55,6.8534,3882.0
2020-01-17,6.58,6.899,6.58,6.8,20383.0,0.0,1.0,6.58,6.899,6.58,6.8,20383.0
2020-01-21,6.62,6.79,6.55,6.79,9132.0,0.0,1.0,6.62,6.79,6.55,6.79,9132.0
2020-01-22,6.49,6.7,6.49,6.7,3235.0,0.0,1.0,6.49,6.7,6.49,6.7,3235.0
2020-01-23,6.5,6.59,6.32,6.5,8637.0,0.0,1.0,6.5,6.59,6.32,6.5,8637.0
2020-01-24,6.37,6.5,6.37,6.5,1444.0,0.0,1.0,6.37,6.5,6.37,6.5,1444.0
2020-01-27,6.15,6.2,5.7,6.0,15050.0,0.0,1.0,6.15,6.2,5.7,6.0,15050.0
2020-01-28,6.1,6.1,6.05,6.05,1000.0,0.0,1.0,6.1,6.1,6.05,6.05,1000.0
2020-01-29,5.97,5.97,5.97,5.97,213.0,0.0,1.0,5.97,5.97,5.97,5.97,213.0
2020-01-30,5.99,6.19,5.95,5.95,2858.0,0.0,1.0,5.99,6.19,5.95,5.95,2858.0
