Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.22,1.632,1.21,1.57,280247.0,0.0,1.0,1.22,1.632,1.21,1.57,280247.0
2020-01-03,1.52,1.59,1.4,1.4,125502.0,0.0,1.0,1.52,1.59,1.4,1.4,125502.0
2020-01-06,1.4,1.5001,1.4,1.425,54269.0,0.0,1.0,1.4,1.5001,1.4,1.425,54269.0
2020-01-07,1.38,1.44,1.34,1.4173,38738.0,0.0,1.0,1.38,1.44,1.34,1.4173,38738.0
2020-01-08,1.37,1.46,1.34,1.38,49162.0,0.0,1.0,1.37,1.46,1.34,1.38,49162.0
2020-01-09,1.35,1.4899,1.35,1.36,37179.0,0.0,1.0,1.35,1.4899,1.35,1.36,37179.0
2020-01-10,1.41,1.46,1.36,1.42,77823.0,0.0,1.0,1.41,1.46,1.36,1.42,77823.0
2020-01-13,1.47,1.47,1.4,1.42,36052.0,0.0,1.0,1.47,1.47,1.4,1.42,36052.0
2020-01-14,1.39,1.446,1.38,1.38,52788.0,0.0,1.0,1.39,1.446,1.38,1.38,52788.0
2020-01-15,1.39,1.42,1.38,1.39,58646.0,0.0,1.0,1.39,1.42,1.38,1.39,58646.0
2020-01-16,1.42,1.42,1.33,1.35,47948.0,0.0,1.0,1.42,1.42,1.33,1.35,47948.0
2020-01-17,1.34,1.35,1.28,1.28,36016.0,0.0,1.0,1.34,1.35,1.28,1.28,36016.0
2020-01-21,1.29,1.29,1.2195,1.23,30935.0,0.0,1.0,1.29,1.29,1.2195,1.23,30935.0
2020-01-22,1.24,1.2745,1.2,1.22,26847.0,0.0,1.0,1.24,1.2745,1.2,1.22,26847.0
2020-01-23,1.25,1.25,1.23,1.24,28604.0,0.0,1.0,1.25,1.25,1.23,1.24,28604.0
2020-01-24,1.28,1.28,1.23,1.25,7998.0,0.0,1.0,1.28,1.28,1.23,1.25,7998.0
2020-01-27,1.25,1.2699,1.22,1.23,17075.0,0.0,1.0,1.25,1.2699,1.22,1.23,17075.0
2020-01-28,1.23,1.26,1.23,1.23,9049.0,0.0,1.0,1.23,1.26,1.23,1.23,9049.0
2020-01-29,1.29,1.32,1.22,1.22,39106.0,0.0,1.0,1.29,1.32,1.22,1.22,39106.0
2020-01-30,1.236,1.25,1.2,1.2,51752.0,0.0,1.0,1.236,1.25,1.2,1.2,51752.0
2020-01-31,1.2,1.21,1.16,1.17,56930.0,0.0,1.0,1.2,1.21,1.16,1.17,56930.0
2020-02-03,1.1793,1.1899,1.11,1.17,25794.0,0.0,1.0,1.1793,1.1899,1.11,1.17,25794.0
2020-02-04,1.15,1.1985,1.12,1.16,17204.0,0.0,1.0,1.15,1.1985,1.12,1.16,17204.0
2020-02-05,1.16,1.18,1.1,1.17,18704.0,0.0,1.0,1.16,1.18,1.1,1.17,18704.0
2020-02-06,1.17,1.2088,1.12,1.17,7378.0,0.0,1.0,1.17,1.2088,1.12,1.17,7378.0
2020-02-07,1.2,1.2,1.1401,1.142,6116.0,0.0,1.0,1.2,1.2,1.1401,1.142,6116.0
2020-02-10,1.17,1.17,1.14,1.16,17683.0,0.0,1.0,1.17,1.17,1.14,1.16,17683.0
2020-02-11,1.1191,1.13,1.02,1.03,81492.0,0.0,1.0,1.1191,1.13,1.02,1.03,81492.0
2020-02-12,1.03,1.24,1.03,1.04,15991.0,0.0,1.0,1.03,1.24,1.03,1.04,15991.0
2020-02-13,1.044,1.07,1.02,1.07,20890.0,0.0,1.0,1.044,1.07,1.02,1.07,20890.0
2020-02-14,1.045,1.05,1.0,1.02,53019.0,0.0,1.0,1.045,1.05,1.0,1.02,53019.0
2020-02-18,1.02,1.04,1.01,1.03,59420.0,0.0,1.0,1.02,1.04,1.01,1.03,59420.0
2020-02-19,1.03,1.03,0.95,0.9658,72252.0,0.0,1.0,1.03,1.03,0.95,0.9658,72252.0
2020-02-20,0.93,1.0,0.93,0.9821,72847.0,0.0,1.0,0.93,1.0,0.93,0.9821,72847.0
2020-02-21,1.0,1.0,0.979,1.0,55561.0,0.0,1.0,1.0,1.0,0.979,1.0,55561.0
2020-02-24,1.0,1.0,0.94,0.95,15259.0,0.0,1.0,1.0,1.0,0.94,0.95,15259.0
2020-02-25,0.9746,1.02,0.9531,0.97,160540.0,0.0,1.0,0.9746,1.02,0.9531,0.97,160540.0
2020-02-26,0.97,1.0,0.91,1.0,130471.0,0.0,1.0,0.97,1.0,0.91,1.0,130471.0
2020-02-27,0.9835,1.01,0.9,0.9928,99179.0,0.0,1.0,0.9835,1.01,0.9,0.9928,99179.0
2020-02-28,1.0,1.014,0.95,0.96,42110.0,0.0,1.0,1.0,1.014,0.95,0.96,42110.0
2020-03-02,0.96,1.0,0.96,0.974321,5519.0,0.0,1.0,0.96,1.0,0.96,0.974321,5519.0
2020-03-03,1.02,1.02,0.96,0.9601,14658.0,0.0,1.0,1.02,1.02,0.96,0.9601,14658.0
2020-03-04,0.9592,1.02,0.9441,1.01,133344.0,0.0,1.0,0.9592,1.02,0.9441,1.01,133344.0
2020-03-05,0.9981,1.0,0.9757,0.9881,8330.0,0.0,1.0,0.9981,1.0,0.9757,0.9881,8330.0
2020-03-06,0.99,1.0,0.902,0.9809,21208.0,0.0,1.0,0.99,1.0,0.902,0.9809,21208.0
2020-03-09,0.9595,0.9595,0.8368,0.94,54598.0,0.0,1.0,0.9595,0.9595,0.8368,0.94,54598.0
2020-03-10,0.92,0.92,0.6802,0.85,56057.0,0.0,1.0,0.92,0.92,0.6802,0.85,56057.0
2020-03-11,0.91,0.91,0.82,0.82,15225.0,0.0,1.0,0.91,0.91,0.82,0.82,15225.0
2020-03-12,0.7937,0.81,0.6835,0.81,13044.0,0.0,1.0,0.7937,0.81,0.6835,0.81,13044.0
2020-03-13,0.7,0.7965,0.6835,0.739959,7063.0,0.0,1.0,0.7,0.7965,0.6835,0.739959,7063.0
2020-03-16,0.74,0.74,0.6,0.7,17415.0,0.0,1.0,0.74,0.74,0.6,0.7,17415.0
2020-03-17,0.6647,0.6647,0.55,0.55,38913.0,0.0,1.0,0.6647,0.6647,0.55,0.55,38913.0
2020-03-18,0.6,0.6,0.34,0.35,51193.0,0.0,1.0,0.6,0.6,0.34,0.35,51193.0
2020-03-19,0.36,0.49,0.237,0.48,71794.0,0.0,1.0,0.36,0.49,0.237,0.48,71794.0
2020-03-20,0.38,0.81,0.38,0.6,203920.0,0.0,1.0,0.38,0.81,0.38,0.6,203920.0
2020-03-23,0.63,0.64585,0.5,0.6,11852.0,0.0,1.0,0.63,0.64585,0.5,0.6,11852.0
2020-03-24,0.5999,0.705,0.5999,0.69,37953.0,0.0,1.0,0.5999,0.705,0.5999,0.69,37953.0
2020-03-25,0.6,0.749,0.6,0.66,32563.0,0.0,1.0,0.6,0.749,0.6,0.66,32563.0
2020-03-26,0.66,0.7,0.592,0.605,51082.0,0.0,1.0,0.66,0.7,0.592,0.605,51082.0
2020-03-27,0.6355,0.7,0.6355,0.696,13112.0,0.0,1.0,0.6355,0.7,0.6355,0.696,13112.0
2020-03-30,0.7,0.7,0.6,0.668,14244.0,0.0,1.0,0.7,0.7,0.6,0.668,14244.0
2020-03-31,0.7,0.7,0.68,0.68,42257.0,0.0,1.0,0.7,0.7,0.68,0.68,42257.0
2020-04-01,0.65,0.7,0.58,0.58,78830.0,0.0,1.0,0.65,0.7,0.58,0.58,78830.0
2020-04-02,0.5604,0.6,0.512,0.53,230727.0,0.0,1.0,0.5604,0.6,0.512,0.53,230727.0
2020-04-03,0.52,0.54,0.51,0.51,79180.0,0.0,1.0,0.52,0.54,0.51,0.51,79180.0
2020-04-06,0.5,0.53,0.5,0.5,99578.0,0.0,1.0,0.5,0.53,0.5,0.5,99578.0
2020-04-07,0.5,0.516,0.45,0.458,880561.0,0.0,1.0,0.5,0.516,0.45,0.458,880561.0
2020-04-08,0.45,0.5,0.45,0.47,147418.0,0.0,1.0,0.45,0.5,0.45,0.47,147418.0
2020-04-09,0.4935,0.4935,0.4,0.402,783187.0,0.0,1.0,0.4935,0.4935,0.4,0.402,783187.0
2020-04-13,0.4221,0.44,0.41,0.4151,147668.0,0.0,1.0,0.4221,0.44,0.41,0.4151,147668.0
2020-04-14,0.4152,0.453,0.41511,0.432,239016.0,0.0,1.0,0.4152,0.453,0.41511,0.432,239016.0
2020-04-15,0.4302,0.51,0.41,0.49,638261.0,0.0,1.0,0.4302,0.51,0.41,0.49,638261.0
2020-04-16,0.4605,0.498,0.431,0.4352,230744.0,0.0,1.0,0.4605,0.498,0.431,0.4352,230744.0
2020-04-17,0.435,0.48,0.4302,0.452,169027.0,0.0,1.0,0.435,0.48,0.4302,0.452,169027.0
2020-04-20,0.469,0.51,0.455,0.49,460941.0,0.0,1.0,0.469,0.51,0.455,0.49,460941.0
2020-04-21,0.45,0.493,0.442,0.447,138869.0,0.0,1.0,0.45,0.493,0.442,0.447,138869.0
2020-04-22,0.488,0.49,0.447,0.4555,85565.0,0.0,1.0,0.488,0.49,0.447,0.4555,85565.0
2020-04-23,0.468,0.49,0.45,0.48,83475.0,0.0,1.0,0.468,0.49,0.45,0.48,83475.0
2020-04-24,0.49,0.51,0.47,0.5,587479.0,0.0,1.0,0.49,0.51,0.47,0.5,587479.0
2020-04-27,0.5,0.8,0.4965,0.617,649106.0,0.0,1.0,0.5,0.8,0.4965,0.617,649106.0
2020-04-28,0.64,0.7199,0.611,0.6462,123049.0,0.0,1.0,0.64,0.7199,0.611,0.6462,123049.0
2020-04-29,0.65,0.68,0.62,0.6612,150061.0,0.0,1.0,0.65,0.68,0.62,0.6612,150061.0
2020-04-30,0.6629,0.72,0.62,0.63,102259.0,0.0,1.0,0.6629,0.72,0.62,0.63,102259.0
2020-05-01,1.49,1.65,0.952,0.99,20106297.0,0.0,1.0,1.49,1.65,0.952,0.99,20106297.0
2020-05-04,0.948,1.05,0.86,0.97,1917624.0,0.0,1.0,0.948,1.05,0.86,0.97,1917624.0
2020-05-05,1.0,1.03,0.85,0.91,1138946.0,0.0,1.0,1.0,1.03,0.85,0.91,1138946.0
2020-05-06,0.902,0.94,0.832,0.8416,441116.0,0.0,1.0,0.902,0.94,0.832,0.8416,441116.0
2020-05-07,0.8041,0.835,0.752,0.78,448253.0,0.0,1.0,0.8041,0.835,0.752,0.78,448253.0
2020-05-08,0.75,0.788,0.652,0.728,395876.0,0.0,1.0,0.75,0.788,0.652,0.728,395876.0
2020-05-11,0.7501,0.92,0.748,0.874,559891.0,0.0,1.0,0.7501,0.92,0.748,0.874,559891.0
2020-05-12,0.859,0.8777,0.8,0.85,166200.0,0.0,1.0,0.859,0.8777,0.8,0.85,166200.0
2020-05-13,0.84,0.8697,0.75,0.8,288584.0,0.0,1.0,0.84,0.8697,0.75,0.8,288584.0
2020-05-14,0.8,0.81,0.75,0.8,121944.0,0.0,1.0,0.8,0.81,0.75,0.8,121944.0
2020-05-15,0.8398,0.86,0.80101,0.859,78765.0,0.0,1.0,0.8398,0.86,0.80101,0.859,78765.0
2020-05-18,0.86,0.92,0.86,0.8979,258025.0,0.0,1.0,0.86,0.92,0.86,0.8979,258025.0
2020-05-19,0.88,0.9,0.8601,0.895,131085.0,0.0,1.0,0.88,0.9,0.8601,0.895,131085.0
2020-05-20,0.883,0.898,0.811,0.87,133468.0,0.0,1.0,0.883,0.898,0.811,0.87,133468.0
2020-05-21,0.8652,0.8844,0.8009,0.8483,86446.0,0.0,1.0,0.8652,0.8844,0.8009,0.8483,86446.0
2020-05-22,0.828,0.855,0.8072,0.82001,93217.0,0.0,1.0,0.828,0.855,0.8072,0.82001,93217.0
2020-05-26,0.8,0.81,0.78,0.7901,283124.0,0.0,1.0,0.8,0.81,0.78,0.7901,283124.0
