Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.61,1.65,1.56,1.6,30906.0,0.0,1.0,1.61,1.65,1.56,1.6,30906.0
2020-01-03,1.62,1.75,1.58,1.58,46332.0,0.0,1.0,1.62,1.75,1.58,1.58,46332.0
2020-01-06,1.59,1.72,1.55,1.6,68026.0,0.0,1.0,1.59,1.72,1.55,1.6,68026.0
2020-01-07,1.63,1.64,1.59,1.6142,49627.0,0.0,1.0,1.63,1.64,1.59,1.6142,49627.0
2020-01-08,1.61,1.62,1.56,1.58,50247.0,0.0,1.0,1.61,1.62,1.56,1.58,50247.0
2020-01-09,1.6,1.628,1.54,1.59,15695.0,0.0,1.0,1.6,1.628,1.54,1.59,15695.0
2020-01-10,1.6,1.61,1.55,1.55,33011.0,0.0,1.0,1.6,1.61,1.55,1.55,33011.0
2020-01-13,1.55,1.6,1.4,1.6,124257.0,0.0,1.0,1.55,1.6,1.4,1.6,124257.0
2020-01-14,1.56,1.6,1.56,1.59,9999.0,0.0,1.0,1.56,1.6,1.56,1.59,9999.0
2020-01-15,1.59,1.7,1.58,1.6761,31190.0,0.0,1.0,1.59,1.7,1.58,1.6761,31190.0
2020-01-16,1.61,1.75,1.61,1.7466,25151.0,0.0,1.0,1.61,1.75,1.61,1.7466,25151.0
2020-01-17,1.77,1.82,1.7,1.7,32083.0,0.0,1.0,1.77,1.82,1.7,1.7,32083.0
2020-01-21,1.71,1.78,1.6125,1.69,19095.0,0.0,1.0,1.71,1.78,1.6125,1.69,19095.0
2020-01-22,1.7304,1.78,1.7,1.7027,29239.0,0.0,1.0,1.7304,1.78,1.7,1.7027,29239.0
2020-01-23,1.69,1.79,1.68,1.78,12067.0,0.0,1.0,1.69,1.79,1.68,1.78,12067.0
2020-01-24,1.706,1.79,1.5556,1.645,14727.0,0.0,1.0,1.706,1.79,1.5556,1.645,14727.0
2020-01-27,1.67,1.69,1.55,1.55,27944.0,0.0,1.0,1.67,1.69,1.55,1.55,27944.0
2020-01-28,1.6,1.66,1.59,1.65,1278.0,0.0,1.0,1.6,1.66,1.59,1.65,1278.0
2020-01-29,1.65,1.67,1.53,1.59,9157.0,0.0,1.0,1.65,1.67,1.53,1.59,9157.0
2020-01-30,1.581,1.63,1.472,1.5452,12386.0,0.0,1.0,1.581,1.63,1.472,1.5452,12386.0
2020-01-31,1.5,1.501,1.41,1.45,48421.0,0.0,1.0,1.5,1.501,1.41,1.45,48421.0
2020-02-03,1.49,1.49,1.41,1.41,10781.0,0.0,1.0,1.49,1.49,1.41,1.41,10781.0
2020-02-04,1.46,1.5,1.45,1.47,13830.0,0.0,1.0,1.46,1.5,1.45,1.47,13830.0
2020-02-05,1.478,1.53,1.4362,1.47,24152.0,0.0,1.0,1.478,1.53,1.4362,1.47,24152.0
2020-02-06,1.5005,1.53,1.45,1.4844,23863.0,0.0,1.0,1.5005,1.53,1.45,1.4844,23863.0
2020-02-07,1.5,1.5,1.42,1.48,12394.0,0.0,1.0,1.5,1.5,1.42,1.48,12394.0
2020-02-10,1.48,1.52,1.48,1.52,13307.0,0.0,1.0,1.48,1.52,1.48,1.52,13307.0
2020-02-11,1.51,1.58,1.45,1.5,27369.0,0.0,1.0,1.51,1.58,1.45,1.5,27369.0
2020-02-12,1.5,1.63,1.5,1.63,44807.0,0.0,1.0,1.5,1.63,1.5,1.63,44807.0
2020-02-13,1.62,1.66,1.5176,1.59,24699.0,0.0,1.0,1.62,1.66,1.5176,1.59,24699.0
2020-02-14,1.5985,1.68,1.5985,1.67,10086.0,0.0,1.0,1.5985,1.68,1.5985,1.67,10086.0
