Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.32,6.36,6.09,6.175,999179.0,0.0,1.0,6.32,6.36,6.09,6.175,999179.0
2020-01-03,6.07,6.22,6.01,6.15,622763.0,0.0,1.0,6.07,6.22,6.01,6.15,622763.0
2020-01-06,6.1,6.18,6.055,6.14,378996.0,0.0,1.0,6.1,6.18,6.055,6.14,378996.0
2020-01-07,6.11,6.14,6.0,6.03,361559.0,0.0,1.0,6.11,6.14,6.0,6.03,361559.0
2020-01-08,6.01,6.19,5.96,6.12,458340.0,0.0,1.0,6.01,6.19,5.96,6.12,458340.0
2020-01-09,6.14,6.15,5.8,5.81,326213.0,0.0,1.0,6.14,6.15,5.8,5.81,326213.0
2020-01-10,5.8,5.81,5.64,5.78,417402.0,0.0,1.0,5.8,5.81,5.64,5.78,417402.0
2020-01-13,5.76,5.955,5.61,5.915,433559.0,0.0,1.0,5.76,5.955,5.61,5.915,433559.0
2020-01-14,5.86,6.07,5.83,5.99,268617.0,0.0,1.0,5.86,6.07,5.83,5.99,268617.0
2020-01-15,5.95,6.22,5.95,6.18,363200.0,0.0,1.0,5.95,6.22,5.95,6.18,363200.0
2020-01-16,6.21,6.45,6.21,6.38,493946.0,0.0,1.0,6.21,6.45,6.21,6.38,493946.0
2020-01-17,6.45,6.45,6.29,6.35,482462.0,0.0,1.0,6.45,6.45,6.29,6.35,482462.0
2020-01-21,6.33,6.49,6.18,6.43,307043.0,0.0,1.0,6.33,6.49,6.18,6.43,307043.0
2020-01-22,6.42,6.48,6.16,6.17,317165.0,0.0,1.0,6.42,6.48,6.16,6.17,317165.0
2020-01-23,6.11,6.19,6.04,6.09,458904.0,0.0,1.0,6.11,6.19,6.04,6.09,458904.0
2020-01-24,6.09,6.16,5.77,5.81,318667.0,0.0,1.0,6.09,6.16,5.77,5.81,318667.0
2020-01-27,5.7,5.9,5.59,5.88,411059.0,0.0,1.0,5.7,5.9,5.59,5.88,411059.0
2020-01-28,5.91,5.975,5.79,5.84,285954.0,0.0,1.0,5.91,5.975,5.79,5.84,285954.0
2020-01-29,5.83,5.87,5.61,5.75,434478.0,0.0,1.0,5.83,5.87,5.61,5.75,434478.0
2020-01-30,5.69,5.83,5.69,5.82,220372.0,0.0,1.0,5.69,5.83,5.69,5.82,220372.0
2020-01-31,5.77,5.87,5.46,5.52,404079.0,0.0,1.0,5.77,5.87,5.46,5.52,404079.0
2020-02-03,5.53,5.62,5.385,5.605,509804.0,0.0,1.0,5.53,5.62,5.385,5.605,509804.0
2020-02-04,5.67,5.84,5.65,5.765,439724.0,0.0,1.0,5.67,5.84,5.65,5.765,439724.0
2020-02-05,5.85,6.41,5.84,6.41,613920.0,0.0,1.0,5.85,6.41,5.84,6.41,613920.0
2020-02-06,6.45,6.71,6.42,6.435,420731.0,0.0,1.0,6.45,6.71,6.42,6.435,420731.0
2020-02-07,6.43,6.43,6.23,6.25,237382.0,0.0,1.0,6.43,6.43,6.23,6.25,237382.0
2020-02-10,6.24,6.27,6.01,6.04,229017.0,0.0,1.0,6.24,6.27,6.01,6.04,229017.0
2020-02-11,6.07,6.11,5.92,6.0,498866.0,0.0,1.0,6.07,6.11,5.92,6.0,498866.0
2020-02-12,6.09,6.33,6.0,6.31,223490.0,0.0,1.0,6.09,6.33,6.0,6.31,223490.0
2020-02-13,6.28,6.5,6.25,6.39,144225.0,0.0,1.0,6.28,6.5,6.25,6.39,144225.0
2020-02-14,6.38,6.42,6.28,6.28,155873.0,0.0,1.0,6.38,6.42,6.28,6.28,155873.0
2020-02-18,6.28,6.47,6.245,6.315,230708.0,0.0,1.0,6.28,6.47,6.245,6.315,230708.0
2020-02-19,6.33,6.75,6.3144,6.6,378288.0,0.0,1.0,6.33,6.75,6.3144,6.6,378288.0
2020-02-20,6.6,6.85,6.58,6.59,296290.0,0.0,1.0,6.6,6.85,6.58,6.59,296290.0
2020-02-21,6.62,6.64,6.28,6.39,274393.0,0.0,1.0,6.62,6.64,6.28,6.39,274393.0
2020-02-24,6.08,6.1511,5.86,6.0,469963.0,0.0,1.0,6.08,6.1511,5.86,6.0,469963.0
2020-02-25,6.0,6.14,5.79,5.83,533062.0,0.0,1.0,6.0,6.14,5.79,5.83,533062.0
2020-02-26,5.83,5.91,5.54,5.75,350625.0,0.0,1.0,5.83,5.91,5.54,5.75,350625.0
2020-02-27,5.26,6.06,5.26,5.84,740922.0,0.0,1.0,5.26,6.06,5.26,5.84,740922.0
2020-02-28,5.61,5.68,5.18,5.47,905620.0,0.0,1.0,5.61,5.68,5.18,5.47,905620.0
2020-03-02,5.37,5.51,5.19,5.5,651490.0,0.0,1.0,5.37,5.51,5.19,5.5,651490.0
2020-03-03,5.5,5.66,5.1,5.2,484892.0,0.0,1.0,5.5,5.66,5.1,5.2,484892.0
2020-03-04,5.24,5.44,5.22,5.335,373698.0,0.0,1.0,5.24,5.44,5.22,5.335,373698.0
2020-03-05,4.63,5.24,4.63,4.98,979631.0,0.0,1.0,4.63,5.24,4.63,4.98,979631.0
2020-03-06,4.79,5.0,4.79,4.93,850457.0,0.0,1.0,4.79,5.0,4.79,4.93,850457.0
2020-03-09,4.5,4.61,4.13,4.21,667772.0,0.0,1.0,4.5,4.61,4.13,4.21,667772.0
2020-03-10,4.14,4.52,4.05,4.49,667340.0,0.0,1.0,4.14,4.52,4.05,4.49,667340.0
2020-03-11,4.0,4.34,3.69,3.77,866705.0,0.0,1.0,4.0,4.34,3.69,3.77,866705.0
2020-03-12,3.53,3.67,3.08,3.14,662085.0,0.0,1.0,3.53,3.67,3.08,3.14,662085.0
2020-03-13,3.34,3.38,2.92,3.33,785936.0,0.0,1.0,3.34,3.38,2.92,3.33,785936.0
2020-03-16,2.89,3.15,2.715,2.81,716509.0,0.0,1.0,2.89,3.15,2.715,2.81,716509.0
2020-03-17,2.91,3.11,2.685,2.79,759204.0,0.0,1.0,2.91,3.11,2.685,2.79,759204.0
2020-03-18,2.64,2.87,1.68,1.73,594301.0,0.0,1.0,2.64,2.87,1.68,1.73,594301.0
2020-03-19,1.72,2.36,1.68,2.31,635130.0,0.0,1.0,1.72,2.36,1.68,2.31,635130.0
2020-03-20,2.33,2.68,2.01,2.12,1345713.0,0.0,1.0,2.33,2.68,2.01,2.12,1345713.0
2020-03-23,2.2,2.3,2.02,2.3,505605.0,0.0,1.0,2.2,2.3,2.02,2.3,505605.0
2020-03-24,2.41,2.63,2.36,2.58,741941.0,0.0,1.0,2.41,2.63,2.36,2.58,741941.0
2020-03-25,2.56,2.73,2.38,2.62,493767.0,0.0,1.0,2.56,2.73,2.38,2.62,493767.0
2020-03-26,2.66,2.84,2.53,2.82,577299.0,0.0,1.0,2.66,2.84,2.53,2.82,577299.0
2020-03-27,2.75,2.82,2.05,2.1,1014123.0,0.0,1.0,2.75,2.82,2.05,2.1,1014123.0
2020-03-30,2.1,2.2386,1.83,1.96,935330.0,0.0,1.0,2.1,2.2386,1.83,1.96,935330.0
2020-03-31,1.94,2.045,1.755,1.88,820334.0,0.0,1.0,1.94,2.045,1.755,1.88,820334.0
2020-04-01,1.91,1.91,1.7,1.76,769120.0,0.0,1.0,1.91,1.91,1.7,1.76,769120.0
2020-04-02,1.72,1.86,1.58,1.69,865851.0,0.0,1.0,1.72,1.86,1.58,1.69,865851.0
2020-04-03,1.59,1.59,1.3,1.52,1301110.0,0.0,1.0,1.59,1.59,1.3,1.52,1301110.0
2020-04-06,1.55,1.59,1.35,1.37,1142308.0,0.0,1.0,1.55,1.59,1.35,1.37,1142308.0
2020-04-07,1.39,1.42,1.27,1.31,1166966.0,0.0,1.0,1.39,1.42,1.27,1.31,1166966.0
2020-04-08,1.27,1.44,1.27,1.41,1618954.0,0.0,1.0,1.27,1.44,1.27,1.41,1618954.0
2020-04-09,1.45,1.58,1.42,1.5,2168386.0,0.0,1.0,1.45,1.58,1.42,1.5,2168386.0
2020-04-13,1.5,1.56,1.3,1.36,1311768.0,0.0,1.0,1.5,1.56,1.3,1.36,1311768.0
2020-04-14,1.44,1.4863,1.2,1.26,1788111.0,0.0,1.0,1.44,1.4863,1.2,1.26,1788111.0
2020-04-15,1.28,1.3,1.16,1.21,1445936.0,0.0,1.0,1.28,1.3,1.16,1.21,1445936.0
2020-04-16,1.21,1.215,1.07,1.16,1368082.0,0.0,1.0,1.21,1.215,1.07,1.16,1368082.0
2020-04-17,1.24,1.2504,1.11,1.13,1368472.0,0.0,1.0,1.24,1.2504,1.11,1.13,1368472.0
2020-04-20,1.15,1.21,1.05,1.08,1932963.0,0.0,1.0,1.15,1.21,1.05,1.08,1932963.0
2020-04-21,1.09,1.26,1.08,1.25,1632394.0,0.0,1.0,1.09,1.26,1.08,1.25,1632394.0
2020-04-22,1.29,1.34,1.15,1.17,886906.0,0.0,1.0,1.29,1.34,1.15,1.17,886906.0
2020-04-23,1.17,1.25,1.12,1.12,695579.0,0.0,1.0,1.17,1.25,1.12,1.12,695579.0
2020-04-24,1.14,1.18,1.08,1.14,531496.0,0.0,1.0,1.14,1.18,1.08,1.14,531496.0
2020-04-27,1.23,1.3,1.15,1.19,1255828.0,0.0,1.0,1.23,1.3,1.15,1.19,1255828.0
2020-04-28,1.32,1.43,1.195,1.38,1638912.0,0.0,1.0,1.32,1.43,1.195,1.38,1638912.0
2020-04-29,1.46,1.715,1.43,1.625,1994449.0,0.0,1.0,1.46,1.715,1.43,1.625,1994449.0
2020-04-30,1.73,1.83,1.52,1.6,1624929.0,0.0,1.0,1.73,1.83,1.52,1.6,1624929.0
2020-05-01,1.55,1.62,1.39,1.47,1270631.0,0.0,1.0,1.55,1.62,1.39,1.47,1270631.0
2020-05-04,1.45,1.61,1.36,1.56,780179.0,0.0,1.0,1.45,1.61,1.36,1.56,780179.0
2020-05-05,1.57,1.65,1.4,1.46,811763.0,0.0,1.0,1.57,1.65,1.4,1.46,811763.0
2020-05-06,1.48,1.5399,1.36,1.43,695948.0,0.0,1.0,1.48,1.5399,1.36,1.43,695948.0
2020-05-07,1.49,1.505,1.21,1.22,1384953.0,0.0,1.0,1.49,1.505,1.21,1.22,1384953.0
2020-05-08,1.27,1.41,1.24,1.3,970762.0,0.0,1.0,1.27,1.41,1.24,1.3,970762.0
2020-05-11,1.27,1.36,1.174,1.24,1080400.0,0.0,1.0,1.27,1.36,1.174,1.24,1080400.0
2020-05-12,1.25,1.27,1.18,1.2,891053.0,0.0,1.0,1.25,1.27,1.18,1.2,891053.0
2020-05-13,1.2,1.2,1.07,1.14,1005791.0,0.0,1.0,1.2,1.2,1.07,1.14,1005791.0
2020-05-14,1.13,1.17,1.03,1.15,1206358.0,0.0,1.0,1.13,1.17,1.03,1.15,1206358.0
2020-05-15,1.16,1.16,1.07,1.13,874302.0,0.0,1.0,1.16,1.16,1.07,1.13,874302.0
2020-05-18,1.17,1.45,1.15,1.44,2019239.0,0.0,1.0,1.17,1.45,1.15,1.44,2019239.0
2020-05-19,1.4,1.48,1.31,1.41,1426268.0,0.0,1.0,1.4,1.48,1.31,1.41,1426268.0
2020-05-20,1.43,1.47,1.3201,1.37,858503.0,0.0,1.0,1.43,1.47,1.3201,1.37,858503.0
2020-05-21,1.38,1.47,1.37,1.41,720510.0,0.0,1.0,1.38,1.47,1.37,1.41,720510.0
2020-05-22,1.41,1.47,1.35,1.47,809290.0,0.0,1.0,1.41,1.47,1.35,1.47,809290.0
2020-05-26,1.58,2.07,1.56,1.935,4043306.0,0.0,1.0,1.58,2.07,1.56,1.935,4043306.0
2020-05-27,1.91,2.05,1.74,2.0,2280654.0,0.0,1.0,1.91,2.05,1.74,2.0,2280654.0
2020-05-28,2.05,2.16,1.61,1.63,1899074.0,0.0,1.0,2.05,2.16,1.61,1.63,1899074.0
2020-05-29,1.67,1.69,1.49,1.53,2200288.0,0.0,1.0,1.67,1.69,1.49,1.53,2200288.0
2020-06-01,1.54,1.64,1.45,1.5,1081022.0,0.0,1.0,1.54,1.64,1.45,1.5,1081022.0
2020-06-02,1.53,1.75,1.52,1.72,1288666.0,0.0,1.0,1.53,1.75,1.52,1.72,1288666.0
2020-06-03,1.75,2.04,1.75,1.97,2126477.0,0.0,1.0,1.75,2.04,1.75,1.97,2126477.0
