Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.68,3.78,3.66,3.69,7127329.0,0.0,1.0,3.68,3.78,3.66,3.69,7127329.0
2020-01-03,3.9,3.93,3.69,3.72,7723036.0,0.0,1.0,3.9,3.93,3.69,3.72,7723036.0
2020-01-06,3.93,3.93,3.71,3.78,7633074.0,0.0,1.0,3.93,3.93,3.71,3.78,7633074.0
2020-01-07,3.83,3.87,3.77,3.87,4023884.0,0.0,1.0,3.83,3.87,3.77,3.87,4023884.0
2020-01-08,3.84,3.862,3.53,3.61,11711805.0,0.0,1.0,3.84,3.862,3.53,3.61,11711805.0
2020-01-09,3.63,3.72,3.61,3.66,5197171.0,0.0,1.0,3.63,3.72,3.61,3.66,5197171.0
2020-01-10,3.62,3.71,3.61,3.7,4629655.0,0.0,1.0,3.62,3.71,3.61,3.7,4629655.0
2020-01-13,3.61,3.66,3.51,3.52,5392772.0,0.0,1.0,3.61,3.66,3.51,3.52,5392772.0
2020-01-14,3.45,3.56,3.44,3.56,3725793.0,0.0,1.0,3.45,3.56,3.44,3.56,3725793.0
2020-01-15,3.56,3.56,3.435,3.53,7382756.0,0.0,1.0,3.56,3.56,3.435,3.53,7382756.0
2020-01-16,3.5,3.6,3.45,3.54,4610345.0,0.0,1.0,3.5,3.6,3.45,3.54,4610345.0
2020-01-17,3.55,3.61,3.48,3.55,3635636.0,0.0,1.0,3.55,3.61,3.48,3.55,3635636.0
2020-01-21,3.5,3.6,3.46,3.6,3728959.0,0.0,1.0,3.5,3.6,3.46,3.6,3728959.0
2020-01-22,3.57,3.58,3.48,3.58,4971333.0,0.0,1.0,3.57,3.58,3.48,3.58,4971333.0
2020-01-23,3.52,3.615,3.5,3.5,4368008.0,0.0,1.0,3.52,3.615,3.5,3.5,4368008.0
2020-01-24,3.54,3.67,3.52,3.67,4033364.0,0.0,1.0,3.54,3.67,3.52,3.67,4033364.0
2020-01-27,3.7,3.71,3.51,3.56,5497818.0,0.0,1.0,3.7,3.71,3.51,3.56,5497818.0
2020-01-28,3.42,3.43,3.24,3.27,6744201.0,0.0,1.0,3.42,3.43,3.24,3.27,6744201.0
2020-01-29,3.28,3.3,3.14,3.29,8033118.0,0.0,1.0,3.28,3.3,3.14,3.29,8033118.0
2020-01-30,3.37,3.4,3.3,3.37,5548383.0,0.0,1.0,3.37,3.4,3.3,3.37,5548383.0
2020-01-31,3.4,3.42,3.315,3.36,4679558.0,0.0,1.0,3.4,3.42,3.315,3.36,4679558.0
2020-02-03,3.31,3.365,3.24,3.31,4092002.0,0.0,1.0,3.31,3.365,3.24,3.31,4092002.0
2020-02-04,3.2,3.245,3.175,3.21,5389578.0,0.0,1.0,3.2,3.245,3.175,3.21,5389578.0
2020-02-05,3.21,3.24,3.17,3.18,5338330.0,0.0,1.0,3.21,3.24,3.17,3.18,5338330.0
2020-02-06,3.14,3.17,3.03,3.11,7690447.0,0.0,1.0,3.14,3.17,3.03,3.11,7690447.0
2020-02-07,3.11,3.15,2.96,2.98,6084703.0,0.0,1.0,3.11,3.15,2.96,2.98,6084703.0
2020-02-10,3.07,3.08,3.0,3.01,4644581.0,0.0,1.0,3.07,3.08,3.0,3.01,4644581.0
2020-02-11,2.91,2.92,2.735,2.77,9587094.0,0.0,1.0,2.91,2.92,2.735,2.77,9587094.0
2020-02-12,2.94,3.08,2.9,3.06,11843655.0,0.0,1.0,2.94,3.08,2.9,3.06,11843655.0
2020-02-13,2.98,3.09,2.93,3.07,9933142.0,0.0,1.0,2.98,3.09,2.93,3.07,9933142.0
2020-02-14,3.11,3.235,3.07,3.13,8414273.0,0.0,1.0,3.11,3.235,3.07,3.13,8414273.0
2020-02-18,3.28,3.47,3.25,3.45,10710610.0,0.0,1.0,3.28,3.47,3.25,3.45,10710610.0
2020-02-19,3.61,3.8,3.54,3.8,10908205.0,0.0,1.0,3.61,3.8,3.54,3.8,10908205.0
2020-02-20,3.66,3.72,3.62,3.67,8369374.0,0.0,1.0,3.66,3.72,3.62,3.67,8369374.0
2020-02-21,3.88,4.16,3.84,4.13,15848329.0,0.0,1.0,3.88,4.16,3.84,4.13,15848329.0
2020-02-24,4.53,4.54,4.11,4.21,18399947.0,0.0,1.0,4.53,4.54,4.11,4.21,18399947.0
2020-02-25,4.12,4.265,4.01,4.03,15284658.0,0.0,1.0,4.12,4.265,4.01,4.03,15284658.0
2020-02-26,4.09,4.165,3.99,4.05,11798173.0,0.0,1.0,4.09,4.165,3.99,4.05,11798173.0
2020-02-27,4.15,4.16,3.76,3.79,11307174.0,0.0,1.0,4.15,4.16,3.76,3.79,11307174.0
2020-02-28,3.56,3.56,3.08,3.4,15984116.0,0.0,1.0,3.56,3.56,3.08,3.4,15984116.0
2020-03-02,3.47,3.59,3.4361,3.53,6302666.0,0.0,1.0,3.47,3.59,3.4361,3.53,6302666.0
2020-03-03,3.65,3.88,3.51,3.69,16738645.0,0.0,1.0,3.65,3.88,3.51,3.69,16738645.0
2020-03-04,3.94,3.955,3.71,3.81,10706825.0,0.0,1.0,3.94,3.955,3.71,3.81,10706825.0
2020-03-05,3.89,3.99,3.76,3.98,9357340.0,0.0,1.0,3.89,3.99,3.76,3.98,9357340.0
2020-03-06,4.06,4.06,3.75,3.96,10394658.0,0.0,1.0,4.06,4.06,3.75,3.96,10394658.0
2020-03-09,4.06,4.06,3.68,3.69,11198375.0,0.0,1.0,4.06,4.06,3.68,3.69,11198375.0
2020-03-10,3.66,3.68,3.45,3.59,9040775.0,0.0,1.0,3.66,3.68,3.45,3.59,9040775.0
2020-03-11,3.66,3.71,3.26,3.37,11859275.0,0.0,1.0,3.66,3.71,3.26,3.37,11859275.0
2020-03-12,3.06,3.295,2.8,2.81,10135613.0,0.0,1.0,3.06,3.295,2.8,2.81,10135613.0
2020-03-13,2.86,2.86,2.38,2.46,10159578.0,0.0,1.0,2.86,2.86,2.38,2.46,10159578.0
2020-03-16,2.1,2.8,2.07,2.63,11656641.0,0.0,1.0,2.1,2.8,2.07,2.63,11656641.0
2020-03-17,2.36,2.85,2.34,2.77,13775020.0,0.0,1.0,2.36,2.85,2.34,2.77,13775020.0
2020-03-18,2.45,2.63,2.07,2.08,9379525.0,0.0,1.0,2.45,2.63,2.07,2.08,9379525.0
2020-03-19,2.01,2.75,1.76,2.19,14125602.0,0.0,1.0,2.01,2.75,1.76,2.19,14125602.0
2020-03-20,2.17,2.275,1.93,1.93,12717497.0,0.0,1.0,2.17,2.275,1.93,1.93,12717497.0
2020-03-23,2.15,2.33,1.95,2.18,9299671.0,0.0,1.0,2.15,2.33,1.95,2.18,9299671.0
2020-03-24,2.44,2.49,2.28,2.38,12808495.0,0.0,1.0,2.44,2.49,2.28,2.38,12808495.0
2020-03-25,2.55,2.875,2.475,2.78,14217702.0,0.0,1.0,2.55,2.875,2.475,2.78,14217702.0
2020-03-26,2.84,2.94,2.65,2.69,11152505.0,0.0,1.0,2.84,2.94,2.65,2.69,11152505.0
2020-03-27,2.55,2.56,2.32,2.38,8935534.0,0.0,1.0,2.55,2.56,2.32,2.38,8935534.0
2020-03-30,2.42,2.48,2.12,2.24,9693296.0,0.0,1.0,2.42,2.48,2.12,2.24,9693296.0
2020-03-31,2.12,2.3,2.11,2.18,6418877.0,0.0,1.0,2.12,2.3,2.11,2.18,6418877.0
2020-04-01,2.1,2.185,2.035,2.14,7445119.0,0.0,1.0,2.1,2.185,2.035,2.14,7445119.0
2020-04-02,2.2,2.33,2.16,2.18,6634978.0,0.0,1.0,2.2,2.33,2.16,2.18,6634978.0
2020-04-03,2.23,2.31,2.11,2.11,6220718.0,0.0,1.0,2.23,2.31,2.11,2.11,6220718.0
2020-04-06,2.3,2.55,2.19,2.42,11258267.0,0.0,1.0,2.3,2.55,2.19,2.42,11258267.0
2020-04-07,2.49,2.54,2.33,2.4,5595984.0,0.0,1.0,2.49,2.54,2.33,2.4,5595984.0
2020-04-08,2.39,2.55,2.39,2.47,4473188.0,0.0,1.0,2.39,2.55,2.39,2.47,4473188.0
2020-04-09,2.63,2.76,2.5218,2.67,8204597.0,0.0,1.0,2.63,2.76,2.5218,2.67,8204597.0
2020-04-13,2.77,2.89,2.525,2.85,10168174.0,0.0,1.0,2.77,2.89,2.525,2.85,10168174.0
2020-04-14,3.03,3.335,2.99,3.07,12766772.0,0.0,1.0,3.03,3.335,2.99,3.07,12766772.0
2020-04-15,2.98,3.05,2.76,2.86,9204459.0,0.0,1.0,2.98,3.05,2.76,2.86,9204459.0
2020-04-16,2.98,3.0,2.79,2.89,5825706.0,0.0,1.0,2.98,3.0,2.79,2.89,5825706.0
2020-04-17,2.8,2.89,2.72,2.78,10787350.0,0.0,1.0,2.8,2.89,2.72,2.78,10787350.0
2020-04-20,2.88,2.97,2.85,2.94,6447386.0,0.0,1.0,2.88,2.97,2.85,2.94,6447386.0
2020-04-21,2.79,2.9,2.76,2.82,5686674.0,0.0,1.0,2.79,2.9,2.76,2.82,5686674.0
2020-04-22,2.99,3.11,2.96,3.08,7077385.0,0.0,1.0,2.99,3.11,2.96,3.08,7077385.0
2020-04-23,3.34,3.61,3.32,3.55,15082640.0,0.0,1.0,3.34,3.61,3.32,3.55,15082640.0
2020-04-24,3.73,3.84,3.58,3.77,11917527.0,0.0,1.0,3.73,3.84,3.58,3.77,11917527.0
2020-04-27,3.77,3.83,3.5641,3.65,6773196.0,0.0,1.0,3.77,3.83,3.5641,3.65,6773196.0
2020-04-28,3.65,3.65,3.465,3.57,5951412.0,0.0,1.0,3.65,3.65,3.465,3.57,5951412.0
2020-04-29,3.59,3.75,3.535,3.75,7626966.0,0.0,1.0,3.59,3.75,3.535,3.75,7626966.0
2020-04-30,3.67,3.77,3.565,3.62,7750056.0,0.0,1.0,3.67,3.77,3.565,3.62,7750056.0
2020-05-01,3.55,3.8699,3.46,3.85,6146211.0,0.0,1.0,3.55,3.8699,3.46,3.85,6146211.0
2020-05-04,3.81,3.98,3.7999,3.91,6954333.0,0.0,1.0,3.81,3.98,3.7999,3.91,6954333.0
2020-05-05,3.93,3.999,3.765,3.88,7416304.0,0.0,1.0,3.93,3.999,3.765,3.88,7416304.0
2020-05-06,3.58,3.58,3.32,3.5,12066800.0,0.0,1.0,3.58,3.58,3.32,3.5,12066800.0
2020-05-07,3.45,3.6,3.3,3.54,7473068.0,0.0,1.0,3.45,3.6,3.3,3.54,7473068.0
2020-05-08,3.48,3.67,3.46,3.57,5109961.0,0.0,1.0,3.48,3.67,3.46,3.57,5109961.0
2020-05-11,3.5,3.61,3.46,3.47,5197527.0,0.0,1.0,3.5,3.61,3.46,3.47,5197527.0
2020-05-12,3.6,3.765,3.575,3.67,6288112.0,0.0,1.0,3.6,3.765,3.575,3.67,6288112.0
2020-05-13,3.63,3.69,3.45,3.52,7650367.0,0.0,1.0,3.63,3.69,3.45,3.52,7650367.0
2020-05-14,3.5,3.81,3.495,3.78,6773465.0,0.0,1.0,3.5,3.81,3.495,3.78,6773465.0
2020-05-15,3.85,3.89,3.74,3.85,5546280.0,0.0,1.0,3.85,3.89,3.74,3.85,5546280.0
2020-05-18,3.92,3.93,3.71,3.74,5120384.0,0.0,1.0,3.92,3.93,3.71,3.74,5120384.0
2020-05-19,3.74,3.8578,3.66,3.79,7195244.0,0.0,1.0,3.74,3.8578,3.66,3.79,7195244.0
2020-05-20,3.7,3.8,3.67,3.68,6269735.0,0.0,1.0,3.7,3.8,3.67,3.68,6269735.0
2020-05-21,3.63,3.65,3.505,3.62,3941575.0,0.0,1.0,3.63,3.65,3.505,3.62,3941575.0
2020-05-22,3.55,3.65,3.52,3.53,4851304.0,0.0,1.0,3.55,3.65,3.52,3.53,4851304.0
2020-05-26,3.48,3.5,3.28,3.31,6251655.0,0.0,1.0,3.48,3.5,3.28,3.31,6251655.0
2020-05-27,3.2,3.39,3.191,3.39,5990617.0,0.0,1.0,3.2,3.39,3.191,3.39,5990617.0
2020-05-28,3.44,3.46,3.27,3.32,6618127.0,0.0,1.0,3.44,3.46,3.27,3.32,6618127.0
2020-05-29,3.37,3.39,3.245,3.33,7908181.0,0.0,1.0,3.37,3.39,3.245,3.33,7908181.0
2020-06-01,3.37,3.415,3.35,3.41,2990917.0,0.0,1.0,3.37,3.415,3.35,3.41,2990917.0
2020-06-02,3.51,3.52,3.28,3.28,5149407.0,0.0,1.0,3.51,3.52,3.28,3.28,5149407.0
2020-06-03,3.12,3.2,3.07,3.11,6102254.0,0.0,1.0,3.12,3.2,3.07,3.11,6102254.0
2020-06-04,3.27,3.28,3.14,3.25,5499428.0,0.0,1.0,3.27,3.28,3.14,3.25,5499428.0
2020-06-05,3.05,3.15,3.0,3.13,9829330.0,0.0,1.0,3.05,3.15,3.0,3.13,9829330.0
2020-06-08,3.15,3.21,3.119,3.17,3793744.0,0.0,1.0,3.15,3.21,3.119,3.17,3793744.0
2020-06-09,3.25,3.32,3.21,3.22,4619602.0,0.0,1.0,3.25,3.32,3.21,3.22,4619602.0
2020-06-10,3.25,3.365,3.1,3.36,5833882.0,0.0,1.0,3.25,3.365,3.1,3.36,5833882.0
2020-06-11,3.24,3.3318,3.04,3.08,6059771.0,0.0,1.0,3.24,3.3318,3.04,3.08,6059771.0
2020-06-12,3.2,3.25,3.09,3.14,4960344.0,0.0,1.0,3.2,3.25,3.09,3.14,4960344.0
2020-06-15,3.0,3.15,2.93,3.12,5793329.0,0.0,1.0,3.0,3.15,2.93,3.12,5793329.0
2020-06-16,3.14,3.14,2.99,2.99,3855043.0,0.0,1.0,3.14,3.14,2.99,2.99,3855043.0
2020-06-17,2.97,3.065,2.97,3.02,3284897.0,0.0,1.0,2.97,3.065,2.97,3.02,3284897.0
2020-06-18,3.01,3.07,2.99,3.03,3226227.0,0.0,1.0,3.01,3.07,2.99,3.03,3226227.0
2020-06-19,3.15,3.36,3.141,3.28,12871358.0,0.0,1.0,3.15,3.36,3.141,3.28,12871358.0
2020-06-22,3.39,3.5,3.34,3.46,8398559.0,0.0,1.0,3.39,3.5,3.34,3.46,8398559.0
