Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.25,5.25,5.25,5.25,2.0,0.0,1.0,5.25,5.25,5.25,5.25,2.0
2020-01-03,4.32,4.76,4.32,4.6,2560.0,0.0,1.0,4.32,4.76,4.32,4.6,2560.0
2020-01-06,4.6,4.6,4.6,4.6,6.0,0.0,1.0,4.6,4.6,4.6,4.6,6.0
2020-01-07,4.2322,5.25,4.2322,5.01,13824.0,0.0,1.0,4.2322,5.25,4.2322,5.01,13824.0
2020-01-08,5.25,5.5,5.25,5.3222,3636.0,0.0,1.0,5.25,5.5,5.25,5.3222,3636.0
2020-01-09,5.24,5.35,5.24,5.35,2811.0,0.0,1.0,5.24,5.35,5.24,5.35,2811.0
2020-01-10,5.2714,5.2714,5.2714,5.2714,302.0,0.0,1.0,5.2714,5.2714,5.2714,5.2714,302.0
2020-01-13,5.26,5.4,5.0338,5.4,1789.0,0.0,1.0,5.26,5.4,5.0338,5.4,1789.0
2020-01-14,5.4,5.69,5.4,5.69,6962.0,0.0,1.0,5.4,5.69,5.4,5.69,6962.0
2020-01-15,5.557,5.557,5.5,5.5533,715.0,0.0,1.0,5.557,5.557,5.5,5.5533,715.0
2020-01-16,5.8,5.8,5.8,5.8,3102.0,0.0,1.0,5.8,5.8,5.8,5.8,3102.0
2020-01-17,5.8,5.8,5.8,5.8,1002.0,0.0,1.0,5.8,5.8,5.8,5.8,1002.0
2020-01-21,5.8,5.8,5.8,5.8,7.0,0.0,1.0,5.8,5.8,5.8,5.8,7.0
2020-01-22,5.7222,5.7222,5.7,5.7,1312.0,0.0,1.0,5.7222,5.7222,5.7,5.7,1312.0
2020-01-23,5.6148,5.7426,5.6,5.74,4500.0,0.0,1.0,5.6148,5.7426,5.6,5.74,4500.0
2020-01-24,5.96,6.05,5.96,6.05,2188.0,0.0,1.0,5.96,6.05,5.96,6.05,2188.0
2020-01-27,6.11,6.23,6.11,6.1364,3108.0,0.0,1.0,6.11,6.23,6.11,6.1364,3108.0
2020-01-28,6.16,6.35,6.16,6.2414,8472.0,0.0,1.0,6.16,6.35,6.16,6.2414,8472.0
2020-01-29,6.35,6.35,6.21,6.25,3412.0,0.0,1.0,6.35,6.35,6.21,6.25,3412.0
2020-01-30,6.25,6.304,6.25,6.304,1610.0,0.0,1.0,6.25,6.304,6.25,6.304,1610.0
2020-01-31,6.4,6.5,6.1594,6.1594,5587.0,0.0,1.0,6.4,6.5,6.1594,6.1594,5587.0
2020-02-03,5.9762,6.31,5.9762,6.31,1013.0,0.0,1.0,5.9762,6.31,5.9762,6.31,1013.0
2020-02-04,6.0381,6.0381,6.0381,6.0381,659.0,0.0,1.0,6.0381,6.0381,6.0381,6.0381,659.0
2020-02-05,6.0381,6.0381,6.0381,6.0381,25.0,0.0,1.0,6.0381,6.0381,6.0381,6.0381,25.0
2020-02-06,5.22,6.0,5.22,5.71,3244.0,0.0,1.0,5.22,6.0,5.22,5.71,3244.0
2020-02-07,5.71,5.71,5.71,5.71,31.0,0.0,1.0,5.71,5.71,5.71,5.71,31.0
2020-02-10,5.71,5.73,5.7,5.73,323.0,0.0,1.0,5.71,5.73,5.7,5.73,323.0
2020-02-11,5.9804,5.9804,5.74,5.79,1559.0,0.0,1.0,5.9804,5.9804,5.74,5.79,1559.0
2020-02-12,5.8425,6.25,5.7,6.25,9103.0,0.0,1.0,5.8425,6.25,5.7,6.25,9103.0
2020-02-13,6.22,6.25,6.22,6.25,1203.0,0.0,1.0,6.22,6.25,6.22,6.25,1203.0
2020-02-14,6.0932,6.4499,6.0932,6.4499,5014.0,0.0,1.0,6.0932,6.4499,6.0932,6.4499,5014.0
2020-02-18,6.0528,6.45,6.0528,6.45,3338.0,0.0,1.0,6.0528,6.45,6.0528,6.45,3338.0
2020-02-19,6.0,6.08,5.98,6.0106,3962.0,0.0,1.0,6.0,6.08,5.98,6.0106,3962.0
2020-02-20,6.0,6.01,5.9386,6.0,2027.0,0.0,1.0,6.0,6.01,5.9386,6.0,2027.0
2020-02-21,5.8973,5.8973,5.8973,5.8973,1022.0,0.0,1.0,5.8973,5.8973,5.8973,5.8973,1022.0
2020-02-24,5.8973,5.8973,5.8973,5.8973,8.0,0.0,1.0,5.8973,5.8973,5.8973,5.8973,8.0
2020-02-25,5.7418,5.7418,5.5,5.5,3011.0,0.0,1.0,5.7418,5.7418,5.5,5.5,3011.0
2020-02-26,5.26,5.7,5.13,5.7,1457.0,0.0,1.0,5.26,5.7,5.13,5.7,1457.0
2020-02-27,5.7,5.7,5.7,5.7,3.0,0.0,1.0,5.7,5.7,5.7,5.7,3.0
2020-02-28,4.91,5.57,4.55,5.57,6871.0,0.0,1.0,4.91,5.57,4.55,5.57,6871.0
2020-03-02,5.57,5.57,5.57,5.57,93.0,0.0,1.0,5.57,5.57,5.57,5.57,93.0
2020-03-03,5.75,5.9726,5.68,5.68,1602.0,0.0,1.0,5.75,5.9726,5.68,5.68,1602.0
2020-03-04,5.54,6.0,5.54,5.85,4850.0,0.0,1.0,5.54,6.0,5.54,5.85,4850.0
2020-03-05,5.3476,5.7399,5.3476,5.7399,2887.0,0.0,1.0,5.3476,5.7399,5.3476,5.7399,2887.0
2020-03-06,5.0,5.3,4.95,5.3,16503.0,0.0,1.0,5.0,5.3,4.95,5.3,16503.0
2020-03-09,5.3,5.3,5.3,5.3,57.0,0.0,1.0,5.3,5.3,5.3,5.3,57.0
2020-03-10,5.0,5.46,4.99,5.46,3620.0,0.0,1.0,5.0,5.46,4.99,5.46,3620.0
2020-03-11,5.0,5.3,5.0,5.0,6962.0,0.0,1.0,5.0,5.3,5.0,5.0,6962.0
2020-03-12,4.32,4.76,4.25,4.25,4273.0,0.0,1.0,4.32,4.76,4.25,4.25,4273.0
2020-03-13,4.65,4.69,4.14,4.58,4991.0,0.0,1.0,4.65,4.69,4.14,4.58,4991.0
2020-03-16,3.3,4.25,3.3,3.99,3194.0,0.0,1.0,3.3,4.25,3.3,3.99,3194.0
2020-03-17,4.35,4.5,3.92,4.5,1841.0,0.0,1.0,4.35,4.5,3.92,4.5,1841.0
2020-03-18,4.06,4.06,2.08,2.3,33015.0,0.0,1.0,4.06,4.06,2.08,2.3,33015.0
2020-03-19,2.42,2.53,2.42,2.46,13520.0,0.0,1.0,2.42,2.53,2.42,2.46,13520.0
2020-03-20,2.08,2.46,2.08,2.45,2077.0,0.0,1.0,2.08,2.46,2.08,2.45,2077.0
