Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-09-08,1.0,1.0,0.94,0.94,1700.0,0.0,1.0,1.0,1.0,0.94,0.94,1700.0
2020-09-09,0.9,0.9,0.9,0.9,5622.0,0.0,1.0,0.9,0.9,0.9,0.9,5622.0
2020-09-10,0.95,0.95,0.92,0.92,10500.0,0.0,1.0,0.95,0.95,0.92,0.92,10500.0
2020-09-11,0.8,0.8269,0.75,0.8269,5400.0,0.0,1.0,0.8,0.8269,0.75,0.8269,5400.0
2020-09-14,0.8,0.86,0.795,0.8559,45900.0,0.0,1.0,0.8,0.86,0.795,0.8559,45900.0
2020-09-15,0.85,1.0,0.8459,0.89,68300.0,0.0,1.0,0.85,1.0,0.8459,0.89,68300.0
2020-09-16,0.88,0.99,0.8757,0.98,24122.0,0.0,1.0,0.88,0.99,0.8757,0.98,24122.0
2020-09-17,0.95,0.95,0.7999,0.91,16250.0,0.0,1.0,0.95,0.95,0.7999,0.91,16250.0
2020-09-18,0.955001,0.98,0.86,0.98,4500.0,0.0,1.0,0.955001,0.98,0.86,0.98,4500.0
2020-09-21,1.0,1.0,0.91,0.91,856.0,0.0,1.0,1.0,1.0,0.91,0.91,856.0
2020-09-22,0.88,0.88,0.8,0.8,8418.0,0.0,1.0,0.88,0.88,0.8,0.8,8418.0
2020-09-23,0.8,0.8,0.8,0.8,1000.0,0.0,1.0,0.8,0.8,0.8,0.8,1000.0
2020-09-24,0.701,0.775,0.701,0.775,2750.0,0.0,1.0,0.701,0.775,0.701,0.775,2750.0
2020-09-25,0.85,0.88,0.832001,0.88,190329.0,0.0,1.0,0.85,0.88,0.832001,0.88,190329.0
2020-09-28,0.85,0.91,0.7544,0.89,24143.0,0.0,1.0,0.85,0.91,0.7544,0.89,24143.0
2020-09-29,0.89,0.89,0.89,0.89,0.0,0.0,1.0,0.89,0.89,0.89,0.89,0.0
2020-09-30,0.9,0.9,0.9,0.9,9277.0,0.0,1.0,0.9,0.9,0.9,0.9,9277.0
2020-10-01,0.85,0.8999,0.85,0.8739,5037.0,0.0,1.0,0.85,0.8999,0.85,0.8739,5037.0
2020-10-02,0.8739,0.8739,0.8739,0.8739,790.0,0.0,1.0,0.8739,0.8739,0.8739,0.8739,790.0
2020-10-05,0.711,0.776,0.701,0.759126,2350.0,0.0,1.0,0.711,0.776,0.701,0.759126,2350.0
2020-10-06,0.701,0.7027,0.6999,0.7,34250.0,0.0,1.0,0.701,0.7027,0.6999,0.7,34250.0
2020-10-07,0.7,0.82,0.7,0.82,2537.0,0.0,1.0,0.7,0.82,0.7,0.82,2537.0
2020-10-08,0.8648,0.8648,0.8498,0.8498,795.0,0.0,1.0,0.8648,0.8648,0.8498,0.8498,795.0
2020-10-09,0.82,0.82,0.8,0.8,450.0,0.0,1.0,0.82,0.82,0.8,0.8,450.0
2020-10-12,0.83,0.85,0.82,0.82,9743.0,0.0,1.0,0.83,0.85,0.82,0.82,9743.0
2020-10-13,0.8,0.8089,0.77,0.77,5050.0,0.0,1.0,0.8,0.8089,0.77,0.77,5050.0
2020-10-14,0.75,0.75,0.72,0.72,50117.0,0.0,1.0,0.75,0.75,0.72,0.72,50117.0
2020-10-15,0.701,0.75,0.701,0.75,41800.0,0.0,1.0,0.701,0.75,0.701,0.75,41800.0
2020-10-16,0.7505,0.7505,0.7505,0.7505,300.0,0.0,1.0,0.7505,0.7505,0.7505,0.7505,300.0
2020-10-19,0.7926,0.7926,0.7755,0.7755,600.0,0.0,1.0,0.7926,0.7926,0.7755,0.7755,600.0
2020-10-20,0.85,0.85,0.82,0.82,348.0,0.0,1.0,0.85,0.85,0.82,0.82,348.0
2020-10-21,0.7755,0.85,0.7755,0.83,2234.0,0.0,1.0,0.7755,0.85,0.7755,0.83,2234.0
2020-10-22,0.7755,0.7755,0.7755,0.7755,350.0,0.0,1.0,0.7755,0.7755,0.7755,0.7755,350.0
2020-10-23,0.7755,0.7755,0.7755,0.7755,2.0,0.0,1.0,0.7755,0.7755,0.7755,0.7755,2.0
2020-10-26,0.75,0.75,0.701,0.701,34795.0,0.0,1.0,0.75,0.75,0.701,0.701,34795.0
