Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.4587,1.5299,1.4587,1.5299,424.0,0.0,1.0,1.4287277760034072,1.498464814223358,1.4287277760034072,1.498464814223358,424.0
2020-01-03,1.5299,1.5299,1.5299,1.5299,69.0,0.0,1.0,1.498464814223358,1.498464814223358,1.498464814223358,1.498464814223358,69.0
2020-01-06,1.45,1.54,1.45,1.48,543.0,0.0,1.0,1.4202065367827106,1.5083572873416375,1.4202065367827106,1.449590120302353,543.0
2020-01-07,1.5,1.5002,1.48,1.48,2463.0,0.0,1.0,1.4691791759821144,1.469375066538912,1.449590120302353,1.449590120302353,2463.0
2020-01-08,1.54,1.6222,1.5398,1.6222,1157.0,0.0,1.0,1.5083572873416375,1.5888683061854576,1.50816139678484,1.5888683061854576,1157.0
2020-01-09,1.6222,1.6222,1.6222,1.6222,77.0,0.0,1.0,1.5888683061854576,1.5888683061854576,1.5888683061854576,1.5888683061854576,77.0
2020-01-10,1.52,1.52,1.52,1.52,1078.0,0.0,1.0,1.488768231661876,1.488768231661876,1.488768231661876,1.488768231661876,1078.0
2020-01-13,1.55,1.55,1.54,1.54,1549.0,0.0,1.0,1.5181518151815183,1.5181518151815183,1.5083572873416375,1.5083572873416375,1549.0
2020-01-14,1.5316,1.5316,1.5316,1.5316,175.0,0.0,1.0,1.5001298839561379,1.5001298839561379,1.5001298839561379,1.5001298839561379,175.0
2020-01-15,1.6,1.6,1.55,1.55,1006.0,0.0,1.0,1.5671244543809222,1.5671244543809222,1.5181518151815183,1.5181518151815183,1006.0
2020-01-16,1.54,1.54,1.54,1.54,11.0,0.01,1.0,1.5181518151815183,1.5181518151815183,1.5181518151815183,1.5181518151815183,11.0
2020-01-17,1.54,1.54,1.54,1.54,22.0,0.0,1.0,1.5181518151815183,1.5181518151815183,1.5181518151815183,1.5181518151815183,22.0
2020-01-21,1.551,1.551,1.551,1.551,170.0,0.0,1.0,1.528995756718529,1.528995756718529,1.528995756718529,1.528995756718529,170.0
2020-01-22,1.551,1.551,1.551,1.551,14.0,0.0,1.0,1.528995756718529,1.528995756718529,1.528995756718529,1.528995756718529,14.0
2020-01-23,1.551,1.551,1.551,1.551,16.0,0.0,1.0,1.528995756718529,1.528995756718529,1.528995756718529,1.528995756718529,16.0
2020-01-24,1.52,1.549,1.48,1.525,2053.0,0.0,1.0,1.4984355578414985,1.5270241309845272,1.4590030431614591,1.5033646221765034,2053.0
2020-01-27,1.47,1.47,1.47,1.47,176.0,0.0,1.0,1.4491449144914492,1.4491449144914492,1.4491449144914492,1.4491449144914492,176.0
2020-01-28,1.6136,1.6136,1.6,1.6042,1781.0,0.0,1.0,1.5907076421927908,1.5907076421927908,1.5773005872015775,1.5814410012429816,1781.0
2020-01-29,1.6042,1.6042,1.6042,1.6042,109.0,0.0,1.0,1.5814410012429816,1.5814410012429816,1.5814410012429816,1.5814410012429816,109.0
2020-01-30,1.6042,1.6042,1.6042,1.6042,34.0,0.0,1.0,1.5814410012429816,1.5814410012429816,1.5814410012429816,1.5814410012429816,34.0
2020-01-31,1.5705,1.5705,1.5705,1.5705,434.0,0.0,1.0,1.5482191076250484,1.5482191076250484,1.5482191076250484,1.5482191076250484,434.0
2020-02-03,1.5569,1.5969,1.5569,1.5969,8114.0,0.0,1.0,1.534812052633835,1.5742445673138743,1.534812052633835,1.5742445673138743,8114.0
2020-02-04,1.575,1.575,1.503,1.55,7350.0,0.0,1.0,1.5526552655265529,1.5526552655265529,1.4816767391024817,1.5280099438515282,7350.0
2020-02-05,1.5471,1.5471,1.5471,1.5471,199.0,0.0,1.0,1.5251510865372253,1.5251510865372253,1.5251510865372253,1.5251510865372253,199.0
2020-02-06,1.5471,1.5471,1.5471,1.5471,85.0,0.0,1.0,1.5251510865372253,1.5251510865372253,1.5251510865372253,1.5251510865372253,85.0
2020-02-07,1.5002,1.55,1.4,1.4,11378.0,0.0,1.0,1.478916463074879,1.5280099438515282,1.3801380138013801,1.3801380138013801,11378.0
2020-02-10,1.5845,1.5845,1.55,1.55,1088.0,0.0,1.0,1.5620204877630621,1.5620204877630621,1.5280099438515282,1.5280099438515282,1088.0
2020-02-11,1.525,1.525,1.525,1.525,267.0,0.0,1.0,1.5033646221765034,1.5033646221765034,1.5033646221765034,1.5033646221765034,267.0
2020-02-12,1.5,1.5,1.5,1.5,273.0,0.0,1.0,1.478719300501479,1.478719300501479,1.478719300501479,1.478719300501479,273.0
2020-02-13,1.44,1.56,1.44,1.56,952.0,0.0,1.0,1.4195705284814197,1.5378680725215381,1.4195705284814197,1.5378680725215381,952.0
2020-02-14,1.56,1.56,1.56,1.56,7.0,0.0,1.0,1.5378680725215381,1.5378680725215381,1.5378680725215381,1.5378680725215381,7.0
2020-02-18,1.53,1.53,1.51,1.51,1542.0,0.0,1.0,1.5082936865115084,1.5082936865115084,1.4885774291714888,1.4885774291714888,1542.0
2020-02-19,1.52,1.53,1.5,1.5,2962.0,0.0,1.0,1.4984355578414985,1.5082936865115084,1.478719300501479,1.478719300501479,2962.0
2020-02-20,1.5,1.5,1.5,1.5,68.0,0.0,1.0,1.478719300501479,1.478719300501479,1.478719300501479,1.478719300501479,68.0
2020-02-21,1.5,1.5322,1.5,1.5322,2442.0,0.0,1.0,1.478719300501479,1.5104624748189106,1.478719300501479,1.5104624748189106,2442.0
2020-02-24,1.53,1.53,1.39,1.4883,4244.0,0.0,1.0,1.5082936865115084,1.5082936865115084,1.3702798851313702,1.4671852899575673,4244.0
2020-02-25,1.4883,1.4883,1.4883,1.4883,156.0,0.0,1.0,1.4671852899575673,1.4671852899575673,1.4671852899575673,1.4671852899575673,156.0
2020-02-26,1.4863,1.4863,1.4,1.4,2891.0,0.0,1.0,1.4652136642235654,1.4652136642235654,1.3801380138013801,1.3801380138013801,2891.0
