Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.53,2.58,2.47,2.56,78802.0,0.0,1.0,2.53,2.58,2.47,2.56,78802.0
2020-01-03,2.56,2.6742,2.55,2.66,36957.0,0.0,1.0,2.56,2.6742,2.55,2.66,36957.0
2020-01-06,2.62,2.73,2.62,2.65,59889.0,0.0,1.0,2.62,2.73,2.62,2.65,59889.0
2020-01-07,2.66,2.68,2.58,2.62,52139.0,0.0,1.0,2.66,2.68,2.58,2.62,52139.0
2020-01-08,2.67,2.8,2.6678,2.72,250817.0,0.0,1.0,2.67,2.8,2.6678,2.72,250817.0
2020-01-09,2.77,2.79,2.63,2.65,112314.0,0.0,1.0,2.77,2.79,2.63,2.65,112314.0
2020-01-10,2.64,2.64,2.52,2.54,123029.0,0.0,1.0,2.64,2.64,2.52,2.54,123029.0
2020-01-13,2.56,2.58,2.49,2.545,83631.0,0.0,1.0,2.56,2.58,2.49,2.545,83631.0
2020-01-14,2.51,2.61,2.51,2.6,55232.0,0.0,1.0,2.51,2.61,2.51,2.6,55232.0
2020-01-15,2.61,2.62,2.55,2.59,53200.0,0.0,1.0,2.61,2.62,2.55,2.59,53200.0
2020-01-16,2.61,2.71,2.6,2.7,101376.0,0.0,1.0,2.61,2.71,2.6,2.7,101376.0
2020-01-17,2.73,2.95,2.71,2.8,149224.0,0.0,1.0,2.73,2.95,2.71,2.8,149224.0
2020-01-21,2.77,3.08,2.77,3.0,135835.0,0.0,1.0,2.77,3.08,2.77,3.0,135835.0
2020-01-22,2.91,2.91,2.7,2.77,175210.0,0.0,1.0,2.91,2.91,2.7,2.77,175210.0
2020-01-23,2.71,2.8,2.7,2.73,83372.0,0.0,1.0,2.71,2.8,2.7,2.73,83372.0
2020-01-24,2.74,2.84,2.73,2.76,88135.0,0.0,1.0,2.74,2.84,2.73,2.76,88135.0
2020-01-27,2.86,2.92,2.81,2.84,120781.0,0.0,1.0,2.86,2.92,2.81,2.84,120781.0
2020-01-28,2.84,2.85,2.78,2.8,83427.0,0.0,1.0,2.84,2.85,2.78,2.8,83427.0
2020-01-29,2.8,2.82,2.7,2.75,66517.0,0.0,1.0,2.8,2.82,2.7,2.75,66517.0
2020-01-30,2.73,2.81,2.69,2.79,87224.0,0.0,1.0,2.73,2.81,2.69,2.79,87224.0
2020-01-31,2.79,2.805,2.69,2.7,118862.0,0.0,1.0,2.79,2.805,2.69,2.7,118862.0
2020-02-03,2.72,2.86,2.7014,2.81,89160.0,0.0,1.0,2.72,2.86,2.7014,2.81,89160.0
2020-02-04,2.81,2.9,2.81,2.84,75829.0,0.0,1.0,2.81,2.9,2.81,2.84,75829.0
2020-02-05,2.87,2.95,2.87,2.92,54513.0,0.0,1.0,2.87,2.95,2.87,2.92,54513.0
2020-02-06,2.95,2.99,2.91,2.95,92171.0,0.0,1.0,2.95,2.99,2.91,2.95,92171.0
2020-02-07,2.97,3.0,2.93,2.98,79188.0,0.0,1.0,2.97,3.0,2.93,2.98,79188.0
2020-02-10,2.99,3.42,2.99,3.27,158420.0,0.0,1.0,2.99,3.42,2.99,3.27,158420.0
2020-02-11,3.3,3.495,3.27,3.45,92468.0,0.0,1.0,3.3,3.495,3.27,3.45,92468.0
2020-02-12,3.5,3.7633,3.49,3.7,157699.0,0.0,1.0,3.5,3.7633,3.49,3.7,157699.0
2020-02-13,3.7,3.7,3.5,3.55,100710.0,0.0,1.0,3.7,3.7,3.5,3.55,100710.0
2020-02-14,3.54,3.55,3.37,3.38,46075.0,0.0,1.0,3.54,3.55,3.37,3.38,46075.0
2020-02-18,3.36,3.5,3.36,3.4,41662.0,0.0,1.0,3.36,3.5,3.36,3.4,41662.0
2020-02-19,3.43,3.47,3.3993,3.46,31032.0,0.0,1.0,3.43,3.47,3.3993,3.46,31032.0
2020-02-20,3.44,3.49,3.31,3.37,35580.0,0.0,1.0,3.44,3.49,3.31,3.37,35580.0
2020-02-21,3.44,3.47,3.2634,3.34,76572.0,0.0,1.0,3.44,3.47,3.2634,3.34,76572.0
2020-02-24,3.22,3.3104,3.2,3.24,76103.0,0.0,1.0,3.22,3.3104,3.2,3.24,76103.0
2020-02-25,3.23,3.31,3.2,3.26,108913.0,0.0,1.0,3.23,3.31,3.2,3.26,108913.0
2020-02-26,3.26,3.39,3.17,3.33,70612.0,0.0,1.0,3.26,3.39,3.17,3.33,70612.0
2020-02-27,3.31,3.43,3.2298,3.26,103585.0,0.0,1.0,3.31,3.43,3.2298,3.26,103585.0
2020-02-28,3.22,3.3287,3.025,3.17,75357.0,0.0,1.0,3.22,3.3287,3.025,3.17,75357.0
2020-03-02,3.17,3.205,3.01,3.09,128365.0,0.0,1.0,3.17,3.205,3.01,3.09,128365.0
2020-03-03,3.09,3.1648,2.7255,2.81,170173.0,0.0,1.0,3.09,3.1648,2.7255,2.81,170173.0
2020-03-04,2.82,2.97,2.68,2.84,202568.0,0.0,1.0,2.82,2.97,2.68,2.84,202568.0
2020-03-05,2.81,3.08,2.68,2.79,162000.0,0.0,1.0,2.81,3.08,2.68,2.79,162000.0
2020-03-06,2.74,2.8603,2.73,2.74,59226.0,0.0,1.0,2.74,2.8603,2.73,2.74,59226.0
