Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.17,5.19,4.5,4.77,4475148.0,0.0,1.0,5.17,5.19,4.5,4.77,4475148.0
2020-01-03,4.62,4.77,4.52,4.63,2000297.0,0.0,1.0,4.62,4.77,4.52,4.63,2000297.0
2020-01-06,4.57,4.85,4.49,4.84,2192426.0,0.0,1.0,4.57,4.85,4.49,4.84,2192426.0
2020-01-07,4.81,5.0,4.6987,4.93,1640588.0,0.0,1.0,4.81,5.0,4.6987,4.93,1640588.0
2020-01-08,4.93,4.985,4.8,4.97,1435564.0,0.0,1.0,4.93,4.985,4.8,4.97,1435564.0
2020-01-09,4.98,5.01,4.81,4.87,1770858.0,0.0,1.0,4.98,5.01,4.81,4.87,1770858.0
2020-01-10,4.89,4.94,4.62,4.63,2103655.0,0.0,1.0,4.89,4.94,4.62,4.63,2103655.0
2020-01-13,4.71,4.71,4.35,4.44,2310693.0,0.0,1.0,4.71,4.71,4.35,4.44,2310693.0
2020-01-14,4.42,4.66,4.37,4.59,1767794.0,0.0,1.0,4.42,4.66,4.37,4.59,1767794.0
2020-01-15,4.54,4.95,4.5,4.95,2213802.0,0.0,1.0,4.54,4.95,4.5,4.95,2213802.0
2020-01-16,4.95,5.04,4.76,4.83,1478027.0,0.0,1.0,4.95,5.04,4.76,4.83,1478027.0
2020-01-17,4.88,4.94,4.55,4.56,1689080.0,0.0,1.0,4.88,4.94,4.55,4.56,1689080.0
2020-01-21,4.56,4.78,4.5,4.7,1583758.0,0.0,1.0,4.56,4.78,4.5,4.7,1583758.0
2020-01-22,4.7,4.74,4.52,4.68,1342475.0,0.0,1.0,4.7,4.74,4.52,4.68,1342475.0
2020-01-23,4.43,5.42,4.37,4.905,9501750.0,0.0,1.0,4.43,5.42,4.37,4.905,9501750.0
2020-01-24,4.92,4.95,4.38,4.4,4250604.0,0.0,1.0,4.92,4.95,4.38,4.4,4250604.0
2020-01-27,4.37,4.69,4.27,4.56,1844196.0,0.0,1.0,4.37,4.69,4.27,4.56,1844196.0
2020-01-28,4.61,4.81,4.5,4.715,1913394.0,0.0,1.0,4.61,4.81,4.5,4.715,1913394.0
2020-01-29,4.64,5.14,4.64,5.015,8870519.0,0.0,1.0,4.64,5.14,4.64,5.015,8870519.0
2020-01-30,4.94,5.0,4.73,4.865,1922096.0,0.0,1.0,4.94,5.0,4.73,4.865,1922096.0
2020-01-31,4.76,4.92,4.69,4.725,5513111.0,0.0,1.0,4.76,4.92,4.69,4.725,5513111.0
2020-02-03,4.79,4.93,4.545,4.68,2412441.0,0.0,1.0,4.79,4.93,4.545,4.68,2412441.0
2020-02-04,4.71,4.88,4.61,4.765,2542159.0,0.0,1.0,4.71,4.88,4.61,4.765,2542159.0
2020-02-05,4.84,5.2694,4.84,5.025,3211033.0,0.0,1.0,4.84,5.2694,4.84,5.025,3211033.0
2020-02-06,5.05,5.2,4.79,4.795,1705439.0,0.0,1.0,5.05,5.2,4.79,4.795,1705439.0
2020-02-07,4.8,4.9,4.5,4.55,2317967.0,0.0,1.0,4.8,4.9,4.5,4.55,2317967.0
2020-02-10,4.56,4.88,4.52,4.81,1876282.0,0.0,1.0,4.56,4.88,4.52,4.81,1876282.0
2020-02-11,4.86,5.14,4.8,5.01,2314301.0,0.0,1.0,4.86,5.14,4.8,5.01,2314301.0
2020-02-12,5.05,5.24,4.96,5.24,2461668.0,0.0,1.0,5.05,5.24,4.96,5.24,2461668.0
2020-02-13,5.25,5.36,5.15,5.36,2486556.0,0.0,1.0,5.25,5.36,5.15,5.36,2486556.0
2020-02-14,6.0,7.07,5.88,6.8,24030418.0,0.0,1.0,6.0,7.07,5.88,6.8,24030418.0
2020-02-18,6.75,6.79,5.99,6.14,10408699.0,0.0,1.0,6.75,6.79,5.99,6.14,10408699.0
2020-02-19,6.14,6.36,5.69,5.7,4961758.0,0.0,1.0,6.14,6.36,5.69,5.7,4961758.0
2020-02-20,5.7,5.85,5.46,5.58,4041163.0,0.0,1.0,5.7,5.85,5.46,5.58,4041163.0
2020-02-21,5.64,5.7,5.36,5.41,2628015.0,0.0,1.0,5.64,5.7,5.36,5.41,2628015.0
2020-02-24,5.18,5.37,4.55,5.09,4487339.0,0.0,1.0,5.18,5.37,4.55,5.09,4487339.0
2020-02-25,5.14,5.149,4.7,4.78,2738731.0,0.0,1.0,5.14,5.149,4.7,4.78,2738731.0
2020-02-26,4.81,5.05,4.55,4.64,3888721.0,0.0,1.0,4.81,5.05,4.55,4.64,3888721.0
2020-02-27,4.62,4.64,4.29,4.39,2548548.0,0.0,1.0,4.62,4.64,4.29,4.39,2548548.0
2020-02-28,4.17,4.455,4.07,4.45,4741105.0,0.0,1.0,4.17,4.455,4.07,4.45,4741105.0
2020-03-02,4.41,4.55,4.145,4.42,6571093.0,0.0,1.0,4.41,4.55,4.145,4.42,6571093.0
2020-03-03,4.43,4.56,4.25,4.41,2244949.0,0.0,1.0,4.43,4.56,4.25,4.41,2244949.0
2020-03-04,4.5,4.82,4.48,4.665,2214320.0,0.0,1.0,4.5,4.82,4.48,4.665,2214320.0
2020-03-05,4.53,4.645,4.41,4.5,1601258.0,0.0,1.0,4.53,4.645,4.41,4.5,1601258.0
2020-03-06,4.33,4.52,4.11,4.19,2033127.0,0.0,1.0,4.33,4.52,4.11,4.19,2033127.0
2020-03-09,4.02,4.17,3.67,3.68,2023809.0,0.0,1.0,4.02,4.17,3.67,3.68,2023809.0
