Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-23,0.65,0.9002,0.65,0.88,243610.0,0.0,1.0,0.65,0.9002,0.65,0.88,243610.0
2020-11-24,0.89,0.9,0.89,0.9,100727.0,0.0,1.0,0.89,0.9,0.89,0.9,100727.0
2020-11-25,0.86,0.86,0.848561,0.85,28969.0,0.0,1.0,0.86,0.86,0.848561,0.85,28969.0
2020-11-27,0.88,1.07,0.88,0.9,188501.0,0.0,1.0,0.88,1.07,0.88,0.9,188501.0
2020-11-30,1.1,1.2,1.0,1.2,177665.0,0.0,1.0,1.1,1.2,1.0,1.2,177665.0
2020-12-01,1.1,1.2,1.1,1.17,26159.0,0.0,1.0,1.1,1.2,1.1,1.17,26159.0
2020-12-02,1.18,1.19,1.05,1.05,26390.0,0.0,1.0,1.18,1.19,1.05,1.05,26390.0
2020-12-03,1.05,1.25,1.02,1.05,46142.0,0.0,1.0,1.05,1.25,1.02,1.05,46142.0
2020-12-04,1.15,1.17,1.025,1.09,88855.0,0.0,1.0,1.15,1.17,1.025,1.09,88855.0
2020-12-07,1.2,1.45,1.06,1.16,212303.0,0.0,1.0,1.2,1.45,1.06,1.16,212303.0
2020-12-08,1.17,1.35,1.05,1.15,380235.0,0.0,1.0,1.17,1.35,1.05,1.15,380235.0
2020-12-09,1.15,1.2098,1.12,1.15,151849.0,0.0,1.0,1.15,1.2098,1.12,1.15,151849.0
2020-12-10,1.13,1.24,1.13,1.2,147868.0,0.0,1.0,1.13,1.24,1.13,1.2,147868.0
2020-12-11,1.3,1.49,1.2,1.3,493018.0,0.0,1.0,1.3,1.49,1.2,1.3,493018.0
2020-12-14,1.4,1.44,1.27,1.27,228566.0,0.0,1.0,1.4,1.44,1.27,1.27,228566.0
2020-12-15,1.35,1.35,1.21,1.23,112718.0,0.0,1.0,1.35,1.35,1.21,1.23,112718.0
2020-12-16,1.27,1.32,1.16,1.2598,196173.0,0.0,1.0,1.27,1.32,1.16,1.2598,196173.0
2020-12-17,1.31,1.35,1.17,1.225,57419.0,0.0,1.0,1.31,1.35,1.17,1.225,57419.0
2020-12-18,1.19,1.3,1.17,1.2399,72262.0,0.0,1.0,1.19,1.3,1.17,1.2399,72262.0
2020-12-21,1.3,1.35,1.28,1.28,178675.0,0.0,1.0,1.3,1.35,1.28,1.28,178675.0
2020-12-22,1.32,1.49,1.27,1.33,283638.0,0.0,1.0,1.32,1.49,1.27,1.33,283638.0
2020-12-23,1.4,1.52,1.3467,1.4,322520.0,0.0,1.0,1.4,1.52,1.3467,1.4,322520.0
2020-12-24,1.65,1.65,1.46,1.5999,169075.0,0.0,1.0,1.65,1.65,1.46,1.5999,169075.0
2020-12-28,1.69,1.78,1.64,1.75,399287.0,0.0,1.0,1.69,1.78,1.64,1.75,399287.0
2020-12-29,1.84,1.84,1.58,1.58,164275.0,0.0,1.0,1.84,1.84,1.58,1.58,164275.0
2020-12-30,1.65,1.6648,1.56,1.5991,88748.0,0.0,1.0,1.65,1.6648,1.56,1.5991,88748.0
2020-12-31,1.6,1.65,1.48,1.54,199133.0,0.0,1.0,1.6,1.65,1.48,1.54,199133.0
