Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-16,3.89,3.89,3.25,3.4,99269.0,0.0,1.0,3.89,3.89,3.25,3.4,99269.0
2020-11-17,3.44,3.44,3.26,3.29,71935.0,0.0,1.0,3.44,3.44,3.26,3.29,71935.0
2020-11-18,3.36,3.58,3.3,3.53,60790.0,0.0,1.0,3.36,3.58,3.3,3.53,60790.0
2020-11-19,3.5,3.63,3.39,3.43,40712.0,0.0,1.0,3.5,3.63,3.39,3.43,40712.0
2020-11-20,3.6,3.6,3.2,3.21,97392.0,0.0,1.0,3.6,3.6,3.2,3.21,97392.0
2020-11-23,3.3,3.45,3.05,3.22,128449.0,0.0,1.0,3.3,3.45,3.05,3.22,128449.0
2020-11-24,3.3,3.3,3.02,3.11,56831.0,0.0,1.0,3.3,3.3,3.02,3.11,56831.0
2020-11-25,3.25,3.26,3.12,3.235,43898.0,0.0,1.0,3.25,3.26,3.12,3.235,43898.0
2020-11-27,3.26,3.51,3.25,3.475,55465.0,0.0,1.0,3.26,3.51,3.25,3.475,55465.0
2020-11-30,3.72,3.8674,3.3,3.62,532629.0,0.0,1.0,3.72,3.8674,3.3,3.62,532629.0
2020-12-01,3.77,3.79,3.26,3.45,154113.0,0.0,1.0,3.77,3.79,3.26,3.45,154113.0
2020-12-02,3.66,3.66,3.38,3.4992,73283.0,0.0,1.0,3.66,3.66,3.38,3.4992,73283.0
2020-12-03,3.48,3.8115,3.3,3.37,464647.0,0.0,1.0,3.48,3.8115,3.3,3.37,464647.0
2020-12-04,3.54,3.54,3.2,3.33,346711.0,0.0,1.0,3.54,3.54,3.2,3.33,346711.0
2020-12-07,3.37,3.38,3.18,3.24,103981.0,0.0,1.0,3.37,3.38,3.18,3.24,103981.0
2020-12-08,3.25,3.3028,3.15,3.2,55820.0,0.0,1.0,3.25,3.3028,3.15,3.2,55820.0
2020-12-09,3.2,3.2261,3.13,3.17,68980.0,0.0,1.0,3.2,3.2261,3.13,3.17,68980.0
2020-12-10,3.17,3.25,3.12,3.17,46032.0,0.0,1.0,3.17,3.25,3.12,3.17,46032.0
2020-12-11,3.2,3.2499,3.08,3.12,71343.0,0.0,1.0,3.2,3.2499,3.08,3.12,71343.0
2020-12-14,3.21,3.223,2.9741,3.07,96259.0,0.0,1.0,3.21,3.223,2.9741,3.07,96259.0
2020-12-15,3.09,3.1188,2.97,2.99,101280.0,0.0,1.0,3.09,3.1188,2.97,2.99,101280.0
2020-12-16,3.06,3.22,2.97,2.99,71303.0,0.0,1.0,3.06,3.22,2.97,2.99,71303.0
2020-12-17,3.0,3.0255,2.95,2.975,68674.0,0.0,1.0,3.0,3.0255,2.95,2.975,68674.0
2020-12-18,3.07,3.37,2.99,3.22,195015.0,0.0,1.0,3.07,3.37,2.99,3.22,195015.0
2020-12-21,3.3,3.3,2.96,3.12,80795.0,0.0,1.0,3.3,3.3,2.96,3.12,80795.0
2020-12-22,3.06,3.09,2.97,3.06,53099.0,0.0,1.0,3.06,3.09,2.97,3.06,53099.0
2020-12-23,3.15,3.4,3.114,3.22,404464.0,0.0,1.0,3.15,3.4,3.114,3.22,404464.0
2020-12-24,3.33,3.44,3.1,3.14,87522.0,0.0,1.0,3.33,3.44,3.1,3.14,87522.0
2020-12-28,3.21,3.48,3.1,3.25,203949.0,0.0,1.0,3.21,3.48,3.1,3.25,203949.0
2020-12-29,3.25,3.25,3.06,3.11,112104.0,0.0,1.0,3.25,3.25,3.06,3.11,112104.0
2020-12-30,3.19,3.39,3.15,3.29,146667.0,0.0,1.0,3.19,3.39,3.15,3.29,146667.0
2020-12-31,3.27,3.35,3.235,3.29,103327.0,0.0,1.0,3.27,3.35,3.235,3.29,103327.0
