Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-02-27,0.65,0.71,0.65,0.71,1501100.0,0.0,1.0,0.65,0.71,0.65,0.71,1501100.0
2020-02-28,0.7,0.71,0.7,0.71,160450.0,0.0,1.0,0.7,0.71,0.7,0.71,160450.0
2020-03-02,0.7,0.74,0.7,0.74,120350.0,0.0,1.0,0.7,0.74,0.7,0.74,120350.0
2020-03-03,0.71,0.71,0.7,0.7,617391.0,0.0,1.0,0.71,0.71,0.7,0.7,617391.0
2020-03-04,0.7,0.74,0.7,0.74,72304.0,0.0,1.0,0.7,0.74,0.7,0.74,72304.0
2020-03-05,0.74,0.74,0.74,0.74,0.0,0.0,1.0,0.74,0.74,0.74,0.74,0.0
2020-03-06,0.74,0.74,0.74,0.74,97.0,0.0,1.0,0.74,0.74,0.74,0.74,97.0
2020-03-09,0.74,0.74,0.74,0.74,0.0,0.0,1.0,0.74,0.74,0.74,0.74,0.0
2020-03-10,0.71,0.71,0.67,0.71,310.0,0.0,1.0,0.71,0.71,0.67,0.71,310.0
2020-03-11,0.68,0.72,0.6,0.72,800.0,0.0,1.0,0.68,0.72,0.6,0.72,800.0
2020-03-12,0.69,0.73,0.65,0.73,601.0,0.0,1.0,0.69,0.73,0.65,0.73,601.0
2020-03-13,0.7,0.7,0.66,0.7,501.0,0.0,1.0,0.7,0.7,0.66,0.7,501.0
2020-03-16,0.7,0.7,0.7,0.7,0.0,0.0,1.0,0.7,0.7,0.7,0.7,0.0
2020-03-17,0.65,0.65,0.65,0.65,100.0,0.0,1.0,0.65,0.65,0.65,0.65,100.0
2020-03-18,0.68,0.68,0.68,0.68,430.0,0.0,1.0,0.68,0.68,0.68,0.68,430.0
2020-03-19,0.65,0.65,0.65,0.65,100.0,0.0,1.0,0.65,0.65,0.65,0.65,100.0
2020-03-20,0.59,0.63,0.55,0.63,655.0,0.0,1.0,0.59,0.63,0.55,0.63,655.0
2020-03-23,0.63,0.63,0.63,0.63,0.0,0.0,1.0,0.63,0.63,0.63,0.63,0.0
2020-03-24,0.63,0.63,0.63,0.63,0.0,0.0,1.0,0.63,0.63,0.63,0.63,0.0
2020-03-25,0.63,0.63,0.63,0.63,0.0,0.0,1.0,0.63,0.63,0.63,0.63,0.0
2020-03-26,0.63,0.63,0.63,0.63,31.0,0.0,1.0,0.63,0.63,0.63,0.63,31.0
2020-03-27,0.63,0.63,0.63,0.63,30.0,0.0,1.0,0.63,0.63,0.63,0.63,30.0
2020-03-30,0.63,0.63,0.63,0.63,27.0,0.0,1.0,0.63,0.63,0.63,0.63,27.0
2020-03-31,0.63,0.63,0.63,0.63,25.0,0.0,1.0,0.63,0.63,0.63,0.63,25.0
2020-04-01,0.63,0.63,0.63,0.63,0.0,0.0,1.0,0.63,0.63,0.63,0.63,0.0
2020-04-02,0.63,0.63,0.63,0.63,0.0,0.0,1.0,0.63,0.63,0.63,0.63,0.0
2020-04-03,0.59,0.65,0.59,0.65,2953.0,0.0,1.0,0.59,0.65,0.59,0.65,2953.0
2020-04-06,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-07,0.65,0.65,0.65,0.65,25.0,0.0,1.0,0.65,0.65,0.65,0.65,25.0
2020-04-08,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-09,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-13,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-14,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-15,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-16,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-17,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-20,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-04-21,0.6045,0.6445,0.6045,0.62725,760.0,0.0,1.0,0.6045,0.6445,0.6045,0.62725,760.0
2020-04-22,0.62725,0.62725,0.62725,0.62725,0.0,0.0,1.0,0.62725,0.62725,0.62725,0.62725,0.0
2020-04-23,0.62725,0.62725,0.62725,0.62725,0.0,0.0,1.0,0.62725,0.62725,0.62725,0.62725,0.0
2020-04-24,0.62725,0.62725,0.62725,0.62725,0.0,0.0,1.0,0.62725,0.62725,0.62725,0.62725,0.0
2020-04-27,0.62725,0.62725,0.62725,0.62725,0.0,0.0,1.0,0.62725,0.62725,0.62725,0.62725,0.0
2020-04-28,0.62725,0.62725,0.62725,0.62725,0.0,0.0,1.0,0.62725,0.62725,0.62725,0.62725,0.0
2020-04-29,0.57,0.6,0.57,0.5971,2200.0,0.0,1.0,0.57,0.6,0.57,0.5971,2200.0
2020-04-30,0.5971,0.5971,0.5971,0.5971,0.0,0.0,1.0,0.5971,0.5971,0.5971,0.5971,0.0
2020-05-01,0.5971,0.5971,0.5971,0.5971,0.0,0.0,1.0,0.5971,0.5971,0.5971,0.5971,0.0
2020-05-04,0.55,0.55,0.55,0.55,265.0,0.0,1.0,0.55,0.55,0.55,0.55,265.0
2020-05-05,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-06,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-07,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-08,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-11,0.55,0.55,0.55,0.55,100.0,0.0,1.0,0.55,0.55,0.55,0.55,100.0
2020-05-12,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-13,0.55,0.55,0.55,0.55,55.0,0.0,1.0,0.55,0.55,0.55,0.55,55.0
2020-05-14,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-15,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-18,0.55,0.55,0.55,0.55,1.0,0.0,1.0,0.55,0.55,0.55,0.55,1.0
2020-05-19,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-20,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-21,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-22,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-26,0.55,0.55,0.55,0.55,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.0
2020-05-27,0.52,0.5201,0.52,0.5201,25000.0,0.0,1.0,0.52,0.5201,0.52,0.5201,25000.0
2020-05-28,0.5201,0.5201,0.5201,0.5201,0.0,0.0,1.0,0.5201,0.5201,0.5201,0.5201,0.0
2020-05-29,0.5201,0.5201,0.5201,0.5201,0.0,0.0,1.0,0.5201,0.5201,0.5201,0.5201,0.0
2020-06-01,0.45,0.4801,0.441057,0.4499,5350.0,0.0,1.0,0.45,0.4801,0.441057,0.4499,5350.0
2020-06-02,0.4499,0.4499,0.4499,0.4499,0.0,0.0,1.0,0.4499,0.4499,0.4499,0.4499,0.0
2020-06-03,0.4499,0.4499,0.4499,0.4499,0.0,0.0,1.0,0.4499,0.4499,0.4499,0.4499,0.0
2020-06-04,0.45,0.45,0.45,0.45,100.0,0.0,1.0,0.45,0.45,0.45,0.45,100.0
2020-06-05,0.45,0.45,0.4499,0.45,53670.0,0.0,1.0,0.45,0.45,0.4499,0.45,53670.0
2020-06-08,0.45,0.45,0.44,0.45,56432.0,0.0,1.0,0.45,0.45,0.44,0.45,56432.0
2020-06-09,0.45,0.45,0.447751,0.4499,7242.0,0.0,1.0,0.45,0.45,0.447751,0.4499,7242.0
2020-06-10,0.4814,0.5414,0.4813,0.5,32700.0,0.0,1.0,0.4814,0.5414,0.4813,0.5,32700.0
2020-06-11,0.47,0.4701,0.465,0.4651,2800.0,0.0,1.0,0.47,0.4701,0.465,0.4651,2800.0
2020-06-12,0.44,0.47,0.44,0.4699,26000.0,0.0,1.0,0.44,0.47,0.44,0.4699,26000.0
2020-06-15,0.45,0.48,0.42,0.45,31800.0,0.0,1.0,0.45,0.48,0.42,0.45,31800.0
2020-06-16,0.455,0.455,0.4297,0.4297,21455.0,0.0,1.0,0.455,0.455,0.4297,0.4297,21455.0
2020-06-17,0.43,0.43,0.42,0.42,11150.0,0.0,1.0,0.43,0.43,0.42,0.42,11150.0
2020-06-18,0.42,0.4378,0.3991,0.4,267617.0,0.0,1.0,0.42,0.4378,0.3991,0.4,267617.0
2020-06-19,0.4,0.4801,0.4,0.4,95900.0,0.0,1.0,0.4,0.4801,0.4,0.4,95900.0
2020-06-22,0.4,0.47,0.4,0.43,119353.0,0.0,1.0,0.4,0.47,0.4,0.43,119353.0
2020-06-23,0.45,0.5408,0.45,0.4908,422663.0,0.0,1.0,0.45,0.5408,0.45,0.4908,422663.0
2020-06-24,0.55,0.55,0.45,0.478791,59205.0,0.0,1.0,0.55,0.55,0.45,0.478791,59205.0
2020-06-25,0.502193,0.520407,0.4871,0.520407,2326.0,0.0,1.0,0.502193,0.520407,0.4871,0.520407,2326.0
2020-06-26,0.51,0.5464,0.49,0.49,1009.0,0.0,1.0,0.51,0.5464,0.49,0.49,1009.0
2020-06-29,0.5141,0.645,0.5,0.5715,198578.0,0.0,1.0,0.5141,0.645,0.5,0.5715,198578.0
2020-06-30,0.65,0.66,0.6,0.6,12326.0,0.0,1.0,0.65,0.66,0.6,0.6,12326.0
2020-07-01,0.62,0.66,0.62,0.64,54016.0,0.0,1.0,0.62,0.66,0.62,0.64,54016.0
2020-07-02,0.64,0.74,0.64,0.65,69242.0,0.0,1.0,0.64,0.74,0.64,0.65,69242.0
2020-07-06,0.72,0.955,0.7115,0.95,109958.0,0.0,1.0,0.72,0.955,0.7115,0.95,109958.0
2020-07-07,0.8582,0.862,0.65,0.722401,26851.0,0.0,1.0,0.8582,0.862,0.65,0.722401,26851.0
2020-07-08,0.730681,0.75,0.730681,0.75,4146.0,0.0,1.0,0.730681,0.75,0.730681,0.75,4146.0
2020-07-09,0.75,0.78,0.7499,0.77,1696.0,0.0,1.0,0.75,0.78,0.7499,0.77,1696.0
2020-07-10,0.769999,0.7999,0.742901,0.760001,6305.0,0.0,1.0,0.769999,0.7999,0.742901,0.760001,6305.0
2020-07-13,0.77,0.8499,0.77,0.78,26092.0,0.0,1.0,0.77,0.8499,0.77,0.78,26092.0
2020-07-14,0.7713,0.8,0.704634,0.8,24104.0,0.0,1.0,0.7713,0.8,0.704634,0.8,24104.0
2020-07-15,0.84,0.84,0.8031,0.80655,3633.0,0.0,1.0,0.84,0.84,0.8031,0.80655,3633.0
2020-07-16,0.7701,0.776828,0.7366,0.7366,1050.0,0.0,1.0,0.7701,0.776828,0.7366,0.7366,1050.0
2020-07-17,0.781,0.781,0.59,0.677624,40682.0,0.0,1.0,0.781,0.781,0.59,0.677624,40682.0
2020-07-20,0.7,0.7251,0.69,0.7251,16195.0,0.0,1.0,0.7,0.7251,0.69,0.7251,16195.0
2020-07-21,0.78,0.78,0.7,0.740151,13650.0,0.0,1.0,0.78,0.78,0.7,0.740151,13650.0
2020-07-22,0.7,0.7083,0.7,0.7083,650.0,0.0,1.0,0.7,0.7083,0.7,0.7083,650.0
2020-07-23,0.7081,0.7081,0.61,0.6451,3330.0,0.0,1.0,0.7081,0.7081,0.61,0.6451,3330.0
2020-07-24,0.6501,0.6501,0.6129,0.635,24892.0,0.0,1.0,0.6501,0.6501,0.6129,0.635,24892.0
2020-07-27,0.64,0.64,0.6399,0.64,5300.0,0.0,1.0,0.64,0.64,0.6399,0.64,5300.0
2020-07-28,0.66,0.66,0.53,0.6,49485.0,0.0,1.0,0.66,0.66,0.53,0.6,49485.0
2020-07-29,0.6,0.6,0.558,0.558,9800.0,0.0,1.0,0.6,0.6,0.558,0.558,9800.0
2020-07-30,0.5501,0.5501,0.49,0.494999,61844.0,0.0,1.0,0.5501,0.5501,0.49,0.494999,61844.0
2020-07-31,0.5,0.5049,0.4802,0.4802,4337.0,0.0,1.0,0.5,0.5049,0.4802,0.4802,4337.0
2020-08-03,0.5042,0.5378,0.473,0.525,34915.0,0.0,1.0,0.5042,0.5378,0.473,0.525,34915.0
2020-08-04,0.54,0.5512,0.478469,0.49,4821.0,0.0,1.0,0.54,0.5512,0.478469,0.49,4821.0
2020-08-05,0.51225,0.51225,0.51,0.51,500.0,0.0,1.0,0.51225,0.51225,0.51,0.51,500.0
2020-08-06,0.5245,0.58,0.5245,0.58,4051.0,0.0,1.0,0.5245,0.58,0.5245,0.58,4051.0
2020-08-07,0.609,0.62,0.6,0.6,18079.0,0.0,1.0,0.609,0.62,0.6,0.6,18079.0
2020-08-10,0.61,0.61,0.48,0.48,2050.0,0.0,1.0,0.61,0.61,0.48,0.48,2050.0
2020-08-11,0.55,0.5501,0.48,0.5,8200.0,0.0,1.0,0.55,0.5501,0.48,0.5,8200.0
2020-08-12,0.53,0.53,0.52,0.52,400.0,0.0,1.0,0.53,0.53,0.52,0.52,400.0
2020-08-13,0.52,0.52,0.52,0.52,100.0,0.0,1.0,0.52,0.52,0.52,0.52,100.0
2020-08-14,0.55,0.55,0.55,0.55,250.0,0.0,1.0,0.55,0.55,0.55,0.55,250.0
2020-08-17,0.5525,0.6,0.5425,0.56,1393.0,0.0,1.0,0.5525,0.6,0.5425,0.56,1393.0
2020-08-18,0.552,0.552,0.532,0.545,2050.0,0.0,1.0,0.552,0.552,0.532,0.545,2050.0
2020-08-19,0.5578,0.5578,0.5178,0.5178,1250.0,0.0,1.0,0.5578,0.5578,0.5178,0.5178,1250.0
2020-08-20,0.51,0.52,0.47,0.47,22300.0,0.0,1.0,0.51,0.52,0.47,0.47,22300.0
2020-08-21,0.502433,0.502433,0.47,0.47,5000.0,0.0,1.0,0.502433,0.502433,0.47,0.47,5000.0
2020-08-24,0.51,0.51,0.46,0.46,7050.0,0.0,1.0,0.51,0.51,0.46,0.46,7050.0
2020-08-25,0.475999,0.5,0.47,0.47,4400.0,0.0,1.0,0.475999,0.5,0.47,0.47,4400.0
2020-08-26,0.5,0.5,0.48,0.48,3500.0,0.0,1.0,0.5,0.5,0.48,0.48,3500.0
2020-08-27,0.4561,0.503899,0.456,0.48,2610.0,0.0,1.0,0.4561,0.503899,0.456,0.48,2610.0
2020-08-28,0.48,0.48,0.48,0.48,300.0,0.0,1.0,0.48,0.48,0.48,0.48,300.0
2020-08-31,0.52,0.650101,0.5,0.5,20070.0,0.0,1.0,0.52,0.650101,0.5,0.5,20070.0
2020-09-01,0.522464,0.53,0.5,0.5,9101.0,0.0,1.0,0.522464,0.53,0.5,0.5,9101.0
2020-09-02,0.525,0.56,0.51,0.52,8350.0,0.0,1.0,0.525,0.56,0.51,0.52,8350.0
2020-09-03,0.52,0.5786,0.52,0.5532,14628.0,0.0,1.0,0.52,0.5786,0.52,0.5532,14628.0
2020-09-04,0.57,0.6,0.54,0.56,67284.0,0.0,1.0,0.57,0.6,0.54,0.56,67284.0
2020-09-08,0.574,0.63,0.574,0.63,13564.0,0.0,1.0,0.574,0.63,0.574,0.63,13564.0
