Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.0,7.0,6.44,6.55,93533.0,0.0,1.0,7.0,7.0,6.44,6.55,93533.0
2020-01-03,6.55,6.66,6.09,6.22,95744.0,0.0,1.0,6.55,6.66,6.09,6.22,95744.0
2020-01-06,6.21,6.3253,6.02,6.08,35117.0,0.0,1.0,6.21,6.3253,6.02,6.08,35117.0
2020-01-07,6.04,6.39,6.04,6.37,82519.0,0.0,1.0,6.04,6.39,6.04,6.37,82519.0
2020-01-08,6.32,6.59,6.289,6.34,51315.0,0.0,1.0,6.32,6.59,6.289,6.34,51315.0
2020-01-09,6.36,6.4473,6.31,6.37,33793.0,0.0,1.0,6.36,6.4473,6.31,6.37,33793.0
2020-01-10,6.4,6.43,6.3,6.36,37182.0,0.0,1.0,6.4,6.43,6.3,6.36,37182.0
2020-01-13,6.47,6.72,6.35,6.47,71593.0,0.0,1.0,6.47,6.72,6.35,6.47,71593.0
2020-01-14,6.61,6.61,6.22,6.29,35289.0,0.0,1.0,6.61,6.61,6.22,6.29,35289.0
2020-01-15,6.29,6.35,6.1,6.14,36362.0,0.0,1.0,6.29,6.35,6.1,6.14,36362.0
2020-01-16,6.11,6.3,6.03,6.05,53772.0,0.0,1.0,6.11,6.3,6.03,6.05,53772.0
2020-01-17,6.16,6.36,6.1,6.19,36964.0,0.0,1.0,6.16,6.36,6.1,6.19,36964.0
2020-01-21,6.19,6.4272,5.91,5.91,38050.0,0.0,1.0,6.19,6.4272,5.91,5.91,38050.0
2020-01-22,5.82,6.22,5.81,5.89,40749.0,0.0,1.0,5.82,6.22,5.81,5.89,40749.0
2020-01-23,5.92,6.11,5.91,6.08,27941.0,0.0,1.0,5.92,6.11,5.91,6.08,27941.0
2020-01-24,5.9,6.08,5.83,6.02,30144.0,0.0,1.0,5.9,6.08,5.83,6.02,30144.0
2020-01-27,5.8,5.93,5.72,5.93,23304.0,0.0,1.0,5.8,5.93,5.72,5.93,23304.0
2020-01-28,5.9,6.0002,5.87,5.88,24043.0,0.0,1.0,5.9,6.0002,5.87,5.88,24043.0
2020-01-29,5.82,5.89,5.67,5.775,24551.0,0.0,1.0,5.82,5.89,5.67,5.775,24551.0
2020-01-30,5.68,5.77,5.495,5.5,54555.0,0.0,1.0,5.68,5.77,5.495,5.5,54555.0
2020-01-31,5.63,5.719,5.25,5.32,48285.0,0.0,1.0,5.63,5.719,5.25,5.32,48285.0
2020-02-03,5.25,5.57,5.25,5.49,58271.0,0.0,1.0,5.25,5.57,5.25,5.49,58271.0
2020-02-04,5.51,5.5804,5.27,5.35,33555.0,0.0,1.0,5.51,5.5804,5.27,5.35,33555.0
2020-02-05,5.38,5.54,5.29,5.49,42945.0,0.0,1.0,5.38,5.54,5.29,5.49,42945.0
2020-02-06,5.545,5.545,5.3,5.3,24553.0,0.0,1.0,5.545,5.545,5.3,5.3,24553.0
2020-02-07,5.26,5.4,5.17,5.4,36786.0,0.0,1.0,5.26,5.4,5.17,5.4,36786.0
2020-02-10,5.34,5.56,5.3278,5.48,25989.0,0.0,1.0,5.34,5.56,5.3278,5.48,25989.0
2020-02-11,5.43,5.53,5.26,5.28,28208.0,0.0,1.0,5.43,5.53,5.26,5.28,28208.0
2020-02-12,5.4,5.45,5.26,5.27,39047.0,0.0,1.0,5.4,5.45,5.26,5.27,39047.0
2020-02-13,5.2151,5.23,5.15,5.23,10128.0,0.0,1.0,5.2151,5.23,5.15,5.23,10128.0
2020-02-14,5.24,5.28,5.03,5.28,29869.0,0.0,1.0,5.24,5.28,5.03,5.28,29869.0
2020-02-18,5.11,5.27,5.1,5.13,14627.0,0.0,1.0,5.11,5.27,5.1,5.13,14627.0
2020-02-19,5.1595,5.24,5.1,5.15,20303.0,0.0,1.0,5.1595,5.24,5.1,5.15,20303.0
2020-02-20,5.2903,5.41,5.16,5.2,8099.0,0.0,1.0,5.2903,5.41,5.16,5.2,8099.0
