Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-30,0.3,0.3,0.25,0.25,375000.0,0.0,1.0,0.3,0.3,0.25,0.25,375000.0
2020-11-02,0.9602,0.9602,0.3101,0.3103,23434.0,0.0,1.0,0.9602,0.9602,0.3101,0.3103,23434.0
2020-11-03,0.4,0.4,0.3501,0.3999,4387.0,0.0,1.0,0.4,0.4,0.3501,0.3999,4387.0
2020-11-04,0.4,0.4,0.391001,0.4,4526.0,0.0,1.0,0.4,0.4,0.391001,0.4,4526.0
2020-11-05,0.4,0.4,0.4,0.4,0.0,0.0,1.0,0.4,0.4,0.4,0.4,0.0
2020-11-06,0.5,0.5,0.3399,0.45,1630.0,0.0,1.0,0.5,0.5,0.3399,0.45,1630.0
2020-11-09,0.467501,0.467501,0.467501,0.467501,350.0,0.0,1.0,0.467501,0.467501,0.467501,0.467501,350.0
2020-11-10,0.45,0.45,0.4,0.4,1400.0,0.0,1.0,0.45,0.45,0.4,0.4,1400.0
2020-11-11,0.4,0.4,0.35,0.35,37672.0,0.0,1.0,0.4,0.4,0.35,0.35,37672.0
2020-11-12,0.3701,0.4,0.37,0.3701,60200.0,0.0,1.0,0.3701,0.4,0.37,0.3701,60200.0
2020-11-13,0.37,0.3701,0.37,0.3701,1576.0,0.0,1.0,0.37,0.3701,0.37,0.3701,1576.0
2020-11-16,0.3501,0.48,0.3501,0.48,16290.0,0.0,1.0,0.3501,0.48,0.3501,0.48,16290.0
2020-11-17,0.48,1.19,0.39,0.4255,125525.0,0.0,1.0,0.48,1.19,0.39,0.4255,125525.0
2020-11-18,0.4799,0.55,0.43,0.43,67405.0,0.0,1.0,0.4799,0.55,0.43,0.43,67405.0
2020-11-19,0.44,0.4914,0.44,0.49,10368.0,0.0,1.0,0.44,0.4914,0.44,0.49,10368.0
2020-11-20,0.5,0.5,0.45,0.5,93552.0,0.0,1.0,0.5,0.5,0.45,0.5,93552.0
2020-11-23,0.52,0.59,0.4998,0.55,37097.0,0.0,1.0,0.52,0.59,0.4998,0.55,37097.0
2020-11-24,0.55,0.57,0.5,0.51,43603.0,0.0,1.0,0.55,0.57,0.5,0.51,43603.0
2020-11-25,0.51,0.56,0.5,0.54,38474.0,0.0,1.0,0.51,0.56,0.5,0.54,38474.0
2020-11-27,0.55,0.6093,0.55,0.5701,19622.0,0.0,1.0,0.55,0.6093,0.55,0.5701,19622.0
2020-11-30,0.6,0.7,0.51,0.51,47090.0,0.0,1.0,0.6,0.7,0.51,0.51,47090.0
2020-12-01,0.5601,0.59,0.51,0.52,93505.0,0.0,1.0,0.5601,0.59,0.51,0.52,93505.0
2020-12-02,0.52,0.66,0.5,0.58005,41566.0,0.0,1.0,0.52,0.66,0.5,0.58005,41566.0
2020-12-03,0.6,0.6001,0.58,0.58,8372.0,0.0,1.0,0.6,0.6001,0.58,0.58,8372.0
2020-12-04,0.6,0.744999,0.59,0.672,65854.0,0.0,1.0,0.6,0.744999,0.59,0.672,65854.0
2020-12-07,0.83,0.83,0.6721,0.6721,36168.0,0.0,1.0,0.83,0.83,0.6721,0.6721,36168.0
2020-12-08,0.7,0.99,0.672,0.73,26232.0,0.0,1.0,0.7,0.99,0.672,0.73,26232.0
2020-12-09,0.8,0.85,0.65,0.764,25357.0,0.0,1.0,0.8,0.85,0.65,0.764,25357.0
2020-12-10,0.819899,0.85,0.74,0.79,227323.0,0.0,1.0,0.819899,0.85,0.74,0.79,227323.0
2020-12-11,0.84,0.8975,0.827001,0.866501,19002.0,0.0,1.0,0.84,0.8975,0.827001,0.866501,19002.0
2020-12-14,0.88,0.9699,0.88,0.95,21910.0,0.0,1.0,0.88,0.9699,0.88,0.95,21910.0
2020-12-15,1.1,1.1,0.88,0.95,154075.0,0.0,1.0,1.1,1.1,0.88,0.95,154075.0
2020-12-16,0.91,1.07,0.91,0.99,75646.0,0.0,1.0,0.91,1.07,0.91,0.99,75646.0
2020-12-17,0.9865,1.03,0.92,0.92,21787.0,0.0,1.0,0.9865,1.03,0.92,0.92,21787.0
2020-12-18,0.9,0.9,0.8,0.85,52225.0,0.0,1.0,0.9,0.9,0.8,0.85,52225.0
2020-12-21,0.9,0.9,0.848325,0.85,44311.0,0.0,1.0,0.9,0.9,0.848325,0.85,44311.0
2020-12-22,1.0,1.04,0.843,1.009,462260.0,0.0,1.0,1.0,1.04,0.843,1.009,462260.0
2020-12-23,1.45,1.49,1.02,1.34,740655.0,0.0,1.0,1.45,1.49,1.02,1.34,740655.0
2020-12-24,1.4,1.46,1.1,1.3,161104.0,0.0,1.0,1.4,1.46,1.1,1.3,161104.0
2020-12-28,1.38,1.38,1.12,1.1643,190396.0,0.0,1.0,1.38,1.38,1.12,1.1643,190396.0
2020-12-29,1.19,1.1971,1.03,1.15,160232.0,0.0,1.0,1.19,1.1971,1.03,1.15,160232.0
2020-12-30,1.1,1.15,1.0301,1.07,80759.0,0.0,1.0,1.1,1.15,1.0301,1.07,80759.0
2020-12-31,1.07,1.081,0.95,1.05,156385.0,0.0,1.0,1.07,1.081,0.95,1.05,156385.0
