Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.88,3.39,2.82,3.03,103824.0,0.0,1.0,2.88,3.39,2.82,3.03,103824.0
2020-01-03,3.05,3.2,2.9601,3.1,36340.0,0.0,1.0,3.05,3.2,2.9601,3.1,36340.0
2020-01-06,3.17,3.19,3.0058,3.03,19081.0,0.0,1.0,3.17,3.19,3.0058,3.03,19081.0
2020-01-07,2.9701,3.1774,2.97,3.13,16948.0,0.0,1.0,2.9701,3.1774,2.97,3.13,16948.0
2020-01-08,3.18,3.18,3.0,3.01,31292.0,0.0,1.0,3.18,3.18,3.0,3.01,31292.0
2020-01-09,3.05,3.0799,2.9,2.99,30063.0,0.0,1.0,3.05,3.0799,2.9,2.99,30063.0
2020-01-10,2.89,3.02,2.823,2.95,10314.0,0.0,1.0,2.89,3.02,2.823,2.95,10314.0
2020-01-13,2.9691,3.03,2.9,3.01,12338.0,0.0,1.0,2.9691,3.03,2.9,3.01,12338.0
2020-01-14,2.9633,3.01,2.8542,3.0,8200.0,0.0,1.0,2.9633,3.01,2.8542,3.0,8200.0
2020-01-15,2.89,3.25,2.8613,3.19,71705.0,0.0,1.0,2.89,3.25,2.8613,3.19,71705.0
2020-01-16,3.37,4.87,3.1165,3.92,1043517.0,0.0,1.0,3.37,4.87,3.1165,3.92,1043517.0
2020-01-17,3.74,3.92,3.371,3.7,228331.0,0.0,1.0,3.74,3.92,3.371,3.7,228331.0
2020-01-21,3.53,3.54,3.32,3.49,53135.0,0.0,1.0,3.53,3.54,3.32,3.49,53135.0
2020-01-22,3.49,3.49,3.35,3.38,13426.0,0.0,1.0,3.49,3.49,3.35,3.38,13426.0
2020-01-23,3.57,4.1,3.27,3.37,367802.0,0.0,1.0,3.57,4.1,3.27,3.37,367802.0
2020-01-24,3.35,3.3871,3.0,3.29,107328.0,0.0,1.0,3.35,3.3871,3.0,3.29,107328.0
2020-01-27,3.11,3.25,3.0065,3.15,34362.0,0.0,1.0,3.11,3.25,3.0065,3.15,34362.0
2020-01-28,3.4,3.4,3.06,3.17,73857.0,0.0,1.0,3.4,3.4,3.06,3.17,73857.0
2020-01-29,3.27,3.27,3.03,3.16,36108.0,0.0,1.0,3.27,3.27,3.03,3.16,36108.0
2020-01-30,3.08,3.2,3.05,3.11,19779.0,0.0,1.0,3.08,3.2,3.05,3.11,19779.0
2020-01-31,3.0511,3.1,3.0,3.039,29345.0,0.0,1.0,3.0511,3.1,3.0,3.039,29345.0
2020-02-03,3.05,3.22,3.0,3.22,22211.0,0.0,1.0,3.05,3.22,3.0,3.22,22211.0
2020-02-04,3.12,3.34,3.1049,3.32,19378.0,0.0,1.0,3.12,3.34,3.1049,3.32,19378.0
2020-02-05,3.22,3.32,3.11,3.13,4285.0,0.0,1.0,3.22,3.32,3.11,3.13,4285.0
2020-02-06,6.38,6.4,3.92,4.12,7779683.0,0.0,1.0,6.38,6.4,3.92,4.12,7779683.0
2020-02-07,3.8,3.906,3.53,3.85,419035.0,0.0,1.0,3.8,3.906,3.53,3.85,419035.0
2020-02-10,3.82,3.82,3.4353,3.55,102737.0,0.0,1.0,3.82,3.82,3.4353,3.55,102737.0
2020-02-11,3.41,3.8562,3.4,3.51,180847.0,0.0,1.0,3.41,3.8562,3.4,3.51,180847.0
2020-02-12,3.49,3.6999,3.43,3.5161,57158.0,0.0,1.0,3.49,3.6999,3.43,3.5161,57158.0
2020-02-13,3.45,3.76,3.32,3.65,104694.0,0.0,1.0,3.45,3.76,3.32,3.65,104694.0
2020-02-14,3.5839,3.65,3.5571,3.59,16113.0,0.0,1.0,3.5839,3.65,3.5571,3.59,16113.0
2020-02-18,3.53,3.59,3.45,3.59,49696.0,0.0,1.0,3.53,3.59,3.45,3.59,49696.0
2020-02-19,3.69,3.69,3.36,3.57,37518.0,0.0,1.0,3.69,3.69,3.36,3.57,37518.0
2020-02-20,3.46,3.58,3.45,3.5,18113.0,0.0,1.0,3.46,3.58,3.45,3.5,18113.0
2020-02-21,3.5,3.7931,3.29,3.7,71367.0,0.0,1.0,3.5,3.7931,3.29,3.7,71367.0
2020-02-24,3.4933,3.65,3.42,3.55,10289.0,0.0,1.0,3.4933,3.65,3.42,3.55,10289.0
2020-02-25,3.47,3.6847,3.47,3.52,30396.0,0.0,1.0,3.47,3.6847,3.47,3.52,30396.0
2020-02-26,3.52,3.62,3.49,3.54,20415.0,0.0,1.0,3.52,3.62,3.49,3.54,20415.0
2020-02-27,3.4243,3.5632,3.36,3.55,42396.0,0.0,1.0,3.4243,3.5632,3.36,3.55,42396.0
2020-02-28,3.43,3.58,3.42,3.5,17706.0,0.0,1.0,3.43,3.58,3.42,3.5,17706.0
2020-03-02,3.45,3.7962,3.42,3.7303,39404.0,0.0,1.0,3.45,3.7962,3.42,3.7303,39404.0
2020-03-03,3.73,3.75,3.56,3.7,16026.0,0.0,1.0,3.73,3.75,3.56,3.7,16026.0
2020-03-04,3.61,4.04,3.6,3.9,53442.0,0.0,1.0,3.61,4.04,3.6,3.9,53442.0
2020-03-05,3.895,3.9318,3.78,3.78,15212.0,0.0,1.0,3.895,3.9318,3.78,3.78,15212.0
2020-03-06,3.72,3.8435,3.601,3.7965,25664.0,0.0,1.0,3.72,3.8435,3.601,3.7965,25664.0
2020-03-09,3.6,3.7271,3.4601,3.53,28685.0,0.0,1.0,3.6,3.7271,3.4601,3.53,28685.0
2020-03-10,3.5892,3.69,3.3,3.68,33416.0,0.0,1.0,3.5892,3.69,3.3,3.68,33416.0
2020-03-11,3.5252,3.5701,3.3779,3.56,8609.0,0.0,1.0,3.5252,3.5701,3.3779,3.56,8609.0
2020-03-12,3.3,3.48,3.23,3.44,38613.0,0.0,1.0,3.3,3.48,3.23,3.44,38613.0
2020-03-13,3.4715,3.578,3.24,3.285,10687.0,0.0,1.0,3.4715,3.578,3.24,3.285,10687.0
2020-03-16,3.28,3.28,2.77,2.77,33487.0,0.0,1.0,3.28,3.28,2.77,2.77,33487.0
2020-03-17,3.35,3.35,2.54,2.63,16013.0,0.0,1.0,3.35,3.35,2.54,2.63,16013.0
2020-03-18,2.52,2.52,2.05,2.05,10014.0,0.0,1.0,2.52,2.52,2.05,2.05,10014.0
2020-03-19,2.06,2.38,2.0101,2.24,9405.0,0.0,1.0,2.06,2.38,2.0101,2.24,9405.0
2020-03-20,2.3415,2.5799,2.3415,2.35,10374.0,0.0,1.0,2.3415,2.5799,2.3415,2.35,10374.0
2020-03-23,2.49,2.49,2.07,2.13,3876.0,0.0,1.0,2.49,2.49,2.07,2.13,3876.0
2020-03-24,2.11,2.5,2.11,2.31,51213.0,0.0,1.0,2.11,2.5,2.11,2.31,51213.0
2020-03-25,2.39,2.4,2.1401,2.2499,18270.0,0.0,1.0,2.39,2.4,2.1401,2.2499,18270.0
