Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.78,0.78,0.78,0.78,192.0,0.0,1.0,0.78,0.78,0.78,0.78,192.0
2020-01-03,0.78,0.78,0.78,0.78,0.0,0.0,1.0,0.78,0.78,0.78,0.78,0.0
2020-01-06,0.75,0.75,0.75,0.75,56500.0,0.0,1.0,0.75,0.75,0.75,0.75,56500.0
2020-01-07,0.82,0.82,0.82,0.82,1078.0,0.0,1.0,0.82,0.82,0.82,0.82,1078.0
2020-01-08,0.82,0.82,0.82,0.82,18922.0,0.0,1.0,0.82,0.82,0.82,0.82,18922.0
2020-01-09,0.82,0.82,0.82,0.82,42.0,0.0,1.0,0.82,0.82,0.82,0.82,42.0
2020-01-10,0.85,0.85,0.83,0.83,125100.0,0.0,1.0,0.85,0.85,0.83,0.83,125100.0
2020-01-13,0.83,0.83,0.83,0.83,0.0,0.0,1.0,0.83,0.83,0.83,0.83,0.0
2020-01-14,0.86,0.9387,0.86,0.9,200700.0,0.0,1.0,0.86,0.9387,0.86,0.9,200700.0
2020-01-15,0.91,0.91,0.91,0.91,175000.0,0.0,1.0,0.91,0.91,0.91,0.91,175000.0
2020-01-16,0.9,0.9,0.9,0.9,50300.0,0.0,1.0,0.9,0.9,0.9,0.9,50300.0
2020-01-17,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
2020-01-21,0.91,0.9598,0.9,0.9598,155842.0,0.0,1.0,0.91,0.9598,0.9,0.9598,155842.0
2020-01-22,0.9598,0.9598,0.9598,0.9598,48.0,0.0,1.0,0.9598,0.9598,0.9598,0.9598,48.0
2020-01-23,0.9598,0.9598,0.9598,0.9598,0.0,0.0,1.0,0.9598,0.9598,0.9598,0.9598,0.0
2020-01-24,0.9598,0.9598,0.9598,0.9598,0.0,0.0,1.0,0.9598,0.9598,0.9598,0.9598,0.0
2020-01-27,0.9598,0.9598,0.9598,0.9598,694.0,0.0,1.0,0.9598,0.9598,0.9598,0.9598,694.0
2020-01-28,0.9598,0.9598,0.9598,0.9598,1.0,0.0,1.0,0.9598,0.9598,0.9598,0.9598,1.0
2020-01-29,0.98,1.0,0.92,0.9598,91789.0,0.0,1.0,0.98,1.0,0.92,0.9598,91789.0
2020-01-30,0.9598,0.9598,0.9598,0.9598,0.0,0.0,1.0,0.9598,0.9598,0.9598,0.9598,0.0
2020-01-31,0.9598,0.9598,0.9598,0.9598,0.0,0.0,1.0,0.9598,0.9598,0.9598,0.9598,0.0
2020-02-03,0.9598,0.9598,0.9598,0.9598,0.0,0.0,1.0,0.9598,0.9598,0.9598,0.9598,0.0
2020-02-04,1.0,1.0,1.0,1.0,300.0,0.0,1.0,1.0,1.0,1.0,1.0,300.0
2020-02-05,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2020-02-06,0.95,0.9998,0.95,0.9998,50100.0,0.0,1.0,0.95,0.9998,0.95,0.9998,50100.0
2020-02-07,0.9998,0.9998,0.9998,0.9998,0.0,0.0,1.0,0.9998,0.9998,0.9998,0.9998,0.0
2020-02-10,0.9998,0.9998,0.9998,0.9998,0.0,0.0,1.0,0.9998,0.9998,0.9998,0.9998,0.0
2020-02-11,0.9599,0.9599,0.95,0.95,200.0,0.0,1.0,0.9599,0.9599,0.95,0.95,200.0
2020-02-12,1.0,1.0,0.95,0.95,100100.0,0.0,1.0,1.0,1.0,0.95,0.95,100100.0
2020-02-13,0.95,0.95,0.95,0.95,0.0,0.0,1.0,0.95,0.95,0.95,0.95,0.0
2020-02-14,0.96,0.98,0.96,0.98,14800.0,0.0,1.0,0.96,0.98,0.96,0.98,14800.0
2020-02-18,0.98,0.98,0.98,0.98,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0
2020-02-19,0.98,0.98,0.98,0.98,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0
