Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.2119,3.26,3.13,3.19,9190.0,0.0,1.0,3.2119,3.26,3.13,3.19,9190.0
2020-01-03,3.1607,3.1607,3.14,3.1403,2036.0,0.0,1.0,3.1607,3.1607,3.14,3.1403,2036.0
2020-01-06,3.14,3.1535,3.14,3.15,4527.0,0.0,1.0,3.14,3.1535,3.14,3.15,4527.0
2020-01-07,3.1129,3.1376,3.1129,3.1376,1045.0,0.0,1.0,3.1129,3.1376,3.1129,3.1376,1045.0
2020-01-08,3.14,3.14,3.14,3.14,287.0,0.0,1.0,3.14,3.14,3.14,3.14,287.0
2020-01-09,3.15,3.15,3.0802,3.09,17483.0,0.0,1.0,3.15,3.15,3.0802,3.09,17483.0
2020-01-10,3.11,3.11,3.07,3.09,35643.0,0.0,1.0,3.11,3.11,3.07,3.09,35643.0
2020-01-13,3.07,3.07,3.06,3.06,8795.0,0.0,1.0,3.07,3.07,3.06,3.06,8795.0
2020-01-14,3.055,3.09,3.05,3.05,7910.0,0.0,1.0,3.055,3.09,3.05,3.05,7910.0
2020-01-15,3.06,3.06,3.04,3.04,5289.0,0.0,1.0,3.06,3.06,3.04,3.04,5289.0
2020-01-16,3.11,3.14,3.06,3.06,7921.0,0.0,1.0,3.11,3.14,3.06,3.06,7921.0
2020-01-17,3.06,3.06,3.0531,3.06,3129.0,0.0,1.0,3.06,3.06,3.0531,3.06,3129.0
2020-01-21,3.02,3.05,3.02,3.03,4946.0,0.0,1.0,3.02,3.05,3.02,3.03,4946.0
2020-01-22,3.0404,3.05,3.02,3.05,17059.0,0.0,1.0,3.0404,3.05,3.02,3.05,17059.0
2020-01-23,3.0767,3.0767,3.0606,3.07,5855.0,0.0,1.0,3.0767,3.0767,3.0606,3.07,5855.0
2020-01-24,3.07,3.07,3.07,3.07,170.0,0.0,1.0,3.07,3.07,3.07,3.07,170.0
2020-01-27,3.0399,3.0468,3.02,3.03,6757.0,0.0,1.0,3.0399,3.0468,3.02,3.03,6757.0
2020-01-28,3.03,3.0338,3.03,3.03,458.0,0.0,1.0,3.03,3.0338,3.03,3.03,458.0
2020-01-29,3.0508,3.0508,3.02,3.02,2580.0,0.0,1.0,3.0508,3.0508,3.02,3.02,2580.0
2020-01-30,3.03,3.0461,3.02,3.0461,11120.0,0.0,1.0,3.03,3.0461,3.02,3.0461,11120.0
2020-01-31,3.02,3.03,3.01,3.02,12495.0,0.0,1.0,3.02,3.03,3.01,3.02,12495.0
2020-02-03,3.0,3.02,3.0,3.02,8872.0,0.0,1.0,3.0,3.02,3.0,3.02,8872.0
2020-02-04,3.03,3.03,3.02,3.02,1632.0,0.0,1.0,3.03,3.03,3.02,3.02,1632.0
2020-02-05,3.02,3.0399,3.02,3.0399,1110.0,0.0,1.0,3.02,3.0399,3.02,3.0399,1110.0
2020-02-06,3.02,3.03,3.02,3.02,2860.0,0.0,1.0,3.02,3.03,3.02,3.02,2860.0
2020-02-07,3.02,3.0299,3.02,3.02,2866.0,0.0,1.0,3.02,3.0299,3.02,3.02,2866.0
2020-02-10,3.02,3.03,3.02,3.0299,1324.0,0.0,1.0,3.02,3.03,3.02,3.0299,1324.0
2020-02-11,3.0202,3.0299,3.02,3.02,1342.0,0.0,1.0,3.0202,3.0299,3.02,3.02,1342.0
2020-02-12,3.0201,3.03,3.02,3.025,14333.0,0.0,1.0,3.0201,3.03,3.02,3.025,14333.0
2020-02-13,3.03,3.0334,3.03,3.03,1131.0,0.0,1.0,3.03,3.0334,3.03,3.03,1131.0
2020-02-14,3.04,3.05,3.04,3.04,761.0,0.0,1.0,3.04,3.05,3.04,3.04,761.0
2020-02-18,3.03,3.0372,3.0208,3.03,2816.0,0.0,1.0,3.03,3.0372,3.0208,3.03,2816.0
