Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.42,1.55,1.411,1.55,35147.0,0.0,1.0,1.42,1.55,1.411,1.55,35147.0
2020-01-03,1.49,1.53,1.462,1.48,39683.0,0.0,1.0,1.49,1.53,1.462,1.48,39683.0
2020-01-06,1.44,1.49,1.42,1.49,26516.0,0.0,1.0,1.44,1.49,1.42,1.49,26516.0
2020-01-07,1.45,1.49,1.45,1.46,20130.0,0.0,1.0,1.45,1.49,1.45,1.46,20130.0
2020-01-08,1.46,1.53,1.46,1.5075,38981.0,0.0,1.0,1.46,1.53,1.46,1.5075,38981.0
2020-01-09,1.52,1.54,1.5002,1.53,27138.0,0.0,1.0,1.52,1.54,1.5002,1.53,27138.0
2020-01-10,1.53,1.6,1.53,1.59,59053.0,0.0,1.0,1.53,1.6,1.53,1.59,59053.0
2020-01-13,1.59,1.61,1.57,1.6,191942.0,0.0,1.0,1.59,1.61,1.57,1.6,191942.0
2020-01-14,1.66,1.84,1.58,1.67,1044751.0,0.0,1.0,1.66,1.84,1.58,1.67,1044751.0
2020-01-15,1.65,1.73,1.6,1.65,127060.0,0.0,1.0,1.65,1.73,1.6,1.65,127060.0
2020-01-16,1.64,1.67,1.57,1.58,101129.0,0.0,1.0,1.64,1.67,1.57,1.58,101129.0
2020-01-17,1.58,1.67,1.58,1.66,52506.0,0.0,1.0,1.58,1.67,1.58,1.66,52506.0
2020-01-21,1.62,1.6582,1.58,1.6066,35467.0,0.0,1.0,1.62,1.6582,1.58,1.6066,35467.0
2020-01-22,1.63,1.69,1.61,1.68,39327.0,0.0,1.0,1.63,1.69,1.61,1.68,39327.0
2020-01-23,1.63,1.8,1.63,1.79,84060.0,0.0,1.0,1.63,1.8,1.63,1.79,84060.0
2020-01-24,1.79,1.83,1.64,1.66,63717.0,0.0,1.0,1.79,1.83,1.64,1.66,63717.0
2020-01-27,1.62,1.6313,1.5,1.51,65214.0,0.0,1.0,1.62,1.6313,1.5,1.51,65214.0
2020-01-28,1.51,1.5563,1.51,1.515,21703.0,0.0,1.0,1.51,1.5563,1.51,1.515,21703.0
2020-01-29,1.49,1.54,1.48,1.5083,30506.0,0.0,1.0,1.49,1.54,1.48,1.5083,30506.0
2020-01-30,1.46,1.4797,1.4,1.4096,53226.0,0.0,1.0,1.46,1.4797,1.4,1.4096,53226.0
2020-01-31,1.4,1.45,1.4,1.4268,34881.0,0.0,1.0,1.4,1.45,1.4,1.4268,34881.0
2020-02-03,1.43,1.53,1.42,1.42,70083.0,0.0,1.0,1.43,1.53,1.42,1.42,70083.0
2020-02-04,1.42,1.46,1.42,1.445,14224.0,0.0,1.0,1.42,1.46,1.42,1.445,14224.0
2020-02-05,1.44,1.4619,1.44,1.45,5595.0,0.0,1.0,1.44,1.4619,1.44,1.45,5595.0
2020-02-06,1.45,1.45,1.41,1.41,10457.0,0.0,1.0,1.45,1.45,1.41,1.41,10457.0
2020-02-07,1.41,1.44,1.4,1.42,46417.0,0.0,1.0,1.41,1.44,1.4,1.42,46417.0
2020-02-10,1.41,1.42,1.4094,1.41,1108.0,0.0,1.0,1.41,1.42,1.4094,1.41,1108.0
2020-02-11,1.43,1.43,1.3879,1.3879,21649.0,0.0,1.0,1.43,1.43,1.3879,1.3879,21649.0
2020-02-12,1.4,1.4185,1.36,1.4185,31489.0,0.0,1.0,1.4,1.4185,1.36,1.4185,31489.0
2020-02-13,1.39,1.42,1.35,1.35,9929.0,0.0,1.0,1.39,1.42,1.35,1.35,9929.0
2020-02-14,1.38,1.39,1.3,1.33,36836.0,0.0,1.0,1.38,1.39,1.3,1.33,36836.0
2020-02-18,1.3,1.32,1.3,1.3012,18350.0,0.0,1.0,1.3,1.32,1.3,1.3012,18350.0
2020-02-19,1.29,1.31,1.29,1.3,5344.0,0.0,1.0,1.29,1.31,1.29,1.3,5344.0
2020-02-20,1.28,1.34,1.26,1.26,168593.0,0.0,1.0,1.28,1.34,1.26,1.26,168593.0
