Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.5,1.58,1.49,1.51,218386.0,0.0,1.0,12.0,12.64,11.92,12.08,27298.25
2020-01-03,1.49,1.56,1.49,1.51,98646.0,0.0,1.0,11.92,12.48,11.92,12.08,12330.75
2020-01-06,1.51,1.57,1.5,1.5,170813.0,0.0,1.0,12.08,12.56,12.0,12.0,21351.625
2020-01-07,1.49,1.54,1.474,1.5,148214.0,0.0,1.0,11.92,12.32,11.792,12.0,18526.75
2020-01-08,1.5,1.54,1.5,1.5,157433.0,0.0,1.0,12.0,12.32,12.0,12.0,19679.125
2020-01-09,1.46,1.53,1.46,1.5,135714.0,0.0,1.0,11.68,12.24,11.68,12.0,16964.25
2020-01-10,1.5,1.51,1.5,1.5,104182.0,0.0,1.0,12.0,12.08,12.0,12.0,13022.75
2020-01-13,1.52,1.58,1.5,1.5,173626.0,0.0,1.0,12.16,12.64,12.0,12.0,21703.25
2020-01-14,1.55,1.69,1.54,1.6,320284.0,0.0,1.0,12.4,13.52,12.32,12.8,40035.5
2020-01-15,1.63,1.69,1.48,1.5,256673.0,0.0,1.0,13.04,13.52,11.84,12.0,32084.125
2020-01-16,1.54,1.59,1.52,1.56,156020.0,0.0,1.0,12.32,12.72,12.16,12.48,19502.5
2020-01-17,1.54,1.59,1.52,1.55,163923.0,0.0,1.0,12.32,12.72,12.16,12.4,20490.375
2020-01-21,1.5,1.54,1.48,1.49,158877.0,0.0,1.0,12.0,12.32,11.84,11.92,19859.625
2020-01-22,1.54,1.54,1.48,1.48,149730.0,0.0,1.0,12.32,12.32,11.84,11.84,18716.25
2020-01-23,1.45,1.48,1.32,1.32,151427.0,0.0,1.0,11.6,11.84,10.56,10.56,18928.375
2020-01-24,1.35,1.35,1.27,1.29,103508.0,0.0,1.0,10.8,10.8,10.16,10.32,12938.5
2020-01-27,1.26,1.26,1.16,1.2,135188.0,0.0,1.0,10.08,10.08,9.28,9.6,16898.5
2020-01-28,1.19,1.22,1.14,1.14,89760.0,0.0,1.0,9.52,9.76,9.12,9.12,11220.0
2020-01-29,1.11,1.2,1.11,1.17,131176.0,0.0,1.0,8.88,9.6,8.88,9.36,16397.0
2020-01-30,1.13,1.19,1.11,1.16,108590.0,0.0,1.0,9.04,9.52,8.88,9.28,13573.75
2020-01-31,1.19,1.21,1.05,1.1,102952.0,0.0,1.0,9.52,9.68,8.4,8.8,12869.0
2020-02-03,1.11,1.2,1.05,1.09,142825.0,0.0,1.0,8.88,9.6,8.4,8.72,17853.125
2020-02-04,1.12,1.19,1.105,1.16,116916.0,0.0,1.0,8.96,9.52,8.84,9.28,14614.5
2020-02-05,1.2,1.28,1.1,1.25,189873.0,0.0,1.0,9.6,10.24,8.8,10.0,23734.125
2020-02-06,1.25,1.25,1.16,1.22,135658.0,0.0,1.0,10.0,10.0,9.28,9.76,16957.25
2020-02-07,1.2,1.22,1.1,1.2,123118.0,0.0,1.0,9.6,9.76,8.8,9.6,15389.75
2020-02-10,1.21,1.22,1.11,1.18,154597.0,0.0,1.0,9.68,9.76,8.88,9.44,19324.625
2020-02-11,1.18,1.2,1.1277,1.2,148366.0,0.0,1.0,9.44,9.6,9.0216,9.6,18545.75
2020-02-12,1.2,1.2,1.13,1.18,89015.0,0.0,1.0,9.6,9.6,9.04,9.44,11126.875
2020-02-13,1.17,1.24,1.1,1.2,82503.0,0.0,1.0,9.36,9.92,8.8,9.6,10312.875
2020-02-14,1.2,1.22,1.14,1.17,98100.0,0.0,1.0,9.6,9.76,9.12,9.36,12262.5
2020-02-18,1.18,1.19,1.125,1.14,108024.0,0.0,1.0,9.44,9.52,9.0,9.12,13503.0
2020-02-19,1.15,1.17,1.11,1.14,103962.0,0.0,1.0,9.2,9.36,8.88,9.12,12995.25
2020-02-20,1.11,1.2,1.11,1.18,292259.0,0.0,1.0,8.88,9.6,8.88,9.44,36532.375
2020-02-21,1.17,1.2,1.13,1.16,57544.0,0.0,1.0,9.36,9.6,9.04,9.28,7193.0
2020-02-24,1.15,1.15,1.09,1.15,96762.0,0.0,1.0,9.2,9.2,8.72,9.2,12095.25
2020-02-25,1.15,1.16,1.05,1.11,120473.0,0.0,1.0,9.2,9.28,8.4,8.88,15059.125
2020-02-26,1.14,1.15,1.02,1.03,112632.0,0.0,1.0,9.12,9.2,8.16,8.24,14079.0
2020-02-27,1.06,1.12,1.05,1.07,128810.0,0.0,1.0,8.48,8.96,8.4,8.56,16101.25
2020-02-28,1.08,1.14,1.0,1.0,248684.0,0.0,1.0,8.64,9.12,8.0,8.0,31085.5
2020-03-02,1.02,1.16,1.02,1.15,111013.0,0.0,1.0,8.16,9.28,8.16,9.2,13876.625
2020-03-03,1.13,1.16,1.08,1.13,104133.0,0.0,1.0,9.04,9.28,8.64,9.04,13016.625
2020-03-04,1.11,1.16,1.09,1.16,91261.0,0.0,1.0,8.88,9.28,8.72,9.28,11407.625
2020-03-05,1.14,1.15,1.1,1.13,110370.0,0.0,1.0,9.12,9.2,8.8,9.04,13796.25
2020-03-06,1.13,1.15,1.1,1.13,66437.0,0.0,1.0,9.04,9.2,8.8,9.04,8304.625
2020-03-09,1.09,1.13,1.01,1.12,80482.0,0.0,1.0,8.72,9.04,8.08,8.96,10060.25
2020-03-10,1.14,1.14,1.0799,1.12,69464.0,0.0,1.0,9.12,9.12,8.6392,8.96,8683.0
2020-03-11,1.11,1.12,1.03,1.07,95934.0,0.0,1.0,8.88,8.96,8.24,8.56,11991.75
2020-03-12,1.09,1.11,0.9214,0.94,115956.0,0.0,1.0,8.72,8.88,7.3712,7.52,14494.5
2020-03-13,0.968,1.0,0.88,0.9254,96438.0,0.0,1.0,7.744,8.0,7.04,7.4032,12054.75
2020-03-16,0.8514,1.01,0.7169,0.96,51050.0,0.0,1.0,6.8112,8.08,5.7352,7.68,6381.25
2020-03-17,0.9599,1.05,0.905,1.0,73670.0,0.0,1.0,7.6792,8.4,7.24,8.0,9208.75
2020-03-18,1.01,1.1,0.91,1.05,89724.0,0.0,1.0,8.08,8.8,7.28,8.4,11215.5
2020-03-19,1.03,1.06,0.905,1.0,93847.0,0.0,1.0,8.24,8.48,7.24,8.0,11730.875
2020-03-20,0.96,1.03,0.96,1.0,28047.0,0.0,1.0,7.68,8.24,7.68,8.0,3505.875
2020-03-23,0.993,1.0,0.9,0.9101,45483.0,0.0,1.0,7.944,8.0,7.2,7.2808,5685.375
2020-03-24,0.9245,0.999,0.904,0.96,88300.0,0.0,1.0,7.396,7.992,7.232,7.68,11037.5
2020-03-25,0.93,1.06,0.9101,0.93,30431.0,0.0,1.0,7.44,8.48,7.2808,7.44,3803.875
2020-03-26,0.8985,0.91,0.769,0.88,111419.0,0.0,1.0,7.188,7.28,6.152,7.04,13927.375
2020-03-27,0.7921,0.93,0.7921,0.889,113327.0,0.0,1.0,6.3368,7.44,6.3368,7.112,14165.875
2020-03-30,0.85,0.9,0.756,0.9,114897.0,0.0,1.0,6.8,7.2,6.048,7.2,14362.125
2020-03-31,0.8368,0.9,0.82,0.84,123038.0,0.0,1.0,6.6944,7.2,6.56,6.72,15379.75
2020-04-01,0.88,0.88,0.752,0.83,108347.0,0.0,1.0,7.04,7.04,6.016,6.64,13543.375
2020-04-02,0.81,0.86,0.79,0.8,106914.0,0.0,1.0,6.48,6.88,6.32,6.4,13364.25
2020-04-03,0.8105,0.88,0.7523,0.8,114549.0,0.0,1.0,6.484,7.04,6.0184,6.4,14318.625
2020-04-06,0.83,0.8498,0.786,0.8,127438.0,0.0,1.0,6.64,6.7984,6.288,6.4,15929.75
2020-04-07,0.8498,0.8498,0.8136,0.82,108629.0,0.0,1.0,6.7984,6.7984,6.5088,6.56,13578.625
2020-04-08,0.8546,0.88,0.662,0.8,80857.0,0.0,1.0,6.8368,7.04,5.296,6.4,10107.125
2020-04-09,0.84,0.876,0.6,0.6693,198031.0,0.0,1.0,6.72,7.008,4.8,5.3544,24753.875
2020-04-13,0.6997,0.8135,0.67,0.711,242050.0,0.0,1.0,5.5976,6.508,5.36,5.688,30256.25
2020-04-14,0.7,0.7636,0.7,0.73,130810.0,0.0,1.0,5.6,6.1088,5.6,5.84,16351.25
2020-04-15,0.6898,0.7207,0.62,0.6668,244548.0,0.0,1.0,5.5184,5.7656,4.96,5.3344,30568.5
2020-04-16,0.68,0.75,0.6334,0.73,214359.0,0.0,1.0,5.44,6.0,5.0672,5.84,26794.875
2020-04-17,0.7053,0.74,0.65,0.6801,187961.0,0.0,1.0,5.6424,5.92,5.2,5.4408,23495.125
2020-04-20,0.69,0.725,0.69,0.718,130789.0,0.0,1.0,5.52,5.8,5.52,5.744,16348.625
2020-04-21,0.7395,0.7523,0.6937,0.72,101788.0,0.0,1.0,5.916,6.0184,5.5496,5.76,12723.5
