Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-08-12,5.0,5.05,3.83,4.15,1208461.0,0.0,1.0,5.0,5.05,3.83,4.15,1208461.0
2020-08-13,4.25,4.74,3.96,4.5,872505.0,0.0,1.0,4.25,4.74,3.96,4.5,872505.0
2020-08-14,4.5,4.5,4.06,4.32,390939.0,0.0,1.0,4.5,4.5,4.06,4.32,390939.0
2020-08-17,4.4,4.5899,4.381,4.46,247078.0,0.0,1.0,4.4,4.5899,4.381,4.46,247078.0
2020-08-18,4.55,4.7,4.37,4.41,298354.0,0.0,1.0,4.55,4.7,4.37,4.41,298354.0
2020-08-19,4.41,4.47,4.25,4.25,182224.0,0.0,1.0,4.41,4.47,4.25,4.25,182224.0
2020-08-20,4.26,4.43,4.25,4.32,79789.0,0.0,1.0,4.26,4.43,4.25,4.32,79789.0
2020-08-21,4.25,4.2801,4.2,4.23,127369.0,0.0,1.0,4.25,4.2801,4.2,4.23,127369.0
2020-08-24,4.35,4.35,4.08,4.13,169164.0,0.0,1.0,4.35,4.35,4.08,4.13,169164.0
2020-08-25,4.13,4.25,4.06,4.15,89701.0,0.0,1.0,4.13,4.25,4.06,4.15,89701.0
2020-08-26,4.15,4.2099,3.86,3.98,473355.0,0.0,1.0,4.15,4.2099,3.86,3.98,473355.0
2020-08-27,3.98,3.98,3.8,3.89,115458.0,0.0,1.0,3.98,3.98,3.8,3.89,115458.0
2020-08-28,3.96,3.96,3.66,3.69,140509.0,0.0,1.0,3.96,3.96,3.66,3.69,140509.0
2020-08-31,3.8,3.84,3.65,3.73,90981.0,0.0,1.0,3.8,3.84,3.65,3.73,90981.0
2020-09-01,3.82,5.26,3.67,4.14,8421576.0,0.0,1.0,3.82,5.26,3.67,4.14,8421576.0
2020-09-02,4.15,4.49,4.06,4.39,788758.0,0.0,1.0,4.15,4.49,4.06,4.39,788758.0
2020-09-03,4.3,4.3,4.0,4.07,561639.0,0.0,1.0,4.3,4.3,4.0,4.07,561639.0
2020-09-04,4.08,4.144,3.77,4.08,295942.0,0.0,1.0,4.08,4.144,3.77,4.08,295942.0
2020-09-08,4.02,4.49,3.95,4.0,983869.0,0.0,1.0,4.02,4.49,3.95,4.0,983869.0
2020-09-09,4.05,4.2,4.01,4.02,80940.0,0.0,1.0,4.05,4.2,4.01,4.02,80940.0
2020-09-10,4.02,4.15,3.9,3.94,213191.0,0.0,1.0,4.02,4.15,3.9,3.94,213191.0
2020-09-11,3.98,3.99,3.7,3.8,257662.0,0.0,1.0,3.98,3.99,3.7,3.8,257662.0
2020-09-14,3.94,3.96,3.8,3.88,63738.0,0.0,1.0,3.94,3.96,3.8,3.88,63738.0
2020-09-15,4.0,4.06,3.8388,3.97,199804.0,0.0,1.0,4.0,4.06,3.8388,3.97,199804.0
2020-09-16,3.94,4.4,3.91,4.1,1513257.0,0.0,1.0,3.94,4.4,3.91,4.1,1513257.0
2020-09-17,4.01,4.15,3.92,4.12,290589.0,0.0,1.0,4.01,4.15,3.92,4.12,290589.0
2020-09-18,4.08,4.21,4.0,4.0,136261.0,0.0,1.0,4.08,4.21,4.0,4.0,136261.0
2020-09-21,4.02,4.18,4.0,4.1,183734.0,0.0,1.0,4.02,4.18,4.0,4.1,183734.0
2020-09-22,4.1,4.1,3.8,3.8,217682.0,0.0,1.0,4.1,4.1,3.8,3.8,217682.0
