Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.5,1.5275,1.4932,1.51,4876.0,0.0,1.0,1.5,1.5275,1.4932,1.51,4876.0
2020-01-03,1.49,1.52,1.49,1.505,4853.0,0.0,1.0,1.49,1.52,1.49,1.505,4853.0
2020-01-06,1.49,1.68,1.49,1.53,122062.0,0.0,1.0,1.49,1.68,1.49,1.53,122062.0
2020-01-07,1.5,1.61,1.4928,1.57,13916.0,0.0,1.0,1.5,1.61,1.4928,1.57,13916.0
2020-01-08,1.4937,1.5725,1.4937,1.5725,3001.0,0.0,1.0,1.4937,1.5725,1.4937,1.5725,3001.0
2020-01-09,1.5274,1.53,1.51,1.51,1670.0,0.0,1.0,1.5274,1.53,1.51,1.51,1670.0
2020-01-10,1.5,1.5277,1.5,1.5277,5370.0,0.0,1.0,1.5,1.5277,1.5,1.5277,5370.0
2020-01-13,1.52,1.5806,1.52,1.5806,507.0,0.0,1.0,1.52,1.5806,1.52,1.5806,507.0
2020-01-14,1.52,1.5404,1.52,1.529,3236.0,0.0,1.0,1.52,1.5404,1.52,1.529,3236.0
2020-01-15,1.5395,1.59,1.5395,1.58,15723.0,0.0,1.0,1.5395,1.59,1.5395,1.58,15723.0
2020-01-16,1.54,1.5799,1.54,1.5652,5061.0,0.0,1.0,1.54,1.5799,1.54,1.5652,5061.0
2020-01-17,1.55,1.5599,1.54,1.554,2382.0,0.0,1.0,1.55,1.5599,1.54,1.554,2382.0
2020-01-21,1.52,1.5545,1.52,1.54,6408.0,0.0,1.0,1.52,1.5545,1.52,1.54,6408.0
2020-01-22,1.52,1.54,1.51,1.5103,5451.0,0.0,1.0,1.52,1.54,1.51,1.5103,5451.0
2020-01-23,1.52,1.52,1.52,1.52,504.0,0.0,1.0,1.52,1.52,1.52,1.52,504.0
2020-01-24,1.5323,1.54,1.5101,1.5101,6665.0,0.0,1.0,1.5323,1.54,1.5101,1.5101,6665.0
2020-01-27,1.5169,1.5169,1.51,1.51,3796.0,0.0,1.0,1.5169,1.5169,1.51,1.51,3796.0
