Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.96,0.98,0.96,0.98,65014.0,0.0,1.0,0.96,0.98,0.96,0.98,65014.0
2020-01-03,0.97,0.97,0.97,0.97,1000.0,0.0,1.0,0.97,0.97,0.97,0.97,1000.0
2020-01-06,0.94,0.94,0.94,0.94,5000.0,0.0,1.0,0.94,0.94,0.94,0.94,5000.0
2020-01-07,0.91,1.0,0.88,1.0,2500.0,0.0,1.0,0.91,1.0,0.88,1.0,2500.0
2020-01-08,0.95,0.95,0.95,0.95,300.0,0.0,1.0,0.95,0.95,0.95,0.95,300.0
2020-01-09,0.95,0.95,0.95,0.95,0.0,0.0,1.0,0.95,0.95,0.95,0.95,0.0
2020-01-10,0.95,0.95,0.9,0.905,72500.0,0.0,1.0,0.95,0.95,0.9,0.905,72500.0
2020-01-13,0.9,0.91,0.894349,0.9,227600.0,0.0,1.0,0.9,0.91,0.894349,0.9,227600.0
2020-01-14,0.9,0.94,0.9,0.9,53200.0,0.0,1.0,0.9,0.94,0.9,0.9,53200.0
2020-01-15,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
2020-01-16,0.81,0.81,0.8,0.8,700.0,0.0,1.0,0.81,0.81,0.8,0.8,700.0
2020-01-17,0.8,0.8,0.8,0.8,0.0,0.0,1.0,0.8,0.8,0.8,0.8,0.0
2020-01-21,0.89,0.98,0.89,0.9,1801.0,0.0,1.0,0.89,0.98,0.89,0.9,1801.0
2020-01-22,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
2020-01-23,0.95,0.95,0.87,0.886167,16301.0,0.0,1.0,0.95,0.95,0.87,0.886167,16301.0
2020-01-24,0.9,0.9,0.896009,0.899851,12600.0,0.0,1.0,0.9,0.9,0.896009,0.899851,12600.0
2020-01-27,0.89,0.89,0.885,0.89,15600.0,0.0,1.0,0.89,0.89,0.885,0.89,15600.0
2020-01-28,0.89,0.89,0.89,0.89,0.0,0.0,1.0,0.89,0.89,0.89,0.89,0.0
2020-01-29,0.9,0.9,0.88,0.9,5296.0,0.0,1.0,0.9,0.9,0.88,0.9,5296.0
2020-01-30,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
2020-01-31,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
2020-02-03,0.82,0.9,0.82,0.9,15300.0,0.0,1.0,0.82,0.9,0.82,0.9,15300.0
2020-02-04,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
2020-02-05,0.82,0.9,0.82,0.9,10575.0,0.0,1.0,0.82,0.9,0.82,0.9,10575.0
2020-02-06,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
2020-02-07,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
