Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-21,0.85,0.85,0.8,0.8,2100.0,0.0,1.0,0.85,0.85,0.8,0.8,2100.0
2020-10-22,0.8,0.8,0.75,0.8,2743.0,0.0,1.0,0.8,0.8,0.75,0.8,2743.0
2020-10-23,0.8,0.8,0.8,0.8,0.0,0.0,1.0,0.8,0.8,0.8,0.8,0.0
2020-10-26,0.8,0.8,0.8,0.8,91.0,0.0,1.0,0.8,0.8,0.8,0.8,91.0
2020-10-27,0.75,0.75,0.65,0.65,851.0,0.0,1.0,0.75,0.75,0.65,0.65,851.0
2020-10-28,0.65,0.65,0.65,0.65,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.0
2020-10-29,0.8,0.8,0.8,0.8,600.0,0.0,1.0,0.8,0.8,0.8,0.8,600.0
2020-10-30,0.8,0.8,0.8,0.8,100.0,0.0,1.0,0.8,0.8,0.8,0.8,100.0
2020-11-02,0.6365,0.6365,0.6,0.6,200.0,0.0,1.0,0.6365,0.6365,0.6,0.6,200.0
2020-11-03,0.7,0.7,0.7,0.7,5006.0,0.0,1.0,0.7,0.7,0.7,0.7,5006.0
2020-11-04,0.65,0.65,0.58,0.6,16100.0,0.0,1.0,0.65,0.65,0.58,0.6,16100.0
2020-11-05,0.7,0.7,0.65,0.65,249954.0,0.0,1.0,0.7,0.7,0.65,0.65,249954.0
2020-11-06,0.65,0.65,0.65,0.65,71870.0,0.0,1.0,0.65,0.65,0.65,0.65,71870.0
2020-11-09,0.65,0.65,0.65,0.65,110.0,0.0,1.0,0.65,0.65,0.65,0.65,110.0
2020-11-10,0.65,0.714999,0.65,0.714999,36022.0,0.0,1.0,0.65,0.714999,0.65,0.714999,36022.0
2020-11-11,0.714999,0.714999,0.714999,0.714999,0.0,0.0,1.0,0.714999,0.714999,0.714999,0.714999,0.0
2020-11-12,0.714999,0.714999,0.714999,0.714999,0.0,0.0,1.0,0.714999,0.714999,0.714999,0.714999,0.0
2020-11-13,0.7,0.74,0.7,0.74,550.0,0.0,1.0,0.7,0.74,0.7,0.74,550.0
2020-11-16,0.65,0.7,0.65,0.7,688.0,0.0,1.0,0.65,0.7,0.65,0.7,688.0
2020-11-17,0.7,0.7,0.555,0.555,306501.0,0.0,1.0,0.7,0.7,0.555,0.555,306501.0
2020-11-18,0.72,0.74,0.58,0.62,12200.0,0.0,1.0,0.72,0.74,0.58,0.62,12200.0
2020-11-19,0.65,0.7,0.6,0.67,161776.0,0.0,1.0,0.65,0.7,0.6,0.67,161776.0
2020-11-20,0.6995,0.7,0.6995,0.7,103969.0,0.0,1.0,0.6995,0.7,0.6995,0.7,103969.0
2020-11-23,0.65,0.74,0.65,0.7399,3422.0,0.0,1.0,0.65,0.74,0.65,0.7399,3422.0
2020-11-24,0.73999,0.7505,0.73999,0.75,57357.0,0.0,1.0,0.73999,0.7505,0.73999,0.75,57357.0
2020-11-25,0.75,0.75,0.742501,0.749701,6350.0,0.0,1.0,0.75,0.75,0.742501,0.749701,6350.0
2020-11-27,0.749701,0.749701,0.749701,0.749701,0.0,0.0,1.0,0.749701,0.749701,0.749701,0.749701,0.0
2020-11-30,0.78,0.8,0.78,0.8,750.0,0.0,1.0,0.78,0.8,0.78,0.8,750.0
2020-12-01,0.8802,0.99,0.85,0.964115,2650.0,0.0,1.0,0.8802,0.99,0.85,0.964115,2650.0
2020-12-02,0.949899,0.949899,0.8,0.8,6018.0,0.0,1.0,0.949899,0.949899,0.8,0.8,6018.0
2020-12-03,0.7605,0.79,0.7605,0.79,901.0,0.0,1.0,0.7605,0.79,0.7605,0.79,901.0
2020-12-04,0.82,0.94,0.82,0.9256,20009.0,0.0,1.0,0.82,0.94,0.82,0.9256,20009.0
2020-12-07,0.894751,1.2499,0.894751,0.9997,32211.0,0.0,1.0,0.894751,1.2499,0.894751,0.9997,32211.0
2020-12-08,1.1,1.2,1.0847,1.1,7999.0,0.0,1.0,1.1,1.2,1.0847,1.1,7999.0
2020-12-09,1.05,1.23,1.05,1.08,20901.0,0.0,1.0,1.05,1.23,1.05,1.08,20901.0
2020-12-10,1.15,1.15,1.05,1.05,24390.0,0.0,1.0,1.15,1.15,1.05,1.05,24390.0
2020-12-11,1.23,1.24,1.1,1.1,52902.0,0.0,1.0,1.23,1.24,1.1,1.1,52902.0
2020-12-14,1.16,1.32,1.16,1.3,112738.0,0.0,1.0,1.16,1.32,1.16,1.3,112738.0
2020-12-15,1.25,1.59,1.11,1.25,82974.0,0.0,1.0,1.25,1.59,1.11,1.25,82974.0
2020-12-16,1.19,1.2248,1.11,1.11,2751.0,0.0,1.0,1.19,1.2248,1.11,1.11,2751.0
2020-12-17,1.25,1.25,1.1999,1.2298,20493.0,0.0,1.0,1.25,1.25,1.1999,1.2298,20493.0
2020-12-18,1.2508,1.26,1.2302,1.25,4420.0,0.0,1.0,1.2508,1.26,1.2302,1.25,4420.0
2020-12-21,1.25,1.25,1.12,1.1899,12712.0,0.0,1.0,1.25,1.25,1.12,1.1899,12712.0
2020-12-22,1.47,1.47,1.19,1.1998,23889.0,0.0,1.0,1.47,1.47,1.19,1.1998,23889.0
2020-12-23,1.2,1.34,1.12,1.195,61835.0,0.0,1.0,1.2,1.34,1.12,1.195,61835.0
2020-12-24,1.22,1.325,1.11,1.2,30927.0,0.0,1.0,1.22,1.325,1.11,1.2,30927.0
2020-12-28,1.25,1.47,1.15,1.205,92378.0,0.0,1.0,1.25,1.47,1.15,1.205,92378.0
2020-12-29,1.21,1.2101,1.04,1.15,94499.0,0.0,1.0,1.21,1.2101,1.04,1.15,94499.0
2020-12-30,1.19,1.21,1.15,1.15,49183.0,0.0,1.0,1.19,1.21,1.15,1.15,49183.0
2020-12-31,1.2498,1.2498,1.1,1.17,23950.0,0.0,1.0,1.2498,1.2498,1.1,1.17,23950.0
