Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.06,4.115,3.97,3.99,22545.0,0.0,1.0,4.06,4.115,3.97,3.99,22545.0
2020-01-03,3.88,4.0821,3.88,3.99,22088.0,0.0,1.0,3.88,4.0821,3.88,3.99,22088.0
2020-01-06,3.93,4.055,3.88,4.01,15483.0,0.0,1.0,3.93,4.055,3.88,4.01,15483.0
2020-01-07,4.0,4.0124,3.71,3.75,17935.0,0.0,1.0,4.0,4.0124,3.71,3.75,17935.0
2020-01-08,3.6,3.6,3.22,3.25,62883.0,0.0,1.0,3.6,3.6,3.22,3.25,62883.0
2020-01-09,3.26,3.39,3.23,3.25,50569.0,0.0,1.0,3.26,3.39,3.23,3.25,50569.0
2020-01-10,3.25,3.28,3.02,3.06,46585.0,0.0,1.0,3.25,3.28,3.02,3.06,46585.0
2020-01-13,3.06,3.17,3.06,3.16,26755.0,0.0,1.0,3.06,3.17,3.06,3.16,26755.0
2020-01-14,3.18,3.18,3.1,3.12,34421.0,0.0,1.0,3.18,3.18,3.1,3.12,34421.0
2020-01-15,3.11,3.2,2.61,2.81,110197.0,0.0,1.0,3.11,3.2,2.61,2.81,110197.0
2020-01-16,2.92,3.0293,2.92,2.99,45810.0,0.0,1.0,2.92,3.0293,2.92,2.99,45810.0
2020-01-17,3.09,3.09,2.8,2.81,87198.0,0.0,1.0,3.09,3.09,2.8,2.81,87198.0
2020-01-21,2.81,2.87,2.61,2.62,40358.0,0.0,1.0,2.81,2.87,2.61,2.62,40358.0
2020-01-22,2.62,2.78,2.62,2.72,35019.0,0.0,1.0,2.62,2.78,2.62,2.72,35019.0
2020-01-23,2.79,2.8,2.71,2.71,29131.0,0.0,1.0,2.79,2.8,2.71,2.71,29131.0
2020-01-24,2.71,3.1,2.66,3.01,107730.0,0.0,1.0,2.71,3.1,2.66,3.01,107730.0
2020-01-27,3.02,3.17,2.81,3.1,78482.0,0.0,1.0,3.02,3.17,2.81,3.1,78482.0
2020-01-28,3.13,3.79,3.13,3.74,95256.0,0.0,1.0,3.13,3.79,3.13,3.74,95256.0
2020-01-29,3.88,4.05,3.52,3.57,78222.0,0.0,1.0,3.88,4.05,3.52,3.57,78222.0
2020-01-30,3.57,3.57,3.28,3.37,53507.0,0.0,1.0,3.57,3.57,3.28,3.37,53507.0
2020-01-31,3.37,3.6,3.37,3.49,54115.0,0.0,1.0,3.37,3.6,3.37,3.49,54115.0
2020-02-03,3.51,3.54,3.37,3.49,51065.0,0.0,1.0,3.51,3.54,3.37,3.49,51065.0
2020-02-04,3.52,3.52,3.29,3.3,25309.0,0.0,1.0,3.52,3.52,3.29,3.3,25309.0
2020-02-05,3.36,3.43,3.03,3.11,454633.0,0.0,1.0,3.36,3.43,3.03,3.11,454633.0
2020-02-06,3.14,3.21,3.04,3.19,26658.0,0.0,1.0,3.14,3.21,3.04,3.19,26658.0
2020-02-07,3.2156,3.23,3.035,3.14,33788.0,0.0,1.0,3.2156,3.23,3.035,3.14,33788.0
2020-02-10,3.11,3.2064,3.03,3.03,36190.0,0.0,1.0,3.11,3.2064,3.03,3.03,36190.0
2020-02-11,3.02,3.3,3.02,3.1,54299.0,0.0,1.0,3.02,3.3,3.02,3.1,54299.0
2020-02-12,3.09,3.37,3.09,3.35,32525.0,0.0,1.0,3.09,3.37,3.09,3.35,32525.0
2020-02-13,3.36,3.45,3.28,3.31,26874.0,0.0,1.0,3.36,3.45,3.28,3.31,26874.0
2020-02-14,3.29,3.33,3.29,3.3,21200.0,0.0,1.0,3.29,3.33,3.29,3.3,21200.0
2020-02-18,3.3,3.42,3.27,3.3,41312.0,0.0,1.0,3.3,3.42,3.27,3.3,41312.0
2020-02-19,3.3,3.34,3.2,3.2,53783.0,0.0,1.0,3.3,3.34,3.2,3.2,53783.0
2020-02-20,3.2,3.31,3.1,3.19,59860.0,0.0,1.0,3.2,3.31,3.1,3.19,59860.0
2020-02-21,3.21,3.33,3.03,3.15,68609.0,0.0,1.0,3.21,3.33,3.03,3.15,68609.0
2020-02-24,3.05,3.15,2.935,2.94,118810.0,0.0,1.0,3.05,3.15,2.935,2.94,118810.0
2020-02-25,2.88,3.05,2.88,2.96,43379.0,0.0,1.0,2.88,3.05,2.88,2.96,43379.0
2020-02-26,2.99,3.1207,2.96,3.04,49178.0,0.0,1.0,2.99,3.1207,2.96,3.04,49178.0
2020-02-27,2.99,3.04,2.9,2.95,96089.0,0.0,1.0,2.99,3.04,2.9,2.95,96089.0
2020-02-28,2.84,2.84,2.47,2.63,270692.0,0.0,1.0,2.84,2.84,2.47,2.63,270692.0
2020-03-02,2.56,2.56,2.45,2.47,47821.0,0.0,1.0,2.56,2.56,2.45,2.47,47821.0
2020-03-03,2.48,2.52,2.33,2.36,89483.0,0.0,1.0,2.48,2.52,2.33,2.36,89483.0
2020-03-04,2.37,2.6,2.37,2.59,58188.0,0.0,1.0,2.37,2.6,2.37,2.59,58188.0
2020-03-05,2.54,2.6,2.31,2.33,90383.0,0.0,1.0,2.54,2.6,2.31,2.33,90383.0
2020-03-06,2.24,2.28,2.1401,2.25,48880.0,0.0,1.0,2.24,2.28,2.1401,2.25,48880.0
2020-03-09,2.16,2.16,1.9,1.97,62887.0,0.0,1.0,2.16,2.16,1.9,1.97,62887.0
2020-03-10,1.99,2.37,1.99,2.25,55787.0,0.0,1.0,1.99,2.37,1.99,2.25,55787.0
2020-03-11,2.2,2.335,2.01,2.21,83135.0,0.0,1.0,2.2,2.335,2.01,2.21,83135.0
2020-03-12,2.06,2.8,1.99,2.41,139864.0,0.0,1.0,2.06,2.8,1.99,2.41,139864.0
2020-03-13,2.51,2.64,2.37,2.47,124610.0,0.0,1.0,2.51,2.64,2.37,2.47,124610.0
2020-03-16,2.28,2.305,1.85,1.91,141237.0,0.0,1.0,2.28,2.305,1.85,1.91,141237.0
2020-03-17,1.91,1.93,1.295,1.51,213795.0,0.0,1.0,1.91,1.93,1.295,1.51,213795.0
2020-03-18,1.42,1.56,1.29,1.3,60244.0,0.0,1.0,1.42,1.56,1.29,1.3,60244.0
2020-03-19,1.31,1.41,1.06,1.28,82939.0,0.0,1.0,1.31,1.41,1.06,1.28,82939.0
2020-03-20,1.25,1.79,1.21,1.62,175797.0,0.0,1.0,1.25,1.79,1.21,1.62,175797.0
2020-03-23,1.55,1.5614,1.145,1.19,54834.0,0.0,1.0,1.55,1.5614,1.145,1.19,54834.0
2020-03-24,1.24,1.41,1.2339,1.41,52791.0,0.0,1.0,1.24,1.41,1.2339,1.41,52791.0
2020-03-25,1.4,1.42,1.16,1.36,60560.0,0.0,1.0,1.4,1.42,1.16,1.36,60560.0
2020-03-26,1.36,1.37,1.23,1.3,50988.0,0.0,1.0,1.36,1.37,1.23,1.3,50988.0
2020-03-27,1.27,1.5,1.27,1.41,61199.0,0.0,1.0,1.27,1.5,1.27,1.41,61199.0
2020-03-30,1.41,1.41,1.255,1.36,15930.0,0.0,1.0,1.41,1.41,1.255,1.36,15930.0
2020-03-31,1.32,1.52,1.3,1.34,85122.0,0.0,1.0,1.32,1.52,1.3,1.34,85122.0
2020-04-01,1.29,1.44,1.22,1.31,82502.0,0.0,1.0,1.29,1.44,1.22,1.31,82502.0
2020-04-02,1.31,1.38,1.23,1.34,51582.0,0.0,1.0,1.31,1.38,1.23,1.34,51582.0
2020-04-03,1.35,1.52,1.29,1.29,84939.0,0.0,1.0,1.35,1.52,1.29,1.29,84939.0
2020-04-06,1.29,1.4,1.25,1.36,41366.0,0.0,1.0,1.29,1.4,1.25,1.36,41366.0
2020-04-07,1.4,1.59,1.37,1.53,418264.0,0.0,1.0,1.4,1.59,1.37,1.53,418264.0
2020-04-08,1.53,1.66,1.38,1.5,113448.0,0.0,1.0,1.53,1.66,1.38,1.5,113448.0
2020-04-09,1.44,1.55,1.38,1.52,119780.0,0.0,1.0,1.44,1.55,1.38,1.52,119780.0
2020-04-13,1.5,1.5544,1.42,1.5,57610.0,0.0,1.0,1.5,1.5544,1.42,1.5,57610.0
2020-04-14,1.56,1.5752,1.37,1.49,66733.0,0.0,1.0,1.56,1.5752,1.37,1.49,66733.0
2020-04-15,1.47,1.52,1.39,1.45,579649.0,0.0,1.0,1.47,1.52,1.39,1.45,579649.0
2020-04-16,1.46,1.46,1.25,1.33,55047.0,0.0,1.0,1.46,1.46,1.25,1.33,55047.0
2020-04-17,1.34,1.43,1.34,1.4,26814.0,0.0,1.0,1.34,1.43,1.34,1.4,26814.0
2020-04-20,1.43,1.43,1.22,1.25,46731.0,0.0,1.0,1.43,1.43,1.22,1.25,46731.0
2020-04-21,1.27,1.27,1.18,1.21,84705.0,0.0,1.0,1.27,1.27,1.18,1.21,84705.0
2020-04-22,1.26,1.26,1.12,1.19,109936.0,0.0,1.0,1.26,1.26,1.12,1.19,109936.0
2020-04-23,1.21,1.28,1.09,1.1,98604.0,0.0,1.0,1.21,1.28,1.09,1.1,98604.0
2020-04-24,1.14,1.16,1.03,1.05,154712.0,0.0,1.0,1.14,1.16,1.03,1.05,154712.0
2020-04-27,1.06,1.21,1.06,1.19,181034.0,0.0,1.0,1.06,1.21,1.06,1.19,181034.0
2020-04-28,1.21,1.31,1.12,1.13,417861.0,0.0,1.0,1.21,1.31,1.12,1.13,417861.0
2020-04-29,1.28,1.5,1.275,1.35,614097.0,0.0,1.0,1.28,1.5,1.275,1.35,614097.0
2020-04-30,1.35,1.59,1.3,1.45,2573374.0,0.0,1.0,1.35,1.59,1.3,1.45,2573374.0
2020-05-01,1.45,1.45,1.35,1.39,519699.0,0.0,1.0,1.45,1.45,1.35,1.39,519699.0
2020-05-04,1.38,1.46,1.345,1.46,338423.0,0.0,1.0,1.38,1.46,1.345,1.46,338423.0
2020-05-05,1.48,1.53,1.4,1.41,425744.0,0.0,1.0,1.48,1.53,1.4,1.41,425744.0
2020-05-06,1.45,1.4521,1.39,1.44,200643.0,0.0,1.0,1.45,1.4521,1.39,1.44,200643.0
2020-05-07,1.45,1.56,1.42,1.54,183683.0,0.0,1.0,1.45,1.56,1.42,1.54,183683.0
2020-05-08,1.55,1.67,1.54,1.64,267131.0,0.0,1.0,1.55,1.67,1.54,1.64,267131.0
2020-05-11,1.66,1.78,1.6501,1.7,261346.0,0.0,1.0,1.66,1.78,1.6501,1.7,261346.0
2020-05-12,1.65,2.25,1.43,2.06,621329.0,0.0,1.0,1.65,2.25,1.43,2.06,621329.0
2020-05-13,2.05,2.116,1.83,1.88,183530.0,0.0,1.0,2.05,2.116,1.83,1.88,183530.0
2020-05-14,1.81,1.86,1.7,1.76,111570.0,0.0,1.0,1.81,1.86,1.7,1.76,111570.0
2020-05-15,1.78,1.95,1.76,1.9,120508.0,0.0,1.0,1.78,1.95,1.76,1.9,120508.0
2020-05-18,1.97,1.99,1.86,1.88,104790.0,0.0,1.0,1.97,1.99,1.86,1.88,104790.0
2020-05-19,1.84,1.9,1.76,1.79,76332.0,0.0,1.0,1.84,1.9,1.76,1.79,76332.0
2020-05-20,1.82,1.93,1.67,1.7,88716.0,0.0,1.0,1.82,1.93,1.67,1.7,88716.0
2020-05-21,1.72,1.74,1.655,1.7,138279.0,0.0,1.0,1.72,1.74,1.655,1.7,138279.0
2020-05-22,1.74,1.9225,1.7,1.89,261790.0,0.0,1.0,1.74,1.9225,1.7,1.89,261790.0
2020-05-26,2.0,2.43,1.98,2.22,259614.0,0.0,1.0,2.0,2.43,1.98,2.22,259614.0
2020-05-27,2.33,2.8,2.2997,2.78,243154.0,0.0,1.0,2.33,2.8,2.2997,2.78,243154.0
2020-05-28,2.65,2.7854,2.5,2.53,126339.0,0.0,1.0,2.65,2.7854,2.5,2.53,126339.0
2020-05-29,2.63,2.77,2.52,2.73,150358.0,0.0,1.0,2.63,2.77,2.52,2.73,150358.0
2020-06-01,2.78,2.8154,2.51,2.51,98507.0,0.0,1.0,2.78,2.8154,2.51,2.51,98507.0
