Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-11,7.8,8.6625,7.75,7.81,224859.0,0.0,1.0,7.8,8.6625,7.75,7.81,224859.0
2020-12-14,7.81,8.94,7.21,7.6,758798.0,0.0,1.0,7.81,8.94,7.21,7.6,758798.0
2020-12-15,7.9,8.1,7.43,7.63,155803.0,0.0,1.0,7.9,8.1,7.43,7.63,155803.0
2020-12-16,8.0,8.0438,7.6511,7.7,162489.0,0.0,1.0,8.0,8.0438,7.6511,7.7,162489.0
2020-12-17,7.95,8.0,7.3,7.4,173242.0,0.0,1.0,7.95,8.0,7.3,7.4,173242.0
2020-12-18,7.5,7.55,6.63,6.85,326688.0,0.0,1.0,7.5,7.55,6.63,6.85,326688.0
2020-12-21,7.01,7.46,6.85,7.2,180637.0,0.0,1.0,7.01,7.46,6.85,7.2,180637.0
2020-12-22,7.2,7.53,6.8624,6.95,248794.0,0.0,1.0,7.2,7.53,6.8624,6.95,248794.0
2020-12-23,7.13,7.34,7.0,7.3,247901.0,0.0,1.0,7.13,7.34,7.0,7.3,247901.0
2020-12-24,7.33,8.25,7.04,7.84,201248.0,0.0,1.0,7.33,8.25,7.04,7.84,201248.0
2020-12-28,7.95,7.9981,7.245,7.27,205164.0,0.0,1.0,7.95,7.9981,7.245,7.27,205164.0
2020-12-29,7.49,7.53,6.75,7.08,215780.0,0.0,1.0,7.49,7.53,6.75,7.08,215780.0
2020-12-30,7.01,7.2,6.8951,7.0,110413.0,0.0,1.0,7.01,7.2,6.8951,7.0,110413.0
2020-12-31,6.9,7.0,6.38,6.53,179975.0,0.0,1.0,6.9,7.0,6.38,6.53,179975.0
