Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-16,1.38,1.6,1.38,1.6,52706.0,0.0,1.0,1.38,1.6,1.38,1.6,52706.0
2020-12-17,1.6,1.6,1.5819,1.6,29150.0,0.0,1.0,1.6,1.6,1.5819,1.6,29150.0
2020-12-18,1.62,2.25,1.6,2.25,3803.0,0.0,1.0,1.62,2.25,1.6,2.25,3803.0
2020-12-21,2.4,2.4,1.52,1.6,222989.0,0.0,1.0,2.4,2.4,1.52,1.6,222989.0
2020-12-22,1.6,1.79,1.5,1.71,107608.0,0.0,1.0,1.6,1.79,1.5,1.71,107608.0
2020-12-23,2.48,2.49,1.8673,1.94,421314.0,0.0,1.0,2.48,2.49,1.8673,1.94,421314.0
2020-12-24,1.89,1.94,1.85,1.85,66656.0,0.0,1.0,1.89,1.94,1.85,1.85,66656.0
2020-12-28,1.9,2.1,1.9,2.04,185641.0,0.0,1.0,1.9,2.1,1.9,2.04,185641.0
2020-12-29,2.1,2.38,1.92,2.02,56671.0,0.0,1.0,2.1,2.38,1.92,2.02,56671.0
2020-12-30,2.02,2.15,2.0,2.06,72696.0,0.0,1.0,2.02,2.15,2.0,2.06,72696.0
2020-12-31,2.0,2.2,2.0,2.13,41105.0,0.0,1.0,2.0,2.2,2.0,2.13,41105.0
