Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-07-13,1.5,1.65,1.25,1.53,668702.0,0.0,1.0,1.5,1.65,1.25,1.53,668702.0
2020-07-14,1.54,1.54,1.49,1.49,890.0,0.0,1.0,1.54,1.54,1.49,1.49,890.0
2020-07-15,1.5,1.5,1.45,1.4999,11100.0,0.0,1.0,1.5,1.5,1.45,1.4999,11100.0
2020-07-16,1.49,1.49,1.4428,1.47,3700.0,0.0,1.0,1.49,1.49,1.4428,1.47,3700.0
2020-07-17,1.426,1.45,1.4,1.45,23501.0,0.0,1.0,1.426,1.45,1.4,1.45,23501.0
2020-07-20,1.4498,1.4498,1.4498,1.4498,100.0,0.0,1.0,1.4498,1.4498,1.4498,1.4498,100.0
2020-07-21,1.4,1.4,1.3498,1.3498,4649.0,0.0,1.0,1.4,1.4,1.3498,1.3498,4649.0
2020-07-22,1.35,1.38,1.3499,1.35,13000.0,0.0,1.0,1.35,1.38,1.3499,1.35,13000.0
2020-07-23,1.32,1.32,1.3,1.31,42766.0,0.0,1.0,1.32,1.32,1.3,1.31,42766.0
2020-07-24,1.31,1.31,1.29,1.29,401.0,0.0,1.0,1.31,1.31,1.29,1.29,401.0
2020-07-27,1.26,1.29,1.2175,1.29,23299.0,0.0,1.0,1.26,1.29,1.2175,1.29,23299.0
2020-07-28,1.25,1.28,1.25,1.28,1200.0,0.0,1.0,1.25,1.28,1.25,1.28,1200.0
2020-07-29,1.25,1.25,1.07,1.15,72516.0,0.0,1.0,1.25,1.25,1.07,1.15,72516.0
2020-07-30,1.24,1.25,1.05,1.15,16600.0,0.0,1.0,1.24,1.25,1.05,1.15,16600.0
2020-07-31,1.25,1.25,1.05,1.1,15100.0,0.0,1.0,1.25,1.25,1.05,1.1,15100.0
2020-08-03,1.0302,1.2,1.0301,1.15,26049.0,0.0,1.0,1.0302,1.2,1.0301,1.15,26049.0
2020-08-04,1.06,1.12,1.05,1.12,3333.0,0.0,1.0,1.06,1.12,1.05,1.12,3333.0
2020-08-05,1.02,1.07,1.01,1.07,20133.0,0.0,1.0,1.02,1.07,1.01,1.07,20133.0
2020-08-06,1.09,1.09,1.09,1.09,800.0,0.0,1.0,1.09,1.09,1.09,1.09,800.0
2020-08-07,1.15,1.21,1.09,1.09,11167.0,0.0,1.0,1.15,1.21,1.09,1.09,11167.0
2020-08-10,1.0845,1.09,0.94,1.05,13552.0,0.0,1.0,1.0845,1.09,0.94,1.05,13552.0
2020-08-11,1.0001,1.06,1.0,1.06,3100.0,0.0,1.0,1.0001,1.06,1.0,1.06,3100.0
2020-08-12,1.05,1.07,1.05,1.05,3200.0,0.0,1.0,1.05,1.07,1.05,1.05,3200.0
2020-08-13,1.05,1.05,1.05,1.05,366.0,0.0,1.0,1.05,1.05,1.05,1.05,366.0
2020-08-14,1.0,1.1,1.0,1.03,32450.0,0.0,1.0,1.0,1.1,1.0,1.03,32450.0
2020-08-17,1.09,1.09,1.09,1.09,831.0,0.0,1.0,1.09,1.09,1.09,1.09,831.0
2020-08-18,1.0,1.11,0.95,1.09,4365.0,0.0,1.0,1.0,1.11,0.95,1.09,4365.0
2020-08-19,1.0,1.14,1.0,1.12,33864.0,0.0,1.0,1.0,1.14,1.0,1.12,33864.0
2020-08-20,1.07,1.13,1.04,1.05,14475.0,0.0,1.0,1.07,1.13,1.04,1.05,14475.0
2020-08-21,1.0,1.03,0.95,1.02,7831.0,0.0,1.0,1.0,1.03,0.95,1.02,7831.0
2020-08-24,1.02,1.02,1.02,1.02,0.0,0.0,1.0,1.02,1.02,1.02,1.02,0.0
2020-08-25,1.02,1.02,1.02,1.02,396.0,0.0,1.0,1.02,1.02,1.02,1.02,396.0
2020-08-26,1.02,1.15,1.02,1.0394,35291.0,0.0,1.0,1.02,1.15,1.02,1.0394,35291.0
2020-08-27,1.03,1.03,0.9998,1.0,21538.0,0.0,1.0,1.03,1.03,0.9998,1.0,21538.0
2020-08-28,1.005,1.005,0.884999,0.9,29973.0,0.0,1.0,1.005,1.005,0.884999,0.9,29973.0
2020-08-31,0.92,0.92,0.85,0.85,21050.0,0.0,1.0,0.92,0.92,0.85,0.85,21050.0
2020-09-01,0.85,0.85,0.81,0.818,21907.0,0.0,1.0,0.85,0.85,0.81,0.818,21907.0
2020-09-02,0.82,0.82,0.77,0.799899,13698.0,0.0,1.0,0.82,0.82,0.77,0.799899,13698.0
2020-09-03,0.81,0.9,0.79,0.8,14839.0,0.0,1.0,0.81,0.9,0.79,0.8,14839.0
2020-09-04,0.85,1.0,0.8,0.9,80252.0,0.0,1.0,0.85,1.0,0.8,0.9,80252.0
2020-09-08,0.9,1.03,0.9,1.03,31911.0,0.0,1.0,0.9,1.03,0.9,1.03,31911.0
2020-09-09,1.0746,1.1,1.0,1.0,17057.0,0.0,1.0,1.0746,1.1,1.0,1.0,17057.0
2020-09-10,1.03,1.08,1.03,1.05,5536.0,0.0,1.0,1.03,1.08,1.03,1.05,5536.0
2020-09-11,1.08,1.18,1.05,1.05,24650.0,0.0,1.0,1.08,1.18,1.05,1.05,24650.0
2020-09-14,1.1,1.19,0.9902,1.0794,10820.0,0.0,1.0,1.1,1.19,0.9902,1.0794,10820.0
2020-09-15,1.12,1.12,1.08,1.08,6718.0,0.0,1.0,1.12,1.12,1.08,1.08,6718.0
2020-09-16,1.1,1.1,1.08,1.09,11966.0,0.0,1.0,1.1,1.1,1.08,1.09,11966.0
2020-09-17,1.1,1.13,1.0,1.07,38239.0,0.0,1.0,1.1,1.13,1.0,1.07,38239.0
2020-09-18,1.05,1.15,1.05,1.08,25639.0,0.0,1.0,1.05,1.15,1.05,1.08,25639.0
2020-09-21,1.08,1.15,1.08,1.13,36800.0,0.0,1.0,1.08,1.15,1.08,1.13,36800.0
2020-09-22,1.1,1.12,1.0,1.12,63701.0,0.0,1.0,1.1,1.12,1.0,1.12,63701.0
2020-09-23,1.1,1.12,0.9951,1.11,56952.0,0.0,1.0,1.1,1.12,0.9951,1.11,56952.0
2020-09-24,1.11,1.11,1.11,1.11,150.0,0.0,1.0,1.11,1.11,1.11,1.11,150.0
2020-09-25,1.08,1.11,1.0,1.04,34800.0,0.0,1.0,1.08,1.11,1.0,1.04,34800.0
2020-09-28,1.0,1.07,0.8777,1.0,11962.0,0.0,1.0,1.0,1.07,0.8777,1.0,11962.0
2020-09-29,1.01,1.01,0.97,0.98,17010.0,0.0,1.0,1.01,1.01,0.97,0.98,17010.0
2020-09-30,0.99,1.0,0.97,0.97,20199.0,0.0,1.0,0.99,1.0,0.97,0.97,20199.0
2020-10-01,0.965,0.965,0.9,0.9,29642.0,0.0,1.0,0.965,0.965,0.9,0.9,29642.0
2020-10-02,0.91,0.98,0.88,0.98,56513.0,0.0,1.0,0.91,0.98,0.88,0.98,56513.0
2020-10-05,1.0,1.0,1.0,1.0,10801.0,0.0,1.0,1.0,1.0,1.0,1.0,10801.0
2020-10-06,0.9999,1.05,0.87,1.0,47634.0,0.0,1.0,0.9999,1.05,0.87,1.0,47634.0
2020-10-07,0.9761,1.1,0.96,1.09,19289.0,0.0,1.0,0.9761,1.1,0.96,1.09,19289.0
2020-10-08,1.07,1.12,1.05,1.09,13494.0,0.0,1.0,1.07,1.12,1.05,1.09,13494.0
2020-10-09,1.08,1.1199,1.08,1.1199,4200.0,0.0,1.0,1.08,1.1199,1.08,1.1199,4200.0
2020-10-12,1.1,1.1,1.07,1.09,256800.0,0.0,1.0,1.1,1.1,1.07,1.09,256800.0
2020-10-13,1.08,1.12,1.06,1.1,4347.0,0.0,1.0,1.08,1.12,1.06,1.1,4347.0
2020-10-14,1.05,1.1,1.05,1.1,1011.0,0.0,1.0,1.05,1.1,1.05,1.1,1011.0
2020-10-15,1.06,1.1,1.0,1.1,6801.0,0.0,1.0,1.06,1.1,1.0,1.1,6801.0
2020-10-16,1.1,1.1,1.05,1.0501,22350.0,0.0,1.0,1.1,1.1,1.05,1.0501,22350.0
2020-10-19,1.04,1.05,0.98,0.99,13803.0,0.0,1.0,1.04,1.05,0.98,0.99,13803.0
2020-10-20,0.99,1.0,0.99,0.99,4000.0,0.0,1.0,0.99,1.0,0.99,0.99,4000.0
2020-10-21,0.98,0.99,0.98,0.99,15700.0,0.0,1.0,0.98,0.99,0.98,0.99,15700.0
2020-10-22,0.99,0.99,0.99,0.99,2900.0,0.0,1.0,0.99,0.99,0.99,0.99,2900.0
2020-10-23,0.9999,1.0,0.9999,1.0,200.0,0.0,1.0,0.9999,1.0,0.9999,1.0,200.0
2020-10-26,1.1,1.1,1.0,1.03,5203.0,0.0,1.0,1.1,1.1,1.0,1.03,5203.0
2020-10-27,1.0,1.05,1.0,1.05,7535.0,0.0,1.0,1.0,1.05,1.0,1.05,7535.0
2020-10-28,1.04,1.04,1.0,1.04,650.0,0.0,1.0,1.04,1.04,1.0,1.04,650.0
2020-10-29,1.05,1.05,1.05,1.05,2125.0,0.0,1.0,1.05,1.05,1.05,1.05,2125.0
2020-10-30,1.02,1.1,0.91,0.91,102956.0,0.0,1.0,1.02,1.1,0.91,0.91,102956.0
2020-11-02,0.87,0.98,0.87,0.87,2875.0,0.0,1.0,0.87,0.98,0.87,0.87,2875.0
2020-11-03,0.89,0.96,0.89,0.95,16529.0,0.0,1.0,0.89,0.96,0.89,0.95,16529.0
2020-11-04,0.95,1.02,0.95,1.0,2600.0,0.0,1.0,0.95,1.02,0.95,1.0,2600.0
2020-11-05,1.0,1.0,0.89,0.93,8360.0,0.0,1.0,1.0,1.0,0.89,0.93,8360.0
2020-11-06,0.95,1.05,0.95,1.0,331733.0,0.0,1.0,0.95,1.05,0.95,1.0,331733.0
2020-11-09,1.0,1.01,1.0,1.0,26000.0,0.0,1.0,1.0,1.01,1.0,1.0,26000.0
2020-11-10,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2020-11-11,0.95,1.02,0.89,1.0,46621.0,0.0,1.0,0.95,1.02,0.89,1.0,46621.0
2020-11-12,0.95,1.0,0.95,0.9962,5622.0,0.0,1.0,0.95,1.0,0.95,0.9962,5622.0
2020-11-13,0.9962,0.9962,0.9962,0.9962,100.0,0.0,1.0,0.9962,0.9962,0.9962,0.9962,100.0
2020-11-16,0.89,1.05,0.88,1.0,348684.0,0.0,1.0,0.89,1.05,0.88,1.0,348684.0
2020-11-17,0.9,1.0,0.9,1.0,2895.0,0.0,1.0,0.9,1.0,0.9,1.0,2895.0
2020-11-18,1.0,1.0,0.94,0.98,8803.0,0.0,1.0,1.0,1.0,0.94,0.98,8803.0
