Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.53,4.54,4.42,4.46,193063.0,0.0,1.0,4.53,4.54,4.42,4.46,193063.0
2020-01-03,4.42,4.56,4.31,4.39,76373.0,0.0,1.0,4.42,4.56,4.31,4.39,76373.0
2020-01-06,4.41,4.58,4.32,4.54,231680.0,0.0,1.0,4.41,4.58,4.32,4.54,231680.0
2020-01-07,4.57,4.6599,4.5499,4.65,128480.0,0.0,1.0,4.57,4.6599,4.5499,4.65,128480.0
2020-01-08,4.61,4.84,4.58,4.59,102131.0,0.0,1.0,4.61,4.84,4.58,4.59,102131.0
2020-01-09,4.64,4.65,4.4,4.53,154714.0,0.0,1.0,4.64,4.65,4.4,4.53,154714.0
2020-01-10,4.4214,4.64,4.4001,4.59,282370.0,0.0,1.0,4.4214,4.64,4.4001,4.59,282370.0
2020-01-13,4.55,4.83,4.55,4.8,282533.0,0.0,1.0,4.55,4.83,4.55,4.8,282533.0
2020-01-14,4.78,4.89,4.76,4.81,206474.0,0.0,1.0,4.78,4.89,4.76,4.81,206474.0
2020-01-15,4.77,4.87,4.7,4.83,116838.0,0.0,1.0,4.77,4.87,4.7,4.83,116838.0
2020-01-16,4.83,4.965,4.83,4.93,212337.0,0.0,1.0,4.83,4.965,4.83,4.93,212337.0
2020-01-17,4.95,5.1,4.948,5.02,193298.0,0.0,1.0,4.95,5.1,4.948,5.02,193298.0
2020-01-21,5.03,5.21,4.9,5.02,227163.0,0.0,1.0,5.03,5.21,4.9,5.02,227163.0
2020-01-22,5.03,5.33,5.03,5.31,203079.0,0.0,1.0,5.03,5.33,5.03,5.31,203079.0
2020-01-23,5.29,5.31,5.1,5.18,63037.0,0.0,1.0,5.29,5.31,5.1,5.18,63037.0
2020-01-24,5.25,5.32,5.03,5.18,149920.0,0.0,1.0,5.25,5.32,5.03,5.18,149920.0
2020-01-27,5.06,5.18,5.03,5.11,70195.0,0.0,1.0,5.06,5.18,5.03,5.11,70195.0
2020-01-28,5.17,5.1749,5.03,5.14,42233.0,0.0,1.0,5.17,5.1749,5.03,5.14,42233.0
2020-01-29,5.25,5.54,5.1,5.37,110627.0,0.0,1.0,5.25,5.54,5.1,5.37,110627.0
2020-01-30,5.39,5.885,5.39,5.75,336322.0,0.0,1.0,5.39,5.885,5.39,5.75,336322.0
2020-01-31,5.7,5.83,5.61,5.8,221923.0,0.0,1.0,5.7,5.83,5.61,5.8,221923.0
2020-02-03,5.8,6.05,5.8,5.98,197725.0,0.0,1.0,5.8,6.05,5.8,5.98,197725.0
2020-02-04,6.07,6.312,5.9,6.14,231220.0,0.0,1.0,6.07,6.312,5.9,6.14,231220.0
2020-02-05,6.18,6.22,6.043,6.19,158832.0,0.0,1.0,6.18,6.22,6.043,6.19,158832.0
2020-02-06,6.25,6.36,6.14,6.32,74790.0,0.0,1.0,6.25,6.36,6.14,6.32,74790.0
2020-02-07,6.35,6.42,6.21,6.42,71629.0,0.0,1.0,6.35,6.42,6.21,6.42,71629.0
2020-02-10,6.4,6.55,6.37,6.42,142137.0,0.0,1.0,6.4,6.55,6.37,6.42,142137.0
2020-02-11,6.5,6.5,5.93,6.0,128729.0,0.0,1.0,6.5,6.5,5.93,6.0,128729.0
2020-02-12,5.99,6.0499,5.4527,5.68,110272.0,0.0,1.0,5.99,6.0499,5.4527,5.68,110272.0
2020-02-13,5.63,6.69,5.6022,6.5,1111430.0,0.0,1.0,5.63,6.69,5.6022,6.5,1111430.0
2020-02-14,6.6,6.75,6.02,6.35,232565.0,0.0,1.0,6.6,6.75,6.02,6.35,232565.0
2020-02-18,6.18,6.3019,5.85,6.1,123926.0,0.0,1.0,6.18,6.3019,5.85,6.1,123926.0
2020-02-19,6.18,6.3,6.03,6.18,101352.0,0.0,1.0,6.18,6.3,6.03,6.18,101352.0
2020-02-20,6.12,6.24,6.01,6.18,60945.0,0.0,1.0,6.12,6.24,6.01,6.18,60945.0
2020-02-21,6.01,6.1899,5.85,5.94,113239.0,0.0,1.0,6.01,6.1899,5.85,5.94,113239.0
2020-02-24,5.75,5.96,5.57,5.77,243668.0,0.0,1.0,5.75,5.96,5.57,5.77,243668.0
2020-02-25,5.76,5.789,5.44,5.64,180760.0,0.0,1.0,5.76,5.789,5.44,5.64,180760.0
2020-02-26,5.61,5.725,5.51,5.55,192696.0,0.0,1.0,5.61,5.725,5.51,5.55,192696.0
2020-02-27,5.41,5.575,5.02,5.12,229258.0,0.0,1.0,5.41,5.575,5.02,5.12,229258.0
2020-02-28,4.98,5.1,4.91,5.09,180662.0,0.0,1.0,4.98,5.1,4.91,5.09,180662.0
2020-03-02,5.1,5.1,4.69,4.95,260201.0,0.0,1.0,5.1,5.1,4.69,4.95,260201.0
2020-03-03,4.9,5.02,4.72,4.76,122385.0,0.0,1.0,4.9,5.02,4.72,4.76,122385.0
2020-03-04,4.78,5.0,4.67,4.81,100824.0,0.0,1.0,4.78,5.0,4.67,4.81,100824.0
2020-03-05,4.76,4.7755,4.475,4.58,138820.0,0.0,1.0,4.76,4.7755,4.475,4.58,138820.0
2020-03-06,4.34,4.706,4.27,4.33,195516.0,0.0,1.0,4.34,4.706,4.27,4.33,195516.0
2020-03-09,4.19,4.2754,4.05,4.09,230783.0,0.0,1.0,4.19,4.2754,4.05,4.09,230783.0
2020-03-10,4.09,4.38,3.81,4.15,378736.0,0.0,1.0,4.09,4.38,3.81,4.15,378736.0
2020-03-11,4.06,4.2544,3.77,3.77,174761.0,0.0,1.0,4.06,4.2544,3.77,3.77,174761.0
2020-03-12,3.28,3.6027,3.15,3.21,215099.0,0.0,1.0,3.28,3.6027,3.15,3.21,215099.0
2020-03-13,3.34,3.433,2.85,2.97,465481.0,0.0,1.0,3.34,3.433,2.85,2.97,465481.0
2020-03-16,2.5,2.75,2.3017,2.5,267728.0,0.0,1.0,2.5,2.75,2.3017,2.5,267728.0
2020-03-17,2.43,2.75,2.3015,2.48,271328.0,0.0,1.0,2.43,2.75,2.3015,2.48,271328.0
2020-03-18,2.49,2.5404,1.96,2.18,207277.0,0.0,1.0,2.49,2.5404,1.96,2.18,207277.0
2020-03-19,2.24,2.39,2.005,2.34,219494.0,0.0,1.0,2.24,2.39,2.005,2.34,219494.0
2020-03-20,2.43,2.8099,2.003,2.24,261669.0,0.0,1.0,2.43,2.8099,2.003,2.24,261669.0
2020-03-23,2.07,2.24,1.8043,2.11,141624.0,0.0,1.0,2.07,2.24,1.8043,2.11,141624.0
2020-03-24,2.2,2.47,2.06,2.2601,126979.0,0.0,1.0,2.2,2.47,2.06,2.2601,126979.0
2020-03-25,2.34,2.74,2.15,2.66,223701.0,0.0,1.0,2.34,2.74,2.15,2.66,223701.0
2020-03-26,2.56,2.97,2.56,2.6,170483.0,0.0,1.0,2.56,2.97,2.56,2.6,170483.0
2020-03-27,2.48,2.63,2.29,2.52,171429.0,0.0,1.0,2.48,2.63,2.29,2.52,171429.0
2020-03-30,2.48,2.6,2.14,2.52,98986.0,0.0,1.0,2.48,2.6,2.14,2.52,98986.0
2020-03-31,2.58,3.26,2.36,2.58,358486.0,0.0,1.0,2.58,3.26,2.36,2.58,358486.0
2020-04-01,2.5,2.77,2.21,2.43,59460.0,0.0,1.0,2.5,2.77,2.21,2.43,59460.0
2020-04-02,2.35,2.67,2.35,2.67,22545.0,0.0,1.0,2.35,2.67,2.35,2.67,22545.0
2020-04-03,2.61,2.67,2.24,2.5,109498.0,0.0,1.0,2.61,2.67,2.24,2.5,109498.0
2020-04-06,2.6,2.8108,2.52,2.59,44868.0,0.0,1.0,2.6,2.8108,2.52,2.59,44868.0
2020-04-07,2.85,2.96,2.6,2.86,54925.0,0.0,1.0,2.85,2.96,2.6,2.86,54925.0
2020-04-08,2.98,3.49,2.76,3.21,87870.0,0.0,1.0,2.98,3.49,2.76,3.21,87870.0
2020-04-09,3.4,3.605,2.94,3.17,156668.0,0.0,1.0,3.4,3.605,2.94,3.17,156668.0
2020-04-13,3.17,3.35,3.0407,3.27,31526.0,0.0,1.0,3.17,3.35,3.0407,3.27,31526.0
2020-04-14,3.33,3.45,3.07,3.43,78540.0,0.0,1.0,3.33,3.45,3.07,3.43,78540.0
2020-04-15,3.34,3.34,3.01,3.11,40397.0,0.0,1.0,3.34,3.34,3.01,3.11,40397.0
2020-04-16,3.1,3.1587,3.02,3.1,32195.0,0.0,1.0,3.1,3.1587,3.02,3.1,32195.0
2020-04-17,3.3,3.32,3.14,3.3,39671.0,0.0,1.0,3.3,3.32,3.14,3.3,39671.0
2020-04-20,3.4,3.4,3.01,3.1,37409.0,0.0,1.0,3.4,3.4,3.01,3.1,37409.0
2020-04-21,3.0,3.13,2.87,2.92,49684.0,0.0,1.0,3.0,3.13,2.87,2.92,49684.0
2020-04-22,3.07,3.07,2.8868,2.91,53241.0,0.0,1.0,3.07,3.07,2.8868,2.91,53241.0
2020-04-23,3.01,3.02,2.93,2.99,17509.0,0.0,1.0,3.01,3.02,2.93,2.99,17509.0
2020-04-24,3.08,3.1716,2.94,2.94,19803.0,0.0,1.0,3.08,3.1716,2.94,2.94,19803.0
2020-04-27,3.1,3.4,3.08,3.27,111765.0,0.0,1.0,3.1,3.4,3.08,3.27,111765.0
2020-04-28,3.34,3.6,3.23,3.49,130824.0,0.0,1.0,3.34,3.6,3.23,3.49,130824.0
2020-04-29,4.78,4.8,3.58,3.88,1063458.0,0.0,1.0,4.78,4.8,3.58,3.88,1063458.0
2020-04-30,3.56,3.8,3.19,3.46,143525.0,0.0,1.0,3.56,3.8,3.19,3.46,143525.0
2020-05-01,3.17,3.31,3.05,3.15,115219.0,0.0,1.0,3.17,3.31,3.05,3.15,115219.0
2020-05-04,3.18,3.18,3.001,3.11,53617.0,0.0,1.0,3.18,3.18,3.001,3.11,53617.0
2020-05-05,3.195,3.42,3.0,3.08,33035.0,0.0,1.0,3.195,3.42,3.0,3.08,33035.0
2020-05-06,3.1,3.12,2.94,3.09,75155.0,0.0,1.0,3.1,3.12,2.94,3.09,75155.0
2020-05-07,3.23,3.49,2.95,2.97,52107.0,0.0,1.0,3.23,3.49,2.95,2.97,52107.0
2020-05-08,2.98,3.08,2.92,2.99,39525.0,0.0,1.0,2.98,3.08,2.92,2.99,39525.0
2020-05-11,2.91,3.0939,2.91,3.03,49763.0,0.0,1.0,2.91,3.0939,2.91,3.03,49763.0
2020-05-12,2.95,3.03,2.84,2.84,65241.0,0.0,1.0,2.95,3.03,2.84,2.84,65241.0
2020-05-13,2.9,3.0,2.615,2.79,50038.0,0.0,1.0,2.9,3.0,2.615,2.79,50038.0
2020-05-14,2.69,2.9,2.59,2.84,40711.0,0.0,1.0,2.69,2.9,2.59,2.84,40711.0
2020-05-15,2.85,3.0,2.78,2.88,26733.0,0.0,1.0,2.85,3.0,2.78,2.88,26733.0
2020-05-18,3.02,3.09,2.77,2.85,84078.0,0.0,1.0,3.02,3.09,2.77,2.85,84078.0
2020-05-19,2.83,2.97,2.6227,2.6727,110883.0,0.0,1.0,2.83,2.97,2.6227,2.6727,110883.0
2020-05-20,2.77,3.0,2.5,2.71,100359.0,0.0,1.0,2.77,3.0,2.5,2.71,100359.0
2020-05-21,2.78,2.8,2.68,2.7,11532.0,0.0,1.0,2.78,2.8,2.68,2.7,11532.0
2020-05-22,2.77,2.8,2.67,2.77,64534.0,0.0,1.0,2.77,2.8,2.67,2.77,64534.0
2020-05-26,2.89,3.2,2.5,2.88,151606.0,0.0,1.0,2.89,3.2,2.5,2.88,151606.0
2020-05-27,2.98,3.03,2.36,2.91,111343.0,0.0,1.0,2.98,3.03,2.36,2.91,111343.0
2020-05-28,2.9,3.1,2.9,3.0,74153.0,0.0,1.0,2.9,3.1,2.9,3.0,74153.0
2020-05-29,3.04,3.04,2.928,2.99,29500.0,0.0,1.0,3.04,3.04,2.928,2.99,29500.0
2020-06-01,3.05,3.21,2.95,3.2,120080.0,0.0,1.0,3.05,3.21,2.95,3.2,120080.0
2020-06-02,3.21,3.3,3.0301,3.3,123915.0,0.0,1.0,3.21,3.3,3.0301,3.3,123915.0
2020-06-03,3.35,3.93,3.25,3.92,258717.0,0.0,1.0,3.35,3.93,3.25,3.92,258717.0
2020-06-04,3.99,3.99,3.5001,3.59,102606.0,0.0,1.0,3.99,3.99,3.5001,3.59,102606.0
2020-06-05,3.8,4.0,3.68,3.8399,90557.0,0.0,1.0,3.8,4.0,3.68,3.8399,90557.0
2020-06-08,3.99,4.0,3.77,3.84,95908.0,0.0,1.0,3.99,4.0,3.77,3.84,95908.0
2020-06-09,3.8,3.8324,3.66,3.69,51692.0,0.0,1.0,3.8,3.8324,3.66,3.69,51692.0
2020-06-10,3.68,3.6891,3.55,3.59,51151.0,0.0,1.0,3.68,3.6891,3.55,3.59,51151.0
2020-06-11,3.55,3.7105,3.08,3.3236,91965.0,0.0,1.0,3.55,3.7105,3.08,3.3236,91965.0
2020-06-12,3.49,3.515,3.36,3.43,33905.0,0.0,1.0,3.49,3.515,3.36,3.43,33905.0
2020-06-15,3.4,3.7,3.12,3.6,44195.0,0.0,1.0,3.4,3.7,3.12,3.6,44195.0
2020-06-16,3.75,3.85,3.47,3.69,27645.0,0.0,1.0,3.75,3.85,3.47,3.69,27645.0
2020-06-17,3.6721,3.7999,3.5876,3.645,7322.0,0.0,1.0,3.6721,3.7999,3.5876,3.645,7322.0
2020-06-18,3.72,3.72,3.51,3.565,13510.0,0.0,1.0,3.72,3.72,3.51,3.565,13510.0
2020-06-19,3.6,3.6,3.44,3.45,20615.0,0.0,1.0,3.6,3.6,3.44,3.45,20615.0
2020-06-22,3.53,3.58,3.45,3.46,7785.0,0.0,1.0,3.53,3.58,3.45,3.46,7785.0
2020-06-23,3.5499,3.55,3.22,3.31,120979.0,0.0,1.0,3.5499,3.55,3.22,3.31,120979.0
2020-06-24,3.2,3.3199,3.14,3.15,72039.0,0.0,1.0,3.2,3.3199,3.14,3.15,72039.0
2020-06-25,3.15,3.33,3.09,3.31,59480.0,0.0,1.0,3.15,3.33,3.09,3.31,59480.0
2020-06-26,3.31,3.33,3.11,3.2,26333.0,0.0,1.0,3.31,3.33,3.11,3.2,26333.0
2020-06-29,3.31,3.49,3.15,3.44,57550.0,0.0,1.0,3.31,3.49,3.15,3.44,57550.0
2020-06-30,3.3484,3.4199,3.1901,3.3,20579.0,0.0,1.0,3.3484,3.4199,3.1901,3.3,20579.0
2020-07-01,3.34,3.44,3.21,3.41,29450.0,0.0,1.0,3.34,3.44,3.21,3.41,29450.0
2020-07-02,3.41,3.53,3.3051,3.48,44471.0,0.0,1.0,3.41,3.53,3.3051,3.48,44471.0
2020-07-06,3.5,3.98,3.49,3.8,120896.0,0.0,1.0,3.5,3.98,3.49,3.8,120896.0
2020-07-07,3.91,4.0,3.54,3.94,112008.0,0.0,1.0,3.91,4.0,3.54,3.94,112008.0
2020-07-08,3.7,3.99,3.7,3.96,55687.0,0.0,1.0,3.7,3.99,3.7,3.96,55687.0
2020-07-09,3.98,3.98,3.72,3.93,80943.0,0.0,1.0,3.98,3.98,3.72,3.93,80943.0
2020-07-10,3.9,3.95,3.85,3.94,38052.0,0.0,1.0,3.9,3.95,3.85,3.94,38052.0
2020-07-13,3.93,3.94,3.8355,3.93,41206.0,0.0,1.0,3.93,3.94,3.8355,3.93,41206.0
2020-07-14,3.95,4.0,3.9,4.0,108840.0,0.0,1.0,3.95,4.0,3.9,4.0,108840.0
2020-07-15,4.0,4.0,3.92,3.99,108152.0,0.0,1.0,4.0,4.0,3.92,3.99,108152.0
