Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.1,1.12,1.02,1.0597,196636.0,0.0,1.0,1.1,1.12,1.02,1.0597,196636.0
2020-01-03,1.44,1.95,1.32,1.61,16883571.0,0.0,1.0,1.44,1.95,1.32,1.61,16883571.0
2020-01-06,1.54,1.9,1.48,1.87,2566171.0,0.0,1.0,1.54,1.9,1.48,1.87,2566171.0
2020-01-07,1.85,1.89,1.56,1.68,1029134.0,0.0,1.0,1.85,1.89,1.56,1.68,1029134.0
2020-01-08,1.6,1.85,1.58,1.76,889532.0,0.0,1.0,1.6,1.85,1.58,1.76,889532.0
2020-01-09,1.71,1.96,1.68,1.95,972494.0,0.0,1.0,1.71,1.96,1.68,1.95,972494.0
2020-01-10,2.0,2.07,1.75,1.84,1001048.0,0.0,1.0,2.0,2.07,1.75,1.84,1001048.0
2020-01-13,1.88,1.95,1.63,1.7,477307.0,0.0,1.0,1.88,1.95,1.63,1.7,477307.0
2020-01-14,1.7,1.79,1.6,1.67,200952.0,0.0,1.0,1.7,1.79,1.6,1.67,200952.0
2020-01-15,1.63,1.7184,1.56,1.6,230481.0,0.0,1.0,1.63,1.7184,1.56,1.6,230481.0
2020-01-16,1.57,1.63,1.52,1.56,306164.0,0.0,1.0,1.57,1.63,1.52,1.56,306164.0
2020-01-17,1.56,1.82,1.56,1.78,569202.0,0.0,1.0,1.56,1.82,1.56,1.78,569202.0
2020-01-21,1.81,1.955,1.8,1.87,439629.0,0.0,1.0,1.81,1.955,1.8,1.87,439629.0
2020-01-22,1.83,1.9,1.75,1.79,315644.0,0.0,1.0,1.83,1.9,1.75,1.79,315644.0
2020-01-23,2.0,2.46,1.85,2.0,6222433.0,0.0,1.0,2.0,2.46,1.85,2.0,6222433.0
2020-01-24,2.05,2.09,1.82,1.9,745143.0,0.0,1.0,2.05,2.09,1.82,1.9,745143.0
2020-01-27,1.82,1.9994,1.76,1.83,398868.0,0.0,1.0,1.82,1.9994,1.76,1.83,398868.0
2020-01-28,1.81,1.86,1.73,1.78,245182.0,0.0,1.0,1.81,1.86,1.73,1.78,245182.0
2020-01-29,1.75,1.95,1.75,1.91,344823.0,0.0,1.0,1.75,1.95,1.75,1.91,344823.0
2020-01-30,1.92,1.95,1.81,1.87,168303.0,0.0,1.0,1.92,1.95,1.81,1.87,168303.0
2020-01-31,1.82,1.94,1.82,1.91,327871.0,0.0,1.0,1.82,1.94,1.82,1.91,327871.0
2020-02-03,1.91,1.9499,1.8,1.83,126159.0,0.0,1.0,1.91,1.9499,1.8,1.83,126159.0
2020-02-04,1.84,1.9244,1.82,1.87,130004.0,0.0,1.0,1.84,1.9244,1.82,1.87,130004.0
2020-02-05,1.92,1.94,1.84,1.92,133830.0,0.0,1.0,1.92,1.94,1.84,1.92,133830.0
2020-02-06,1.92,1.93,1.86,1.89,147896.0,0.0,1.0,1.92,1.93,1.86,1.89,147896.0
2020-02-07,1.87,1.8863,1.76,1.78,166625.0,0.0,1.0,1.87,1.8863,1.76,1.78,166625.0
2020-02-10,1.78,1.92,1.76,1.86,297005.0,0.0,1.0,1.78,1.92,1.76,1.86,297005.0
2020-02-11,2.04,2.3,2.0,2.13,1859883.0,0.0,1.0,2.04,2.3,2.0,2.13,1859883.0
2020-02-12,2.15,2.24,2.03,2.04,318560.0,0.0,1.0,2.15,2.24,2.03,2.04,318560.0
2020-02-13,2.05,2.141,1.98,2.01,245066.0,0.0,1.0,2.05,2.141,1.98,2.01,245066.0
2020-02-14,2.02,2.22,2.02,2.15,270885.0,0.0,1.0,2.02,2.22,2.02,2.15,270885.0
2020-02-18,2.17,2.38,2.17,2.3,784572.0,0.0,1.0,2.17,2.38,2.17,2.3,784572.0
2020-02-19,2.34,3.18,2.3238,2.9,4042284.0,0.0,1.0,2.34,3.18,2.3238,2.9,4042284.0
2020-02-20,2.95,3.02,2.55,2.71,1284528.0,0.0,1.0,2.95,3.02,2.55,2.71,1284528.0
2020-02-21,2.69,2.73,2.58,2.6,456896.0,0.0,1.0,2.69,2.73,2.58,2.6,456896.0
2020-02-24,2.55,2.75,2.55,2.57,661073.0,0.0,1.0,2.55,2.75,2.55,2.57,661073.0
2020-02-25,2.61,2.68,2.37,2.37,813831.0,0.0,1.0,2.61,2.68,2.37,2.37,813831.0
2020-02-26,2.37,2.89,2.37,2.69,1159894.0,0.0,1.0,2.37,2.89,2.37,2.69,1159894.0
