Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.1962,2.25,2.18,2.21,16931.0,0.0,1.0,2.1962,2.25,2.18,2.21,16931.0
2020-01-03,2.2,2.22,2.16,2.16,5846.0,0.0,1.0,2.2,2.22,2.16,2.16,5846.0
2020-01-06,2.15,2.16,2.14,2.1566,7518.0,0.0,1.0,2.15,2.16,2.14,2.1566,7518.0
2020-01-07,2.2,2.2,2.16,2.18,3876.0,0.0,1.0,2.2,2.2,2.16,2.18,3876.0
2020-01-08,2.18,2.195,2.18,2.195,9112.0,0.0,1.0,2.18,2.195,2.18,2.195,9112.0
2020-01-09,2.1686,2.22,2.1568,2.22,3650.0,0.0,1.0,2.1686,2.22,2.1568,2.22,3650.0
2020-01-10,2.25,2.25,2.17,2.21,2798.0,0.0,1.0,2.25,2.25,2.17,2.21,2798.0
2020-01-13,2.2,2.24,2.2,2.225,13680.0,0.0,1.0,2.2,2.24,2.2,2.225,13680.0
2020-01-14,2.23,2.25,2.23,2.25,8334.0,0.0,1.0,2.23,2.25,2.23,2.25,8334.0
2020-01-15,2.2325,2.32,2.2325,2.31,5923.0,0.0,1.0,2.2325,2.32,2.2325,2.31,5923.0
2020-01-16,2.33,2.36,2.32,2.3596,52987.0,0.0,1.0,2.33,2.36,2.32,2.3596,52987.0
2020-01-17,2.33,2.3899,2.33,2.36,13398.0,0.0,1.0,2.33,2.3899,2.33,2.36,13398.0
2020-01-21,2.3101,2.4,2.3101,2.34,9323.0,0.0,1.0,2.3101,2.4,2.3101,2.34,9323.0
2020-01-22,2.3533,2.4,2.34,2.4,34925.0,0.0,1.0,2.3533,2.4,2.34,2.4,34925.0
2020-01-23,2.39,2.4,2.37,2.4,5668.0,0.0,1.0,2.39,2.4,2.37,2.4,5668.0
2020-01-24,2.4,2.4,2.35,2.35,7853.0,0.0,1.0,2.4,2.4,2.35,2.35,7853.0
2020-01-27,2.36,2.5,2.27,2.4,29388.0,0.0,1.0,2.36,2.5,2.27,2.4,29388.0
2020-01-28,2.4438,2.4438,2.38,2.388,13608.0,0.0,1.0,2.4438,2.4438,2.38,2.388,13608.0
2020-01-29,2.38,2.42,2.38,2.42,5583.0,0.0,1.0,2.38,2.42,2.38,2.42,5583.0
2020-01-30,2.4001,2.44,2.34,2.39,7436.0,0.0,1.0,2.4001,2.44,2.34,2.39,7436.0
2020-01-31,2.39,2.45,2.374,2.42,7235.0,0.0,1.0,2.39,2.45,2.374,2.42,7235.0
2020-02-03,2.39,2.44,2.35,2.41,53688.0,0.0,1.0,2.39,2.44,2.35,2.41,53688.0
2020-02-04,2.46,2.47,2.38,2.43,26755.0,0.0,1.0,2.46,2.47,2.38,2.43,26755.0
2020-02-05,2.48,2.48,2.115,2.31,84586.0,0.0,1.0,2.48,2.48,2.115,2.31,84586.0
2020-02-06,2.29,2.37,2.29,2.35,8762.0,0.0,1.0,2.29,2.37,2.29,2.35,8762.0
2020-02-07,2.35,2.39,2.35,2.38,21663.0,0.0,1.0,2.35,2.39,2.35,2.38,21663.0
2020-02-10,2.43,2.4477,2.41,2.42,27602.0,0.0,1.0,2.43,2.4477,2.41,2.42,27602.0
2020-02-11,2.45,2.45,2.38,2.435,18514.0,0.0,1.0,2.45,2.45,2.38,2.435,18514.0
2020-02-12,2.45,2.49,2.4362,2.445,17362.0,0.0,1.0,2.45,2.49,2.4362,2.445,17362.0
2020-02-13,2.4462,2.5,2.4462,2.4729,10216.0,0.0,1.0,2.4462,2.5,2.4462,2.4729,10216.0
2020-02-14,2.5,2.65,2.5,2.56,17584.0,0.0,1.0,2.5,2.65,2.5,2.56,17584.0
2020-02-18,2.52,2.5649,2.52,2.545,9067.0,0.0,1.0,2.52,2.5649,2.52,2.545,9067.0
2020-02-19,2.5432,2.5432,2.5,2.53,16854.0,0.0,1.0,2.5432,2.5432,2.5,2.53,16854.0
2020-02-20,2.516,2.55,2.516,2.53,2774.0,0.0,1.0,2.516,2.55,2.516,2.53,2774.0
2020-02-21,2.55,2.55,2.5,2.5,10833.0,0.0,1.0,2.55,2.55,2.5,2.5,10833.0
2020-02-24,2.44,2.49,2.43,2.48,38012.0,0.0,1.0,2.44,2.49,2.43,2.48,38012.0
2020-02-25,2.48,2.5,2.45,2.4513,41362.0,0.0,1.0,2.48,2.5,2.45,2.4513,41362.0
2020-02-26,2.44,2.45,2.4,2.4,75340.0,0.0,1.0,2.44,2.45,2.4,2.4,75340.0
2020-02-27,2.4,2.42,2.37,2.38,30076.0,0.0,1.0,2.4,2.42,2.37,2.38,30076.0
2020-02-28,2.35,2.39,2.33,2.36,54826.0,0.0,1.0,2.35,2.39,2.33,2.36,54826.0
2020-03-02,2.34,2.35,2.33,2.34,20787.0,0.0,1.0,2.34,2.35,2.33,2.34,20787.0
2020-03-03,2.34,2.43,2.31,2.41,14039.0,0.0,1.0,2.34,2.43,2.31,2.41,14039.0
2020-03-04,2.37,2.44,2.37,2.4,7447.0,0.0,1.0,2.37,2.44,2.37,2.4,7447.0
2020-03-05,2.32,2.33,2.2,2.29,17366.0,0.0,1.0,2.32,2.33,2.2,2.29,17366.0
2020-03-06,2.23,2.25,2.15,2.18,14540.0,0.0,1.0,2.23,2.25,2.15,2.18,14540.0
2020-03-09,2.12,2.1699,1.69,1.69,61333.0,0.0,1.0,2.12,2.1699,1.69,1.69,61333.0
2020-03-10,1.74,1.906,1.71,1.83,46914.0,0.0,1.0,1.74,1.906,1.71,1.83,46914.0
2020-03-11,1.85,1.85,1.53,1.6,118778.0,0.0,1.0,1.85,1.85,1.53,1.6,118778.0
