Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.79,3.942,3.69,3.77,36535.0,0.0,1.0,3.79,3.942,3.69,3.77,36535.0
2020-01-03,3.75,3.83,3.66,3.73,48801.0,0.0,1.0,3.75,3.83,3.66,3.73,48801.0
2020-01-06,3.72,3.79,3.68,3.745,107449.0,0.0,1.0,3.72,3.79,3.68,3.745,107449.0
2020-01-07,3.72,3.83,3.72,3.75,27166.0,0.0,1.0,3.72,3.83,3.72,3.75,27166.0
2020-01-08,3.72,3.8,3.67,3.69,63842.0,0.0,1.0,3.72,3.8,3.67,3.69,63842.0
2020-01-09,3.7,3.7827,3.6,3.63,73309.0,0.0,1.0,3.7,3.7827,3.6,3.63,73309.0
2020-01-10,3.62,3.62,3.55,3.55,64671.0,0.0,1.0,3.62,3.62,3.55,3.55,64671.0
2020-01-13,3.6,3.68,3.53,3.6,78485.0,0.0,1.0,3.6,3.68,3.53,3.6,78485.0
2020-01-14,3.54,3.67,3.54,3.6,207373.0,0.0,1.0,3.54,3.67,3.54,3.6,207373.0
2020-01-15,3.62,3.945,3.62,3.815,121447.0,0.0,1.0,3.62,3.945,3.62,3.815,121447.0
2020-01-16,3.79,3.8815,3.74,3.76,58025.0,0.0,1.0,3.79,3.8815,3.74,3.76,58025.0
2020-01-17,3.82,3.82,3.485,3.55,188183.0,0.0,1.0,3.82,3.82,3.485,3.55,188183.0
2020-01-21,3.55,3.6,3.52,3.55,75972.0,0.0,1.0,3.55,3.6,3.52,3.55,75972.0
2020-01-22,3.56,3.6,3.45,3.48,74972.0,0.0,1.0,3.56,3.6,3.45,3.48,74972.0
2020-01-23,3.45,3.55,3.44,3.47,138826.0,0.0,1.0,3.45,3.55,3.44,3.47,138826.0
2020-01-24,3.5,3.56,3.42,3.5,66903.0,0.0,1.0,3.5,3.56,3.42,3.5,66903.0
2020-01-27,3.47,3.49,3.395,3.42,99512.0,0.0,1.0,3.47,3.49,3.395,3.42,99512.0
2020-01-28,3.5,3.54,3.5,3.52,108126.0,0.0,1.0,3.5,3.54,3.5,3.52,108126.0
2020-01-29,3.51,3.5418,3.47,3.51,60961.0,0.0,1.0,3.51,3.5418,3.47,3.51,60961.0
2020-01-30,3.48,3.57,3.45,3.47,26291.0,0.0,1.0,3.48,3.57,3.45,3.47,26291.0
2020-01-31,3.46,3.46,3.31,3.41,71775.0,0.0,1.0,3.46,3.46,3.31,3.41,71775.0
2020-02-03,3.44,3.52,3.4001,3.47,72598.0,0.0,1.0,3.44,3.52,3.4001,3.47,72598.0
2020-02-04,3.49,3.52,3.445,3.47,53934.0,0.0,1.0,3.49,3.52,3.445,3.47,53934.0
2020-02-05,3.51,3.7,3.51,3.69,70274.0,0.0,1.0,3.51,3.7,3.51,3.69,70274.0
2020-02-06,3.71,3.87,3.5,3.73,92429.0,0.0,1.0,3.71,3.87,3.5,3.73,92429.0
2020-02-07,3.71,3.81,3.51,3.78,107687.0,0.0,1.0,3.71,3.81,3.51,3.78,107687.0
2020-02-10,3.76,3.91,3.65,3.9,168968.0,0.0,1.0,3.76,3.91,3.65,3.9,168968.0
2020-02-11,3.81,3.97,3.76,3.95,105254.0,0.0,1.0,3.81,3.97,3.76,3.95,105254.0
2020-02-12,3.93,4.05,3.9,4.03,83146.0,0.0,1.0,3.93,4.05,3.9,4.03,83146.0
2020-02-13,3.06,3.32,2.85,3.29,1355196.0,0.0,1.0,3.06,3.32,2.85,3.29,1355196.0
2020-02-14,3.34,3.35,3.1,3.16,566219.0,0.0,1.0,3.34,3.35,3.1,3.16,566219.0
2020-02-18,3.18,3.21,2.98,2.98,957572.0,0.0,1.0,3.18,3.21,2.98,2.98,957572.0
2020-02-19,3.01,3.06,2.91,2.95,444306.0,0.0,1.0,3.01,3.06,2.91,2.95,444306.0
2020-02-20,2.98,3.0828,2.98,3.04,184595.0,0.0,1.0,2.98,3.0828,2.98,3.04,184595.0
2020-02-21,3.08,3.0899,2.98,3.0,204905.0,0.0,1.0,3.08,3.0899,2.98,3.0,204905.0
2020-02-24,3.01,3.01,2.95,2.96,108105.0,0.0,1.0,3.01,3.01,2.95,2.96,108105.0
2020-02-25,2.97,2.9994,2.8,2.83,227996.0,0.0,1.0,2.97,2.9994,2.8,2.83,227996.0
2020-02-26,2.83,2.8711,2.67,2.7,140395.0,0.0,1.0,2.83,2.8711,2.67,2.7,140395.0
2020-02-27,2.67,2.72,2.54,2.56,273941.0,0.0,1.0,2.67,2.72,2.54,2.56,273941.0
2020-02-28,2.56,2.6416,2.545,2.59,268779.0,0.0,1.0,2.56,2.6416,2.545,2.59,268779.0
2020-03-02,2.59,2.7,2.59,2.66,137313.0,0.0,1.0,2.59,2.7,2.59,2.66,137313.0
2020-03-03,2.65,2.73,2.5,2.515,349259.0,0.0,1.0,2.65,2.73,2.5,2.515,349259.0
2020-03-04,2.55,2.73,2.48,2.68,152205.0,0.0,1.0,2.55,2.73,2.48,2.68,152205.0
2020-03-05,2.62,2.62,2.46,2.5,157390.0,0.0,1.0,2.62,2.62,2.46,2.5,157390.0
2020-03-06,2.47,2.58,2.45,2.49,168401.0,0.0,1.0,2.47,2.58,2.45,2.49,168401.0
2020-03-09,2.41,2.41,2.27,2.28,354049.0,0.0,1.0,2.41,2.41,2.27,2.28,354049.0
2020-03-10,2.28,2.38,2.07,2.11,360734.0,0.0,1.0,2.28,2.38,2.07,2.11,360734.0
2020-03-11,2.05,2.05,1.95,2.01,263071.0,0.0,1.0,2.05,2.05,1.95,2.01,263071.0
2020-03-12,1.91,1.9757,1.78,1.78,250635.0,0.0,1.0,1.91,1.9757,1.78,1.78,250635.0
2020-03-13,1.87,1.95,1.8,1.88,292056.0,0.0,1.0,1.87,1.95,1.8,1.88,292056.0
2020-03-16,1.75,1.751,1.62,1.66,310348.0,0.0,1.0,1.75,1.751,1.62,1.66,310348.0
2020-03-17,1.68,1.8,1.5,1.79,394036.0,0.0,1.0,1.68,1.8,1.5,1.79,394036.0
2020-03-18,1.68,1.7,1.35,1.39,340710.0,0.0,1.0,1.68,1.7,1.35,1.39,340710.0
2020-03-19,1.39,1.65,1.1,1.43,517158.0,0.0,1.0,1.39,1.65,1.1,1.43,517158.0
2020-03-20,1.4,1.5,1.4,1.43,209675.0,0.0,1.0,1.4,1.5,1.4,1.43,209675.0
2020-03-23,1.45,1.49,1.34,1.44,106539.0,0.0,1.0,1.45,1.49,1.34,1.44,106539.0
2020-03-24,1.5,1.58,1.49,1.56,118229.0,0.0,1.0,1.5,1.58,1.49,1.56,118229.0
2020-03-25,1.53,1.61,1.33,1.4,286393.0,0.0,1.0,1.53,1.61,1.33,1.4,286393.0
2020-03-26,1.44,1.59,1.36,1.4,245452.0,0.0,1.0,1.44,1.59,1.36,1.4,245452.0
2020-03-27,1.36,1.4,1.29,1.33,292449.0,0.0,1.0,1.36,1.4,1.29,1.33,292449.0
2020-03-30,1.36,1.53,1.31,1.52,118588.0,0.0,1.0,1.36,1.53,1.31,1.52,118588.0
2020-03-31,1.51,1.55,1.38,1.45,298551.0,0.0,1.0,1.51,1.55,1.38,1.45,298551.0
2020-04-01,1.46,1.48,1.3,1.32,429665.0,0.0,1.0,1.46,1.48,1.3,1.32,429665.0
2020-04-02,1.3,1.36,1.27,1.29,236576.0,0.0,1.0,1.3,1.36,1.27,1.29,236576.0
2020-04-03,1.3,1.3,1.15,1.25,208748.0,0.0,1.0,1.3,1.3,1.15,1.25,208748.0
2020-04-06,1.29,1.49,1.2799,1.4,277196.0,0.0,1.0,1.29,1.49,1.2799,1.4,277196.0
2020-04-07,1.41,1.41,1.28,1.31,144567.0,0.0,1.0,1.41,1.41,1.28,1.31,144567.0
2020-04-08,1.32,1.36,1.29,1.36,516582.0,0.0,1.0,1.32,1.36,1.29,1.36,516582.0
2020-04-09,1.42,1.51,1.38,1.49,177963.0,0.0,1.0,1.42,1.51,1.38,1.49,177963.0
2020-04-13,1.48,1.515,1.37,1.4,117186.0,0.0,1.0,1.48,1.515,1.37,1.4,117186.0
2020-04-14,1.39,1.62,1.38,1.59,423626.0,0.0,1.0,1.39,1.62,1.38,1.59,423626.0
2020-04-15,1.56,1.56,1.42,1.48,88333.0,0.0,1.0,1.56,1.56,1.42,1.48,88333.0
2020-04-16,1.45,1.45,1.38,1.38,89714.0,0.0,1.0,1.45,1.45,1.38,1.38,89714.0
2020-04-17,1.41,1.49,1.38,1.39,150444.0,0.0,1.0,1.41,1.49,1.38,1.39,150444.0
2020-04-20,1.38,1.38,1.26,1.29,285454.0,0.0,1.0,1.38,1.38,1.26,1.29,285454.0
2020-04-21,1.25,1.3399,1.25,1.3,112666.0,0.0,1.0,1.25,1.3399,1.25,1.3,112666.0
2020-04-22,1.31,1.405,1.28,1.38,146080.0,0.0,1.0,1.31,1.405,1.28,1.38,146080.0
2020-04-23,1.38,1.49,1.36,1.37,115296.0,0.0,1.0,1.38,1.49,1.36,1.37,115296.0
2020-04-24,1.4,1.46,1.38,1.45,130684.0,0.0,1.0,1.4,1.46,1.38,1.45,130684.0
2020-04-27,1.46,1.91,1.46,1.885,272001.0,0.0,1.0,1.46,1.91,1.46,1.885,272001.0
2020-04-28,1.94,1.96,1.7,1.75,199520.0,0.0,1.0,1.94,1.96,1.7,1.75,199520.0
2020-04-29,1.84,1.84,1.75,1.78,158078.0,0.0,1.0,1.84,1.84,1.75,1.78,158078.0
