Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-31,6.9,7.35,6.01,7.2269,14188.0,0.0,1.0,6.9,7.35,6.01,7.2269,14188.0
2020-02-03,6.92,7.61,6.34,7.21,4167.0,0.0,1.0,6.92,7.61,6.34,7.21,4167.0
2020-02-04,6.8,6.92,6.36,6.41,2393.0,0.0,1.0,6.8,6.92,6.36,6.41,2393.0
2020-02-05,6.42,7.0005,6.42,6.59,13537.0,0.0,1.0,6.42,7.0005,6.42,6.59,13537.0
2020-02-06,6.65,7.0,6.6,6.8,14045.0,0.0,1.0,6.65,7.0,6.6,6.8,14045.0
2020-02-07,6.95,7.0,6.8,6.89,4317.0,0.0,1.0,6.95,7.0,6.8,6.89,4317.0
2020-02-10,6.875,7.05,6.5,7.0,10739.0,0.0,1.0,6.875,7.05,6.5,7.0,10739.0
2020-02-11,7.02,7.05,7.02,7.05,1219.0,0.0,1.0,7.02,7.05,7.02,7.05,1219.0
2020-02-12,7.19,7.48,6.51,7.0,10132.0,0.0,1.0,7.19,7.48,6.51,7.0,10132.0
2020-02-13,6.9,6.98,6.5,6.98,1432.0,0.0,1.0,6.9,6.98,6.5,6.98,1432.0
2020-02-14,6.63,7.0,6.63,7.0,993.0,0.0,1.0,6.63,7.0,6.63,7.0,993.0
2020-02-18,7.05,7.05,6.61,6.61,726.0,0.0,1.0,7.05,7.05,6.61,6.61,726.0
2020-02-19,6.7,6.85,6.53,6.85,1411.0,0.0,1.0,6.7,6.85,6.53,6.85,1411.0
2020-02-20,6.6,6.8,6.55,6.63,2417.0,0.0,1.0,6.6,6.8,6.55,6.63,2417.0
2020-02-21,6.6,6.62,5.94,6.61,3591.0,0.0,1.0,6.6,6.62,5.94,6.61,3591.0
2020-02-24,6.45,6.72,6.12,6.6485,3267.0,0.0,1.0,6.45,6.72,6.12,6.6485,3267.0
2020-02-25,6.6,6.6,6.0,6.25,5351.0,0.0,1.0,6.6,6.6,6.0,6.25,5351.0
2020-02-26,6.2,6.24,6.0,6.24,863.0,0.0,1.0,6.2,6.24,6.0,6.24,863.0
2020-02-27,6.0,6.19,5.5009,6.18,2770.0,0.0,1.0,6.0,6.19,5.5009,6.18,2770.0
2020-02-28,5.97,6.75,5.75,6.75,13008.0,0.0,1.0,5.97,6.75,5.75,6.75,13008.0
