Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-05-28,0.32235,0.35,0.32235,0.35,19100.0,0.0,1.0,0.32235,0.35,0.32235,0.35,19100.0
2020-05-29,0.35,0.35,0.35,0.35,0.0,0.0,1.0,0.35,0.35,0.35,0.35,0.0
2020-06-01,0.35,0.35,0.35,0.35,0.0,0.0,1.0,0.35,0.35,0.35,0.35,0.0
2020-06-02,0.36,0.3619,0.3,0.3,54560.0,0.0,1.0,0.36,0.3619,0.3,0.3,54560.0
2020-06-03,0.36,0.38,0.3489,0.3489,30006.0,0.0,1.0,0.36,0.38,0.3489,0.3489,30006.0
2020-06-04,0.3489,0.4399,0.33,0.3999,90807.0,0.0,1.0,0.3489,0.4399,0.33,0.3999,90807.0
2020-06-05,0.35,0.4,0.3399,0.3998,51916.0,0.0,1.0,0.35,0.4,0.3399,0.3998,51916.0
2020-06-08,0.3998,0.3998,0.3998,0.3998,0.0,0.0,1.0,0.3998,0.3998,0.3998,0.3998,0.0
2020-06-09,0.3998,0.3998,0.3998,0.3998,0.0,0.0,1.0,0.3998,0.3998,0.3998,0.3998,0.0
2020-06-10,0.39,0.39,0.350069,0.37,104989.0,0.0,1.0,0.39,0.39,0.350069,0.37,104989.0
2020-06-11,0.39,0.39,0.3899,0.3899,400.0,0.0,1.0,0.39,0.39,0.3899,0.3899,400.0
2020-06-12,0.36,0.44,0.345959,0.3999,74302.0,0.0,1.0,0.36,0.44,0.345959,0.3999,74302.0
2020-06-15,0.390001,0.45,0.29,0.3557,9514.0,0.0,1.0,0.390001,0.45,0.29,0.3557,9514.0
2020-06-16,0.35,0.45,0.35,0.45,122311.0,0.0,1.0,0.35,0.45,0.35,0.45,122311.0
2020-06-17,0.4,0.8382,0.35,0.53,265760.0,0.0,1.0,0.4,0.8382,0.35,0.53,265760.0
2020-06-18,0.5999,0.6,0.555,0.58,53400.0,0.0,1.0,0.5999,0.6,0.555,0.58,53400.0
2020-06-19,0.69,0.9399,0.51,0.8298,86163.0,0.0,1.0,0.69,0.9399,0.51,0.8298,86163.0
2020-06-22,0.9,1.1,0.86,0.92,45620.0,0.0,1.0,0.9,1.1,0.86,0.92,45620.0
2020-06-23,1.18,1.18,0.87,0.9,59000.0,0.0,1.0,1.18,1.18,0.87,0.9,59000.0
2020-06-24,0.75,0.869,0.57,0.85,34702.0,0.0,1.0,0.75,0.869,0.57,0.85,34702.0
2020-06-25,0.989,0.989,0.57,0.67,54020.0,0.0,1.0,0.989,0.989,0.57,0.67,54020.0
2020-06-26,0.95,0.95,0.57,0.6,131849.0,0.0,1.0,0.95,0.95,0.57,0.6,131849.0
2020-06-29,0.5501,0.61,0.48,0.58,22983.0,0.0,1.0,0.5501,0.61,0.48,0.58,22983.0
