Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.8825,2.9202,2.87,2.87,3374.0,0.0,1.0,2.8825,2.9202,2.87,2.87,3374.0
2020-01-03,2.89,2.96,2.86,2.88,12550.0,0.0,1.0,2.89,2.96,2.86,2.88,12550.0
2020-01-06,2.8963,2.8963,2.86,2.89,4144.0,0.0,1.0,2.8963,2.8963,2.86,2.89,4144.0
2020-01-07,2.88,2.9022,2.88,2.89,13191.0,0.0,1.0,2.88,2.9022,2.88,2.89,13191.0
2020-01-08,2.89,3.09,2.88,2.98,54504.0,0.0,1.0,2.89,3.09,2.88,2.98,54504.0
2020-01-09,2.99,3.3328,2.98,3.1,55326.0,0.0,1.0,2.99,3.3328,2.98,3.1,55326.0
2020-01-10,3.111,3.111,2.98,3.0,47290.0,0.0,1.0,3.111,3.111,2.98,3.0,47290.0
2020-01-13,3.0,3.11,2.88,3.06,98204.0,0.0,1.0,3.0,3.11,2.88,3.06,98204.0
2020-01-14,3.0701,3.08,2.92,3.07,25621.0,0.0,1.0,3.0701,3.08,2.92,3.07,25621.0
2020-01-15,3.05,3.05,2.91,3.0,27850.0,0.0,1.0,3.05,3.05,2.91,3.0,27850.0
2020-01-16,3.0,3.055,2.96,3.0,8143.0,0.0,1.0,3.0,3.055,2.96,3.0,8143.0
2020-01-17,3.0,3.29,3.0,3.25,29186.0,0.0,1.0,3.0,3.29,3.0,3.25,29186.0
2020-01-21,3.3,3.31,3.0185,3.16,53223.0,0.0,1.0,3.3,3.31,3.0185,3.16,53223.0
2020-01-22,3.21,3.32,3.0,3.32,14490.0,0.0,1.0,3.21,3.32,3.0,3.32,14490.0
2020-01-23,3.24,3.25,3.0,3.2,9387.0,0.0,1.0,3.24,3.25,3.0,3.2,9387.0
2020-01-24,3.015,3.23,3.015,3.23,12142.0,0.0,1.0,3.015,3.23,3.015,3.23,12142.0
2020-01-27,3.21,3.2241,3.1,3.12,23728.0,0.0,1.0,3.21,3.2241,3.1,3.12,23728.0
2020-01-28,3.0994,3.1,2.95,3.07,6823.0,0.0,1.0,3.0994,3.1,2.95,3.07,6823.0
2020-01-29,3.07,3.11,2.95,3.05,17631.0,0.0,1.0,3.07,3.11,2.95,3.05,17631.0
2020-01-30,3.0,3.0,2.94,2.95,2449.0,0.0,1.0,3.0,3.0,2.94,2.95,2449.0
2020-01-31,2.93,2.93,2.75,2.84,7487.0,0.0,1.0,2.93,2.93,2.75,2.84,7487.0
2020-02-03,2.89,2.95,2.84,2.84,5295.0,0.0,1.0,2.89,2.95,2.84,2.84,5295.0
2020-02-04,2.7622,2.85,2.64,2.7,12642.0,0.0,1.0,2.7622,2.85,2.64,2.7,12642.0
2020-02-05,2.73,2.8354,2.72,2.8,2694.0,0.0,1.0,2.73,2.8354,2.72,2.8,2694.0
2020-02-06,2.7699,2.7953,2.765,2.7953,2417.0,0.0,1.0,2.7699,2.7953,2.765,2.7953,2417.0
2020-02-07,2.75,2.8,2.705,2.8,4944.0,0.0,1.0,2.75,2.8,2.705,2.8,4944.0
2020-02-10,2.7,2.79,2.64,2.79,5161.0,0.0,1.0,2.7,2.79,2.64,2.79,5161.0
2020-02-11,2.75,2.95,2.75,2.95,1614.0,0.0,1.0,2.75,2.95,2.75,2.95,1614.0
2020-02-12,2.8203,2.89,2.66,2.89,7880.0,0.0,1.0,2.8203,2.89,2.66,2.89,7880.0
2020-02-13,2.7023,2.93,2.7023,2.93,1767.0,0.0,1.0,2.7023,2.93,2.7023,2.93,1767.0
2020-02-14,2.85,2.85,2.7,2.82,8915.0,0.0,1.0,2.85,2.85,2.7,2.82,8915.0
2020-02-18,2.73,2.73,2.6,2.61,10894.0,0.0,1.0,2.73,2.73,2.6,2.61,10894.0
2020-02-19,2.61,2.63,2.6,2.6,4098.0,0.0,1.0,2.61,2.63,2.6,2.6,4098.0
2020-02-20,2.615,2.645,2.6088,2.645,4042.0,0.0,1.0,2.615,2.645,2.6088,2.645,4042.0
2020-02-21,2.74,2.75,2.6,2.74,2457.0,0.0,1.0,2.74,2.75,2.6,2.74,2457.0
2020-02-24,2.67,2.69,2.65,2.66,5048.0,0.0,1.0,2.67,2.69,2.65,2.66,5048.0
2020-02-25,2.7199,2.7199,2.5,2.69,16807.0,0.0,1.0,2.7199,2.7199,2.5,2.69,16807.0
2020-02-26,2.66,2.74,2.51,2.74,9907.0,0.0,1.0,2.66,2.74,2.51,2.74,9907.0
2020-02-27,2.67,2.67,2.51,2.67,13082.0,0.0,1.0,2.67,2.67,2.51,2.67,13082.0
2020-02-28,2.68,2.8133,2.6,2.65,2946.0,0.0,1.0,2.68,2.8133,2.6,2.65,2946.0
2020-03-02,2.699,2.699,2.48,2.48,10198.0,0.0,1.0,2.699,2.699,2.48,2.48,10198.0
2020-03-03,2.53,2.605,2.3985,2.4,12214.0,0.0,1.0,2.53,2.605,2.3985,2.4,12214.0
2020-03-04,2.4,2.58,2.36,2.38,18118.0,0.0,1.0,2.4,2.58,2.36,2.38,18118.0
2020-03-05,2.35,2.376,2.3,2.3,4158.0,0.0,1.0,2.35,2.376,2.3,2.3,4158.0
2020-03-06,2.3,2.36,2.12,2.17,15893.0,0.0,1.0,2.3,2.36,2.12,2.17,15893.0
2020-03-09,2.04,2.0415,1.5,1.75,35437.0,0.0,1.0,2.04,2.0415,1.5,1.75,35437.0
2020-03-10,1.6452,1.7676,1.6452,1.7676,11499.0,0.0,1.0,1.6452,1.7676,1.6452,1.7676,11499.0
2020-03-11,1.6512,1.6512,1.65,1.65,557.0,0.0,1.0,1.6512,1.6512,1.65,1.65,557.0
2020-03-12,1.539,1.7377,1.539,1.6783,4229.0,0.0,1.0,1.539,1.7377,1.539,1.6783,4229.0
2020-03-13,1.8,1.8511,1.58,1.59,15694.0,0.0,1.0,1.8,1.8511,1.58,1.59,15694.0
2020-03-16,1.572,1.572,1.23,1.23,40302.0,0.0,1.0,1.572,1.572,1.23,1.23,40302.0
2020-03-17,1.31,1.31,1.11,1.11,27114.0,0.0,1.0,1.31,1.31,1.11,1.11,27114.0
2020-03-18,1.04,1.114,1.01,1.11,3920.0,0.0,1.0,1.04,1.114,1.01,1.11,3920.0
2020-03-19,1.06,1.0999,1.0,1.01,6151.0,0.0,1.0,1.06,1.0999,1.0,1.01,6151.0
2020-03-20,1.2,1.2,1.05,1.08,4675.0,0.0,1.0,1.2,1.2,1.05,1.08,4675.0
2020-03-23,1.2,1.26,0.72,0.9305,13674.0,0.0,1.0,1.2,1.26,0.72,0.9305,13674.0
2020-03-24,1.0782,1.0782,0.914,0.914,3273.0,0.0,1.0,1.0782,1.0782,0.914,0.914,3273.0
2020-03-25,0.95,1.135,0.93,1.13,113866.0,0.0,1.0,0.95,1.135,0.93,1.13,113866.0
2020-03-26,1.03,1.13,1.03,1.09,40505.0,0.0,1.0,1.03,1.13,1.03,1.09,40505.0
2020-03-27,1.16,1.16,1.08,1.08,107511.0,0.0,1.0,1.16,1.16,1.08,1.08,107511.0
2020-03-30,1.1943,1.31,1.15,1.27,51510.0,0.0,1.0,1.1943,1.31,1.15,1.27,51510.0
2020-03-31,1.27,1.4,1.24,1.25,72501.0,0.0,1.0,1.27,1.4,1.24,1.25,72501.0
2020-04-01,1.25,1.25,0.982,0.982,23676.0,0.0,1.0,1.25,1.25,0.982,0.982,23676.0
2020-04-02,0.985,1.05,0.89,0.94,44405.0,0.0,1.0,0.985,1.05,0.89,0.94,44405.0
2020-04-03,0.89,0.9355,0.85,0.85,20888.0,0.0,1.0,0.89,0.9355,0.85,0.85,20888.0
