Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.15,6.17,6.13,6.17,171526.0,0.0,1.0,5.565080694900118,5.583178518298166,5.546982871502068,5.583178518298166,171526.0
2020-01-03,6.14,6.17,6.12,6.13,115532.0,0.0,1.0,5.556031783201092,5.583178518298166,5.537933959803044,5.546982871502068,115532.0
2020-01-06,6.12,6.16,6.11,6.16,160664.0,0.0,1.0,5.537933959803044,5.574129606599142,5.528885048104019,5.574129606599142,160664.0
2020-01-07,6.15,6.19,6.15,6.19,145541.0,0.0,1.0,5.565080694900118,5.601276341696216,5.565080694900118,5.601276341696216,145541.0
2020-01-08,6.19,6.23,6.185,6.23,330970.0,0.0,1.0,5.601276341696216,5.637471988492314,5.596751885846703,5.637471988492314,330970.0
2020-01-09,6.23,6.25,6.22,6.24,143823.0,0.0,1.0,5.637471988492314,5.655569811890363,5.628423076793289,5.646520900191339,143823.0
2020-01-10,6.22,6.23,6.21,6.21,108233.0,0.0,1.0,5.628423076793289,5.637471988492314,5.619374165094265,5.619374165094265,108233.0
2020-01-13,6.22,6.26,6.21,6.23,116043.0,0.0,1.0,5.628423076793289,5.6646187235893875,5.619374165094265,5.637471988492314,116043.0
2020-01-14,6.2,6.22,6.14,6.19,262593.0,0.04257,1.0,5.64890870186649,5.667130988001543,5.59424184346133,5.639797558798964,262593.0
2020-01-15,6.19,6.24,6.17,6.24,140516.0,0.0,1.0,5.639797558798964,5.685353274136597,5.62157527266391,5.685353274136597,140516.0
2020-01-16,6.22,6.3,6.22,6.29,269251.0,0.0,1.0,5.667130988001543,5.740020132541756,5.667130988001543,5.730908989474229,269251.0
2020-01-17,6.29,6.3,6.28,6.29,135677.0,0.0,1.0,5.730908989474229,5.740020132541756,5.721797846406703,5.730908989474229,135677.0
2020-01-21,6.29,6.32,6.28,6.32,91315.0,0.0,1.0,5.730908989474229,5.75824241867681,5.721797846406703,5.75824241867681,91315.0
2020-01-22,6.3,6.34,6.3,6.33,117888.0,0.0,1.0,5.740020132541756,5.776464704811862,5.740020132541756,5.767353561744336,117888.0
2020-01-23,6.33,6.37,6.328,6.37,83108.0,0.0,1.0,5.767353561744336,5.803798134014443,5.765531333130831,5.803798134014443,83108.0
