Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.96,6.0359,5.86,5.94,29125.0,0.0,1.0,5.96,6.0359,5.86,5.94,29125.0
2020-01-03,5.94,5.94,5.7,5.75,11755.0,0.0,1.0,5.94,5.94,5.7,5.75,11755.0
2020-01-06,5.71,5.7418,5.4985,5.55,22644.0,0.0,1.0,5.71,5.7418,5.4985,5.55,22644.0
2020-01-07,5.58,5.73,5.38,5.47,36693.0,0.0,1.0,5.58,5.73,5.38,5.47,36693.0
2020-01-08,5.5415,5.64,5.5415,5.59,6881.0,0.0,1.0,5.5415,5.64,5.5415,5.59,6881.0
2020-01-09,5.66,5.66,5.53,5.62,5297.0,0.0,1.0,5.66,5.66,5.53,5.62,5297.0
2020-01-10,5.67,5.755,5.59,5.64,15358.0,0.0,1.0,5.67,5.755,5.59,5.64,15358.0
2020-01-13,5.555,5.94,5.5,5.94,24681.0,0.0,1.0,5.555,5.94,5.5,5.94,24681.0
2020-01-14,5.75,5.86,5.64,5.68,16202.0,0.0,1.0,5.75,5.86,5.64,5.68,16202.0
2020-01-15,5.6,5.74,5.6,5.71,8935.0,0.0,1.0,5.6,5.74,5.6,5.71,8935.0
2020-01-16,5.64,5.8,5.64,5.8,5890.0,0.0,1.0,5.64,5.8,5.64,5.8,5890.0
2020-01-17,5.76,5.86,5.6,5.7,35734.0,0.0,1.0,5.76,5.86,5.6,5.7,35734.0
2020-01-21,5.66,5.7,5.56,5.7,18075.0,0.0,1.0,5.66,5.7,5.56,5.7,18075.0
2020-01-22,5.71,5.87,5.65,5.75,12835.0,0.0,1.0,5.71,5.87,5.65,5.75,12835.0
2020-01-23,5.71,5.71,5.57,5.6,30724.0,0.0,1.0,5.71,5.71,5.57,5.6,30724.0
2020-01-24,5.61,5.7,5.51,5.7,10459.0,0.0,1.0,5.61,5.7,5.51,5.7,10459.0
2020-01-27,5.67,5.84,5.63,5.69,26171.0,0.0,1.0,5.67,5.84,5.63,5.69,26171.0
2020-01-28,5.75,5.82,5.58,5.61,19903.0,0.0,1.0,5.75,5.82,5.58,5.61,19903.0
2020-01-29,5.57,5.5721,5.48,5.49,10933.0,0.0,1.0,5.57,5.5721,5.48,5.49,10933.0
2020-01-30,5.49,5.6,5.48,5.59,9190.0,0.0,1.0,5.49,5.6,5.48,5.59,9190.0
2020-01-31,5.56,5.76,5.54,5.74,11145.0,0.0,1.0,5.56,5.76,5.54,5.74,11145.0
2020-02-03,5.85,6.0,5.57,5.65,21459.0,0.0,1.0,5.85,6.0,5.57,5.65,21459.0
2020-02-04,5.74,6.05,5.67,5.81,28744.0,0.0,1.0,5.74,6.05,5.67,5.81,28744.0
2020-02-05,5.88,5.94,5.59,5.66,36031.0,0.0,1.0,5.88,5.94,5.59,5.66,36031.0
2020-02-06,5.765,5.765,5.6,5.63,5623.0,0.0,1.0,5.765,5.765,5.6,5.63,5623.0
2020-02-07,5.65,5.65,5.48,5.49,25160.0,0.0,1.0,5.65,5.65,5.48,5.49,25160.0
2020-02-10,5.51,5.68,5.48,5.62,16267.0,0.0,1.0,5.51,5.68,5.48,5.62,16267.0
2020-02-11,5.61,5.72,5.48,5.55,29205.0,0.0,1.0,5.61,5.72,5.48,5.55,29205.0
2020-02-12,5.67,5.7,5.5,5.5,19792.0,0.0,1.0,5.67,5.7,5.5,5.5,19792.0
2020-02-13,5.5588,5.66,5.45,5.52,38760.0,0.0,1.0,5.5588,5.66,5.45,5.52,38760.0
2020-02-14,5.6789,5.73,5.48,5.68,10189.0,0.0,1.0,5.6789,5.73,5.48,5.68,10189.0
2020-02-18,5.48,5.82,5.3101,5.6,29469.0,0.0,1.0,5.48,5.82,5.3101,5.6,29469.0
2020-02-19,5.65,5.7,5.53,5.66,20389.0,0.0,1.0,5.65,5.7,5.53,5.66,20389.0
2020-02-20,5.7,6.09,5.68,5.91,42728.0,0.0,1.0,5.7,6.09,5.68,5.91,42728.0
2020-02-21,5.89,5.89,5.7,5.74,6620.0,0.0,1.0,5.89,5.89,5.7,5.74,6620.0
2020-02-24,5.71,5.71,5.45,5.5,18132.0,0.0,1.0,5.71,5.71,5.45,5.5,18132.0
2020-02-25,5.64,5.67,5.41,5.45,18718.0,0.0,1.0,5.64,5.67,5.41,5.45,18718.0
2020-02-26,5.42,5.53,5.4,5.53,17174.0,0.0,1.0,5.42,5.53,5.4,5.53,17174.0
2020-02-27,5.379,5.51,5.379,5.48,24650.0,0.0,1.0,5.379,5.51,5.379,5.48,24650.0
2020-02-28,5.31,5.68,5.31,5.67,19764.0,0.0,1.0,5.31,5.68,5.31,5.67,19764.0
2020-03-02,5.67,5.87,5.5024,5.72,8926.0,0.0,1.0,5.67,5.87,5.5024,5.72,8926.0
2020-03-03,5.6,6.03,5.58,5.82,30210.0,0.0,1.0,5.6,6.03,5.58,5.82,30210.0
