Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.69,2.69,2.57,2.57,6566.0,0.0,1.0,2.69,2.69,2.57,2.57,6566.0
2020-01-03,2.53,2.7,2.53,2.67,6849.0,0.0,1.0,2.53,2.7,2.53,2.67,6849.0
2020-01-06,2.6,2.84,2.6,2.84,32130.0,0.0,1.0,2.6,2.84,2.6,2.84,32130.0
2020-01-07,2.79,3.0,2.7762,3.0,19154.0,0.0,1.0,2.79,3.0,2.7762,3.0,19154.0
2020-01-08,2.846,2.93,2.778,2.83,97311.0,0.0,1.0,2.846,2.93,2.778,2.83,97311.0
2020-01-09,3.02,3.02,2.7404,2.8,5508.0,0.0,1.0,3.02,3.02,2.7404,2.8,5508.0
2020-01-10,2.86,2.8727,2.8364,2.869,2097.0,0.0,1.0,2.86,2.8727,2.8364,2.869,2097.0
2020-01-13,2.83,2.9,2.7862,2.88,19907.0,0.0,1.0,2.83,2.9,2.7862,2.88,19907.0
2020-01-14,2.7863,2.95,2.76,2.76,45555.0,0.0,1.0,2.7863,2.95,2.76,2.76,45555.0
2020-01-15,2.82,2.82,2.74,2.74,879.0,0.0,1.0,2.82,2.82,2.74,2.74,879.0
2020-01-16,2.7632,2.81,2.7632,2.81,1964.0,0.0,1.0,2.7632,2.81,2.7632,2.81,1964.0
2020-01-17,2.85,2.85,2.76,2.76,1424.0,0.0,1.0,2.85,2.85,2.76,2.76,1424.0
2020-01-21,2.86,2.86,2.7,2.7,16552.0,0.0,1.0,2.86,2.86,2.7,2.7,16552.0
2020-01-22,2.64,2.6465,2.63,2.63,2231.0,0.0,1.0,2.64,2.6465,2.63,2.63,2231.0
2020-01-23,2.64,2.7,2.62,2.65,10779.0,0.0,1.0,2.64,2.7,2.62,2.65,10779.0
2020-01-24,2.6015,2.6015,2.6,2.6,461.0,0.0,1.0,2.6015,2.6015,2.6,2.6,461.0
2020-01-27,2.57,2.61,2.57,2.6,12248.0,0.0,1.0,2.57,2.61,2.57,2.6,12248.0
2020-01-28,2.645,2.645,2.639,2.64,906.0,0.0,1.0,2.645,2.645,2.639,2.64,906.0
2020-01-29,2.68,2.7045,2.66,2.66,12380.0,0.0,1.0,2.68,2.7045,2.66,2.66,12380.0
2020-01-30,2.65,2.65,2.6397,2.6397,319.0,0.0,1.0,2.65,2.65,2.6397,2.6397,319.0
2020-01-31,2.64,2.64,2.64,2.64,113.0,0.0,1.0,2.64,2.64,2.64,2.64,113.0
2020-02-03,2.6668,2.67,2.64,2.66,8304.0,0.0,1.0,2.6668,2.67,2.64,2.66,8304.0
2020-02-04,2.7243,2.75,2.64,2.64,18059.0,0.0,1.0,2.7243,2.75,2.64,2.64,18059.0
2020-02-05,2.59,2.62,2.57,2.57,3075.0,0.0,1.0,2.59,2.62,2.57,2.57,3075.0
2020-02-06,2.58,2.7369,2.57,2.57,10679.0,0.0,1.0,2.58,2.7369,2.57,2.57,10679.0
2020-02-07,2.571,2.66,2.53,2.61,25254.0,0.0,1.0,2.571,2.66,2.53,2.61,25254.0
2020-02-10,2.8,2.8,2.62,2.7177,774.0,0.0,1.0,2.8,2.8,2.62,2.7177,774.0
2020-02-11,2.6698,2.6971,2.6698,2.68,1429.0,0.0,1.0,2.6698,2.6971,2.6698,2.68,1429.0
2020-02-12,2.5943,2.5943,2.585,2.585,1179.0,0.0,1.0,2.5943,2.5943,2.585,2.585,1179.0
2020-02-13,2.58,2.64,2.52,2.63,18016.0,0.0,1.0,2.58,2.64,2.52,2.63,18016.0
2020-02-14,2.61,2.61,2.55,2.55,5824.0,0.0,1.0,2.61,2.61,2.55,2.55,5824.0
2020-02-18,2.5956,2.63,2.5956,2.63,1954.0,0.0,1.0,2.5956,2.63,2.5956,2.63,1954.0
2020-02-19,2.6382,2.65,2.6374,2.65,2936.0,0.0,1.0,2.6382,2.65,2.6374,2.65,2936.0
2020-02-20,2.62,2.62,2.46,2.46,1075.0,0.0,1.0,2.62,2.62,2.46,2.46,1075.0
2020-02-21,2.5821,2.6,2.54,2.54,48133.0,0.0,1.0,2.5821,2.6,2.54,2.54,48133.0
2020-02-24,2.54,2.54,2.46,2.52,2010.0,0.0,1.0,2.54,2.54,2.46,2.52,2010.0
2020-02-25,2.5325,2.5325,2.41,2.41,5278.0,0.0,1.0,2.5325,2.5325,2.41,2.41,5278.0
2020-02-26,2.39,2.39,2.38,2.39,2517.0,0.0,1.0,2.39,2.39,2.38,2.39,2517.0
2020-02-27,2.3539,2.51,2.336,2.51,8288.0,0.0,1.0,2.3539,2.51,2.336,2.51,8288.0
2020-02-28,2.39,2.4,2.18,2.22,23324.0,0.0,1.0,2.39,2.4,2.18,2.22,23324.0
2020-03-02,2.25,2.35,2.1109,2.25,30728.0,0.0,1.0,2.25,2.35,2.1109,2.25,30728.0
2020-03-03,2.21,2.2581,2.1856,2.2581,6662.0,0.0,1.0,2.21,2.2581,2.1856,2.2581,6662.0
2020-03-04,2.2298,2.25,2.03,2.08,74401.0,0.0,1.0,2.2298,2.25,2.03,2.08,74401.0
2020-03-05,2.11,2.19,1.951,1.98,56224.0,0.0,1.0,2.11,2.19,1.951,1.98,56224.0
2020-03-06,2.0272,2.0272,1.81,1.89,6369.0,0.0,1.0,2.0272,2.0272,1.81,1.89,6369.0
2020-03-09,1.98,2.0,1.8095,1.98,36515.0,0.0,1.0,1.98,2.0,1.8095,1.98,36515.0
2020-03-10,1.98,1.98,1.58,1.88,89551.0,0.0,1.0,1.98,1.98,1.58,1.88,89551.0
2020-03-11,1.74,1.74,1.7166,1.7166,822.0,0.0,1.0,1.74,1.74,1.7166,1.7166,822.0
2020-03-12,1.47,1.7149,1.2601,1.39,33287.0,0.0,1.0,1.47,1.7149,1.2601,1.39,33287.0
2020-03-13,1.4958,1.5554,1.32,1.35,13813.0,0.0,1.0,1.4958,1.5554,1.32,1.35,13813.0
2020-03-16,1.29,1.52,1.09,1.43,27971.0,0.0,1.0,1.29,1.52,1.09,1.43,27971.0
2020-03-17,1.5,1.58,1.2,1.26,31897.0,0.0,1.0,1.5,1.58,1.2,1.26,31897.0
2020-03-18,1.2092,1.2092,1.01,1.08,5433.0,0.0,1.0,1.2092,1.2092,1.01,1.08,5433.0
2020-03-19,1.19,1.19,0.7258,0.79,130689.0,0.0,1.0,1.19,1.19,0.7258,0.79,130689.0
2020-03-20,0.975,0.975,0.79,0.7961,30532.0,0.0,1.0,0.975,0.975,0.79,0.7961,30532.0
2020-03-23,0.8,0.87,0.5548,0.56,18809.0,0.0,1.0,0.8,0.87,0.5548,0.56,18809.0
2020-03-24,0.7,0.7682,0.612,0.612,22707.0,0.0,1.0,0.7,0.7682,0.612,0.612,22707.0
2020-03-25,0.6747,0.85,0.57,0.8099,39794.0,0.0,1.0,0.6747,0.85,0.57,0.8099,39794.0
2020-03-26,0.85,1.3323,0.81,1.13,406700.0,0.0,1.0,0.85,1.3323,0.81,1.13,406700.0
2020-03-27,1.05,1.1,0.7906,0.9,94451.0,0.0,1.0,1.05,1.1,0.7906,0.9,94451.0
2020-03-30,0.987,1.15,0.987,1.07,48046.0,0.0,1.0,0.987,1.15,0.987,1.07,48046.0
2020-03-31,1.17,1.2,1.04,1.13,72125.0,0.0,1.0,1.17,1.2,1.04,1.13,72125.0
2020-04-01,1.0,1.13,0.9816,1.13,18700.0,0.0,1.0,1.0,1.13,0.9816,1.13,18700.0
