Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.17,2.17,2.1,2.17,752.0,0.0,1.0,2.17,2.17,2.1,2.17,752.0
2020-01-03,2.17,2.17,2.17,2.17,542.0,0.0,1.0,2.17,2.17,2.17,2.17,542.0
2020-01-06,2.0,2.18,1.787,2.17,2990.0,0.0,1.0,2.0,2.18,1.787,2.17,2990.0
2020-01-07,2.15,2.25,2.15,2.17,9165.0,0.0,1.0,2.15,2.25,2.15,2.17,9165.0
2020-01-08,2.17,2.17,2.17,2.17,128.0,0.0,1.0,2.17,2.17,2.17,2.17,128.0
2020-01-09,2.17,2.17,2.1699,2.1699,671.0,0.0,1.0,2.17,2.17,2.1699,2.1699,671.0
2020-01-10,2.08,2.14,2.08,2.13,5444.0,0.0,1.0,2.08,2.14,2.08,2.13,5444.0
2020-01-13,2.1,2.1,2.1,2.1,448.0,0.0,1.0,2.1,2.1,2.1,2.1,448.0
2020-01-14,2.0369,2.0369,2.0369,2.0369,102.0,0.0,1.0,2.0369,2.0369,2.0369,2.0369,102.0
2020-01-15,2.02,2.02,2.02,2.02,251.0,0.0,1.0,2.02,2.02,2.02,2.02,251.0
2020-01-16,2.02,2.026,2.02,2.026,1070.0,0.0,1.0,2.02,2.026,2.02,2.026,1070.0
2020-01-17,2.04,2.0527,2.03,2.03,3225.0,0.0,1.0,2.04,2.0527,2.03,2.03,3225.0
2020-01-21,2.1,2.14,2.08,2.111,4307.0,0.0,1.0,2.1,2.14,2.08,2.111,4307.0
2020-01-22,1.89,1.89,1.89,1.89,2306.0,0.0,1.0,1.89,1.89,1.89,1.89,2306.0
2020-01-23,1.89,1.89,1.89,1.89,109.0,0.0,1.0,1.89,1.89,1.89,1.89,109.0
2020-01-24,1.89,1.89,1.89,1.89,147.0,0.0,1.0,1.89,1.89,1.89,1.89,147.0
2020-01-27,1.89,1.89,1.89,1.89,6.0,0.0,1.0,1.89,1.89,1.89,1.89,6.0
2020-01-28,1.89,1.89,1.89,1.89,102.0,0.0,1.0,1.89,1.89,1.89,1.89,102.0
2020-01-29,1.89,1.89,1.89,1.89,21.0,0.0,1.0,1.89,1.89,1.89,1.89,21.0
2020-01-30,1.89,1.89,1.89,1.89,0.0,0.0,1.0,1.89,1.89,1.89,1.89,0.0
