Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-09,2.02,2.27,1.82,1.97,263864.0,0.0,1.0,2.02,2.27,1.82,1.97,263864.0
2020-10-12,1.81,1.94,1.65,1.76,1157723.0,0.0,1.0,1.81,1.94,1.65,1.76,1157723.0
2020-10-13,1.51,1.72,1.37,1.61,404868.0,0.0,1.0,1.51,1.72,1.37,1.61,404868.0
2020-10-14,1.43,1.87,1.41,1.77,239742.0,0.0,1.0,1.43,1.87,1.41,1.77,239742.0
2020-10-15,1.84,2.13,1.64,2.09,692435.0,0.0,1.0,1.84,2.13,1.64,2.09,692435.0
2020-10-16,2.12,2.12,1.91,1.99,111170.0,0.0,1.0,2.12,2.12,1.91,1.99,111170.0
2020-10-19,1.95,2.0112,1.65,1.71,341284.0,0.0,1.0,1.95,2.0112,1.65,1.71,341284.0
2020-10-20,1.75,1.86,1.53,1.58,162521.0,0.0,1.0,1.75,1.86,1.53,1.58,162521.0
2020-10-21,1.5935,1.61,1.35,1.36,278342.0,0.0,1.0,1.5935,1.61,1.35,1.36,278342.0
2020-10-22,1.5,1.54,1.11,1.29,1510512.0,0.0,1.0,1.5,1.54,1.11,1.29,1510512.0
2020-10-23,1.2,1.38,1.19,1.27,1255514.0,0.0,1.0,1.2,1.38,1.19,1.27,1255514.0
2020-10-26,1.22,1.44,1.15,1.31,293272.0,0.0,1.0,1.22,1.44,1.15,1.31,293272.0
2020-10-27,1.21,1.41,1.21,1.35,169182.0,0.0,1.0,1.21,1.41,1.21,1.35,169182.0
2020-10-28,1.25,1.4,1.23,1.3,232907.0,0.0,1.0,1.25,1.4,1.23,1.3,232907.0
2020-10-29,1.28,1.36,1.24,1.295,97711.0,0.0,1.0,1.28,1.36,1.24,1.295,97711.0
2020-10-30,1.25,1.45,1.25,1.27,147399.0,0.0,1.0,1.25,1.45,1.25,1.27,147399.0
2020-11-02,1.285,1.46,1.285,1.3,86704.0,0.0,1.0,1.285,1.46,1.285,1.3,86704.0
2020-11-03,1.27,1.55,1.27,1.4545,161882.0,0.0,1.0,1.27,1.55,1.27,1.4545,161882.0
2020-11-04,1.45,1.66,1.4,1.61,234793.0,0.0,1.0,1.45,1.66,1.4,1.61,234793.0
2020-11-05,1.61,1.8338,1.61,1.74,228146.0,0.0,1.0,1.61,1.8338,1.61,1.74,228146.0
2020-11-06,1.6,1.79,1.6,1.72,28019.0,0.0,1.0,1.6,1.79,1.6,1.72,28019.0
2020-11-09,1.72,1.77,1.61,1.72,130430.0,0.0,1.0,1.72,1.77,1.61,1.72,130430.0
2020-11-10,1.9,1.9,1.61,1.7234,64095.0,0.0,1.0,1.9,1.9,1.61,1.7234,64095.0
2020-11-11,1.7,1.79,1.02,1.37,2286300.0,0.0,1.0,1.7,1.79,1.02,1.37,2286300.0
2020-11-12,1.36,1.405,1.1,1.19,627332.0,0.0,1.0,1.36,1.405,1.1,1.19,627332.0
2020-11-13,1.16,1.33,1.13,1.31,286424.0,0.0,1.0,1.16,1.33,1.13,1.31,286424.0
2020-11-16,1.35,1.5,1.25,1.3,251071.0,0.0,1.0,1.35,1.5,1.25,1.3,251071.0
2020-11-17,1.36,1.36,1.25,1.25,150971.0,0.0,1.0,1.36,1.36,1.25,1.25,150971.0
2020-11-18,1.25,1.3099,1.22,1.24,170915.0,0.0,1.0,1.25,1.3099,1.22,1.24,170915.0
2020-11-19,1.3,1.38,1.18,1.38,186832.0,0.0,1.0,1.3,1.38,1.18,1.38,186832.0
2020-11-20,1.31,1.4609,1.31,1.3582,186647.0,0.0,1.0,1.31,1.4609,1.31,1.3582,186647.0
2020-11-23,1.35,1.42,1.26,1.31,130219.0,0.0,1.0,1.35,1.42,1.26,1.31,130219.0
2020-11-24,1.27,1.39,1.27,1.28,101258.0,0.0,1.0,1.27,1.39,1.27,1.28,101258.0
2020-11-25,1.26,1.36,1.19,1.28,144419.0,0.0,1.0,1.26,1.36,1.19,1.28,144419.0
2020-11-27,1.25,1.303,1.25,1.2601,127959.0,0.0,1.0,1.25,1.303,1.25,1.2601,127959.0
2020-11-30,1.26,1.26,1.1,1.1599,270468.0,0.0,1.0,1.26,1.26,1.1,1.1599,270468.0
2020-12-01,1.05,1.15,1.05,1.0982,138680.0,0.0,1.0,1.05,1.15,1.05,1.0982,138680.0
2020-12-02,1.1,1.26,1.03,1.2,254086.0,0.0,1.0,1.1,1.26,1.03,1.2,254086.0
2020-12-03,1.25,1.25,1.2,1.2,89391.0,0.0,1.0,1.25,1.25,1.2,1.2,89391.0
