Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.861,0.9,0.8554,0.8735,11601.0,0.0,1.0,0.861,0.9,0.8554,0.8735,11601.0
2020-01-03,0.8999,0.8999,0.873725,0.898,8867.0,0.0,1.0,0.8999,0.8999,0.873725,0.898,8867.0
2020-01-06,0.9,0.9,0.84,0.889501,10964.0,0.0,1.0,0.9,0.9,0.84,0.889501,10964.0
2020-01-07,0.8999,0.8999,0.8453,0.861225,32228.0,0.0,1.0,0.8999,0.8999,0.8453,0.861225,32228.0
2020-01-08,0.8858,0.8999,0.85,0.85,9165.0,0.0,1.0,0.8858,0.8999,0.85,0.85,9165.0
2020-01-09,0.8926,0.8962,0.855,0.855,25881.0,0.0,1.0,0.8926,0.8962,0.855,0.855,25881.0
2020-01-10,0.8858,0.8858,0.8445,0.8688,9340.0,0.0,1.0,0.8858,0.8858,0.8445,0.8688,9340.0
2020-01-13,0.8688,0.8688,0.8501,0.858,8264.0,0.0,1.0,0.8688,0.8688,0.8501,0.858,8264.0
2020-01-14,0.858,0.879799,0.850625,0.8565,4685.0,0.0,1.0,0.858,0.879799,0.850625,0.8565,4685.0
2020-01-15,0.88,0.88,0.872139,0.879799,2192.0,0.0,1.0,0.88,0.88,0.872139,0.879799,2192.0
2020-01-16,0.8789,0.879,0.8603,0.87,24309.0,0.0,1.0,0.8789,0.879,0.8603,0.87,24309.0
2020-01-17,0.8799,0.8799,0.86,0.86,20000.0,0.0,1.0,0.8799,0.8799,0.86,0.86,20000.0
2020-01-21,0.8858,0.9,0.86755,0.8999,17668.0,0.0,1.0,0.8858,0.9,0.86755,0.8999,17668.0
2020-01-22,0.873,0.8998,0.85,0.87,62796.0,0.0,1.0,0.873,0.8998,0.85,0.87,62796.0
2020-01-23,0.8961,0.9,0.85,0.85,21827.0,0.0,1.0,0.8961,0.9,0.85,0.85,21827.0
2020-01-24,0.875,0.8899,0.8543,0.885,7582.0,0.0,1.0,0.875,0.8899,0.8543,0.885,7582.0
2020-01-27,0.9,0.9,0.86015,0.86015,12270.0,0.0,1.0,0.9,0.9,0.86015,0.86015,12270.0
2020-01-28,0.87,0.87,0.85,0.87,5631.0,0.0,1.0,0.87,0.87,0.85,0.87,5631.0
2020-01-29,0.8967,0.8994,0.85,0.86001,45019.0,0.0,1.0,0.8967,0.8994,0.85,0.86001,45019.0
2020-01-30,0.8858,0.8858,0.85,0.8579,57291.0,0.0,1.0,0.8858,0.8858,0.85,0.8579,57291.0
2020-01-31,0.87,0.87,0.85,0.85,6180.0,0.0,1.0,0.87,0.87,0.85,0.85,6180.0
2020-02-03,0.85,0.8693,0.85,0.86,13996.0,0.0,1.0,0.85,0.8693,0.85,0.86,13996.0
2020-02-04,0.8693,0.8693,0.85,0.85,8516.0,0.0,1.0,0.8693,0.8693,0.85,0.85,8516.0
